dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,194720,geometry/pose_raw,73.92912292480469,0.0
0.0,0.0,,1,,,,,,0.0,194732,geometry/pose_raw,73.93070983886719,0.0
0.0,0.0,,2,,,,,,0.0,194739,geometry/pose_raw,73.92945861816406,0.0
0.0,0.0,,3,,,,,,0.0,194755,geometry/pose_raw,73.9297866821289,0.0
0.0,0.0,,4,,,,,,0.0,194762,geometry/pose_raw,73.93037414550781,0.0
0.0,0.0,,5,,,,,,0.0,194770,geometry/pose_raw,73.92941284179688,0.0
0.0,0.0,,6,,,,,,0.0,194779,geometry/pose_raw,73.92933654785156,0.0
0.0,0.0,,7,,,,,,0.0,194790,geometry/pose_raw,73.9290542602539,0.0
0.0,0.0,,8,,,,,,0.0,194812,geometry/pose_raw,73.93065643310547,0.0
,,"[  375   812  1218  1656  2093  2500  2937  3343  3781  4218  4625  5062
  5500  5906  6343  6750  7187  7625  8031  8468  8906  9312  9750 10156
 10593 11031 11437 11875 12312 12718 13156 13562]",9,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-5.9893918e-03 -1.5890275e-03  1.5804259e-03 -4.1238079e-03
 -2.3579715e-04 -7.4618560e-04 -7.3026208e-04  1.2328364e-04
 -2.1756475e-04 -1.0336844e-03  1.0944103e-03 -9.4693771e-04
  3.9919888e-04 -5.2549294e-04  6.0246768e-04  5.6819041e-04
  1.0656991e-04  1.0586711e-04 -3.3184933e-04 -6.3052442e-04
  1.7705793e-04 -2.8460170e-05 -7.5542572e-05 -3.0519956e-04
  5.9879578e-05 -2.2115262e-05 -2.2747956e-04  2.3426562e-04
 -3.0732862e-04 -6.1841391e-05 -4.9396942e-04  1.7591457e-04
  2.9264382e-04  4.1446200e-04 -7.2144327e-04 -7.5445807e-04
  9.6142897e-04  1.1360142e-04  2.9651975e-04  6.2389614e-04
 -4.0052354e-04  1.7540707e-04  1.4205783e-05  3.3750714e-04
  6.2737224e-04 -3.8757426e-05 -5.3041504e-04 -2.3694505e-04
  3.5305833e-04 -1.0540668e-04 -8.6934029e-05  8.6081105e-05
 -1.6727620e-04  1.7254500e-04 -3.0577256e-04  6.9691491e-04
  2.2711160e-05  1.1655981e-04 -4.6447618e-05 -5.2547618e-04
 -1.0616655e-04 -4.5534692e-04  2.2903997e-04  1.2822336e-04
 -1.3692486e-02 -4.7478410e-03  8.8644270e-03 -1.6927142e-02
 -8.2863052e-04 -3.0038005e-03 -1.0153059e-03 -1.6662444e-03
 -1.0168861e-03 -1.9609432e-04  8.9945144e-04 -1.0815079e-03
  3.9439602e-04 -1.2763776e-03 -1.2288085e-03 -7.2274607e-04
 -5.2301690e-04 -4.4142525e-05 -2.2541433e-04 -7.4102799e-04
 -1.3659243e-04 -2.9972568e-04  3.5803157e-04 -2.4373645e-04
 -3.5430450e-04 -4.1062364e-04  8.2582119e-04  6.4342123e-05
  2.7980204e-06 -3.2590414e-04  5.8588479e-04 -3.9358041e-04
 -4.6748803e-03  4.3674497e-04  4.5616782e-04 -7.3461165e-03
 -3.5759709e-05 -2.4047524e-03  1.3310717e-05 -7.0346042e-04
 -8.1546453e-04 -9.7727461e-05  9.1832806e-04 -2.3591101e-04
  3.5980353e-04 -2.7688500e-04 -2.5598786e-04 -2.5796200e-04
  3.4756653e-05 -2.3166451e-04 -4.8175000e-04 -7.1541304e-05
 -1.4425517e-04  5.6300662e-04 -2.3423086e-04 -3.0491987e-04
 -3.7245947e-05  3.5077156e-04  1.1799921e-04 -4.9408327e-04
  3.8699227e-04 -5.4701683e-05 -1.0566073e-05 -1.9102386e-04]","[-2.68001528e-03 -4.80200833e-04 -5.41110896e-03  1.43389485e-03
 -1.39791053e-03 -8.04007053e-04  1.16420758e-03  3.08587332e-04
 -3.52780917e-04 -2.58865592e-04 -2.48365832e-04 -1.54952577e-04
  4.99901420e-04  4.99691756e-04 -1.57987961e-04 -3.96643940e-04
  2.74729537e-05 -1.66005848e-04  1.19523014e-04  3.72544862e-04
 -3.10818374e-04  3.79051344e-04 -6.85434788e-04  1.86150370e-04
  3.13958124e-04  2.21954888e-05 -1.01036829e-04  1.75337642e-04
 -3.49177542e-04  6.15675002e-04  6.56918419e-05 -5.63121976e-05
 -1.32204872e-03 -8.74435878e-04 -8.98141734e-05 -2.74265301e-04
 -2.61647714e-04 -7.38098461e-05  3.85074527e-05  1.67148974e-04
  1.04954750e-04 -6.18999475e-04  2.91797274e-04 -2.95727106e-04
 -1.93742206e-04 -3.23583663e-04 -2.14024883e-04  7.52407141e-06
 -1.71583466e-04 -1.17859396e-04 -9.49589885e-05  8.77411076e-05
 -1.84533856e-05 -1.11525755e-04  2.47395015e-04 -2.56915111e-04
  3.14057543e-04 -4.65125690e-04 -3.03323322e-04 -4.40977747e-05
  2.17969937e-04 -1.46039209e-04 -2.18143774e-04 -4.16779774e-04
 -7.83592463e-03  5.22724260e-03 -2.18950137e-02  3.62142967e-03
 -3.83497588e-03 -2.07606959e-03  6.76501368e-05  1.98470708e-03
 -1.20580290e-03 -2.41093410e-04  1.01612869e-03 -1.42270688e-03
 -1.44968799e-04  1.63889921e-03  5.06323180e-04  3.40728264e-04
  4.59182629e-04 -1.75300374e-04  9.72706301e-04  2.93186720e-04
  6.33877135e-05 -5.16137748e-04 -1.59354968e-04 -3.30231909e-04
  1.48563442e-04 -5.70007192e-04  3.00481421e-04  7.89067242e-04
 -2.19881724e-04 -1.43591058e-03 -1.19390679e-05  1.55015077e-05
 -3.36910039e-03  1.70645874e-03 -1.00712404e-02  2.98423832e-03
 -9.80543438e-04 -8.27079639e-04 -3.21936182e-04 -3.28053575e-04
 -6.83424936e-04  1.10418900e-04 -1.08406274e-03 -6.86482759e-04
 -4.52363282e-04  1.36603820e-04 -2.15885506e-04 -1.33928916e-04
  4.21370962e-04 -4.76908084e-04 -2.30377569e-04 -1.18270036e-04
 -4.97505651e-04  4.18991913e-05 -4.02421399e-04  1.64637895e-05
 -7.62505108e-04  4.18875425e-04 -4.72475716e-04 -2.38797365e-05
  2.52904778e-04  3.10477262e-05 -1.96408684e-04 -1.35631504e-04]",,194817,audio/signals_f,,
