dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,574517,geometry/pose_raw,78.57453155517578,0.0
0.0,0.0,,1,,,,,,0.0,574523,geometry/pose_raw,78.57368469238281,0.0
0.0,0.0,,2,,,,,,0.0,574531,geometry/pose_raw,78.57325744628906,0.0
0.0,0.0,,3,,,,,,0.0,574543,geometry/pose_raw,78.57414245605469,0.0
,,"[  375   812  1218  1656  2093  2500  2937  3343  3781  4218  4625  5062
  5500  5906  6343  6750  7187  7625  8031  8468  8906  9312  9750 10156
 10593 11031 11437 11875 12312 12718 13156 13562]",4,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.23491790e-03 -1.85499038e-03  1.12093508e-03 -1.47936074e-03
  2.21857845e-05 -1.47740473e-03 -4.21464414e-04 -7.40973745e-04
  1.72238681e-04 -7.34395348e-04  5.20464964e-05 -5.53704274e-04
 -1.26009298e-04  1.19781413e-04  3.12953664e-04 -1.09039684e-05
 -1.80331117e-04  3.96854048e-05 -6.32970477e-06 -4.93969652e-04
  5.80564316e-04 -2.86845432e-04 -3.83729581e-04  1.00993412e-03
  3.42701242e-05  2.56535714e-06 -1.15579987e-05 -3.27777758e-04
  3.42292391e-04  4.52162407e-04 -3.39352322e-04  3.61347251e-04
 -2.01032055e-03  5.13531209e-04  3.01785971e-04 -1.22229522e-03
  2.58605305e-05  3.16767866e-04 -1.25099716e-04 -4.19079501e-04
 -2.61621492e-04 -4.73177817e-04  1.51703949e-04  2.60120782e-04
 -4.59749426e-04  8.15773183e-06  5.50721947e-04  2.38295790e-04
 -4.28409723e-04  5.11634571e-04 -5.23469003e-04  3.34918819e-04
 -8.26836913e-05 -5.81584318e-05  1.56520924e-04 -6.85718260e-04
 -2.48128345e-07  7.19919452e-04 -1.35938477e-04 -6.89676162e-05
 -7.38195231e-05 -4.07757296e-04 -3.67456523e-04  2.60994479e-04
  6.04377454e-03 -3.86004080e-03  4.21416061e-03 -4.14013676e-03
  6.20401261e-05 -3.92087083e-03 -3.23711708e-03 -1.09848210e-04
 -5.85067493e-04 -1.34947791e-03 -1.34716951e-03 -1.26107514e-03
 -1.26975775e-03  2.14710759e-04 -9.67677843e-05 -6.15463243e-04
 -6.59701356e-04 -3.24973626e-05  7.92985084e-05  4.29037464e-04
 -6.29447459e-04 -3.70753172e-04 -1.08748931e-03 -5.76217019e-04
 -5.83810906e-05 -7.64576718e-04  6.03270542e-04 -2.73560174e-04
  3.22747830e-04  5.02452371e-04 -5.20169619e-04 -3.48902948e-04
  2.67885253e-03 -9.53825482e-04  1.69354014e-03 -3.14409472e-03
  3.72539915e-04 -2.05825875e-03 -5.54404687e-04  4.25514125e-04
  7.23781763e-04 -7.95241562e-04 -2.08888785e-04 -2.70829943e-04
 -6.84867788e-04  2.94983591e-04 -1.05911466e-04 -2.37812244e-04
  6.12501055e-04  2.31428654e-04 -2.57874257e-04 -3.74609546e-04
  1.70788699e-05 -1.50843058e-04 -1.45118211e-05 -1.15073621e-04
 -2.96527840e-04  2.17920606e-04  1.89564118e-04  3.99505225e-05
 -2.56676634e-04 -2.99512467e-04 -5.60055196e-04  7.08198408e-04]","[-9.2744757e-04  6.2456972e-04 -2.7112900e-03 -2.2547380e-03
 -3.9620229e-04 -6.6555530e-04  1.9308554e-03 -2.6296169e-04
  8.1498938e-04 -4.3787059e-04  9.1276882e-04 -2.4537393e-04
 -1.7184204e-04  7.9393294e-04  2.8618902e-04  7.0909166e-04
 -9.8047596e-05 -2.5936615e-04 -6.9718109e-05  8.6558372e-05
  1.3947421e-04  9.0402382e-04  1.3680770e-03 -2.8607794e-04
  5.7003686e-05  2.9681949e-04 -5.8182783e-04 -1.3267185e-04
 -5.9339881e-04 -2.7672260e-04  1.1146044e-04  4.3949112e-04
  6.0228296e-05 -5.0334696e-05 -3.0996770e-04  6.6303159e-04
  4.3822292e-04  1.2654248e-04  3.4163898e-04  4.7644877e-04
 -4.3191659e-04  8.7655301e-04  8.1634201e-04 -6.8917498e-04
 -1.1630215e-04  6.3908308e-05 -6.3167419e-05  3.2611302e-04
  7.3816354e-04 -1.0993095e-04 -7.1835988e-05 -6.5036991e-05
  2.5777967e-04  1.2360797e-05  2.4361478e-05  1.4984077e-04
 -8.5625463e-05 -6.1500905e-06 -4.1762323e-05 -3.2510105e-04
  9.0960646e-05  3.9648073e-04 -3.3005643e-05 -1.2671523e-04
 -1.5585404e-02  2.9735360e-03 -7.4855303e-03 -9.7038895e-03
 -8.7733706e-04  5.9058343e-04  5.0967988e-03  1.0795225e-03
  1.8243802e-03 -2.1335604e-03  1.1596798e-03 -2.4223370e-03
 -1.4704944e-03 -4.8235997e-05  2.5114825e-04 -4.3520454e-04
 -2.3116794e-05  2.6488886e-04 -1.0153959e-03  3.7747511e-04
 -2.1775044e-04  4.1855383e-05  8.6884055e-04 -4.3618455e-04
  1.5564475e-04 -4.3574261e-04 -5.6425197e-04  3.0223746e-05
  5.8042695e-04  2.6763586e-04  1.5600325e-04  4.7243055e-04
 -5.3304383e-03  6.7787565e-04 -3.2115136e-03 -2.7899288e-03
 -7.7186408e-04  7.4118882e-04  2.0771562e-03  5.8823050e-04
  5.9855694e-04 -8.2328275e-04  7.5624813e-04 -6.7529263e-04
 -4.1265608e-05  2.4781562e-04  1.8115378e-04 -2.6686001e-05
  4.0453326e-04 -2.4763402e-04 -9.4896503e-04  7.0093037e-04
  2.9154995e-04 -3.1668234e-05 -3.0197937e-04  1.5434578e-04
  1.7923923e-04  3.9883438e-04 -2.0067469e-04  4.9519277e-04
 -1.7267952e-04 -1.9599020e-04  1.3877370e-04 -4.6878442e-05]",,574545,audio/signals_f,,
0.0,0.0,,5,,,,,,0.0,574552,geometry/pose_raw,78.57417297363281,0.0
0.0,0.0,,6,,,,,,0.0,574564,geometry/pose_raw,78.57543182373047,0.0
0.0,0.0,,7,,,,,,0.0,574572,geometry/pose_raw,78.57633972167969,0.0
0.0,0.0,,8,,,,,,0.0,574581,geometry/pose_raw,78.57713317871094,0.0
0.0,0.0,,9,,,,,,0.0,574591,geometry/pose_raw,78.5776138305664,0.0
0.0,0.0,,10,,,,,,0.0,574607,geometry/pose_raw,78.57787322998047,0.0
0.0,0.0,,11,,,,,,0.0,574616,geometry/pose_raw,78.57884216308594,0.0
0.0,0.0,,12,,,,,,0.0,574622,geometry/pose_raw,78.58023834228516,0.0
0.0,0.0,,13,,,,,,0.0,574632,geometry/pose_raw,78.57801818847656,0.0
0.0,0.0,,14,,,,,,0.0,574642,geometry/pose_raw,78.5782470703125,0.0
0.0,0.0,,15,,,,,,0.0,574651,geometry/pose_raw,78.57777404785156,0.0
