dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,236387,geometry/pose_raw,74.41661071777344,0.0
0.0,0.0,,1,,,,,,0.0,236400,geometry/pose_raw,74.41593170166016,0.0
0.0,0.0,,2,,,,,,0.0,236406,geometry/pose_raw,74.41793823242188,0.0
0.0,0.0,,3,,,,,,0.0,236414,geometry/pose_raw,74.41683197021484,0.0
,,"[  375   812  1218  1656  2093  2500  2937  3343  3781  4218  4625  5062
  5500  5906  6343  6750  7187  7625  8031  8468  8906  9312  9750 10156
 10593 11031 11437 11875 12312 12718 13156 13562]",4,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-2.19778134e-03  1.02469837e-03 -5.59679884e-03  8.63054011e-04
  1.24417793e-03 -6.61464233e-04  7.83286698e-04  9.85931489e-04
 -7.97126093e-04  2.01320392e-04  7.13530229e-04 -7.52660795e-04
 -1.06512787e-04 -7.14737573e-04  6.51944894e-04  3.34436365e-04
  1.76538422e-04 -3.26103182e-05  1.16720574e-03 -5.42372814e-04
 -9.28766385e-05  3.48603469e-04  1.32846806e-04 -1.61907534e-04
  9.10194940e-05 -7.94931198e-04 -5.88351628e-04 -3.01278720e-04
 -9.89930413e-05 -1.64962024e-04 -7.17298884e-04  2.52210913e-04
 -1.42217369e-03 -8.89319344e-04 -1.32362475e-03  7.08994921e-04
 -1.74209083e-04 -8.65894690e-05  1.16134423e-03  1.29958280e-04
 -1.56185095e-04 -2.46044481e-04 -1.45793631e-04  1.86429679e-05
 -4.73591674e-04  3.71811213e-04 -4.96427601e-05 -9.13343829e-05
  5.38071909e-04 -3.15249868e-04 -4.82891075e-04  1.81385985e-05
  5.75820566e-04 -4.91641928e-04  6.30272552e-05 -5.44745242e-04
 -5.45830844e-05 -3.74928408e-04  1.80038187e-05  1.89921644e-04
  1.17743271e-03  1.57566596e-04  8.35542378e-05 -8.42126436e-04
  5.62852807e-03  1.11346766e-02 -1.35346400e-02  4.81259543e-03
  4.62292368e-03 -2.50159553e-03  4.98201640e-04  2.37800251e-03
 -1.28444924e-03  5.17988228e-04  1.76840182e-03  2.86263181e-04
  5.17085253e-04  1.98168855e-04  6.53694849e-04  1.84516457e-03
  1.22092461e-04 -2.75944039e-04  6.61229016e-04 -4.67981154e-04
  3.68354551e-04  1.24578393e-04  5.58611646e-05 -4.64505138e-04
  7.64932702e-05  1.65143429e-05  2.19067893e-04 -6.98881631e-05
 -1.64250989e-04  4.42157907e-05  6.18229329e-04 -2.37534172e-04
 -2.83695379e-04  3.17724748e-03 -8.56228452e-03  1.00323127e-03
  1.20430323e-03 -1.83112978e-03  6.55418320e-04  9.03734821e-04
 -9.73357761e-04 -3.70721566e-04  1.06406363e-03  9.42019687e-04
  1.38036150e-04 -9.39171441e-05  5.53966674e-06  9.26783105e-05
  2.31978265e-05 -3.14853096e-04  1.03428665e-05  3.90974252e-04
  2.94272846e-04  3.51329450e-04  3.48858710e-04  5.28843491e-04
  5.81214088e-04 -1.90769730e-04  1.45373866e-04 -2.55321909e-04
 -2.23931085e-04  4.16083785e-05 -3.25382076e-04 -3.98270669e-04]","[ 2.42306432e-03  3.23433382e-03  7.56851863e-04 -6.42109313e-04
  1.23134814e-03 -2.18178524e-04 -5.69049676e-04 -5.10198995e-04
 -3.47544992e-04 -1.00570591e-03  3.49011389e-04 -2.88260053e-04
 -3.57187644e-04  9.97962197e-04  6.89887383e-05  1.71739637e-04
  2.60927394e-04  1.15070620e-03 -2.31265149e-04  9.29112080e-04
  1.68190323e-04 -2.10074824e-04  2.69370357e-04  3.16960184e-04
  1.15203569e-04  2.28956080e-04  5.29098907e-04  9.33829142e-05
  9.36238735e-04  2.28995777e-05  1.75611902e-04 -3.55816155e-04
 -2.61859532e-04 -3.55419907e-04  9.12834774e-04 -1.19959889e-03
  8.10355705e-05 -1.29117980e-05 -1.19320035e-03  1.92541949e-04
 -1.79196344e-04 -5.18815068e-04  6.62181526e-04  6.40454236e-04
  2.86791532e-04 -2.19812762e-04  5.08804478e-05  4.11464600e-04
  2.01690360e-04  1.79720373e-04  9.44873784e-04  5.18108893e-04
 -2.97459628e-05  5.31825412e-04  8.79831205e-05  2.52656901e-06
  6.57589757e-04 -5.28922770e-04  5.12776023e-06 -3.89112509e-04
 -6.31545845e-06  1.57279283e-04  8.20301415e-04  1.73691442e-04
  3.94049147e-03  7.95478281e-03 -4.49297280e-04 -2.68460857e-03
  2.30942969e-03 -1.49328017e-03 -4.71884297e-04  1.20043592e-03
 -2.57363863e-04 -3.80971003e-03  1.10890856e-03 -3.06447328e-05
 -2.24275282e-03 -5.64539107e-04  6.94248651e-04 -8.11761245e-04
 -8.38038221e-04  6.32218784e-04  7.79861875e-05 -1.10828201e-03
  3.49123264e-04  7.64080673e-04 -7.77406036e-04 -2.64454371e-04
 -4.54805471e-04  3.52881325e-04 -6.04554720e-04 -3.49869602e-04
  7.83337222e-04  4.58988361e-05 -1.98392634e-04 -8.87864226e-05
  6.38407422e-03  3.16663831e-03  2.28418130e-03 -1.70389307e-03
  2.61284236e-04  1.64826924e-05 -1.02177262e-04  7.67038000e-05
  1.21586362e-03 -1.82185159e-03  2.02872761e-04  3.07460781e-04
 -6.89163571e-04  3.56847158e-04  5.16104803e-04  1.43026664e-05
 -1.42682096e-04  6.47881825e-06  1.09294335e-04 -7.38216739e-04
 -5.12555067e-04 -1.63095814e-04 -3.49689508e-04  2.05325981e-04
 -3.48060334e-04  4.80123381e-05 -2.16489861e-04 -1.08846543e-04
  1.53853354e-04  3.73843621e-04  7.29698513e-07 -7.90743288e-05]",,236424,audio/signals_f,,
0.0,0.0,,5,,,,,,0.0,236426,geometry/pose_raw,74.41790771484375,0.0
0.0,0.0,,6,,,,,,0.0,236432,geometry/pose_raw,74.41920471191406,0.0
0.0,0.0,,7,,,,,,0.0,236443,geometry/pose_raw,74.42049407958984,0.0
0.0,0.0,,8,,,,,,0.0,236455,geometry/pose_raw,74.41973876953125,0.0
0.0,0.0,,9,,,,,,0.0,236465,geometry/pose_raw,74.4195556640625,0.0
0.0,0.0,,10,,,,,,0.0,236472,geometry/pose_raw,74.41912078857422,0.0
0.0,0.0,,11,,,,,,0.0,236482,geometry/pose_raw,74.41830444335938,0.0
0.0,0.0,,12,,,,,,0.0,236494,geometry/pose_raw,74.41710662841797,0.0
0.0,0.0,,13,,,,,,0.0,236511,geometry/pose_raw,74.41703033447266,0.0
0.0,0.0,,14,,,,,,0.0,236517,geometry/pose_raw,74.41705322265625,0.0
0.0,0.0,,15,,,,,,0.0,236524,geometry/pose_raw,74.41545104980469,0.0
0.0,0.0,,16,,,,,,0.0,236532,geometry/pose_raw,74.41522979736328,0.0
