dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,21729,geometry/pose_raw,71.90921783447266,0.0
0.0,0.0,,1,,,,,,0.0,21737,geometry/pose_raw,71.90957641601562,0.0
0.0,0.0,,2,,,,,,0.0,21748,geometry/pose_raw,71.908447265625,0.0
0.0,0.0,,3,,,,,,0.0,21757,geometry/pose_raw,71.90799713134766,0.0
0.0,0.0,,4,,,,,,0.0,21767,geometry/pose_raw,71.90701293945312,0.0
,,"[  375   812  1218  1656  2093  2500  2937  3343  3781  4218  4625  5062
  5500  5906  6343  6750  7187  7625  8031  8468  8906  9312  9750 10156
 10593 11031 11437 11875 12312 12718 13156 13562]",5,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 2.36376058e-04  2.57978938e-03 -2.46157317e-04 -1.24227197e-03
 -1.20745535e-05 -3.47274909e-04 -2.09288686e-04 -8.32610007e-04
  4.82734351e-04  6.06322603e-04 -3.01722437e-04 -4.91735991e-05
  2.76036182e-04  9.06801317e-04 -8.38562337e-05 -2.81714718e-04
 -2.46490272e-05  1.66247846e-04 -3.25515197e-04  3.12649354e-04
 -7.02404068e-04  1.66108861e-04  2.12537372e-04 -1.99979055e-04
 -2.69909709e-04 -3.29536269e-05 -2.59260036e-04 -1.39311043e-04
 -2.87622563e-04  9.41924955e-05 -4.08757653e-04  3.83780920e-04
 -2.61914637e-03  1.81868230e-03 -1.17085851e-03  4.19118267e-04
  8.10891070e-05  1.13730108e-04 -7.07852247e-04  5.45650721e-04
  3.88712942e-04 -2.13354477e-04 -6.96895295e-05  9.48543719e-04
 -8.64292087e-05 -5.59471548e-04 -4.56295420e-05 -1.06438572e-04
 -6.20424747e-04 -4.84602759e-04 -3.42569576e-04 -5.11156744e-04
  2.52211757e-05 -3.61551851e-04 -3.83247156e-04 -1.35105380e-04
  7.55366171e-04 -1.63839839e-04 -9.10357121e-05 -2.46325508e-04
 -3.48802772e-04 -6.13248616e-04 -2.11011298e-04  3.86664527e-04
  6.33608783e-03  4.21310822e-03 -8.44228198e-05 -5.37662208e-03
 -2.83866352e-03 -1.36293273e-03 -2.37424363e-04 -2.01830990e-03
 -5.58684056e-04  1.81275303e-03 -3.39340651e-04 -6.27873698e-04
  1.00609683e-03 -4.39288531e-04 -3.53997748e-04  3.74344585e-04
  4.15787683e-04 -6.03453664e-04  9.24770604e-04 -7.63249118e-04
  1.43610334e-04  1.11270475e-03  1.94273409e-04 -6.40858198e-04
 -9.61255340e-04 -6.83714461e-04  6.52322429e-04  4.43271827e-04
  5.41899295e-04  3.62755236e-06 -3.02554690e-04  5.38663626e-05
  6.64300926e-04  3.18257045e-03 -9.32502153e-05 -1.00107177e-03
 -1.10629050e-03 -5.65036753e-05  5.64162212e-04 -1.26453675e-03
 -1.18980615e-03 -3.95084062e-04 -3.89057910e-04 -4.60023643e-04
 -7.19123636e-04  4.10391949e-04 -4.11961111e-04 -1.70945917e-04
 -1.86089019e-04  1.24605111e-04  2.54128361e-04 -6.08712835e-05
  4.10526118e-04 -4.84563207e-04 -6.99750672e-04 -1.94373803e-04
  4.12110647e-04  3.87550419e-04 -4.62390199e-05  6.13668060e-04
  1.10520096e-03  8.51296209e-05 -1.20065204e-04  6.87923399e-04]","[ 4.97517991e-04  1.84113625e-04 -5.09476988e-03 -8.44899565e-04
  3.58964753e-04  6.24155335e-04 -2.21201248e-04 -1.02484162e-04
 -7.40744726e-05 -7.32668093e-04  2.17955981e-04 -6.03149761e-04
 -4.36536036e-04 -5.21818118e-04  1.47965387e-04 -5.40446024e-04
  2.96785020e-05  1.34552480e-04  9.75539297e-06 -3.26293084e-05
  3.48861184e-04  1.64706027e-04  4.08274733e-04 -2.09939448e-04
  4.19021468e-04  4.19328222e-04 -1.45089347e-04  5.24947769e-04
  4.25570906e-04  9.10730334e-04  7.14972382e-04 -5.73698999e-05
  2.46501807e-03  3.60179576e-04 -6.38113590e-04 -6.84579718e-04
 -3.40262573e-04  5.82205597e-04 -1.95410918e-04 -5.70213189e-04
 -4.01299039e-05 -7.90460152e-04  2.69160046e-06  4.85780009e-04
 -2.54801416e-04  1.23140082e-04  1.12566886e-04  4.04398830e-04
  1.01136975e-05 -5.34555060e-04  5.31485275e-05  7.69435937e-05
 -2.00665323e-04  1.49396757e-04 -3.71578702e-04  2.96570390e-04
  2.66061164e-04 -2.68221047e-04  4.05159604e-04  7.70798186e-04
 -1.76662797e-04 -2.37122164e-04  3.13013588e-04 -2.57972279e-04
 -3.20975017e-03  4.64503508e-04 -1.62676610e-02 -8.54866812e-05
 -2.39674933e-03  2.43110629e-03  8.82115273e-04 -5.99628373e-04
 -1.09459006e-03 -1.73589564e-03 -1.23346935e-03 -1.95963844e-03
 -2.15613656e-03 -3.16147052e-04 -4.43796423e-04 -2.85784918e-05
  4.77556576e-04  5.99132909e-05  3.13602970e-04 -5.00005786e-04
  1.95538683e-04  6.94359187e-07 -8.44813883e-04  8.89869407e-04
 -2.05148972e-05 -2.82016379e-04 -2.89675227e-04 -5.25323092e-04
 -8.46399926e-04 -1.99574264e-04  4.87796235e-04 -3.83476669e-04
  2.35070847e-03 -8.81843967e-04 -5.94364852e-03  1.12709845e-03
 -9.70578752e-04  1.66065642e-03  6.09713432e-04 -4.20447352e-04
 -1.35313335e-03 -6.20628562e-05 -2.67208699e-04 -1.24454731e-04
 -7.49544299e-04 -8.75660553e-05 -1.45779588e-04 -6.30608629e-05
 -5.09194972e-04  7.14005961e-04  9.56991222e-04 -4.39881347e-04
 -1.68442872e-04 -4.55955684e-04 -3.04047804e-04 -2.01619623e-04
  4.04096849e-04 -4.60669631e-04 -7.78656569e-04  4.78368776e-04
  3.86703934e-04 -2.48682627e-04 -1.54707304e-05  3.05202702e-04]",,21775,audio/signals_f,,
0.0,0.0,,6,,,,,,0.0,21789,geometry/pose_raw,71.90644073486328,0.0
0.0,0.0,,7,,,,,,0.0,21795,geometry/pose_raw,71.9059066772461,0.0
0.0,0.0,,8,,,,,,0.0,21800,geometry/pose_raw,71.90745544433594,0.0
0.0,0.0,,9,,,,,,0.0,21807,geometry/pose_raw,71.9072494506836,0.0
