dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,447603,geometry/pose_raw,76.60045623779297,0.0
0.0,0.0,,1,,,,,,0.0,447612,geometry/pose_raw,76.59967803955078,0.0
0.0,0.0,,2,,,,,,0.0,447623,geometry/pose_raw,76.59906768798828,0.0
0.0,0.0,,3,,,,,,0.0,447643,geometry/pose_raw,76.59970092773438,0.0
0.0,0.0,,4,,,,,,0.0,447649,geometry/pose_raw,76.59834289550781,0.0
0.0,0.0,,5,,,,,,0.0,447656,geometry/pose_raw,76.59940338134766,0.0
0.0,0.0,,6,,,,,,0.0,447662,geometry/pose_raw,76.59942626953125,0.0
0.0,0.0,,7,,,,,,0.0,447673,geometry/pose_raw,76.59901428222656,0.0
0.0,0.0,,8,,,,,,0.0,447683,geometry/pose_raw,76.59929656982422,0.0
0.0,0.0,,9,,,,,,0.0,447692,geometry/pose_raw,76.59939575195312,0.0
,,"[1312 1343 1250 1281  437  468  906 1093  625 1125 1218  375  500  875
 1375  406 2625 1812  687 1187 2187  750 1437  843  656  937  531 1781
  968 1593 1000 1062]",10,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-0.00739924  0.0013094   0.00582656 -0.00493386  0.00728527  0.0025593
  0.0025287   0.00356911 -0.00335425 -0.00048189 -0.00372963 -0.00083176
 -0.0050166  -0.00144382  0.00192995 -0.00177631  0.00257965  0.00361168
 -0.00233761 -0.00303342  0.00364098 -0.00363037  0.00100881 -0.00146533
 -0.00218752  0.00265146 -0.00227806 -0.00255657 -0.00280572 -0.00199912
  0.00279458 -0.00112296 -0.00042509 -0.00011507  0.00030194 -0.00047464
 -0.00140405 -0.00071166  0.00095683  0.00104183 -0.0004308  -0.00054694
 -0.00033873 -0.00122629  0.0010441   0.00051387  0.00042307 -0.00052382
  0.00044755 -0.00080085 -0.00036638 -0.00037088  0.00012561 -0.00031689
  0.00025635 -0.00080262 -0.00064101  0.00121828 -0.0019035  -0.00069347
  0.00207419 -0.00122452  0.00023725  0.00050106 -0.02338323 -0.00153629
  0.01792939 -0.01632614  0.01504023  0.00775511  0.00299288  0.00997814
 -0.00963121  0.00304693 -0.00878861 -0.00999842 -0.00803695 -0.006558
  0.00602816 -0.00779057  0.0072231   0.00876452 -0.00230088 -0.00926976
  0.0084841  -0.00885747 -0.00145386 -0.00433535 -0.00819165  0.00562309
 -0.00496022 -0.00534084 -0.00409835 -0.00295558  0.00743861 -0.00509441
 -0.0108191   0.00088236  0.00826617 -0.00537465  0.00877079  0.00493523
  0.00322347  0.00634384 -0.00572357  0.00028498 -0.00182898  0.00092695
 -0.00792731 -0.0005678   0.00566792 -0.00334284  0.00237521  0.003765
 -0.00164199 -0.00227821  0.0029871  -0.00448286  0.00118954 -0.0020561
 -0.0031856   0.00235583 -0.00334725 -0.00152209 -0.00306781 -0.00141408
  0.00287525 -0.00200075]","[-3.8135503e-03  6.4962017e-03 -5.0756428e-04  3.0606461e-03
  8.6365920e-04  4.1593378e-03  2.5693225e-03  1.9994597e-03
 -3.0588077e-03 -3.2087895e-03 -2.0893861e-03  3.6211568e-03
  2.4372218e-03  2.8857500e-03  2.2640743e-03 -1.9866256e-03
 -1.9775082e-03  3.8202951e-04 -3.0659591e-03  2.5748096e-03
 -1.9635023e-03 -6.0604810e-04  2.0680721e-03 -2.6012058e-03
 -2.8132512e-03 -2.0754328e-03 -2.6999882e-03 -2.0284089e-03
 -1.4328032e-03 -1.4285628e-03  1.1144050e-03 -1.5237564e-03
  7.4119761e-04  7.9496868e-04 -2.0927293e-04 -6.1442843e-05
  4.5633383e-04  6.6099496e-04  9.4426482e-04 -1.6144909e-04
  5.1328063e-04  1.8146278e-04 -1.3811409e-04 -1.3405773e-03
  4.3388043e-04  4.9333728e-04 -4.5575981e-04  7.1843481e-04
 -1.1894612e-05  2.2406469e-04  1.3714022e-04  6.4910110e-04
 -6.8179239e-04  3.7414057e-04  1.9485811e-03  2.0157164e-03
 -2.7679064e-04  2.6053330e-04 -9.1612412e-05 -1.2646259e-03
  1.8342855e-04 -3.2913213e-04  2.1549143e-04  1.4818917e-04
 -1.0064796e-02  2.2776056e-02  2.0713650e-04  6.6374326e-03
 -1.4889438e-03  1.1769058e-02  1.2421470e-02  6.2763058e-03
 -3.8445499e-03 -9.6801193e-03 -8.6048935e-03  7.1606650e-03
  2.7637952e-03  8.1424154e-03  6.9508972e-03 -3.6676975e-03
 -6.4279642e-03  1.4336701e-03 -9.7105112e-03  3.5979983e-03
 -2.5307285e-03 -1.9925341e-03  8.3978279e-03 -4.7374014e-03
 -3.3388948e-03 -4.6748174e-03 -6.7045977e-03 -4.6399413e-03
 -5.0735231e-03 -4.4451957e-03  1.0618877e-03 -5.6697652e-03
 -2.5431465e-03  1.0993368e-02 -1.8540102e-03  3.7733959e-03
 -1.4046878e-03  6.5016234e-03  6.3458057e-03  2.1647208e-03
 -1.5072636e-03 -3.4952401e-03 -1.0682684e-04 -1.1204417e-04
  1.3034393e-03  5.3468146e-03  3.8683035e-03 -1.7401002e-03
 -4.8551904e-03 -4.9907743e-04 -3.9122864e-03  2.2693409e-03
 -3.5941130e-03 -4.2250901e-04  4.9381740e-03 -1.7199412e-03
  1.1858554e-03 -3.6479845e-03 -1.7895591e-03 -1.3533349e-03
 -1.0986450e-03 -1.9009381e-03 -3.0944435e-04 -2.1249854e-03]",,447701,audio/signals_f,,
0.0,0.0,,11,,,,,,0.0,447703,geometry/pose_raw,76.59862518310547,0.0
0.0,0.0,,12,,,,,,0.0,447712,geometry/pose_raw,76.59908294677734,0.0
0.0,0.0,,13,,,,,,0.0,447722,geometry/pose_raw,76.60045623779297,0.0
0.0,0.0,,14,,,,,,0.0,447735,geometry/pose_raw,76.6006088256836,0.0
0.0,0.0,,15,,,,,,0.0,447744,geometry/pose_raw,76.6016616821289,0.0
0.0,0.0,,16,,,,,,0.0,447752,geometry/pose_raw,76.60221862792969,0.0
0.0,0.0,,17,,,,,,0.0,447769,geometry/pose_raw,76.6032943725586,0.0
0.0,0.0,,18,,,,,,0.0,447777,geometry/pose_raw,76.60196685791016,0.0
0.0,0.0,,19,,,,,,0.0,447783,geometry/pose_raw,76.6017837524414,0.0
0.0,0.0,,20,,,,,,0.0,447791,geometry/pose_raw,76.60250091552734,0.0
0.0,0.0,,21,,,,,,0.0,447803,geometry/pose_raw,76.60295867919922,0.0
0.0,0.0,,22,,,,,,0.0,447812,geometry/pose_raw,76.60250091552734,0.0
0.0,0.0,,23,,,,,,0.0,447825,geometry/pose_raw,76.60140228271484,0.0
0.0,0.0,,24,,,,,,0.0,447835,geometry/pose_raw,76.60150146484375,0.0
0.0,0.0,,25,,,,,,0.0,447843,geometry/pose_raw,76.60102081298828,0.0
0.0,0.0,,26,,,,,,0.0,447852,geometry/pose_raw,76.60143280029297,0.0
0.0,0.0,,27,,,,,,0.0,447863,geometry/pose_raw,76.60260772705078,0.0
0.0,0.0,,28,,,,,,0.0,447876,geometry/pose_raw,76.60301971435547,0.0
0.0,0.0,,29,,,,,,0.0,447882,geometry/pose_raw,76.60367584228516,0.0
0.0,0.0,,30,,,,,,0.0,447898,geometry/pose_raw,76.60458374023438,0.0
0.0,0.0,,31,,,,,,0.0,447906,geometry/pose_raw,76.6048812866211,0.0
0.0,0.0,,32,,,,,,0.0,447911,geometry/pose_raw,76.60501098632812,0.0
0.0,0.0,,33,,,,,,0.0,447921,geometry/pose_raw,76.60513305664062,0.0
0.0,0.0,,34,,,,,,0.0,447933,geometry/pose_raw,76.60430908203125,0.0
0.0,0.0,,35,,,,,,0.0,447943,geometry/pose_raw,76.6050796508789,0.0
0.0,0.0,,36,,,,,,0.0,447953,geometry/pose_raw,76.60430145263672,0.0
0.0,0.0,,37,,,,,,0.0,447963,geometry/pose_raw,76.60477447509766,0.0
0.0,0.0,,38,,,,,,0.0,447972,geometry/pose_raw,76.60455322265625,0.0
0.0,0.0,,39,,,,,,0.0,447982,geometry/pose_raw,76.60432434082031,0.0
0.0,0.0,,40,,,,,,0.0,447992,geometry/pose_raw,76.60580444335938,0.0
0.0,0.0,,41,,,,,,0.0,448001,geometry/pose_raw,76.60517883300781,0.0
0.0,0.0,,42,,,,,,0.0,448014,geometry/pose_raw,76.60590362548828,0.0
0.0,0.0,,43,,,,,,0.0,448032,geometry/pose_raw,76.60684204101562,0.0
0.0,0.0,,44,,,,,,0.0,448038,geometry/pose_raw,76.60603332519531,0.0
0.0,0.0,,45,,,,,,0.0,448045,geometry/pose_raw,76.60466766357422,0.0
0.0,0.0,,46,,,,,,0.0,448051,geometry/pose_raw,76.60489654541016,0.0
,,"[1281 1343 1406 1375  593  656 1437 1468  531 1312  687  375  468  625
  562 1218 1062 1187 2718 1093  875 2687  937 1000  906  781  812 1500
  437 1156 2187 2625]",47,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-0.00739924  0.0013094   0.00582656 -0.00493386  0.00728527  0.0025593
  0.0025287   0.00356911 -0.00335425 -0.00048189 -0.00372963 -0.00083176
 -0.0050166  -0.00144382  0.00192995 -0.00177631  0.00257965  0.00361168
 -0.00233761 -0.00303342  0.00364098 -0.00363037  0.00100881 -0.00146533
 -0.00218752  0.00265146 -0.00227806 -0.00255657 -0.00280572 -0.00199912
  0.00279458 -0.00112296 -0.00042509 -0.00011507  0.00030194 -0.00047464
 -0.00140405 -0.00071166  0.00095683  0.00104183 -0.0004308  -0.00054694
 -0.00033873 -0.00122629  0.0010441   0.00051387  0.00042307 -0.00052382
  0.00044755 -0.00080085 -0.00036638 -0.00037088  0.00012561 -0.00031689
  0.00025635 -0.00080262 -0.00064101  0.00121828 -0.0019035  -0.00069347
  0.00207419 -0.00122452  0.00023725  0.00050106 -0.02338323 -0.00153629
  0.01792939 -0.01632614  0.01504023  0.00775511  0.00299288  0.00997814
 -0.00963121  0.00304693 -0.00878861 -0.00999842 -0.00803695 -0.006558
  0.00602816 -0.00779057  0.0072231   0.00876452 -0.00230088 -0.00926976
  0.0084841  -0.00885747 -0.00145386 -0.00433535 -0.00819165  0.00562309
 -0.00496022 -0.00534084 -0.00409835 -0.00295558  0.00743861 -0.00509441
 -0.0108191   0.00088236  0.00826617 -0.00537465  0.00877079  0.00493523
  0.00322347  0.00634384 -0.00572357  0.00028498 -0.00182898  0.00092695
 -0.00792731 -0.0005678   0.00566792 -0.00334284  0.00237521  0.003765
 -0.00164199 -0.00227821  0.0029871  -0.00448286  0.00118954 -0.0020561
 -0.0031856   0.00235583 -0.00334725 -0.00152209 -0.00306781 -0.00141408
  0.00287525 -0.00200075]","[-3.8135503e-03  6.4962017e-03 -5.0756428e-04  3.0606461e-03
  8.6365920e-04  4.1593378e-03  2.5693225e-03  1.9994597e-03
 -3.0588077e-03 -3.2087895e-03 -2.0893861e-03  3.6211568e-03
  2.4372218e-03  2.8857500e-03  2.2640743e-03 -1.9866256e-03
 -1.9775082e-03  3.8202951e-04 -3.0659591e-03  2.5748096e-03
 -1.9635023e-03 -6.0604810e-04  2.0680721e-03 -2.6012058e-03
 -2.8132512e-03 -2.0754328e-03 -2.6999882e-03 -2.0284089e-03
 -1.4328032e-03 -1.4285628e-03  1.1144050e-03 -1.5237564e-03
  7.4119761e-04  7.9496868e-04 -2.0927293e-04 -6.1442843e-05
  4.5633383e-04  6.6099496e-04  9.4426482e-04 -1.6144909e-04
  5.1328063e-04  1.8146278e-04 -1.3811409e-04 -1.3405773e-03
  4.3388043e-04  4.9333728e-04 -4.5575981e-04  7.1843481e-04
 -1.1894612e-05  2.2406469e-04  1.3714022e-04  6.4910110e-04
 -6.8179239e-04  3.7414057e-04  1.9485811e-03  2.0157164e-03
 -2.7679064e-04  2.6053330e-04 -9.1612412e-05 -1.2646259e-03
  1.8342855e-04 -3.2913213e-04  2.1549143e-04  1.4818917e-04
 -1.0064796e-02  2.2776056e-02  2.0713650e-04  6.6374326e-03
 -1.4889438e-03  1.1769058e-02  1.2421470e-02  6.2763058e-03
 -3.8445499e-03 -9.6801193e-03 -8.6048935e-03  7.1606650e-03
  2.7637952e-03  8.1424154e-03  6.9508972e-03 -3.6676975e-03
 -6.4279642e-03  1.4336701e-03 -9.7105112e-03  3.5979983e-03
 -2.5307285e-03 -1.9925341e-03  8.3978279e-03 -4.7374014e-03
 -3.3388948e-03 -4.6748174e-03 -6.7045977e-03 -4.6399413e-03
 -5.0735231e-03 -4.4451957e-03  1.0618877e-03 -5.6697652e-03
 -2.5431465e-03  1.0993368e-02 -1.8540102e-03  3.7733959e-03
 -1.4046878e-03  6.5016234e-03  6.3458057e-03  2.1647208e-03
 -1.5072636e-03 -3.4952401e-03 -1.0682684e-04 -1.1204417e-04
  1.3034393e-03  5.3468146e-03  3.8683035e-03 -1.7401002e-03
 -4.8551904e-03 -4.9907743e-04 -3.9122864e-03  2.2693409e-03
 -3.5941130e-03 -4.2250901e-04  4.9381740e-03 -1.7199412e-03
  1.1858554e-03 -3.6479845e-03 -1.7895591e-03 -1.3533349e-03
 -1.0986450e-03 -1.9009381e-03 -3.0944435e-04 -2.1249854e-03]",,448056,audio/signals_f,,
0.0,0.0,,48,,,,,,0.0,448062,geometry/pose_raw,76.60467529296875,0.0
0.0,0.0,,49,,,,,,0.0,448073,geometry/pose_raw,76.605712890625,0.0
0.0,0.0,,50,,,,,,0.0,448083,geometry/pose_raw,76.60598754882812,0.0
0.0,0.0,,51,,,,,,0.0,448091,geometry/pose_raw,76.60625457763672,0.0
0.0,0.0,,52,,,,,,0.0,448101,geometry/pose_raw,76.60669708251953,0.0
0.0,0.0,,53,,,,,,0.0,448112,geometry/pose_raw,76.60612487792969,0.0
0.0,0.0,,54,,,,,,0.0,448121,geometry/pose_raw,76.60640716552734,0.0
0.0,0.0,,55,,,,,,0.0,448134,geometry/pose_raw,76.60568237304688,0.0
0.0,0.0,,56,,,,,,0.0,448143,geometry/pose_raw,76.60684204101562,0.0
0.0,0.0,,57,,,,,,0.0,448164,geometry/pose_raw,76.60601806640625,0.0
0.0,0.0,,58,,,,,,0.0,448172,geometry/pose_raw,76.60618591308594,0.0
