dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,21178,geometry/pose_raw,-10.264909744262695,0.0
0.0,0.0,,1,,,,,,0.0,21184,geometry/pose_raw,-10.264253616333008,0.0
0.0,0.0,,2,,,,,,0.0,21192,geometry/pose_raw,-10.264947891235352,0.0
0.0,0.0,,3,,,,,,0.0,21201,geometry/pose_raw,-10.265982627868652,0.0
0.0,0.0,,4,,,,,,0.0,21213,geometry/pose_raw,-10.265226364135742,0.0
0.0,0.0,,5,,,,,,0.0,21222,geometry/pose_raw,-10.265203475952148,0.0
0.0,0.0,,6,,,,,,0.0,21232,geometry/pose_raw,-10.265491485595703,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",7,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-2.54515442e-03  2.30437540e-03 -1.00308447e-03 -6.17771526e-04
 -1.24079321e-04 -6.30905037e-04 -2.10121303e-04  3.71320726e-04
 -9.26511653e-04 -3.16305435e-04 -9.97443800e-04  5.53597696e-04
  1.83947850e-06 -2.92469980e-04  5.05659089e-04 -1.89295053e-04
 -1.93132189e-04 -6.69438741e-04 -2.74559337e-04  6.42454543e-04
  7.52633088e-04 -4.89762344e-04  1.98797599e-04  1.17443378e-04
  1.56529379e-04  3.07602400e-04 -8.78076971e-05  6.04846748e-04
  1.63438890e-04  7.50332954e-04 -1.28084386e-04  4.24927654e-04
 -3.76886397e-04  8.31609417e-04  3.82947241e-04 -3.78755685e-05
 -3.29732691e-04 -2.53870559e-04 -9.02894390e-05 -3.60971026e-05
 -1.19590921e-04  4.35918424e-04  4.78814880e-04  5.59261767e-04
  5.37432279e-05  6.52531220e-04 -5.09125472e-04 -1.01606078e-04
  2.41420770e-04  6.72695867e-04 -1.41927754e-04  3.91310023e-04
 -2.75038939e-04  1.28043815e-04  5.77614177e-04  7.97839602e-04
 -2.44564202e-04 -2.94592232e-04  9.72600974e-05 -1.36427057e-04
  2.03392774e-04  2.20335060e-04  1.49469735e-04 -3.67237051e-04
  4.99128504e-03 -1.13177812e-04 -8.62204470e-03 -6.60330697e-05
 -3.87590402e-03 -1.06893328e-03 -1.89391163e-03  9.57098673e-05
 -3.64634069e-03 -2.00177846e-03 -3.03364592e-04  2.23604613e-04
 -4.47783736e-04 -5.72979799e-04  2.03836127e-03  8.87486152e-04
  5.99208870e-04 -5.93037345e-04 -4.95467917e-04 -1.04355766e-03
  8.27847223e-04 -5.08603582e-04 -8.39183704e-05 -2.79084197e-05
 -3.51661205e-04  1.88689271e-04 -3.57170939e-06  8.37283151e-04
 -4.10766312e-04 -1.83910452e-04  1.42022414e-04 -5.15075517e-04
  2.89963908e-03  1.92201650e-03 -4.40821284e-03  2.52249913e-04
 -1.83236343e-03 -2.22063391e-05 -1.00396469e-03 -3.08613409e-04
 -4.79567068e-04  5.99053805e-04  1.15660194e-04  2.56177736e-05
 -1.81783020e-04  6.58842037e-05  8.32558610e-04 -2.83669942e-04
 -2.75187485e-05 -3.50035232e-04  1.69681938e-04  2.90804201e-06
 -5.09492638e-05  5.65381837e-04 -5.01705217e-04  1.29538967e-05
  4.15834482e-04  1.68283950e-04 -4.24793281e-04 -1.45052763e-06
  2.64576345e-04 -1.67405844e-04 -2.07566045e-04 -1.15809334e-03]","[-1.94834557e-03  2.36878637e-03 -1.07647909e-03 -9.76941898e-04
  3.82938393e-04  4.88527003e-04 -6.10787130e-04 -6.97192809e-05
  2.42421782e-04  1.19318604e-03  4.76560846e-04  3.23005079e-04
 -1.09908567e-03 -1.22430632e-04 -2.31948798e-04 -5.14716550e-04
 -2.76438455e-04 -2.06066310e-04  6.68597233e-04  5.42572670e-05
  4.98224108e-05  3.98592034e-04 -3.19437153e-04 -6.28955022e-04
  3.86996806e-04  7.80838367e-04  1.94173306e-04 -6.80118610e-05
  9.26047505e-06  2.80250504e-04 -1.60301293e-04  5.99778024e-04
 -1.98511174e-03  4.86622739e-04 -4.85258148e-04 -3.74990224e-04
 -5.40814508e-05  7.51616200e-04 -1.50617299e-04 -2.22834467e-04
  4.00289544e-04  2.21654278e-04  1.21469726e-04  1.95417961e-04
 -5.02622570e-04 -2.72103905e-04 -1.84095406e-04  3.61214989e-05
 -7.75095687e-05 -4.93055326e-04  5.28912176e-04  6.73394592e-04
  1.34249014e-04 -2.59771710e-04  7.91489001e-05 -9.96499788e-04
  1.38333562e-05  7.21259130e-06 -2.99582054e-04  9.23779880e-05
  8.09844641e-06  2.56187574e-04  2.97734950e-04  1.48828898e-04
 -5.83117222e-03  1.00563094e-02 -7.51640974e-03 -2.64026388e-03
 -5.16896835e-04  2.37664441e-03 -7.26727303e-04  2.73772457e-06
  9.62985796e-05  2.47219345e-03 -1.65327708e-03  8.70121759e-04
 -3.23462998e-04  8.47643591e-04  3.14418954e-04  1.18359691e-03
 -4.27888473e-04  6.48811227e-04 -3.94608651e-04 -4.44488571e-04
  5.20798028e-04 -8.56176193e-05 -1.74173183e-05  6.54268835e-04
  7.27286679e-04  5.74356091e-05  4.88206104e-04 -4.07278771e-04
 -1.06533596e-04  2.03752315e-05  9.57874508e-05 -3.98620876e-04
 -5.41250966e-03  6.29365351e-03 -1.93924736e-03 -1.79158087e-04
 -4.70479776e-04  2.38098484e-03 -6.14913530e-04 -1.64897676e-04
  7.33478111e-04  1.44638878e-03  3.40590632e-05  4.97341971e-05
  1.12624097e-04 -3.53296782e-05 -1.78769726e-04 -1.75930691e-04
  1.82723161e-04 -6.44610336e-05 -5.19138448e-05  6.46266155e-04
  8.75312617e-05 -5.45049697e-05 -3.67070548e-04 -5.23471215e-04
  7.47655868e-05  1.45936428e-04 -2.15147214e-04 -2.55898922e-05
  1.21649791e-04 -3.92553891e-04  1.69293213e-04 -1.78173505e-04]",,21234,audio/signals_f,,
0.0,0.0,,8,,,,,,0.0,21241,geometry/pose_raw,-10.26654052734375,0.0
0.0,0.0,,9,,,,,,0.0,21250,geometry/pose_raw,-10.266594886779785,0.0
