dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
-21589.0,-21589.0,,0,,,,,,0.0,14855,geometry/pose_raw,0.038071710616350174,252.0
,,"[  93  406  718 1015 1328 1640 1953 2265 2578 2875 3187 3500 3812 4125
 4421 4734 5046 5359 5671 5968 6281 6593 6906 7218 7531 7828 8140 8453
 8765 9078 9375 9687]",1,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-9.1270227e-03 -6.4192326e-03  1.9961668e-03 -1.2762704e-03
 -3.7269108e-04  8.6273643e-04  5.6981249e-04  1.4324253e-03
 -3.4964207e-04  4.6619092e-04 -1.1557540e-04  2.8697497e-05
  7.3865776e-05  6.2943815e-05 -7.3596078e-05  7.5950287e-04
  6.5667089e-04  5.2558968e-04 -2.9920295e-04 -5.1244861e-04
  2.6568829e-04  5.0991366e-04 -3.0630908e-04  1.2968051e-04
 -2.4592577e-05 -1.8765235e-04 -1.1771357e-04 -2.0587089e-04
 -4.9702212e-05 -3.7722121e-04  7.9976817e-05  4.5090247e-04
  2.8156231e-03 -1.9832984e-04 -2.5132825e-04 -5.0881295e-04
  6.6445500e-04 -6.7406858e-04  5.2222662e-05  2.4675828e-04
  1.5246491e-04 -4.2411484e-04  8.2311955e-05 -2.9797846e-04
 -2.4121391e-04  2.6026976e-04 -4.3419976e-04 -5.3548941e-04
 -7.8594931e-06 -2.7756803e-04  3.1429972e-04  3.1834445e-04
 -9.1373554e-04 -4.7283093e-04 -1.0383345e-04 -6.0585058e-05
  4.1688036e-06  1.3612492e-04  1.9656021e-04 -2.7241214e-04
  4.5258057e-06  5.2814628e-04  7.1618721e-05  2.0954700e-04
 -3.9084505e-02 -1.8027144e-02  9.6479375e-03 -6.2391767e-04
  2.3386299e-03  6.2635582e-04  1.8418716e-03  6.0421211e-04
 -1.8703580e-03  2.5609997e-04 -3.1537723e-04 -5.5039563e-05
 -9.5047071e-06  3.0792304e-04 -5.7640992e-04  3.8851568e-04
  6.7024404e-04  2.8635928e-04 -7.2677457e-04  4.0706765e-04
  2.5166807e-04  2.7628831e-04 -1.6143848e-04  2.1312154e-04
 -3.4633392e-04  9.6826014e-05  5.0356123e-04  2.4085082e-04
 -1.0654286e-04  1.1716346e-04 -3.6331418e-05  1.9056744e-04
 -5.7139439e-03 -9.9222101e-03  4.0298169e-03 -1.2033088e-03
  1.1408994e-03  4.9798564e-05  5.8429426e-04  5.6236517e-04
 -7.7861547e-04  6.5841043e-05  9.5088704e-05 -1.5912374e-04
 -5.3769036e-04  4.5362714e-04 -5.1225303e-04 -5.6512676e-05
 -6.9769699e-04  2.0113331e-04 -1.2437227e-04 -9.0556263e-05
  1.9194931e-04 -1.5406407e-05 -4.4394037e-04 -3.5215245e-04
 -8.4429957e-05  2.5639754e-05  2.5342120e-04  1.5592258e-04
 -7.3446520e-04  3.1124509e-05  3.0164400e-04  4.1903241e-04]","[-7.15725683e-03  6.09175488e-03 -1.98122044e-03 -2.11397652e-03
 -1.06972060e-04  3.38652462e-04 -4.19603137e-04 -2.55105842e-04
  2.36562308e-04  5.18678862e-04 -1.75435882e-04  1.47341518e-04
 -2.63625290e-04  4.81843948e-04  2.91873264e-04  1.52053573e-04
  5.52773708e-04 -1.11225578e-04 -2.88730371e-04  1.16843163e-04
 -6.42245053e-04 -8.38804553e-05  2.22661969e-04 -2.53099599e-04
  7.56515015e-04  6.80045341e-04  8.49744902e-05 -1.68490842e-05
  1.15262170e-04  3.42575426e-04  5.55114821e-05 -9.38529556e-05
 -1.71753811e-03  1.59210264e-04 -4.48903767e-04  1.89511848e-04
 -9.11986339e-04  7.06692517e-04 -7.63086835e-04 -1.64894183e-04
 -4.91097162e-04 -2.48558237e-04  1.61048374e-04  1.85202836e-04
  9.44724190e-04 -4.07121668e-04  4.68787213e-04  2.50207406e-04
 -9.42304832e-05 -3.10066767e-04  7.86772755e-04 -3.61418315e-05
  1.09903485e-04 -1.92083215e-04 -9.34269337e-05 -1.56976588e-04
  5.29048790e-04  3.30764015e-04 -2.26386517e-04  1.84903969e-04
  5.69960452e-04 -4.43547702e-04  2.77448620e-04  2.40967202e-04
  1.27897542e-02  1.11768488e-02 -1.29368925e-03 -3.29935364e-03
 -2.20073014e-03 -6.09271927e-04 -9.55247786e-04  9.16938807e-05
  5.49795514e-04  9.30968614e-04 -7.25212216e-04  6.97710144e-04
  2.25262353e-04  1.10231929e-04  4.27715131e-05 -3.48414818e-04
  7.44628545e-04  2.09565158e-04 -2.47588032e-04 -8.74904450e-04
 -6.03906738e-05  5.11971011e-04 -1.53211935e-04  5.86901442e-05
  7.05285231e-04 -6.00718253e-04  1.45263213e-04 -8.71722295e-05
  6.42409213e-05 -3.31172399e-04  2.58203043e-04 -2.91514414e-04
  3.72927473e-03  6.44801650e-03 -5.18745626e-04 -1.06061203e-03
 -1.27563579e-03 -4.28885047e-04 -1.22474879e-03 -6.35293429e-04
  6.84132916e-04  3.08151910e-04  6.24653883e-04 -2.44894822e-04
 -5.58829401e-04  2.65820068e-04 -1.45932485e-04  1.77335576e-04
 -2.06521727e-04 -2.49038072e-04 -1.02082908e-03 -4.72419284e-04
 -6.93510810e-05  3.97389449e-05  9.39072925e-04  1.24725490e-03
  5.49470249e-04 -2.26966236e-04  3.24320659e-04 -5.41090631e-05
 -4.60795825e-04 -2.10654849e-04 -4.43541503e-05  8.95371268e-05]",,14862,audio/signals_f,,
-1.0,-1.0,,2,,,,,,0.0,14869,geometry/pose_raw,0.042518239468336105,259.0
-21585.0,-21585.0,,3,,,,,,0.0,14883,geometry/pose_raw,0.04281678423285484,259.0
-21589.0,-21589.0,,4,,,,,,0.0,14890,geometry/pose_raw,0.042139824479818344,259.0
-21589.0,-1.0,,5,,,,,,0.0,14897,geometry/pose_raw,0.04153319448232651,259.0
-21589.0,-21589.0,,6,,,,,,0.0,14914,geometry/pose_raw,0.04063354805111885,259.0
-1.0,-21589.0,,7,,,,,,0.0,14928,geometry/pose_raw,0.040293414145708084,255.0
-1.0,-21589.0,,8,,,,,,0.0,14947,geometry/pose_raw,0.03947553411126137,255.0
-21589.0,-21589.0,,9,,,,,,0.0,14972,geometry/pose_raw,0.04120071977376938,255.0
