dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,419917,geometry/pose_raw,97.67243957519531,0.0
0.0,0.0,,1,,,,,,0.0,419926,geometry/pose_raw,97.67188262939453,0.0
0.0,0.0,,2,,,,,,0.0,419940,geometry/pose_raw,97.67230224609375,0.0
0.0,0.0,,3,,,,,,0.0,419948,geometry/pose_raw,97.67234802246094,0.0
,,"[234 250 187 218 359 265 343 203 281 375 296 390 484 453 406 312 328 421
 437 500 468 609 562 515 531 593 625 578 640 546 656 671]",4,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 8.62060674e-03  1.71692315e-02 -1.44994594e-02 -2.33664252e-02
 -1.30661130e-02 -3.02608195e-03  1.34197413e-04 -4.86903079e-03
  3.56788258e-03 -5.00763534e-03 -6.31794147e-03 -6.42371224e-03
 -5.52487001e-03 -3.38342652e-05  5.07940166e-03 -1.08846277e-02
 -1.20582723e-03  1.06128267e-04 -7.64320605e-04 -7.85507448e-03
  1.16821425e-03 -1.12446782e-04 -9.02278407e-04  1.40094780e-05
 -1.81148422e-03  1.87395408e-03 -6.17024722e-04 -2.12310976e-03
 -1.99164078e-03  3.24989925e-03 -2.67634145e-03 -1.15534791e-03
 -3.66105186e-03  1.10819319e-03 -1.60617044e-03  2.20553440e-04
 -9.18846403e-04  3.98501463e-04 -2.07056524e-03  2.13212086e-04
 -1.40827731e-04 -5.29413053e-04 -2.33656564e-03  2.37550726e-03
 -6.59165264e-04 -1.10789377e-03  2.13660067e-04  1.68392697e-04
 -1.69680128e-03  5.62379311e-04  2.17234017e-03 -6.86953892e-04
 -2.57383473e-03  3.93236551e-04 -2.17539724e-04 -1.19713170e-03
 -4.69500606e-04 -1.17061543e-03 -2.64634518e-03 -1.58461684e-03
 -1.21814141e-03  1.00066929e-04 -2.79325148e-04 -2.90821819e-03
  7.72868842e-03  1.38268955e-02 -1.46135865e-02 -1.45657174e-03
 -5.50203305e-03 -8.44170339e-03  2.01721732e-02 -1.18419295e-02
  1.44920284e-02 -1.62528493e-02 -7.23827351e-03 -3.00650136e-05
 -1.36102652e-02 -1.10354181e-02  1.45137971e-02 -3.48720554e-04
 -2.87755800e-04  1.07539736e-03 -5.86066023e-03 -1.53698912e-03
 -1.38709527e-02 -1.33457752e-02 -5.12542296e-03  2.14844267e-03
 -4.56987647e-03 -4.58714645e-03 -3.61957564e-03 -9.57741775e-03
 -6.34238450e-03  1.01756016e-02 -9.16198734e-03 -6.27192343e-03
 -1.30416647e-01 -4.79368865e-03  1.43031711e-02 -3.58207128e-03
  9.67694726e-03 -5.31775365e-03  9.46089684e-04 -1.69513188e-02
  8.72290134e-03 -8.10911786e-03 -5.04828524e-03 -3.74132115e-03
 -2.26310408e-03 -1.53946597e-03  6.79910416e-03 -4.89003072e-03
 -8.17942433e-03  2.57119723e-03  3.29917111e-03  1.80735125e-03
 -1.28153083e-03  4.58614202e-04 -1.02505763e-03  3.06137861e-03
  2.52715847e-03 -3.14023299e-03  8.48026481e-03 -1.04815653e-02
 -3.66997859e-03  3.23603605e-03 -2.90231803e-03 -1.24267850e-03]","[ 0.01131972 -0.00134981 -0.00098853  0.02488948  0.01427037 -0.00664135
 -0.00290901  0.00201901  0.00465208 -0.00088447  0.00362024  0.00684305
  0.00761275  0.00102657 -0.00230454  0.00323881 -0.00243807  0.00125809
  0.00878265  0.0008537  -0.00034076  0.00190133 -0.00379296  0.00429623
 -0.00032578  0.00331332  0.00051352  0.00128955 -0.00229124 -0.00146972
  0.0014615  -0.00025974  0.00132973 -0.00226106  0.00260775  0.00204909
  0.00129571 -0.00207508  0.00073707  0.0004348  -0.00050584 -0.00075929
  0.0020735   0.00117364 -0.00072081 -0.00070458 -0.00025249  0.00149376
  0.00267536 -0.00012993 -0.00222133  0.00170865 -0.00184742  0.00051641
  0.00117222  0.00047739 -0.00098282  0.00205144  0.00060057  0.00058564
  0.00132252 -0.00128542  0.00066128 -0.00058681 -0.00716933  0.01159811
 -0.00808154  0.01141859 -0.01134251 -0.03067435 -0.02133106 -0.00203267
  0.01452728 -0.00927991  0.01170378  0.01001474  0.01056013  0.01681365
 -0.00920155 -0.00092144 -0.01016449  0.00392471  0.00249572 -0.00060494
 -0.0042559  -0.00442195 -0.01322935  0.01346254 -0.00235934  0.01065469
  0.00176204  0.00335838 -0.00589147 -0.00795633  0.0063174  -0.0071382
 -0.06578594 -0.02228642 -0.05028776 -0.00166634 -0.00779256 -0.0117231
  0.00125515 -0.01525262  0.00495898 -0.00306745  0.01163926  0.00982639
  0.00584929  0.00284822 -0.00463116  0.00425832  0.00758135 -0.01701235
  0.00837454 -0.00036558 -0.00280272  0.00671261 -0.00579698  0.00564704
  0.01367177  0.00805431 -0.00443144  0.00240157 -0.00758642 -0.00471829
  0.00367233  0.00301928]",,419954,audio/signals_f,,
0.0,0.0,,5,,,,,,0.0,419959,geometry/pose_raw,97.67237091064453,0.0
0.0,0.0,,6,,,,,,0.0,419967,geometry/pose_raw,97.67315673828125,0.0
0.0,0.0,,7,,,,,,0.0,419977,geometry/pose_raw,97.67327117919922,0.0
0.0,0.0,,8,,,,,,0.0,419991,geometry/pose_raw,97.67234802246094,0.0
0.0,0.0,,9,,,,,,0.0,419997,geometry/pose_raw,97.67271423339844,0.0
0.0,0.0,,10,,,,,,0.0,420016,geometry/pose_raw,97.6729965209961,0.0
0.0,0.0,,11,,,,,,0.0,420022,geometry/pose_raw,97.67341613769531,0.0
0.0,0.0,,12,,,,,,0.0,420031,geometry/pose_raw,97.67347717285156,0.0
0.0,0.0,,13,,,,,,0.0,420041,geometry/pose_raw,97.67375946044922,0.0
0.0,0.0,,14,,,,,,0.0,420048,geometry/pose_raw,97.67355346679688,0.0
0.0,0.0,,15,,,,,,0.0,420057,geometry/pose_raw,97.67308807373047,0.0
0.0,0.0,,16,,,,,,0.0,420068,geometry/pose_raw,97.6739501953125,0.0
