dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,257761,geometry/pose_raw,-5.623495101928711,0.0
0.0,0.0,,1,,,,,,0.0,257768,geometry/pose_raw,-5.6247334480285645,0.0
0.0,0.0,,2,,,,,,0.0,257777,geometry/pose_raw,-5.625004291534424,0.0
0.0,0.0,,3,,,,,,0.0,257787,geometry/pose_raw,-5.625289440155029,0.0
0.0,0.0,,4,,,,,,0.0,257799,geometry/pose_raw,-5.62454891204834,0.0
0.0,0.0,,5,,,,,,0.0,257811,geometry/pose_raw,-5.625931262969971,0.0
,,"[ 515  546  562  453  406  484  437  187  312  265  328  843  687  578
  421  250  593  531  703 1062  343  625  640 1000  468  781 1078  296
  203  218  765  671]",6,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-7.8575080e-03  7.0001394e-03 -7.1748574e-03  4.9304422e-03
 -1.4658031e-04 -3.7617653e-03 -2.2444911e-03 -7.1113009e-04
  2.7604890e-04 -1.7433575e-03 -2.0951924e-03 -1.0354663e-03
  8.2640228e-04 -3.8108192e-04  3.1190682e-03  1.0548695e-03
  5.9834687e-04  3.4044010e-03  2.2515254e-03 -1.9046889e-03
  4.1683051e-03  1.9649176e-03  3.1233002e-03  2.8165558e-03
  3.7811966e-05  4.7690555e-04  2.3899961e-03 -2.1346395e-03
  2.6019136e-03  1.6672707e-03  1.5904596e-03 -5.7891844e-04
 -1.0659636e-03  2.1201598e-04 -8.1701111e-04  2.9291605e-04
 -1.6457045e-03 -7.8283460e-04 -7.6959503e-04  2.2567667e-03
 -8.5104874e-04 -3.1490338e-03 -9.3982107e-04  2.1128192e-04
 -5.4117927e-04  1.4262965e-04 -1.8436916e-04 -1.1953252e-03
 -5.4108724e-04 -8.4877026e-04 -9.1295462e-04  5.5856840e-04
  5.0214416e-04 -7.6080166e-04  2.8639560e-04  9.2197355e-04
  2.4996675e-04  5.5031752e-04 -1.8654042e-05  2.1540964e-04
 -5.1292218e-03 -3.1609226e-03  3.2581660e-04 -5.0443545e-04
 -3.0367153e-02  2.5101529e-02 -1.8519726e-02  1.7164696e-02
 -8.7439865e-03 -1.4258595e-02 -1.2693408e-02 -6.7134686e-03
 -4.6719462e-03 -2.4959650e-03 -9.2893131e-03 -1.4301204e-03
  4.5233611e-03 -3.7254847e-03  9.1644591e-03 -3.2582616e-03
  4.1044224e-03  8.8218609e-03  7.6706619e-03 -8.1737936e-03
  1.7382961e-03  4.5580124e-03  8.4026931e-03  7.3933429e-03
 -5.3453464e-03  9.0989610e-04  7.8090969e-03 -3.0156898e-03
  3.6803107e-03 -1.1112526e-04  4.1925986e-03 -9.3337247e-04
 -8.3076674e-03  9.9358587e-03 -1.1849936e-02  9.2188707e-03
 -2.1922637e-03 -4.8849396e-03 -3.5645880e-03 -8.2705717e-04
 -1.9004556e-03 -6.8580117e-03 -5.4416358e-03 -1.8130129e-04
  6.3647295e-04 -3.5417136e-03  4.9261278e-03 -3.8446048e-03
 -2.0915393e-03  2.2554379e-03  2.4023086e-03 -2.1335632e-03
  2.3516107e-03  1.0144804e-03  3.0560473e-03  4.5034983e-03
 -1.1599376e-03  1.5048803e-04  2.1148007e-03 -4.9275379e-03
 -2.5400615e-03 -3.0873620e-03  1.7169539e-03 -3.0405784e-04]","[ 6.7931423e-03  6.9573594e-05 -3.6236262e-03  2.4141069e-03
  4.0469426e-03  2.3772691e-03  2.8904858e-03  2.5507035e-03
 -6.0598990e-03 -7.5247185e-03  7.9092191e-04 -3.7382380e-03
 -1.8514055e-03  3.1377226e-03  5.4991461e-04 -3.5859421e-03
 -3.6481211e-03 -3.7424255e-04 -1.0084267e-03  1.3874136e-03
 -9.7988604e-04 -1.9946583e-03  1.2867927e-04 -1.0586260e-03
  2.3214319e-03 -3.0863509e-03 -2.3511774e-03  2.4953745e-03
  1.0824081e-03  2.2977576e-04 -1.0426996e-03 -2.3093971e-04
  1.7878519e-03 -2.7717961e-04 -3.6706618e-04  8.2650373e-04
  1.4241742e-03  9.9427998e-04  1.4737082e-03 -6.6991150e-04
 -9.3793008e-04 -6.9540268e-04  9.0395031e-04 -3.5825063e-04
  3.9290843e-04 -8.6768901e-05 -1.5347618e-04  7.7703902e-05
 -6.3971069e-04 -1.1480568e-03  4.6795532e-05  4.1129481e-04
 -2.5896803e-03 -1.1574531e-03 -8.8135432e-04 -8.0418080e-04
  5.9351214e-04 -9.0786308e-04 -8.8784011e-04  1.8642100e-03
 -1.7729957e-03  1.2124603e-03 -3.7170452e-04 -6.1000581e-04
  2.5261277e-02  5.0592972e-03 -1.3546586e-02  7.7714613e-03
  1.4489878e-02  3.7669642e-03  7.4218437e-03  1.1142109e-02
 -1.2655999e-02 -4.9974686e-03  1.6000804e-03 -1.1193143e-02
 -8.5324701e-03  1.0274625e-02  4.6292064e-03 -8.0519291e-03
 -8.8621695e-03 -1.4031627e-03 -2.4969869e-03  5.4518525e-03
  7.8337025e-03 -6.6321902e-03  1.4148003e-03  2.2357199e-03
  6.5914774e-03 -8.3070267e-03 -2.4868234e-03  1.7053839e-03
  1.8989848e-03 -5.6183543e-03 -5.0320523e-03 -2.1700861e-03
  1.2271504e-02 -9.3701790e-05 -4.2487490e-03  2.5173214e-03
  7.9564229e-03  4.3021180e-03  4.5222118e-03  6.8792459e-03
 -4.7389278e-03 -9.1079026e-03  1.5230139e-03 -4.2994861e-03
 -4.0278216e-03  3.7317208e-03  9.9776918e-04 -5.7881046e-03
 -4.7476497e-03 -2.1159896e-03 -2.5710911e-03  2.3973174e-03
  1.9761226e-03 -2.8589945e-03  9.6505822e-04 -8.0745720e-04
  4.0018680e-03 -3.4379684e-03 -2.5299178e-03  3.6217845e-03
 -2.4647654e-03 -3.9894967e-03 -2.2637236e-03 -1.4771775e-03]",,257814,audio/signals_f,,
0.0,0.0,,7,,,,,,0.0,257816,geometry/pose_raw,-5.625049591064453,0.0
0.0,0.0,,8,,,,,,0.0,257829,geometry/pose_raw,-5.625542640686035,0.0
0.0,0.0,,9,,,,,,0.0,257836,geometry/pose_raw,-5.626551151275635,0.0
