dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,,"[  93  406  718 1015 1328 1640 1953 2265 2578 2875 3187 3500 3812 4125
 4421 4734 5046 5359 5671 5968 6281 6593 6906 7218 7531 7828 8140 8453
 8765 9078 9375 9687]",0,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-1.3861350e-02 -5.5008275e-03 -4.6784370e-03 -7.2030252e-04
  1.2157236e-03 -7.5070467e-04 -5.1787449e-04  7.7724901e-05
 -6.3996995e-06  8.1197952e-04  5.1008043e-05  3.6990852e-05
  3.3305114e-04 -2.2346093e-04 -1.1273053e-03 -2.0911478e-04
 -1.1697255e-05  4.7177024e-04  1.3513773e-04  7.1889051e-05
 -4.6353770e-04 -1.4235279e-04 -4.3884618e-04  1.8039030e-04
 -3.6172164e-04  4.8353340e-04  3.1047684e-04  3.4684964e-04
  5.9838453e-04 -9.8970108e-05 -1.3544725e-04  2.7527715e-04
 -7.9510771e-03 -1.2973978e-03 -9.8500377e-04  4.1245393e-04
  1.9276317e-04 -3.7120454e-04 -2.8910991e-04 -2.2575137e-04
  5.8580867e-05  5.0465198e-04  6.1008771e-04 -1.3537894e-04
  2.6112632e-04 -2.7758823e-04 -7.9325167e-05 -2.4765154e-04
  6.1504848e-05 -2.0725692e-04 -5.1007245e-04  5.0406996e-04
  2.8375958e-04 -4.0106426e-04 -2.8578407e-04  1.4214942e-04
 -2.2692810e-04  3.8943923e-04  5.3697190e-04 -2.0639509e-05
 -4.8768258e-04 -3.4405646e-05 -1.0548552e-05  3.2150291e-04
 -1.1606825e-02 -1.1454827e-02 -9.5126759e-03 -1.6534008e-04
  4.4688978e-03  4.4604557e-04 -2.1460531e-03 -9.1701142e-05
  7.7423686e-04  5.6517916e-04  2.2760773e-04 -1.5636273e-04
  1.1776034e-03  4.3174854e-04  4.6553178e-05 -1.5074951e-03
  2.8586859e-04  2.5610504e-04  4.0633604e-04 -6.5922330e-05
 -7.7521481e-04 -9.8610809e-04 -9.1058551e-05  3.8641051e-04
  3.9209850e-04  4.1018426e-04  3.3244406e-04  1.0595248e-04
 -2.2987592e-04  2.8321103e-04 -5.6831120e-04  3.5837604e-04
 -6.3661272e-03 -5.2837455e-03 -5.4170662e-03  2.4042360e-04
  1.3101804e-03 -1.3066201e-05 -1.1460066e-03 -9.6837565e-04
 -4.4466651e-04  1.6464427e-04 -4.2908450e-04  1.9589849e-04
  2.5588647e-04  1.9984442e-04 -2.8071075e-04 -6.9993352e-05
  1.5807056e-04  2.5391454e-04 -2.6244237e-04  3.8831946e-04
  2.6415449e-04  1.5409227e-04 -1.9183812e-04  2.2443841e-04
 -1.0818955e-04 -1.8100617e-04  4.2777281e-04 -1.8111241e-05
 -2.6802570e-04 -1.5356347e-04  2.4977772e-04 -3.9236859e-04]","[ 2.53396062e-03  1.68878178e-04 -1.00865262e-03 -2.64104776e-04
  9.39900870e-04 -1.60944619e-04  4.76903748e-04 -1.61477190e-04
  2.79671105e-04 -1.54859561e-04  4.74746164e-04  5.45609160e-04
  1.12162798e-03  5.01155388e-04  8.64024623e-05  6.86101383e-04
  5.37313404e-04 -1.03040773e-03  5.81660366e-04 -2.83458619e-04
  2.67523865e-04  1.26006326e-03  9.72624577e-04  5.17723151e-04
  2.39033252e-04  7.20102835e-05  2.14899337e-05 -8.99224615e-05
 -1.44784775e-04 -2.39278670e-04 -3.42287967e-06  1.97480636e-04
  5.40538598e-03  4.15559945e-04  8.38237902e-05 -1.18560903e-03
 -6.92935428e-05 -6.69530476e-04  1.70310843e-04 -5.05864155e-05
  4.21720586e-04 -5.38421387e-04 -3.94675735e-04 -3.47085646e-04
  1.24692917e-04 -8.99613369e-05  4.93284198e-04  3.80052734e-05
 -3.00534797e-04  1.49539228e-05  8.95624544e-05 -2.65258481e-04
 -2.68051488e-04 -5.95892852e-05  5.17283101e-04  4.46547019e-05
  1.48704858e-04  1.30137501e-04  5.23677154e-04  1.61246920e-04
  5.58808795e-04  1.56195485e-04 -3.03032168e-04  5.77183819e-05
  1.13842674e-02 -4.21968754e-03 -5.36872726e-03 -3.69205256e-04
  1.15099188e-03 -2.92662444e-04 -8.59837048e-04 -3.28476657e-04
 -1.04814317e-05  9.80275101e-04 -1.15015439e-03  5.65430790e-04
 -6.62879320e-04 -3.42240965e-05 -5.98335973e-05  6.20883773e-04
  5.35550644e-04  1.17735675e-04 -1.52611028e-06 -5.44571609e-04
 -3.33098054e-04  7.37872499e-04  2.34520921e-04 -3.35370074e-04
  5.77337109e-04  2.06030221e-04 -1.08574203e-03 -2.06363547e-04
  1.84026925e-04 -6.59452926e-04 -4.59769304e-04  5.26114309e-04
 -6.37459243e-03 -7.00937235e-04 -2.07695574e-03 -6.85997598e-04
  3.97379219e-04 -3.61381564e-04 -1.15210819e-03  4.13354050e-04
  7.17244926e-04 -3.86826941e-05 -5.11554681e-05  1.46464066e-04
 -5.57180028e-04 -6.27939822e-04 -1.03445316e-03  3.49810907e-05
  4.54781781e-04 -7.33850829e-05 -1.79226015e-04 -2.87545787e-04
 -3.21857224e-04 -2.74912309e-05  9.61587939e-05 -1.13504844e-04
  1.54657755e-04  2.04835378e-05  1.04595057e-03  3.31966512e-05
 -6.00632979e-04  3.09490861e-06  3.72970215e-04  6.47494062e-06]",,72997,audio/signals_f,,
-21589.0,-21589.0,,1,,,,,,0.0,73000,geometry/pose_raw,-0.010415751487016678,303.0
-21589.0,-21589.0,,2,,,,,,0.0,73007,geometry/pose_raw,-0.010396945290267467,312.0
-1.0,-1.0,,3,,,,,,0.0,73020,geometry/pose_raw,-0.009085829369723797,312.0
-21589.0,-21589.0,,4,,,,,,0.0,73026,geometry/pose_raw,-0.00794296059757471,312.0
-21589.0,-21589.0,,5,,,,,,0.0,73035,geometry/pose_raw,-0.008366881869733334,312.0
-21589.0,-21589.0,,6,,,,,,0.0,73043,geometry/pose_raw,-0.00797164998948574,307.0
-1.0,-21589.0,,7,,,,,,0.0,73050,geometry/pose_raw,-0.008131344802677631,307.0
-1.0,-21589.0,,8,,,,,,0.0,73057,geometry/pose_raw,-0.007337276823818684,307.0
-21589.0,-1.0,,9,,,,,,0.0,73066,geometry/pose_raw,-0.007096212822943926,307.0
-21589.0,-21589.0,,10,,,,,,0.0,73075,geometry/pose_raw,-0.006962948013097048,307.0
-21589.0,-21589.0,,11,,,,,,0.0,73096,geometry/pose_raw,-0.008833635598421097,307.0
-1.0,-21589.0,,12,,,,,,0.0,73104,geometry/pose_raw,-0.00839579850435257,307.0
-21589.0,-21589.0,,13,,,,,,0.0,73109,geometry/pose_raw,-0.008926105685532093,307.0
-21589.0,-21589.0,,14,,,,,,0.0,73115,geometry/pose_raw,-0.009562335908412933,307.0
-21589.0,-21589.0,,15,,,,,,0.0,73119,geometry/pose_raw,-0.010497304610908031,307.0
-21589.0,-1.0,,16,,,,,,0.0,73129,geometry/pose_raw,-0.011080469936132431,307.0
-1.0,-21585.0,,17,,,,,,0.0,73134,geometry/pose_raw,-0.010993902571499348,307.0
-21589.0,-5.0,,18,,,,,,0.0,73141,geometry/pose_raw,-0.01129686925560236,307.0
-1.0,-21589.0,,19,,,,,,0.0,73147,geometry/pose_raw,-0.011689890176057816,308.0
-1.0,-21589.0,,20,,,,,,0.0,73152,geometry/pose_raw,-0.010922440327703953,308.0
-21589.0,-21589.0,,21,,,,,,0.0,73163,geometry/pose_raw,-0.01039385050535202,308.0
-21589.0,-1.0,,22,,,,,,0.0,73171,geometry/pose_raw,-0.009080519899725914,308.0
-21589.0,-21589.0,,23,,,,,,0.0,73182,geometry/pose_raw,-0.008939233608543873,312.0
-1.0,-1.0,,24,,,,,,0.0,73194,geometry/pose_raw,-0.005996025167405605,312.0
-21589.0,-21589.0,,25,,,,,,0.0,73200,geometry/pose_raw,-0.0083833122625947,312.0
-21589.0,-21589.0,,26,,,,,,0.0,73222,geometry/pose_raw,-0.008694181218743324,312.0
-21589.0,-21589.0,,27,,,,,,0.0,73227,geometry/pose_raw,-0.009394134394824505,308.0
-21589.0,-21585.0,,28,,,,,,0.0,73234,geometry/pose_raw,-0.00971134938299656,308.0
-1.0,-1.0,,29,,,,,,0.0,73240,geometry/pose_raw,-0.0109364353120327,308.0
-21589.0,-21589.0,,30,,,,,,0.0,73251,geometry/pose_raw,-0.011217992752790451,308.0
-21589.0,-1.0,,31,,,,,,0.0,73264,geometry/pose_raw,-0.011423146352171898,308.0
-21589.0,-21589.0,,32,,,,,,0.0,73271,geometry/pose_raw,-0.011332204565405846,312.0
-21589.0,-21589.0,,33,,,,,,0.0,73283,geometry/pose_raw,-0.011205128394067287,312.0
-21589.0,-21589.0,,34,,,,,,0.0,73291,geometry/pose_raw,-0.011206572875380516,312.0
