dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,258915,geometry/pose_raw,95.79020690917969,0.0
0.0,0.0,,1,,,,,,0.0,258924,geometry/pose_raw,95.79096221923828,0.0
0.0,0.0,,2,,,,,,0.0,258936,geometry/pose_raw,95.79178619384766,0.0
0.0,0.0,,3,,,,,,0.0,258948,geometry/pose_raw,95.79135131835938,0.0
0.0,0.0,,4,,,,,,0.0,258954,geometry/pose_raw,95.79328155517578,0.0
0.0,0.0,,5,,,,,,0.0,258965,geometry/pose_raw,95.79141998291016,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",6,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-6.35033995e-02  3.99315357e-02 -3.13342665e-03  5.93388500e-03
  4.75643622e-03  4.08171630e-03  2.98635382e-03  1.71769247e-03
  1.91507454e-03  2.72996537e-03  2.28462229e-03  4.34616860e-03
  3.86948627e-03  1.87469355e-04  8.65086098e-04  4.03777603e-03
  7.76615040e-03 -2.06458685e-03  7.01168392e-05 -5.29292971e-04
  2.14241049e-03  4.46070044e-05  1.17905345e-03  2.36159563e-03
  1.69660570e-03  3.35480028e-04  1.68277218e-03 -5.39101835e-04
 -1.43381336e-03 -3.85919469e-04  4.51858359e-04  2.93078553e-03
 -2.46777341e-01 -4.46928013e-03  1.29387842e-03 -3.06659983e-03
  4.51240630e-04 -8.75376631e-04  6.73531031e-04 -1.62338896e-03
  4.87685145e-04 -7.86838820e-04 -3.24363995e-04 -3.01393622e-04
 -1.55664049e-03 -1.54560810e-04 -1.07086753e-03 -4.78003931e-04
  4.92917956e-04 -2.59235105e-03  4.42419259e-05  1.33670587e-03
 -1.67236547e-04  3.19164013e-04  4.35787428e-04 -2.84234702e-04
 -1.53608416e-04 -6.86177867e-04 -2.96584942e-04 -1.60519674e-03
  9.71703907e-04 -2.93878082e-04  5.04274946e-03  1.98715104e-04
  2.66275406e-01  2.22602338e-02  5.62916463e-03  1.08217206e-02
  2.35083955e-03  1.36222923e-03  1.67357875e-03  4.08804137e-03
 -3.67314764e-03 -5.35676809e-05 -1.86078192e-04 -2.96242943e-04
 -1.18644699e-03 -1.05919491e-03 -1.12444570e-03  3.72949231e-04
 -3.23811808e-04 -1.45020324e-03  3.87495907e-04  1.75312947e-04
  1.15503289e-03 -1.67113612e-03  2.12362502e-04 -2.40161247e-03
 -1.25416473e-03 -6.96201227e-04 -3.80473840e-03 -3.50301969e-04
  2.54865410e-03 -7.08736945e-04  3.29021201e-03 -1.70377176e-03
  1.25566088e-02 -2.44183410e-02  5.46669774e-02 -3.46750580e-03
 -4.24086116e-04 -4.56218328e-03 -5.13262639e-04 -2.18138495e-03
 -5.65232942e-04  1.50202750e-03 -1.39219454e-04 -3.83756543e-03
 -2.55090138e-03 -2.09986325e-03 -7.38750445e-04 -1.61209446e-03
  1.20484445e-04 -2.70057190e-03 -1.00630487e-03 -9.50150948e-04
  2.13614287e-04  6.32111449e-04 -1.31826673e-03 -4.83717769e-04
  7.39745912e-04 -1.85139501e-03  2.46881740e-03  5.84472157e-03
 -3.91027890e-03  9.96174873e-04 -6.54947420e-04 -2.23415252e-03]","[ 3.0906156e-02 -2.0974649e-02 -9.2728453e-04 -1.5373961e-03
  4.1889312e-04 -1.7272679e-03 -8.5865904e-04 -1.6950394e-03
 -1.4495843e-03 -1.7030921e-03 -4.4395181e-04  1.3555160e-03
  8.9171767e-04 -3.1058814e-03  2.8637697e-03  3.9843272e-04
 -4.7515142e-03  1.0073844e-03 -5.6811399e-04 -1.6200582e-03
 -1.9332701e-03 -2.3159767e-03 -8.9630543e-04 -7.3903147e-04
 -3.1458223e-04 -2.0017731e-03 -4.2545609e-03  5.1554418e-03
 -5.0620548e-04 -8.9650368e-04  2.3294736e-03  1.1293890e-04
 -3.5027951e-01 -1.3848604e-02 -2.6460639e-03  7.1196008e-04
  3.2351108e-04  6.7334075e-04 -2.7692709e-03  2.9352686e-04
 -3.0011898e-03  1.2666234e-05  8.9712383e-04  2.9951805e-04
  1.2459576e-03  1.6681489e-03  5.9415288e-05  4.7224504e-04
 -1.6331699e-04 -1.0951504e-04  1.7737211e-03  1.8672695e-04
  2.3968454e-04  6.4126332e-04  1.3910737e-03  3.4719960e-05
 -8.1941474e-04  9.9963218e-04  7.5306371e-04 -1.9003418e-03
 -1.0152229e-03 -1.5955891e-03  4.9586192e-04  1.8329524e-04
  3.5532492e-01  2.1320971e-04 -2.6019296e-02  5.3454125e-03
  2.4962588e-03  2.7388001e-03 -1.8609609e-03 -3.6185351e-03
  2.9396475e-04  7.2478771e-04  6.3720567e-04  1.6012245e-03
  2.0682365e-03 -1.3497937e-03  1.0348221e-03 -1.5308568e-03
 -5.9888454e-04 -4.1077691e-04  5.1519848e-05 -4.5042884e-04
  1.4598029e-03 -1.7949133e-03  3.7808291e-05 -1.7920389e-03
 -1.4060427e-04  3.9239644e-04  3.5531598e-03 -4.0804800e-03
 -8.5524964e-04  6.5137254e-05 -8.3974823e-03  7.5121660e-04
  1.7787926e-01 -5.5996187e-02 -1.1848705e-02 -3.3680245e-03
  2.9584360e-03  1.0330112e-03  3.4108544e-03 -1.1391554e-03
  1.5968411e-03  2.1337236e-03 -3.4412760e-03 -3.1921850e-03
 -4.5644605e-04  1.7936685e-03 -4.0472677e-04 -4.0254579e-04
 -1.1212149e-03  8.2668709e-04  1.3838457e-03  2.8936076e-03
 -4.8476458e-04  2.0802955e-04 -2.8845388e-03 -4.2020613e-03
  6.8540487e-04 -2.5532283e-03 -3.7682701e-03  6.6975839e-03
  3.2712417e-03  4.8895488e-03  6.3844728e-03 -9.1681271e-05]",,258973,audio/signals_f,,
0.0,0.0,,7,,,,,,0.0,258977,geometry/pose_raw,95.79029846191406,0.0
0.0,0.0,,8,,,,,,0.0,258991,geometry/pose_raw,95.78868103027344,0.0
0.0,0.0,,9,,,,,,0.0,258998,geometry/pose_raw,95.78950500488281,0.0
