audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,-1.0,-1.0,,0,,,,,,0.0,182609,geometry/pose_raw,0.06401876360177994,269.0
,-1.0,1.0,,1,,,,,,0.0,182618,geometry/pose_raw,0.05456514284014702,267.0
,2.0,0.0,,2,,,,,,0.0,182629,geometry/pose_raw,0.06552226096391678,267.0
,0.0,0.0,,3,,,,,,0.0,182639,geometry/pose_raw,0.0640234723687172,267.0
,0.0,0.0,,4,,,,,,0.0,182655,geometry/pose_raw,0.06484080106019974,267.0
,0.0,0.0,,5,,,,,,0.0,182661,geometry/pose_raw,0.06559599936008453,267.0
,-4.0,0.0,,6,,,,,,0.0,182670,geometry/pose_raw,0.0694391205906868,270.0
,4.0,0.0,,7,,,,,,0.0,182680,geometry/pose_raw,-0.026946494355797768,270.0
,-1.0,1.0,,8,,,,,,0.0,182689,geometry/pose_raw,-0.0028647668659687042,270.0
613741480,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.15885856e-02 -9.90772969e-04 -2.97123194e-03  2.68112432e-04
 -2.82984367e-03 -1.92846419e-04  2.89072224e-04 -5.11322723e-05
 -1.48818083e-03 -4.20881086e-04  1.85612953e-04 -1.45392865e-03
  6.04537548e-04 -4.60191281e-04 -7.64289696e-04  6.17785903e-04
 -1.94979657e-04 -2.61972455e-05 -1.18981663e-03 -9.30133159e-04
  1.46517705e-05  6.29713060e-04  9.13153344e-05 -5.56039508e-04
 -2.25729178e-04 -4.52022505e-04 -3.61554557e-05 -9.83569771e-06
 -2.30141814e-04 -2.16451430e-04  8.34935345e-05 -4.36498696e-04
 -4.30840114e-03 -5.95601741e-04 -8.11360776e-04 -3.72218958e-04
  3.13759010e-05  3.17634185e-05 -9.40747559e-05  3.88423214e-04
  2.95908249e-04 -3.16257028e-05 -1.94277527e-04 -4.27220366e-04
 -2.47740936e-05  1.14182651e-04  3.70948110e-05 -2.57680367e-04
 -2.40613517e-05  1.67019447e-04  1.21243349e-04 -1.66379905e-04
 -7.10569555e-04 -8.27922137e-04 -2.82863708e-04  1.90594496e-04
 -1.10053676e-04 -5.02244802e-05 -2.64155155e-04 -1.11411166e-04
 -2.17537832e-04 -3.66610329e-05 -3.40684375e-04  4.64834622e-04
 -1.72033105e-02 -8.26742616e-04 -3.44720762e-03  6.45580876e-04
 -5.09970402e-03  3.09257605e-03 -5.76593273e-04  4.98391339e-04
 -6.57174678e-04  7.85879267e-04  8.20743793e-04 -1.12112740e-03
 -9.04552289e-05  1.56278315e-04  2.60684523e-04  3.27340851e-04
  4.56840440e-04  5.32858074e-04 -4.94663604e-04 -8.41266708e-04
 -6.77542295e-04 -9.32070252e-05 -6.87536318e-04  4.28927538e-04
 -3.35056946e-04  3.21575644e-04 -4.28524043e-04 -2.28848949e-05
 -3.66540218e-04 -3.79982695e-04  3.66955792e-04 -6.90450470e-05
 -1.48569280e-02 -1.77053676e-03 -2.38364586e-03  3.45467677e-04
 -1.89541571e-03  1.27163448e-03 -7.12080859e-04  4.82539908e-05
 -6.28525624e-04  1.19241769e-04 -1.37823532e-04 -5.29575162e-04
 -6.00801315e-04 -4.74225817e-05 -7.87521931e-05  2.26448436e-04
 -1.75030189e-04  4.56665934e-04 -2.85069633e-04  2.37423694e-04
 -2.12469269e-04 -1.83081633e-04 -1.19693781e-04 -4.81641851e-04
 -1.72543689e-04 -1.55417743e-04 -4.85727127e-04  2.09221238e-04
 -1.21068544e-04  7.93122599e-05  2.82590976e-04  1.17654134e-04]","[-5.90943173e-03 -1.01524650e-03  4.09658626e-03  1.24273286e-03
  3.94132221e-04 -1.34891178e-03  1.48684921e-04  5.05580683e-04
  8.74331454e-04 -7.30573491e-04  1.48862178e-04  1.35131006e-04
 -2.59863446e-04  3.18968261e-04 -7.77301786e-04 -1.05452396e-04
  4.50116437e-04 -3.33205797e-04  4.13381844e-04  2.00369395e-05
  1.73413689e-04 -2.11108621e-04  6.52619172e-04 -3.39737540e-04
 -6.93076116e-04  7.24212907e-04 -1.53349683e-04 -2.91522651e-04
 -6.46508997e-04  4.49542305e-04 -8.53653037e-05  3.84744257e-04
 -1.20583060e-03 -5.76104736e-04  7.77937938e-04  3.94745766e-05
  1.00802013e-03 -3.71969130e-04  6.07371330e-04 -4.78947113e-05
 -6.63492247e-04  2.06457858e-04  1.88101039e-05  1.25913904e-03
 -7.98795736e-06  4.64147859e-04  3.91833964e-05  3.36646626e-05
  7.40743853e-05 -1.38569420e-04  2.65726238e-04  5.90749114e-05
  2.20834801e-04  1.71497726e-04 -7.48758262e-04  2.78862193e-04
 -7.69413309e-05 -4.07695188e-04  1.54364883e-04 -6.76833515e-05
 -7.75567387e-05 -2.35579864e-04 -2.00911760e-04 -1.59704767e-04
 -4.40759351e-03  2.03940272e-03  7.16328109e-03  4.54742555e-03
  3.09480994e-04 -2.87978677e-03  1.14532770e-03 -9.87588894e-04
  2.46754091e-04 -7.08333333e-04 -1.67931983e-04 -5.96386264e-04
 -1.17591722e-03 -1.24928262e-03  4.49029088e-04  7.79759488e-04
 -2.08047859e-04 -5.43100701e-04  5.57185034e-04  1.51675267e-04
 -1.40638018e-04  1.23846999e-04  6.10008661e-04 -2.48030759e-04
 -1.08584587e-03  8.77819621e-05 -1.63760458e-04 -3.57340934e-04
  8.20857094e-05  4.20562719e-04  1.90473103e-04  1.41227620e-05
 -2.63732858e-03 -1.02644740e-03  3.39563563e-03  1.43254094e-03
  1.13283424e-03 -1.29113393e-03  1.17367040e-03 -8.53608479e-04
  9.15816519e-04 -5.66092436e-04  1.60277894e-04  4.14658105e-04
 -6.92849746e-04 -1.32989633e-04  3.53495765e-04  7.37827097e-04
 -2.01349700e-04 -5.38185413e-05  3.27798014e-04  1.78127520e-04
  1.12899055e-04  2.19354697e-04  6.22092804e-04  2.33585699e-04
  6.74893963e-05  6.81895763e-04 -9.20775987e-04 -6.50024391e-04
 -4.54205088e-04  7.02831428e-04 -4.82537260e-04 -1.73977503e-04]",,182697,audio/signals_f,,
