audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
495788979,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",0,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-4.79979115e-03  4.47595119e-03 -6.51992811e-03  1.65992905e-03
 -5.55844344e-05 -3.70454672e-03 -1.84192206e-03  2.90473428e-04
 -1.14953518e-03  2.54699698e-05 -6.41684863e-04 -1.23343500e-03
 -1.34683709e-04  2.83352361e-04 -9.24135093e-05  4.87461570e-04
 -2.28226461e-04 -2.76208943e-04 -3.12837772e-04 -6.63264538e-04
  5.70139906e-04 -5.68530872e-04  3.23263055e-04 -4.98277484e-04
 -2.76217965e-04 -2.18010566e-04 -5.30922378e-04 -3.67834553e-04
  4.82818868e-05 -3.23759392e-04 -2.87181465e-04 -6.78057666e-04
 -1.16863893e-03  1.19328918e-03 -3.29429240e-05 -5.65325958e-04
 -1.09891975e-04  7.29210209e-04  4.66474943e-04 -4.75802866e-04
  1.56997092e-04  6.81442179e-05  2.20125905e-04 -9.00841478e-05
 -1.50422478e-04 -1.02228405e-05 -3.27991409e-04  8.29142518e-05
  4.18662734e-04  3.84728191e-04  2.55741470e-04  4.03633225e-04
  2.46766926e-04 -1.60021955e-05 -2.71805620e-04  2.57521868e-04
 -4.19684598e-04  3.48922986e-05 -3.04705609e-04  2.55662482e-04
  1.78894799e-04  5.06217591e-04 -1.51740445e-04 -9.50753893e-05
 -9.73542628e-04  9.21957288e-03 -1.43906977e-02  4.52511152e-03
  9.59435827e-04 -5.34607843e-03 -1.43142242e-04  9.11142910e-04
 -1.77971763e-03  3.98124277e-04  1.80040020e-03 -1.31046586e-03
 -6.13328535e-04 -7.47497907e-05 -7.78180314e-04 -1.24470971e-05
 -1.55358168e-04  9.10962000e-04 -1.27587802e-04 -2.64937931e-04
  5.88673429e-05  3.81896592e-04  3.39587452e-04  5.31856727e-04
 -8.72752717e-05  6.56737611e-05 -2.09691090e-04  1.68044251e-04
 -2.40927126e-04  7.01371580e-04 -3.67392960e-04  2.94273632e-05
 -3.01625067e-03  4.68036160e-03 -4.42892034e-03  2.16841605e-03
  8.05199088e-04 -2.48049339e-03 -1.88127067e-03  4.52529814e-04
 -6.38983387e-04 -3.46726956e-05 -4.53794841e-04 -7.08332169e-04
  6.14214921e-04  5.86968148e-04  1.94206004e-04 -4.33855545e-04
  2.10983941e-04  8.02395691e-04  5.53199963e-04 -2.49748933e-04
  1.01016893e-04 -3.89793306e-04  5.04252966e-04  7.64871016e-04
  2.76119681e-06  1.90574909e-04 -2.83358211e-04  2.47354910e-05
  5.11808554e-04 -9.66381267e-05  2.21756112e-04  1.64254190e-04]","[ 1.0390931e-03  2.3383745e-03  6.5051466e-03 -6.6053355e-04
  5.9852278e-04  2.0583323e-03  7.8619269e-05  2.8836378e-04
  6.5937568e-04 -1.4783936e-05  6.3552032e-04  1.2440822e-04
  6.1192521e-04  6.0118869e-05 -6.6336646e-04 -3.3882953e-04
  3.1956774e-04 -1.6980030e-04 -4.8940815e-04  5.6675257e-04
  1.4538786e-04  2.3242312e-04  3.9520918e-04  1.9149226e-03
  2.5187770e-04  4.3037909e-04 -1.8720498e-04  4.9970736e-04
  3.9756327e-05  1.1028740e-05  2.8224540e-04 -6.2544929e-04
  1.1572452e-03  8.0990279e-04 -3.0686933e-04  1.7759491e-03
 -5.5534288e-04  7.4266703e-05  2.2138138e-03 -1.4812808e-04
  9.9261198e-04  9.5164805e-04 -6.5129268e-04 -1.6289466e-04
  5.9963448e-04  1.7752191e-04 -2.2404168e-04 -6.2537106e-04
 -7.3657080e-05  3.3373581e-04  4.4312546e-04 -1.8895828e-04
 -9.7226446e-05  1.6570225e-04 -1.9190891e-04  4.7059593e-04
  5.5546709e-04 -1.7476411e-04  1.0892183e-04  2.1209446e-04
 -1.8177574e-04 -6.8913016e-04  1.7048192e-04  4.0120236e-04
 -6.9873217e-03  1.2817744e-02  1.4553949e-02 -4.5730174e-03
  1.0024353e-03  2.0122348e-04 -4.0859049e-03  1.5218754e-03
  1.8144257e-03  1.2126671e-03 -4.4883895e-04 -5.8961508e-04
  2.4146256e-03  3.0645894e-04 -2.9053312e-04  1.0056066e-03
 -4.5372889e-04  3.5455628e-04  4.7792235e-04  5.9605576e-05
 -6.0156599e-04 -2.2270594e-04 -4.0068070e-04 -5.4621079e-04
 -4.4310582e-05 -3.2037296e-04  3.9494739e-04  3.6541765e-05
  7.1796338e-04  3.9368015e-04  2.7974672e-04 -6.2717049e-04
  1.5127240e-03  4.7724107e-03  7.1165729e-03 -1.0798445e-03
 -4.8188540e-05  1.6231134e-03 -6.0952711e-04  3.7662772e-04
  5.3368846e-04 -7.5665757e-04 -1.0865335e-03  4.2767843e-04
  5.7424634e-04  3.9763405e-04  3.4238701e-04 -3.4363568e-04
  1.1930726e-04  1.8952330e-04  1.4788721e-04 -6.5785804e-04
 -6.1604776e-04  3.1653931e-04 -1.0329974e-03  3.7183816e-04
 -2.1175013e-04  1.3572423e-04  1.9233339e-05  7.5337615e-05
 -1.1909385e-04  1.7076646e-04 -1.3728430e-04 -2.8880883e-04]",,64282,audio/signals_f,,
,-1.0,0.0,,1,,,,,,0.0,64267,geometry/pose_raw,0.1327494978904724,261.0
,-1.0,0.0,,2,,,,,,0.0,64278,geometry/pose_raw,0.1308949589729309,261.0
,2.0,0.0,,3,,,,,,0.0,64285,geometry/pose_raw,0.1456635445356369,261.0
,-1.0,0.0,,4,,,,,,0.0,64294,geometry/pose_raw,0.13502617180347443,261.0
,-1.0,-1.0,,5,,,,,,0.0,64301,geometry/pose_raw,0.12687651813030243,261.0
,0.0,0.0,,6,,,,,,0.0,64319,geometry/pose_raw,0.12449813634157181,263.0
,1.0,0.0,,7,,,,,,0.0,64330,geometry/pose_raw,0.14116069674491882,263.0
,0.0,0.0,,8,,,,,,0.0,64337,geometry/pose_raw,0.14764031767845154,263.0
,0.0,0.0,,9,,,,,,0.0,64346,geometry/pose_raw,0.15349429845809937,263.0
