audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,-5.0,1.0,,0,,,,,,0.0,57717,geometry/pose_raw,-0.24352307617664337,6.0
3163053482,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",1,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 4.7981543e-03  2.1694074e-03  3.9030842e-03 -1.7988074e-03
  1.4639342e-03  6.3342170e-04 -1.4675823e-04 -5.8272947e-04
 -4.6808657e-04  9.9010218e-04  4.7496860e-04 -3.7146593e-04
  4.6187459e-05 -2.4957705e-04 -6.9599325e-04 -5.0453542e-05
 -4.3296377e-04 -7.4546656e-04  4.1624287e-04  2.5176376e-04
  9.1360376e-04  3.4714327e-04 -9.6022603e-05 -6.0061028e-04
 -1.5067824e-04  7.8665966e-05  1.2348994e-04 -8.6190674e-04
 -4.7321647e-04  7.1061729e-04  6.4496702e-04 -2.7073841e-04
 -3.9545214e-04 -1.0851518e-03 -1.1352756e-04  1.5273519e-03
 -6.0742481e-05  6.2547839e-04 -2.8108410e-04  7.6130213e-04
  4.6035275e-04 -3.4933595e-04 -8.6638739e-04  8.3993102e-04
  5.9696205e-04 -6.4157858e-04 -1.1426138e-04 -9.7247044e-05
 -2.0977567e-04 -1.6198562e-04 -3.2086944e-05  3.4652808e-04
  4.1388258e-04 -2.0251996e-04  9.3079521e-04  2.5735582e-05
 -8.2362676e-04  2.6368641e-04 -6.5405166e-04 -2.0763873e-05
 -1.5508896e-04 -7.2695548e-06  2.3865617e-04 -2.8166117e-04
  1.5272052e-02  1.8356054e-03  1.3106928e-02 -4.6760142e-03
  1.2978096e-03  3.0443622e-03 -2.6416164e-06 -1.0570800e-03
  2.1090794e-03  4.2345892e-03  9.7492390e-04  9.3489361e-06
  1.4640299e-03 -1.5922037e-03 -4.5584032e-04  2.5945908e-04
 -2.9778993e-04 -6.9012441e-04  4.8411486e-04  2.6567600e-04
  2.3707363e-04 -7.3331248e-05 -4.3946749e-04 -2.3672450e-04
  4.0464511e-05  6.6442345e-04  8.9195237e-06  1.3891073e-04
 -2.8731779e-04  1.6143417e-04 -2.9976619e-04  5.8236229e-04
 -4.5500486e-04 -4.3939822e-03  4.2986707e-03 -2.3278818e-03
  1.0764223e-03  5.0865632e-04  7.4501085e-04 -8.6397387e-04
  5.8676850e-04  6.2685146e-04  3.6076177e-04 -2.6251006e-04
  1.1935254e-03 -6.0334743e-04 -2.4011746e-04  5.1502901e-04
  7.1964494e-04 -3.7230365e-04 -9.1416022e-04 -2.7780730e-04
  1.0155113e-03  2.2234104e-04 -2.5287439e-04 -9.9146404e-05
  1.7198187e-04 -6.1223301e-04 -2.6145944e-04  9.0715614e-05
  6.2334404e-04  3.8034297e-04  1.8570876e-04  2.4632161e-04]","[-2.4035710e-04 -1.1045209e-03 -7.6743364e-03 -6.8591174e-04
 -5.9209712e-04  8.1745361e-04  5.2899632e-05  1.4109293e-03
 -1.3705757e-03  5.9294159e-04  1.5381548e-04 -2.7810625e-04
 -6.2653737e-04 -3.5835544e-04  8.0400647e-04 -1.4478681e-04
  8.2753337e-04 -8.3131687e-04 -2.3736899e-04 -4.0322158e-04
 -7.7254954e-05  3.7532512e-04 -9.2324917e-05 -4.6396890e-04
  6.1382758e-05  1.3991605e-04 -1.1513486e-04 -4.2066976e-04
 -1.8535164e-04 -2.3725856e-04  4.9215643e-04  1.0269152e-03
  2.6226090e-04 -1.5500851e-03 -1.2870340e-04  9.1209658e-04
 -7.1101866e-05 -5.3485110e-04 -7.9906324e-04  3.1732194e-04
 -7.3396473e-04  7.2972465e-04 -3.2010855e-04 -1.5195637e-04
  1.7290396e-04 -8.5140971e-05  5.6412624e-04 -5.4238641e-05
  2.6348224e-04 -8.4384461e-05 -2.3783400e-04 -5.8112398e-04
 -4.6343703e-04  8.6617496e-05  3.0184176e-04 -2.8700255e-05
 -3.9781939e-05 -4.7016650e-04  3.4287275e-04  2.5153923e-04
  5.2980898e-04  6.3289632e-04  5.2842696e-04  4.9160974e-04
  2.2189976e-03  1.7998607e-03 -1.7057918e-02 -3.2439565e-03
 -5.5893190e-04  1.1449755e-03 -9.7741035e-04  2.3699747e-03
 -4.5505512e-04  1.6817958e-03  4.1634784e-04 -1.3594544e-03
 -4.1375816e-04 -4.8956665e-04 -1.6039303e-06  1.9853990e-04
  1.5780097e-06 -3.2111650e-04 -9.4007037e-04 -2.5472196e-04
 -5.0967174e-05  9.4944604e-05 -9.3030991e-05  9.7737226e-05
  2.2207442e-04  8.4953092e-04  2.3136070e-04  3.5718817e-04
  3.5037412e-04 -4.3650565e-04  1.1031115e-03  3.1240124e-04
 -1.0923771e-03  4.9278038e-03 -9.0494771e-03 -1.2059112e-03
 -9.8389178e-04 -1.5581452e-03 -8.7765144e-04 -2.9039365e-04
 -1.1856395e-03 -9.6969551e-04 -4.7919812e-04  7.8435638e-04
  7.1300758e-04  7.2417874e-04  4.7864707e-04  9.4167207e-04
 -6.9807167e-04  1.0435454e-03  6.3836784e-04  2.3438250e-05
 -1.3010864e-04  2.2937069e-04  1.9701247e-04  1.4614538e-04
  7.0706235e-05 -6.2225282e-04 -3.5229699e-05 -2.4355545e-04
 -3.4936663e-04 -2.1549950e-04  2.7108821e-04  1.1964625e-04]",,57726,audio/signals_f,,
,-1.0,-3.0,,2,,,,,,0.0,57728,geometry/pose_raw,-0.28680193424224854,6.0
,-1.0,-1.0,,3,,,,,,0.0,57737,geometry/pose_raw,-0.3201881945133209,6.0
,-1.0,0.0,,4,,,,,,0.0,57745,geometry/pose_raw,-0.34823963046073914,6.0
,0.0,0.0,,5,,,,,,0.0,57757,geometry/pose_raw,-0.3696378767490387,8.0
,0.0,0.0,,6,,,,,,0.0,57769,geometry/pose_raw,-0.38532090187072754,8.0
,0.0,0.0,,7,,,,,,0.0,57774,geometry/pose_raw,-0.3958779573440552,8.0
,-2.0,0.0,,8,,,,,,0.0,57786,geometry/pose_raw,-0.4337519705295563,8.0
,2.0,9.0,,9,,,,,,0.0,57796,geometry/pose_raw,-0.49519801139831543,7.0
,2.0,1.0,,10,,,,,,0.0,57806,geometry/pose_raw,-0.5722810626029968,7.0
,7.0,10.0,,11,,,,,,0.0,57815,geometry/pose_raw,-0.634495735168457,7.0
,3.0,5.0,,12,,,,,,0.0,57834,geometry/pose_raw,-0.6821629405021667,7.0
,5.0,11.0,,13,,,,,,0.0,57842,geometry/pose_raw,-0.6973251104354858,7.0
3163180057,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",14,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-6.95713796e-03 -3.78582510e-03  1.30436998e-02  1.93246128e-03
 -4.21389967e-04  1.33364054e-03 -5.87329618e-04  1.16660248e-03
  6.14550547e-04 -9.97927709e-05  2.66046874e-04  2.97395047e-04
 -1.21560253e-04 -3.90160014e-04  4.31227323e-04  4.83587442e-04
  1.25366100e-03  1.96708686e-04  1.01196871e-03 -1.06835672e-04
  3.39410966e-04  4.80132672e-04 -9.91317211e-04 -3.53078038e-04
 -3.79417790e-04 -5.25563955e-04  7.86890509e-04 -7.85555458e-04
  3.33406060e-05  5.91954449e-04  1.10785197e-03  3.92824819e-04
  7.34443951e-04  1.25453854e-03  1.30611483e-03 -1.27136795e-04
 -3.94346513e-04 -1.53265719e-03  1.96927183e-04  6.33474381e-04
 -8.80007923e-04  7.02627236e-04  2.03530944e-05  9.72201378e-05
 -1.17874704e-04 -3.73060058e-04 -1.90367049e-04 -3.79333593e-04
 -2.12856627e-04  2.48934724e-04 -2.02560084e-04 -1.11421832e-06
 -4.18366690e-04 -6.33550444e-05 -1.23230726e-04  2.80322914e-04
 -4.03559330e-04 -8.76838239e-05 -1.43224825e-04  8.37168016e-04
  3.13030250e-06 -1.58141396e-04 -3.05374153e-04  1.19007935e-04
 -1.99309271e-02 -8.38830415e-03  2.59653907e-02  3.43187293e-03
 -7.70319777e-04  7.64121488e-03 -1.60490617e-03  9.75594041e-04
  1.74961891e-03 -5.21338836e-04  4.17051138e-04  4.60648938e-04
  8.53008183e-04 -2.79805507e-04  5.45243791e-04  9.17171710e-04
  3.97425552e-04  6.66319509e-04  1.08942550e-05  8.59970576e-04
  1.01679761e-03  3.80994352e-05  7.54233697e-05 -2.20010319e-04
  5.63411995e-05  4.01154102e-05 -6.69244910e-05  1.60114796e-04
  8.87139584e-04 -1.95239787e-04 -3.82569648e-04 -8.50635173e-04
 -7.89368805e-03 -5.68268215e-03  1.60140134e-02 -1.56321010e-04
 -8.05889373e-04  3.79989366e-03 -3.34406184e-04 -2.41665970e-04
  3.29074869e-03 -8.83328961e-04  1.52435387e-03  4.77613998e-04
 -6.35994307e-04 -2.90365337e-04 -4.13987000e-04 -1.40819896e-03
 -5.47488627e-04  4.36530827e-04  4.14302631e-04 -1.45199557e-03
  4.80203511e-04  4.42663440e-05 -7.50503677e-04  7.92418956e-04
  2.45268340e-04  4.15102346e-04  1.14573340e-03  7.05765269e-04
  4.39900614e-05  5.33721875e-04  4.21278790e-04  5.13158157e-04]","[-1.5003111e-03  1.7090044e-03  3.5195136e-03 -1.0828956e-03
  1.2141478e-03 -9.9661236e-04  3.4759854e-04  8.4286701e-04
 -4.0822822e-04 -1.0725325e-03  3.0059982e-04 -9.9265284e-04
 -2.9242394e-04  5.8409444e-04 -3.6867644e-04 -2.6349287e-04
 -4.9336394e-04 -4.1797629e-04 -1.4141541e-04 -1.6540747e-04
 -3.8602040e-04  1.7211921e-04  2.5260018e-04 -5.2548142e-04
  6.9192727e-04 -2.0547849e-04  3.5363811e-04  2.6829442e-04
 -5.4032811e-05 -4.7617167e-04  8.2732106e-05  2.5560093e-04
  1.5594424e-03  9.1713032e-04  5.2129914e-04 -4.4883741e-04
  5.5300246e-04  2.3994141e-04 -5.2883197e-04 -7.5777038e-04
  1.0191172e-04  4.9969778e-05 -4.3241400e-04  3.4547720e-05
 -1.5251568e-04  5.4291321e-04  6.6742231e-04  8.0151390e-04
  2.1488982e-04 -5.7424023e-04  5.2678480e-04 -3.8962404e-04
  6.5803749e-04  1.6078053e-04 -2.8709648e-04 -4.3789690e-04
  2.4300641e-04  1.8858744e-04  4.6769477e-04 -9.2654664e-05
 -3.5663674e-04 -4.1215560e-05 -4.7402401e-04 -4.4490851e-05
 -1.8294097e-03  1.6829310e-03  1.2643050e-02 -3.6201733e-03
  2.7167811e-03 -7.3127105e-04 -1.2479804e-03 -2.0407867e-03
 -4.1778095e-04 -3.5851120e-03 -1.0963618e-03 -6.1279989e-04
 -6.3311381e-05 -9.3580806e-05  4.4085420e-05 -1.8183750e-04
 -8.7135797e-04  2.4906505e-04  6.6364405e-04 -6.3466359e-05
 -2.7146947e-04  2.3788180e-04 -6.0146925e-04 -2.1194838e-04
  7.7485100e-05  9.2919404e-04 -6.9683127e-04 -9.1606838e-05
  6.5005734e-04 -2.5316299e-04 -9.0838847e-04  2.5251563e-04
  5.8355490e-03 -1.1296361e-03  3.6097672e-03 -3.2764240e-03
  2.5057616e-03 -1.5816469e-03 -1.5047132e-03  2.7386425e-04
  3.2427866e-04 -2.0449813e-03  1.0907516e-04  1.4911212e-03
  1.2093718e-03 -1.3048935e-03 -2.9136208e-04 -6.0023810e-04
  8.0499728e-04 -1.3083506e-04 -1.6582326e-04 -7.9987163e-04
  6.2924577e-04 -9.5465293e-06  3.4658803e-04 -2.5562459e-04
  5.8624428e-04  1.4789381e-04  7.5656426e-06  2.0437789e-04
  2.1322243e-04  7.3885941e-04  4.1401276e-04  4.6831439e-05]",,57846,audio/signals_f,,
,5.0,4.0,,15,,,,,,0.0,57848,geometry/pose_raw,-0.7017931938171387,6.0
,-4.0,-3.0,,16,,,,,,0.0,57857,geometry/pose_raw,-0.6919649243354797,6.0
,0.0,-1.0,,17,,,,,,0.0,57865,geometry/pose_raw,-0.6817266345024109,6.0
,0.0,-4.0,,18,,,,,,0.0,57875,geometry/pose_raw,-0.6805569529533386,6.0
,2.0,-1.0,,19,,,,,,0.0,57886,geometry/pose_raw,-0.6900337338447571,4.0
,2.0,-1.0,,20,,,,,,0.0,57895,geometry/pose_raw,-0.7158908247947693,4.0
,3.0,0.0,,21,,,,,,0.0,57906,geometry/pose_raw,-0.7421407103538513,4.0
,0.0,-10.0,,22,,,,,,0.0,57915,geometry/pose_raw,-0.7602218985557556,4.0
,1.0,-5.0,,23,,,,,,0.0,57925,geometry/pose_raw,-0.7810528874397278,4.0
,0.0,-2.0,,24,,,,,,0.0,57937,geometry/pose_raw,-0.8012102246284485,5.0
,-1.0,-13.0,,25,,,,,,0.0,57945,geometry/pose_raw,-0.7940340042114258,5.0
,0.0,0.0,,26,,,,,,0.0,57960,geometry/pose_raw,-0.7889938950538635,5.0
3163307647,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",27,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 5.12415497e-03 -3.98842944e-03  1.18888626e-02  6.84009108e-04
  4.02497419e-04  1.50974025e-03 -9.08326940e-04  2.22240938e-04
  2.61486741e-03  2.76483974e-04  5.11098129e-04  6.10412040e-04
 -1.76559226e-03  9.53708426e-04  7.60014576e-04 -4.46045597e-04
  8.26112169e-04  2.16830958e-04 -6.57300639e-04  1.72673084e-04
 -8.47348711e-05  2.78018037e-04 -4.92633611e-04 -1.35099079e-04
  2.83228437e-04  3.46758199e-04 -2.91583186e-04 -1.31308683e-04
  2.90723779e-04 -2.35104380e-04 -7.39509705e-04  1.53976143e-04
  3.32851359e-03  6.34954253e-04  1.10902067e-03  1.70504360e-03
  1.70737389e-03  1.46997732e-03 -3.88671900e-03 -1.37471862e-03
  1.99009228e-04 -2.01617819e-04 -4.39506111e-04 -9.64886742e-04
 -3.62842111e-04  5.53257065e-04 -9.36283672e-04  5.72648947e-04
  1.01286336e-04  5.71958430e-04  3.83917126e-04  4.34134068e-04
  1.91106898e-04 -8.51205725e-04 -3.90817469e-04  1.64376455e-04
 -9.24363150e-04  4.62256750e-04 -7.34821195e-04 -1.44213845e-05
 -4.52593551e-04  1.99057555e-04 -6.03468390e-04 -6.52451883e-04
 -7.04993540e-03 -1.25786392e-02  2.23592408e-02  1.62427459e-04
 -1.14775891e-03  5.28281438e-04 -2.42916029e-03 -2.99735297e-03
  1.32026174e-03 -2.63774232e-03 -7.85835320e-04  9.49854613e-04
  6.47066161e-04  2.06299266e-03  9.23219603e-04  7.70029437e-04
 -1.04305660e-03  7.41434691e-04  2.20996531e-04  2.21757909e-06
  1.27773928e-05  7.27932784e-04  7.29622785e-04  6.16043864e-04
  6.34040043e-04  1.63215460e-04  3.63124942e-04 -4.79819893e-04
  1.83562806e-04 -2.83092493e-04 -6.38037163e-04 -1.64770463e-05
 -2.56104185e-03 -6.98824553e-03  9.76508856e-03 -3.14119388e-03
  2.43050512e-03 -1.40530930e-03  6.20289380e-03  5.50701143e-03
 -5.41569572e-03  3.63941677e-03 -2.02847878e-06  4.79235430e-04
 -1.19896000e-03  3.12378135e-04 -3.66008375e-04  3.29374219e-04
 -4.15361021e-04 -2.55813752e-03 -6.54292118e-04  2.78233114e-04
 -8.69820826e-04 -4.11448011e-04 -1.26783241e-04  6.51681039e-04
  1.78629794e-04  1.65552643e-04 -1.18972175e-03  9.43474530e-04
 -5.53730002e-04 -7.70534243e-05 -6.77042874e-04  2.60336004e-04]","[ 5.71124069e-03  9.52494447e-04 -1.54153258e-03 -2.46844580e-03
  1.42449723e-03  1.74385641e-04 -6.23619242e-04  7.03823869e-04
  2.15081987e-03 -3.39624938e-04  7.64379569e-04 -1.98129390e-04
 -5.54153230e-04 -3.34683573e-05 -2.66190211e-04  1.85178680e-04
  2.67966883e-04  7.68198806e-04  9.79264034e-04 -3.14710371e-04
 -1.92576204e-03 -2.94919650e-04 -5.93750214e-04 -3.96473537e-04
 -2.54684681e-04  2.75244296e-04  4.87073521e-05 -4.06586740e-04
 -8.98439903e-04 -1.00828765e-03  2.34118532e-04  4.83438926e-05
 -3.56676319e-04 -5.11723105e-03  8.94744997e-04 -5.75100421e-04
  1.44032179e-03 -1.78755843e-03  1.11207098e-03 -1.95143197e-03
 -1.06859172e-03 -3.98494274e-04 -5.84882509e-05 -9.31989809e-04
  5.83346293e-04 -1.03248784e-03  1.03638880e-03  9.74132796e-04
  1.10305566e-03 -2.50326266e-04  4.61886870e-04  2.79027940e-04
 -1.50650027e-04 -2.21401293e-04 -2.44462717e-05  7.17126182e-04
  9.14436940e-04  8.57521882e-05 -3.36481433e-04  2.55626452e-04
 -4.74559492e-04 -2.16973713e-04  2.99023988e-04 -1.88849634e-04
  2.27759536e-02  1.20572047e-02 -4.19916399e-03 -3.96937598e-03
  5.59186935e-03  1.40348938e-03  4.36827831e-04  1.19893579e-04
  1.27309444e-03  1.37687020e-03 -9.91532812e-04 -5.43821603e-04
 -4.76712303e-04  3.48679605e-05 -6.45478955e-04  4.36355243e-04
 -2.96517828e-05  1.68300176e-04  2.56891741e-04 -1.56519709e-05
 -9.64769642e-05 -6.22607069e-04 -4.55168687e-04  3.61002341e-04
  6.63092651e-04  7.29756721e-04  4.98570502e-04 -6.95124851e-04
  1.01020851e-03  1.59687421e-04 -2.20568400e-04 -5.56180836e-04
  6.27792021e-03  4.49723937e-03 -5.00105694e-03 -1.28946174e-03
  5.90020604e-03 -2.29140185e-03  8.11708102e-04  3.49470228e-03
  5.41418965e-04  2.19057919e-03  1.01835653e-03  7.73867476e-04
 -1.51502155e-03 -1.13112235e-03 -3.98594304e-04  8.82056425e-04
  1.70295790e-03 -5.07874240e-04 -2.98381899e-04  1.06560685e-04
 -1.08871922e-04 -2.01671806e-04 -1.65806268e-05  1.94663182e-04
 -9.47615597e-04 -2.48204742e-06  4.12007794e-04 -2.55526975e-04
  9.27386922e-04  8.74479651e-04  9.96066228e-05 -3.53684474e-04]",,57964,audio/signals_f,,
,2.0,-1.0,,28,,,,,,0.0,57968,geometry/pose_raw,-0.7740201354026794,5.0
,0.0,0.0,,29,,,,,,0.0,57976,geometry/pose_raw,-0.7546645402908325,4.0
,-1.0,0.0,,30,,,,,,0.0,57985,geometry/pose_raw,-0.7362285256385803,4.0
,-2.0,1.0,,31,,,,,,0.0,57997,geometry/pose_raw,-0.7075800895690918,4.0
,1.0,4.0,,32,,,,,,0.0,58005,geometry/pose_raw,-0.6679361462593079,4.0
,0.0,5.0,,33,,,,,,0.0,58015,geometry/pose_raw,-0.6171572804450989,4.0
,-6.0,1.0,,34,,,,,,0.0,58026,geometry/pose_raw,-0.5656299591064453,4.0
,-3.0,0.0,,35,,,,,,0.0,58036,geometry/pose_raw,-0.5375046133995056,4.0
,-6.0,0.0,,36,,,,,,0.0,58045,geometry/pose_raw,-0.528419554233551,4.0
,-5.0,-7.0,,37,,,,,,0.0,58057,geometry/pose_raw,-0.500188410282135,4.0
,-22.0,-19.0,,38,,,,,,0.0,58067,geometry/pose_raw,-0.43450790643692017,7.0
,-10.0,-20.0,,39,,,,,,0.0,58085,geometry/pose_raw,-0.30869749188423157,7.0
