audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,-2.0,1.0,,0,,,,,,0.0,168196,geometry/pose_raw,-9.009368896484375,4.0
,1.0,3.0,,1,,,,,,0.0,168209,geometry/pose_raw,-8.951904296875,4.0
,1.0,0.0,,2,,,,,,0.0,168215,geometry/pose_raw,-8.916550636291504,5.0
,1.0,-1.0,,3,,,,,,0.0,168227,geometry/pose_raw,-8.906846046447754,5.0
,0.0,-1.0,,4,,,,,,0.0,168236,geometry/pose_raw,-8.891754150390625,5.0
,0.0,0.0,,5,,,,,,0.0,168248,geometry/pose_raw,-8.844484329223633,5.0
,0.0,2.0,,6,,,,,,0.0,168256,geometry/pose_raw,-8.81485652923584,5.0
,-2.0,2.0,,7,,,,,,0.0,168265,geometry/pose_raw,-8.767585754394531,1.0
3273016187,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",8,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-6.3572470e-03 -6.4268187e-03  6.1122207e-03 -9.5998292e-04
  7.0935098e-04 -4.0863506e-03 -7.9733372e-04  4.2129826e-04
  4.2319240e-05  3.7157615e-03 -1.1701563e-03 -1.4898910e-03
 -2.1139598e-03 -7.6788996e-04  6.0635043e-04  4.3273033e-03
  2.8332628e-03 -1.3823985e-04 -7.1184928e-05 -1.8143213e-03
  1.4207982e-03  2.6078410e-03 -3.2961080e-04 -1.6758502e-05
 -1.7201339e-04  3.8646237e-04  1.4666756e-04 -7.6226261e-04
 -1.3504816e-03  4.0873696e-05  1.2483369e-03 -5.5173330e-04
 -1.0486507e-02 -1.8662564e-03 -4.7753616e-03 -1.4720884e-03
 -5.0292350e-03 -5.3161914e-03  1.1146599e-03  8.8495872e-04
  1.4058920e-03  1.1428298e-03  3.7046536e-03  2.6176937e-03
 -8.1189442e-03  1.5915439e-03 -4.2199998e-04 -3.0563509e-03
 -1.6550901e-03 -8.9803577e-04 -7.7313598e-04 -1.7590012e-03
  5.9318449e-04  1.9747184e-03 -1.2956467e-03  4.1743455e-04
 -9.3755388e-04  1.2728684e-03 -7.9124677e-04  1.2180073e-03
  1.8902457e-03  3.7458003e-04  3.2724696e-05  1.1337984e-03
 -9.4103003e-03 -6.9295745e-03  1.2915287e-02 -4.6712314e-03
  1.7235628e-03 -1.0727882e-02 -2.9429947e-03  2.2626410e-03
  2.1769931e-03 -2.0584365e-04 -2.0262306e-03  2.1166089e-03
 -7.1757729e-04  4.6865450e-04 -1.0818274e-03  1.5369665e-03
 -1.2692082e-03 -1.2247432e-04  7.9800148e-04 -6.5869244e-05
 -9.9693437e-04 -7.2946528e-04 -3.9291178e-04  1.0437080e-04
  2.0634703e-05 -5.4647127e-05  2.6395830e-04  7.6498778e-04
  1.0658134e-03 -5.7846849e-04  1.7393928e-04  7.2942604e-04
 -7.2502824e-03 -1.1200207e-02  8.1104711e-03 -2.5929799e-03
 -5.8378773e-03 -4.1421195e-03  1.7129522e-04  2.7558997e-03
 -2.4280560e-03  4.2360337e-03 -6.4538734e-04 -1.4727929e-03
  9.8396000e-03 -3.7883252e-03  5.9439540e-03  3.2349348e-03
  2.2190512e-04  3.1704025e-03  1.5743769e-04 -8.6512126e-04
  1.1243783e-03 -1.1985188e-03  2.3783449e-04 -2.9234571e-04
  1.1421053e-03 -9.1489771e-04 -6.7081687e-04  1.3451714e-03
  2.9199524e-04 -3.7156884e-04  4.4862487e-04 -5.1991531e-04]","[-3.4140769e-04 -3.5307652e-03  5.2168891e-03  2.9277829e-03
 -7.2225212e-04  2.8571747e-03  3.4197728e-04  3.4941157e-04
  1.9250907e-03 -3.1979473e-03  2.8888995e-03  2.5807824e-03
  1.1578796e-03  3.2273987e-03 -1.4293885e-03  2.1122111e-04
 -1.0807642e-03  1.7518124e-03  5.0534459e-04 -2.4859898e-04
 -1.2301109e-03  8.7858323e-04 -1.0380580e-03  6.7402056e-04
 -6.0551078e-04 -1.8654289e-04 -2.8492097e-04 -3.6879341e-04
 -1.6173309e-04 -6.3014304e-04  1.1096610e-03 -2.7448783e-05
 -1.7033014e-03 -4.0106286e-04 -3.1852623e-04 -4.4545811e-04
  1.1948064e-03  6.9561242e-03 -5.5220309e-03 -5.1708764e-04
  5.1903533e-04  1.2991705e-03 -3.2001678e-03 -1.0399211e-03
  9.9258749e-03 -7.4875692e-04 -6.2468840e-04 -4.7084235e-05
  3.3570812e-03 -3.2359217e-03 -1.0662450e-03 -7.6558080e-04
  5.9470569e-04  1.3853936e-03  1.1518671e-03 -6.8370788e-04
 -3.3846320e-04 -1.2293492e-03  3.9175700e-04  8.0656994e-04
  8.7954500e-04  7.0722215e-04  3.5955019e-03 -1.7711767e-03
 -4.3901764e-03 -5.6926464e-03  1.2913791e-02  1.8990814e-03
  9.0742280e-04  2.0457308e-03  4.1811815e-03 -9.8731145e-03
  1.5625390e-03 -3.9534140e-03  2.8503556e-03  9.1682357e-04
  2.3312359e-03  7.2546117e-04 -9.7827741e-04 -1.4696445e-03
  7.7477237e-04  3.5081050e-04  7.5709762e-04  7.0210917e-05
 -1.6680121e-04  9.2527788e-04 -1.0619584e-05 -5.9049769e-04
  1.1320563e-03  2.7717393e-05  7.3088723e-04  9.5220741e-05
  3.8304512e-04 -3.5437068e-05  5.8224070e-04 -1.5345505e-04
  1.6275707e-03  3.3013392e-03  5.2838689e-03 -7.9666206e-04
  2.6145554e-03  5.7236147e-03  9.8467083e-04 -5.1047909e-04
  5.3654448e-04 -3.2103811e-03  3.2419993e-03 -7.1089098e-04
 -7.9066744e-03 -1.3503931e-03 -1.5043898e-04  3.4023339e-03
  7.3896651e-04 -1.2530881e-04  2.0154661e-03  1.2432263e-03
 -5.2306615e-04  1.0163744e-03 -7.1999949e-04 -4.3399388e-04
  2.4582696e-04 -5.1294494e-04  5.7437038e-04 -1.2260280e-04
 -1.5477386e-04 -1.1857968e-03  1.1424543e-04  9.5478026e-04]",,168268,audio/signals_f,,
,0.0,0.0,,9,,,,,,0.0,168277,geometry/pose_raw,-8.778886795043945,1.0
