audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,-1.0,0.0,,0,,,,,,0.0,86831,geometry/pose_raw,-6.4724812507629395,20.0
,2.0,0.0,,1,,,,,,0.0,86839,geometry/pose_raw,-6.468103408813477,19.0
,0.0,0.0,,2,,,,,,0.0,86850,geometry/pose_raw,-6.461874485015869,19.0
,0.0,0.0,,3,,,,,,0.0,86860,geometry/pose_raw,-6.455685615539551,19.0
,0.0,0.0,,4,,,,,,0.0,86870,geometry/pose_raw,-6.450685977935791,19.0
,0.0,0.0,,5,,,,,,0.0,86878,geometry/pose_raw,-6.442947864532471,19.0
,-8.0,0.0,,6,,,,,,0.0,86889,geometry/pose_raw,-6.43696928024292,19.0
,7.0,0.0,,7,,,,,,0.0,86898,geometry/pose_raw,-6.420145034790039,19.0
,7.0,0.0,,8,,,,,,0.0,86916,geometry/pose_raw,-6.417524814605713,19.0
3192098215,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 2.88172928e-03 -5.36380219e-04  2.09071045e-03  5.36654959e-04
  1.54879049e-03  6.30488270e-04  4.40315023e-04  1.27767504e-03
  1.12529588e-03  1.19390723e-03 -1.13669666e-03  2.92267388e-04
  1.53174609e-04 -1.84702614e-04  1.99426868e-05  4.31780907e-04
  2.68551812e-04 -3.58072633e-04  1.64262624e-03 -2.02757379e-04
  2.38379725e-04 -3.99963232e-04 -3.51078139e-04  4.44224133e-04
 -4.16988827e-04 -5.22799732e-04 -9.08977818e-04  8.69130774e-04
 -2.85421265e-06  4.28332714e-04 -4.93991713e-04  3.41980849e-05
 -1.29088163e-04  2.36134816e-04  2.10808148e-03  6.92073809e-06
  9.01920372e-04  1.39956037e-03 -5.70174714e-04 -4.75738489e-04
 -1.39473341e-04  1.11577299e-03  7.33624271e-04 -5.94949670e-05
 -5.00800787e-04 -7.83872441e-04  4.23688180e-05 -7.64233293e-04
  1.11185526e-03 -1.86348807e-05  1.11310816e-04 -1.48890722e-05
 -9.17460769e-04 -5.17466804e-04 -2.75274884e-04 -4.13219008e-04
  6.70207548e-04 -2.09610793e-04  1.40489181e-04  7.73718493e-05
 -3.48273257e-04  4.68897313e-04 -7.03972619e-05  9.01513267e-04
  7.26415077e-03 -1.42014923e-03  4.21499694e-03  8.45218019e-05
  1.33471331e-03  8.76335136e-04 -3.28743085e-03  1.14264828e-03
  9.50142683e-04 -2.21368973e-05  3.05406313e-04 -3.41804669e-04
 -1.34728150e-03 -7.60794966e-04  8.83999979e-04 -2.40527690e-04
 -1.18822325e-03 -1.08567612e-04 -5.55422594e-06  1.12950755e-03
  6.85064821e-04  1.97717367e-04  4.87489189e-04  6.38060388e-04
  1.46103994e-04  2.06527802e-05  4.01962840e-04  1.46349805e-04
  2.77108746e-04  3.46153363e-04 -2.56291038e-04  2.30352351e-04
 -2.85281776e-03 -1.89245481e-03  8.94609664e-04 -2.75265222e-04
  1.21156883e-03  3.12336418e-03 -2.25890684e-03 -5.03851799e-04
  2.15969485e-05  2.89239862e-04 -1.87961632e-04 -1.59634033e-03
  5.96509082e-04  8.53192352e-04  5.55958657e-04  2.74313235e-04
  6.43545063e-05 -2.96982296e-04  2.62655987e-04 -7.74833781e-04
  2.72097619e-04 -3.83822480e-04 -6.33877469e-04  3.63812112e-04
  3.24116059e-04 -3.19067447e-04 -5.66560193e-04  2.23350929e-04
 -1.07801484e-03 -4.61265998e-04  5.22344490e-04 -1.67910388e-04]","[ 3.01840669e-03 -1.72077282e-03 -8.33643193e-04 -1.53429597e-03
 -1.96335313e-05  2.12978644e-04 -1.48610375e-03 -8.80514854e-04
 -1.50747260e-03  9.94770904e-04  8.20208748e-04  4.67152277e-05
 -1.31779452e-04  2.57724983e-04  8.51191697e-04 -5.77793544e-05
 -2.20774469e-04 -3.63389438e-04  1.70500280e-04  6.73027360e-04
  2.38716326e-04 -8.06224882e-04 -3.18920851e-04 -2.36026404e-04
  5.69331132e-05  2.73005367e-04  8.35390179e-04 -1.23130623e-04
 -3.15499841e-04 -4.13009839e-04 -2.05129545e-04 -9.84120652e-06
 -4.66086436e-04  1.05470093e-03 -3.95900977e-04 -8.39045329e-04
 -1.47099991e-03 -1.93923060e-03 -4.78618807e-04 -1.31259882e-03
 -3.53675714e-04  2.80214532e-04 -4.65226069e-04 -9.14396369e-04
  6.34698314e-04  5.58265776e-04 -8.47471238e-05 -3.74557363e-04
 -3.16872203e-04 -2.16905843e-04 -1.05333660e-04  1.74984292e-04
  5.71949524e-04 -2.37063679e-04  8.27261538e-05  8.38703199e-05
  1.73657463e-05 -2.26232194e-04  9.99038457e-04 -2.00612034e-04
 -7.12247420e-05 -4.92750842e-04  6.46110042e-04  1.39943935e-04
  5.46311401e-03 -2.60677515e-03 -1.79835130e-03 -4.78587253e-03
  1.38220470e-03  9.08443122e-04 -2.73709372e-03  1.56348018e-04
 -4.06778301e-04  4.04498912e-03 -4.11201996e-04 -2.20468646e-04
 -1.23438716e-03  1.07970467e-04  8.54714192e-04  5.70800155e-04
  1.92716630e-04 -2.89773074e-04  2.46432959e-04 -2.15242035e-04
 -1.17364558e-04 -4.70159255e-04  2.82929454e-04 -6.21654908e-04
 -1.56241251e-04 -4.33874848e-05  2.73607817e-04 -3.95644485e-04
  2.60918023e-04  3.64681182e-04  4.37202689e-04 -1.53170011e-04
  2.00322503e-03 -8.21827736e-04 -1.03538367e-03 -3.38017568e-03
  4.96892666e-04 -1.55819522e-03  5.72532881e-04 -7.62101728e-04
 -1.24146696e-03 -7.66057114e-04  1.48366392e-03  3.87229054e-04
 -5.78388164e-04  1.90968334e-04  1.83592289e-04 -8.17791806e-05
  4.13011992e-04 -5.10837650e-04 -4.29137901e-04 -8.99837323e-05
 -1.28041196e-03  2.33003957e-04 -5.32665756e-04  1.76620291e-04
 -6.54136820e-04  3.98932083e-04  2.30017758e-04 -9.89123582e-05
  9.64004546e-04 -1.05624946e-04  4.12621303e-04  3.14766730e-05]",,86919,audio/signals_f,,
