audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,0.0,141770,geometry/pose_raw,-4.779666423797607,17.0
,0.0,0.0,,1,,,,,,0.0,141779,geometry/pose_raw,-4.774393081665039,16.0
,0.0,0.0,,2,,,,,,0.0,141789,geometry/pose_raw,-4.7697601318359375,16.0
,0.0,0.0,,3,,,,,,0.0,141806,geometry/pose_raw,-4.765796184539795,16.0
,0.0,0.0,,4,,,,,,0.0,141814,geometry/pose_raw,-4.761414527893066,16.0
,0.0,0.0,,5,,,,,,0.0,141820,geometry/pose_raw,-4.755031108856201,15.0
,0.0,0.0,,6,,,,,,0.0,141831,geometry/pose_raw,-4.750176906585693,15.0
,0.0,0.0,,7,,,,,,0.0,141839,geometry/pose_raw,-4.743716239929199,15.0
,0.0,0.0,,8,,,,,,0.0,141849,geometry/pose_raw,-4.73879861831665,15.0
3246761923,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 1.28576852e-04 -1.06875121e-03  1.06236655e-02  3.12347198e-04
 -8.85526824e-04  8.56756291e-04  1.38973258e-03 -5.63508715e-04
 -8.11017235e-04 -3.00742337e-04 -7.50979671e-05 -1.28297741e-03
 -3.34965967e-04 -7.93381478e-04 -1.42859251e-04 -7.64644123e-04
  1.60743133e-04 -8.65909315e-05 -1.42714445e-04 -7.35759793e-04
 -1.41420332e-03  1.03049664e-04  1.42193865e-04 -5.72991790e-04
  6.15734025e-04  3.22628621e-04 -3.93467431e-04 -4.27781721e-04
 -3.37971433e-05 -3.22344480e-04  1.86839563e-04 -2.96966115e-04
  7.09547603e-04  5.38201362e-04  1.68055028e-03  8.73544079e-04
  7.54995213e-04  5.05185708e-05 -2.62944202e-04 -1.83764569e-04
 -6.61623315e-04  7.88614125e-05  3.22667503e-04  3.88498825e-04
 -3.70959751e-04 -3.72272159e-04 -3.03991517e-04 -4.07651882e-04
  8.14818486e-05  3.99821030e-04 -2.94120226e-04  4.65091813e-04
  5.10066398e-04 -4.80668205e-05  5.81342756e-05  2.49534234e-04
  2.81478453e-04  8.40375287e-06  2.32762948e-04  3.44203319e-04
  6.71962189e-05 -1.16082927e-04 -2.67393072e-04  3.01277905e-05
 -6.14255085e-04 -2.22502346e-03  2.71962378e-02 -3.77755845e-04
  4.94692591e-04  9.02509142e-04  2.32562539e-03 -4.85312368e-04
 -2.21395819e-03 -1.41563220e-03 -6.98467251e-04 -9.73054208e-04
 -1.46198401e-03 -2.60414643e-04  5.03604009e-04  1.98758789e-05
  2.53733771e-04  1.93905173e-04 -3.54018790e-04 -4.35083697e-04
 -7.93386280e-05 -4.79974231e-04 -3.53756361e-04 -6.94921473e-05
 -9.03547276e-04 -1.59220974e-04  2.72627803e-04  4.91953921e-04
 -4.57884220e-04 -5.90534182e-06  3.80643178e-04  5.26277217e-05
  1.70345081e-03 -3.10743228e-03  1.20621985e-02  1.09618925e-03
 -7.90317601e-04  6.98014861e-04  1.71402155e-03  1.16258889e-06
 -1.05890899e-03 -5.62811270e-04 -9.21501196e-05  2.29385405e-04
 -4.48085513e-04  5.20594767e-07  4.85629280e-05  9.70714435e-04
 -8.67414201e-05  3.66671826e-04  3.39137681e-04  2.72879290e-04
 -2.65304785e-04 -2.68904201e-04 -2.41293048e-04  6.93855109e-05
 -3.91546957e-04  5.72152494e-05 -2.61913636e-04 -2.74051330e-04
 -3.64255720e-05  1.36296527e-04  1.49405008e-04  1.80835668e-05]","[ 1.48868072e-03  2.97595887e-03 -2.45440286e-03  8.41654139e-04
 -5.09065751e-04  1.74964499e-03 -1.25158159e-03  5.74191799e-05
 -8.32161168e-04  2.78329244e-04  1.89914936e-04  8.54877173e-04
  8.54663784e-04 -1.47133396e-05 -8.37770058e-04  3.02639965e-04
 -1.55922520e-04  4.99051181e-04  1.62864308e-04  3.82469734e-04
  1.88434715e-04  6.39317266e-04  1.06043310e-03 -2.36192107e-04
  5.47197706e-04 -1.63833378e-04  4.09554777e-04 -3.32905707e-04
 -1.50185850e-04  2.88992742e-04  2.95843376e-04  3.85027262e-04
  3.73582676e-04  2.29343027e-03  7.68565573e-04 -7.89026526e-05
  2.60845874e-04 -4.96071007e-04  5.50424331e-04 -1.98576134e-04
  2.60337401e-06  7.18229101e-04 -1.29296823e-04  2.33997765e-04
 -7.70796381e-04  8.79886866e-05 -8.15649182e-05  5.48029551e-04
  6.53848838e-05 -5.39712928e-05  7.51914195e-05  6.32628507e-04
  1.03637669e-03 -2.04227050e-04  6.90009037e-04  1.61075688e-04
 -7.15193164e-04 -4.63764678e-04  3.28029797e-04 -4.51812113e-04
 -1.42971257e-04 -1.04575294e-04  5.99585706e-04  1.11749563e-04
  3.81177175e-03  8.42374749e-03 -6.39239931e-03  3.36316647e-04
 -4.10548504e-03  2.90639373e-03 -3.56453325e-04 -1.56855021e-04
 -1.28124538e-03 -5.47243515e-04 -8.16383254e-05  5.06857032e-05
  9.34681331e-04  1.69664650e-04  4.20109020e-04  2.64182745e-04
  1.58302995e-04 -1.29718872e-04 -3.22884909e-04  4.50604479e-04
 -1.20121019e-03 -1.41331402e-04  7.32096145e-04  6.01443462e-04
  4.47414146e-04 -8.34288585e-05 -5.22815157e-04  6.93173861e-05
 -3.96835210e-04 -1.11248977e-04 -2.86713592e-04 -4.45288315e-04
 -1.92970352e-03  4.41681966e-03 -4.42886259e-03  4.56399401e-04
 -1.87793968e-03  2.60237110e-04 -8.94427998e-04  5.10223850e-04
 -7.72422063e-04  9.37261269e-04 -3.23808257e-04  1.79709707e-04
 -2.59328634e-04  2.15300242e-05 -7.15049624e-04  5.08658588e-04
 -5.07693796e-04  2.63582770e-04  9.66989202e-04  4.32517700e-04
  3.16447666e-04  1.39390366e-04  5.65171009e-04 -1.22960086e-03
 -6.54022675e-04 -1.10794767e-03 -1.15363131e-04  6.10373914e-04
  4.16681869e-04  1.83573051e-04  8.21851427e-06 -6.24197419e-05]",,141852,audio/signals_f,,
