audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,1.0,,0,,,,,,90.0,15606,geometry/pose_raw,-0.001996338600292802,1056.0
,0.0,-4.0,,1,,,,,,90.0,15616,geometry/pose_raw,-0.0008523701108060777,1056.0
,-1.0,5.0,,2,,,,,,90.0,15627,geometry/pose_raw,-0.004395695403218269,1056.0
83776632,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",3,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-5.61756222e-03 -8.75401020e-04  3.40374187e-03 -1.08793296e-03
  9.27694346e-05 -1.04102190e-03 -2.33425945e-03 -2.85851391e-04
 -1.40397591e-04  6.33936143e-04 -6.46664121e-04  6.51946815e-04
 -6.92045083e-04 -2.92938319e-04  3.08558752e-04  4.81444615e-04
 -3.91658046e-04 -9.37614896e-05 -3.64283158e-04  1.42039498e-05
  5.67222160e-05  4.73899592e-04 -1.58681389e-04 -3.55167431e-04
  2.73062469e-04  3.43347143e-04 -6.95784809e-04 -2.44738767e-04
  3.90024536e-04  2.92518234e-04  7.58920651e-05  1.98139343e-04
 -1.65523263e-04  6.89801411e-04  1.31455995e-03 -4.68549755e-04
 -5.34088816e-04  8.23804294e-05  5.78161926e-05  2.98599443e-05
  2.28992023e-04 -2.80398788e-04 -3.43631400e-05  1.05463383e-04
 -1.15806979e-04  7.56857626e-05  3.47293506e-04 -4.17863157e-05
 -3.30046198e-04 -2.64399307e-04  2.46889133e-04 -1.85329467e-04
 -3.61747225e-04  1.10674722e-04  3.72646027e-04 -8.91020027e-05
  4.56475711e-04  1.82700300e-04  2.67851137e-04  1.08761116e-04
  5.59226726e-04  1.68078346e-04  3.39913131e-05  1.12270347e-04
 -5.47791040e-03  8.12840182e-04  5.21029485e-03 -3.10853356e-03
 -3.04766436e-04 -2.37412169e-03 -3.27271759e-03  1.21899135e-03
  6.39650854e-04  1.12660218e-03 -1.52727007e-03  9.12000542e-04
  5.34971885e-04  2.41080808e-04  2.44443305e-04  7.31576991e-04
 -1.06106068e-04  7.59707473e-05 -1.08413748e-04  1.94806897e-04
  4.75367851e-05  2.16753193e-04  1.23935373e-04  2.98107159e-04
 -6.12497213e-04  1.29537933e-04 -3.71794857e-04 -2.89458141e-04
 -2.25246127e-04 -2.64589238e-04 -1.98523849e-04  1.61003627e-04
 -2.69029988e-03  6.56725548e-04  3.62606603e-03 -1.65281701e-03
  1.94485602e-03 -4.26123443e-04 -1.31654181e-03 -1.90147490e-04
 -9.00605519e-04  7.61143398e-04 -6.57410827e-04  2.65742361e-04
  1.67652513e-04 -2.68802891e-04 -4.92868596e-04  5.28150413e-04
 -6.31224888e-04 -4.67183818e-05 -4.29187552e-04 -2.10830767e-04
 -4.95455577e-04 -5.82551729e-05 -2.11990526e-04  3.32816388e-04
  2.93841440e-04 -2.44530587e-04  4.72570246e-04 -6.19786268e-04
  2.97014019e-04  3.74895695e-04  9.85456572e-05 -3.13708384e-04]","[-1.4086384e-01  3.8852906e-03  2.7318154e-03 -3.2486168e-03
  9.7149127e-04 -2.1521710e-03 -2.1757735e-03  5.9666176e-04
 -9.1688521e-04  1.4958887e-03  1.5839625e-05 -3.8541271e-04
  8.1967592e-05 -1.0439069e-04 -6.7445496e-04 -4.5519634e-04
  7.5138430e-04  1.6370627e-04 -4.2620104e-06 -2.3941591e-04
 -3.6205706e-04 -5.9974042e-04 -3.5371486e-05 -1.4346486e-04
  9.0128742e-07 -2.6731010e-04  6.8451976e-05  8.5624721e-05
 -6.8511744e-04 -1.0840741e-04 -2.7539613e-04 -8.1694388e-04
 -1.4834473e-01  8.1123244e-03  1.3670351e-03 -8.7843358e-04
 -5.9473992e-04 -4.7697502e-04 -4.3037371e-04  2.1938601e-04
  1.1140153e-04  1.8066561e-04  8.8948722e-04  4.3409335e-04
  8.2853518e-04  5.3826981e-05  1.2555967e-04  1.6004355e-04
  2.0256062e-04  4.0395779e-04  2.8218186e-04  2.5175275e-05
  3.3777129e-04  1.4685064e-04  2.4787398e-04  3.9880833e-04
  2.4922749e-05  1.6430867e-04 -1.9478022e-05  4.5854520e-04
 -1.5996757e-04  1.1665278e-04  1.2512230e-04  4.4853202e-04
 -1.3628969e-01  3.0363617e-03  4.5645190e-03 -4.2253369e-03
  2.3503238e-03 -9.9407812e-04 -4.4308533e-03  9.3022553e-04
 -4.9510482e-04  1.2643738e-03 -2.6594504e-04 -7.9174759e-05
 -9.1409594e-05  2.0223155e-04 -6.7813566e-04 -6.1465791e-05
 -3.7047168e-04 -6.4764416e-04 -5.5497308e-05  3.0496964e-04
 -3.1690457e-04 -3.5791568e-04  1.5253847e-04 -1.0000628e-04
 -3.7381696e-04  1.2335499e-03 -5.4673833e-04  5.8942067e-05
 -4.0175632e-04 -2.0272793e-04  4.4761857e-04 -1.5743697e-04
 -1.4860578e-01  6.8742661e-03  3.4569162e-03 -3.6410568e-03
  1.1617106e-03 -2.7137419e-04 -1.5893802e-03 -7.9194817e-04
 -7.3959888e-04 -6.5420044e-04 -7.7124205e-05  3.4893231e-04
 -2.6816787e-04  2.8108474e-04  1.0850601e-04 -2.6261405e-04
 -1.8893214e-04  1.3137917e-04 -7.0355617e-04  1.6436932e-04
 -4.9236621e-04 -4.3653374e-04  2.2788208e-04  1.6106234e-05
  4.3729866e-05  6.9133460e-04  1.4328001e-05 -2.7739196e-04
  4.8814030e-04 -2.1981177e-04  2.9307345e-04  4.2936628e-04]",,15630,audio/signals_f,,
,-1.0,5.0,,4,,,,,,90.0,15644,geometry/pose_raw,-0.002692874986678362,1056.0
,0.0,-1.0,,5,,,,,,90.0,15652,geometry/pose_raw,-0.0036973319947719574,1073.0
,0.0,3.0,,6,,,,,,90.0,15658,geometry/pose_raw,-0.002868802985176444,1073.0
,-1.0,-1.0,,7,,,,,,90.0,15667,geometry/pose_raw,-0.005336345173418522,1073.0
,4.0,-2.0,,8,,,,,,90.0,15678,geometry/pose_raw,-0.0006687226123176515,1073.0
,-2.0,0.0,,9,,,,,,90.0,15687,geometry/pose_raw,-0.005942309740930796,1052.0
