audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,5.0,0.0,,0,,,,,,90.0,9484,geometry/pose_raw,-0.004861282184720039,312.0
,-7.0,0.0,,1,,,,,,90.0,9494,geometry/pose_raw,-0.025360431522130966,312.0
,3.0,0.0,,2,,,,,,90.0,9502,geometry/pose_raw,-0.01820741593837738,308.0
,-4.0,0.0,,3,,,,,,90.0,9514,geometry/pose_raw,-0.029432477429509163,308.0
,4.0,0.0,,4,,,,,,90.0,9524,geometry/pose_raw,-0.019337471574544907,308.0
,-4.0,1.0,,5,,,,,,90.0,9532,geometry/pose_raw,-0.029838453978300095,308.0
,4.0,-2.0,,6,,,,,,90.0,9542,geometry/pose_raw,-0.023141367360949516,318.0
27082871,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-5.92465466e-03  3.26747936e-03 -1.98289659e-03  9.07534035e-04
 -5.98835642e-04  1.24461937e-03  1.74084830e-03 -5.44960203e-04
 -2.06661643e-04  1.07991786e-04 -1.53356465e-04 -1.25326100e-03
 -7.31708424e-04 -7.94556981e-04 -1.58613431e-04 -4.00681107e-04
  4.64279816e-04 -7.77321329e-05 -1.15879741e-03 -5.07280638e-05
  1.54905851e-04  3.15441648e-05 -5.16981119e-04 -6.99179596e-04
 -8.54405691e-04 -5.11522594e-05  5.79692191e-04  5.90419630e-04
 -2.37878281e-04 -2.22465795e-04 -1.86821606e-04  2.50690005e-04
 -1.98974460e-03  6.59597281e-05 -1.59575325e-03  5.75947692e-04
 -1.98239301e-04 -1.87494414e-04  4.20061144e-04  5.04768861e-04
 -2.95831705e-04 -5.03222400e-05  3.46302346e-04  1.91357773e-04
  3.47478548e-04 -1.03021608e-04 -1.59617062e-04 -2.11619670e-04
  5.80134103e-04 -1.85432262e-04 -5.82391338e-04  8.78726205e-05
  2.47202406e-04 -1.72226864e-04 -4.49287909e-04 -4.46079852e-04
  2.20450835e-04  2.21792252e-05  2.00238428e-04 -1.97891903e-04
 -4.57044283e-04 -1.48618070e-04 -1.14256545e-06  3.35298537e-04
 -1.01801567e-02  4.73158015e-03 -8.09371565e-03  1.19804475e-03
 -1.94127299e-03  3.06417001e-03  2.81437393e-03 -1.29811349e-04
 -1.02333806e-03  9.55034338e-04 -3.52524454e-04 -9.39330203e-04
 -1.17746333e-03 -5.55435545e-04 -3.37079400e-04 -2.40591879e-04
  1.50837831e-03  7.89605663e-04 -1.08522538e-03 -5.36158448e-04
 -4.06190054e-04  8.54979662e-05  4.33755835e-04  1.18626587e-04
  6.77019125e-04 -6.65875908e-04  7.69557606e-04  8.50257464e-04
  3.68680834e-04 -1.58394512e-04 -2.15454318e-04  5.00541180e-04
 -2.64784368e-03  3.15953232e-03 -4.26716311e-03  1.25893415e-03
 -1.02188438e-03  2.43326300e-03  1.80252886e-03  3.12030403e-04
 -1.09905191e-03 -4.17958392e-04 -1.10554299e-03 -2.45087693e-04
 -2.45265546e-04 -3.17655387e-04 -1.40829070e-06 -3.60391103e-04
  6.76503521e-04 -4.93575877e-04 -3.42964806e-04  3.08814779e-04
  6.70758818e-05  3.18459934e-04 -1.26508421e-05  4.84182092e-04
 -2.85216258e-04 -1.40149379e-04  4.56131180e-04 -5.86986600e-04
 -6.65011903e-05 -2.32819177e-04  1.90735707e-04  5.56127401e-04]","[-1.28001004e-01  1.01108532e-02  1.73115777e-03  6.14453107e-04
  4.22782541e-05  1.12252939e-03 -5.89604606e-05 -4.72331507e-04
 -9.12736286e-04  4.41221753e-04 -1.01018406e-03 -6.09075651e-04
 -3.57834273e-04 -1.19164668e-03 -8.36849213e-05  5.18202258e-04
 -2.61449575e-04  2.04532043e-04 -3.28027352e-04  5.21633425e-04
 -8.00556154e-06 -2.53494596e-04  2.67488125e-04  4.61779360e-04
  2.92292796e-04  1.55413436e-04  1.09904919e-04 -4.07797343e-04
 -4.96833527e-04 -1.47611892e-04 -4.98728652e-04 -1.67846185e-04
 -1.46828324e-01  6.41278643e-03  1.82405219e-03 -1.89348566e-03
  8.56071303e-04 -3.48681526e-04 -2.63464171e-05  2.88925832e-04
 -3.73024413e-05  4.68403625e-04  1.28527201e-04 -1.35186245e-04
  5.84400987e-05 -3.60880251e-04  4.81755822e-04 -5.62369882e-04
 -2.98433995e-04  3.57907084e-05 -4.87124547e-04 -1.61660224e-04
 -2.51327612e-04 -5.32465288e-04  4.48946928e-04 -6.24040724e-04
 -1.62591707e-04 -5.91238677e-05 -8.80622756e-05 -2.71217577e-05
 -3.08703980e-04 -1.34025773e-04 -5.68414798e-05  8.94898039e-05
 -1.15271270e-01  1.10761635e-02 -1.32778625e-03  4.66572499e-04
  1.46333477e-03  3.94567940e-03  3.90471978e-04  1.47857470e-03
 -2.58517289e-03 -6.72048016e-04 -2.03434657e-03  4.96800407e-04
 -7.63991673e-04 -1.36928353e-03  3.79218836e-04  6.81716367e-04
  2.03193631e-04 -7.62162526e-05 -1.98946320e-04 -7.91875238e-04
  4.45689395e-04 -3.28503491e-04  7.00090488e-04 -2.89561402e-04
  6.91102032e-05  4.24003985e-04  3.35098477e-04  1.01356418e-05
  1.92193431e-04  4.73547378e-04 -1.56524271e-04 -2.25505297e-04
 -1.35486752e-01  1.16932448e-02  1.26084441e-03 -4.94057487e-04
 -1.65548947e-04  1.30925688e-03  2.10513826e-06  4.11703310e-04
 -6.96563628e-04 -3.71086004e-04 -5.41719783e-05  3.44891247e-04
 -8.97868013e-05 -5.30825928e-04  1.79258550e-05  1.36367598e-04
 -2.54790648e-05 -6.86018539e-05  6.06100657e-04 -4.53040266e-05
 -1.68625935e-04  7.56332010e-05 -2.13277875e-04  3.99614146e-05
 -1.57358591e-06  5.35250991e-04  8.14306200e-04 -3.53043724e-04
 -3.95377538e-05  6.50079688e-04  4.16547846e-06  1.18811491e-04]",,9560,audio/signals_f,,
,-3.0,2.0,,8,,,,,,90.0,9561,geometry/pose_raw,-0.031328871846199036,318.0
,1.0,0.0,,9,,,,,,90.0,9567,geometry/pose_raw,-0.03197712451219559,318.0
