audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,-3.0,,0,,,,,,90.0,95269,geometry/pose_raw,0.002955653006210923,1102.0
,0.0,1.0,,1,,,,,,90.0,95279,geometry/pose_raw,0.002955653006210923,1102.0
,0.0,-1.0,,2,,,,,,90.0,95290,geometry/pose_raw,0.002955653006210923,1083.0
,0.0,3.0,,3,,,,,,90.0,95298,geometry/pose_raw,0.002955653006210923,1083.0
,0.0,0.0,,4,,,,,,90.0,95308,geometry/pose_raw,0.002955653006210923,1083.0
,0.0,-3.0,,5,,,,,,90.0,95320,geometry/pose_raw,0.002955653006210923,1083.0
,0.0,3.0,,6,,,,,,90.0,95329,geometry/pose_raw,0.002955653006210923,1083.0
,0.0,-2.0,,7,,,,,,90.0,95338,geometry/pose_raw,0.002955653006210923,1080.0
,0.0,-2.0,,8,,,,,,90.0,95347,geometry/pose_raw,0.002955653006210923,1080.0
163046209,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 1.87064737e-01 -3.86587590e-01 -4.64093417e-01  4.00570691e-01
  2.85002083e-01  5.92051111e-02 -1.35219228e+00 -3.28601450e-02
 -5.10510281e-02  6.45596534e-02  2.93256398e-02  4.88009863e-02
 -1.07905924e-01 -5.02403378e-01 -8.00539181e-02 -5.41016050e-02
 -2.74986863e-01  4.47993316e-02  2.90169902e-02 -1.24156319e-01
  9.43699852e-02 -4.38452698e-02  5.61540527e-03 -2.01489791e-01
  2.20123641e-02 -1.07272873e-02  4.49976996e-02  3.67547423e-02
 -6.80945516e-02  1.68674961e-02  6.58719018e-02 -3.12561430e-02
  5.92979938e-02 -2.51070056e-02  9.51130867e-01  6.78950787e-01
 -3.27982694e-01  8.75506327e-02  2.66733599e+00 -2.82532573e-02
  5.38443066e-02  2.35410437e-01  7.80691728e-02 -1.23831257e-01
  1.25464380e-01  3.19968686e-02 -2.79586818e-02  4.92018871e-02
 -1.00456774e+00 -1.50505193e-02 -5.87471165e-02 -1.99323017e-02
  9.59414896e-03 -1.49719743e-03  5.54875098e-03  6.52030669e-03
  2.80187652e-02 -1.51642621e-03 -1.76008120e-02  1.34522114e-02
  9.22402591e-02 -8.08904320e-03 -3.16022970e-02 -4.87314351e-03
 -1.23611376e-01 -4.76741701e-01 -5.47227681e-01 -8.76436353e-01
 -3.58555093e-02  2.99313199e-03  4.80517000e-01  9.57274213e-02
  1.19421192e-01  5.56737304e-01  4.18685116e-02  2.08164304e-01
 -9.91185382e-02 -2.03483179e-02  3.92100289e-02 -2.73887459e-02
 -1.44801784e+00  7.33397603e-02  5.71377985e-02  3.38088796e-02
 -5.25977388e-02  1.07507883e-02 -5.31118996e-02  1.62076548e-01
 -2.75966320e-02 -2.99089383e-02  1.31293684e-01  1.71788633e-02
 -3.76399867e-02 -7.61534087e-03 -3.33347544e-03 -3.58465947e-02
 -6.04640394e-02 -1.54574168e+00 -7.49830365e-01  2.58523750e+00
  1.99774384e-01  3.82634737e-02 -1.61018715e+01  4.29051965e-02
  9.84442085e-02  1.03777885e+00  2.50784636e-01  1.70267761e-01
 -1.57148078e-01 -4.53429639e-01 -1.80173926e-02 -2.24673115e-02
  1.06487731e-02 -4.75386791e-02 -5.75680196e-01  4.79417294e-02
  1.81795895e-01  1.72081031e-02 -2.67263912e-02 -3.64935607e-01
 -3.83012369e-03 -2.49137655e-02  1.02733653e-02 -3.75225544e-02
 -4.02984619e-02 -2.47365683e-02  1.19847078e-02 -1.50529891e-01]","[-1.54057443e-01 -8.68707448e-02  6.02874637e-01 -5.28022885e-01
 -1.71772882e-01  1.24293184e-02 -1.00101078e+00 -1.08975679e-01
  3.49486694e-02  7.21356086e-03 -4.67458554e-02 -1.14196718e-01
  1.20622683e-02 -2.77265072e-01  1.76298589e-01  6.64627105e-02
  2.49459714e-01  6.08589873e-02  2.35196263e-01 -1.15430485e-02
  6.00097328e-02  3.77071323e-03  1.13284709e-02  3.19364697e-01
 -2.78079771e-02  3.32249366e-02  2.34970227e-02  5.37405051e-02
  7.76335448e-02  7.66134039e-02 -6.54562637e-02  3.76751944e-02
 -4.30173874e-01  9.97164547e-02  9.61768210e-01  4.12095368e-01
 -1.32964879e-01 -1.51952570e-02 -4.35306454e+00 -7.75550604e-02
 -3.12164892e-03  1.12909302e-01  1.03573158e-01 -6.40265569e-02
  1.59311533e-01  8.37651640e-02 -2.97503695e-02 -4.19559367e-02
 -7.00550437e-01 -2.25941222e-02 -5.75856380e-02  2.59363987e-02
  1.28187453e-02  3.40807904e-03  1.66815557e-02  2.24864222e-02
  3.87278246e-03  7.73892622e-04  4.98891398e-02 -1.47599366e-03
 -3.32785025e-02 -2.12248620e-02  1.57544259e-02  4.06784751e-02
 -3.87495458e-02  1.25534013e-01  6.75856709e-01  9.23735261e-01
  5.70110492e-02 -1.22502156e-01  1.13444376e+00  7.97975734e-02
  2.56969705e-02  1.12513137e+00  2.51872502e-02 -6.14217296e-02
  1.70462713e-01  3.13003421e-01 -9.64428261e-02  1.68027636e-02
  6.87769651e-02  8.12321529e-02 -2.29995415e-01 -1.65450647e-02
  1.81131298e-03 -3.74955907e-02 -6.91182911e-04  1.39688045e-01
 -1.82817746e-02 -1.73890106e-02  1.65488478e-02  4.84524574e-03
 -9.26506985e-03 -9.97043867e-03 -3.16457599e-02  1.51215615e-02
 -1.89853594e-01  4.34413314e-01 -2.93188721e-01  1.10748506e+00
  4.09958482e-01  1.77655742e-02  2.28993874e+01 -1.16653234e-01
  1.24839038e-01  8.82638991e-01  2.70619363e-01 -2.56675750e-01
  1.69285268e-01  2.72050500e-01  6.50559217e-02  5.53810745e-02
 -1.05352709e-02  3.95746976e-02  2.94755042e-01 -5.91331124e-02
 -4.95024696e-02 -5.80907566e-03  2.62604747e-02 -2.90478230e-01
 -7.41092116e-03 -3.36224698e-02 -2.22515650e-02 -1.58861652e-02
  3.44279073e-02 -3.18381302e-02 -2.28722200e-01 -8.34745169e-02]",,95357,audio/signals_f,,
