audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
142055768,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",3943,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-6.37141094e-02 -1.90149784e-01 -1.80713639e-01 -6.10869192e-03
 -1.29468262e-01 -1.84174478e-01  3.02231640e-01 -5.31456411e-01
 -9.68842655e-02 -1.22200968e-02 -1.06133968e-02  8.30763578e-03
  8.27268213e-02  8.69371444e-02  4.95829359e-02 -3.94194245e-01
  9.43075866e-03 -3.87630425e-02  2.39768296e-01 -1.66944042e-03
 -1.36542907e-02  9.32357088e-02  3.97572108e-02 -1.06980819e-02
  5.41916266e-02 -2.74157785e-02 -3.40741687e-02  3.53095569e-02
  9.69497766e-03 -4.93654758e-02  8.09452683e-02  8.52599367e-02
  3.49311262e-01  7.66491070e-02  2.41342306e+00  2.23839268e-01
  1.85809173e-02 -6.86595663e-02 -2.46016085e-01 -6.83242857e-01
 -1.37987792e-01  5.40064164e-02 -1.20044965e-02  1.09131280e-02
  2.19163954e-01  4.01148014e-02  6.63704122e-05 -1.05325237e-01
 -1.07099605e-03 -4.49602380e-02 -5.55547893e-01 -3.44250724e-02
  7.54442159e-03 -8.37447196e-02  3.61440331e-03 -1.36914020e-02
 -8.82530399e-03  1.32721774e-02  1.26179038e-02  1.33028431e-02
  1.78707633e-02  4.22522761e-02  5.70853194e-03 -8.46886449e-03
  3.55721116e-02  9.82524604e-02  4.78507966e-01 -1.05850227e-01
 -2.69198529e-02 -1.29722670e-01 -1.51671171e-01 -6.15901589e-01
  3.07783484e-01  3.88846248e-02  1.70068875e-01 -4.09005582e-03
 -5.00362813e-02 -2.90985927e-02 -5.72599843e-02 -8.30316246e-02
 -1.84370596e-02 -2.97461934e-02 -4.31575477e-01 -4.52805646e-02
  1.43331033e-03 -1.15967646e-01 -6.68870471e-03 -4.71436381e-02
 -1.53969079e-01 -2.52760798e-02 -7.41511732e-02 -2.58055419e-01
  9.18678939e-04  9.53771174e-02 -2.73578465e-02 -3.43129747e-02
  1.24524340e-01 -3.18226032e-03 -6.28820717e-01  4.19706821e-01
  3.05813313e-01 -3.46030556e-02 -1.06033576e+00 -1.84341282e-01
  1.17262468e-01  7.41824031e-01  2.05601513e-01 -4.28841040e-02
  1.53399795e-01 -2.13320591e-02 -3.11121661e-02  1.17302704e+00
 -8.78724530e-02  1.60907120e-01 -2.58696496e-01 -5.19456193e-02
 -4.26995009e-02  6.72058016e-02  5.24209961e-02  3.79873157e-01
  1.27736807e-01 -2.10581779e-01  1.19588867e-01  6.83475658e-03
  3.27027962e-02 -9.45898220e-02 -1.34883784e-02 -2.22032309e-01]","[-2.61336237e-01 -1.46006152e-01 -2.74246597e+00 -2.39468962e-01
 -2.55927622e-01  1.38556641e-02 -9.58756953e-02  2.26197571e-01
 -1.68601543e-01 -7.43885785e-02 -5.57149155e-03 -4.69087902e-03
 -9.28778946e-02  4.48826738e-02  4.67564315e-02 -3.10252309e-02
 -1.43614896e-02 -1.34653132e-02  1.36014372e-01  6.99125323e-03
  1.34496810e-03 -6.66139275e-02  3.03895455e-02  1.81725509e-02
  3.43270376e-02  7.70792514e-02 -1.32537205e-02 -6.22221157e-02
  7.44120777e-03  2.61786822e-02 -4.82058898e-03  6.82598259e-03
 -3.80389720e-01  7.74974823e-02 -1.93673182e+00 -1.61721498e-01
 -5.41802756e-02  4.85155508e-02  2.73769915e-01 -6.13580644e-02
  1.81387663e-01  1.66754648e-02  4.27883267e-02 -2.39443481e-02
 -1.17572665e-01 -8.26815665e-02 -3.54180858e-03  1.27654448e-01
  1.18870493e-02 -1.04618249e-02  2.07650393e-01 -8.85878503e-03
 -4.85903919e-02 -8.69853608e-03  1.00890845e-02 -1.91200860e-02
 -1.63449161e-03  2.29700580e-02 -7.46610761e-03  1.44484150e-03
  1.06985802e-02 -6.71046078e-02 -1.32351425e-02 -2.68216915e-02
  9.78316367e-03  1.57457665e-02  6.38274848e-01 -2.16316909e-01
  1.37799412e-01  2.68464863e-01  1.83386475e-01  4.96850491e-01
 -4.06313613e-02  1.44301683e-01 -3.88687044e-01 -1.36815801e-01
  2.54013300e-01 -3.83241355e-01  1.81760080e-02  3.54266793e-01
 -6.90112934e-02  7.54231773e-03 -4.30280209e-01  5.60618006e-04
 -9.62692499e-03  1.60867609e-02  7.21626729e-03 -2.41732784e-02
  9.71630514e-02 -4.79883365e-02  5.82685955e-02 -6.98626339e-02
  3.00776772e-03  2.03067750e-01  2.55994722e-02  7.64192734e-03
 -3.75113606e-01 -6.03176542e-02 -1.57744026e+00  5.82797408e-01
  6.10605896e-01  6.14496320e-02 -1.71761423e-01  7.22508430e-01
 -2.81048436e-02 -6.38631582e-01  2.42316145e-02  5.83193600e-02
  1.29248345e+00 -1.07102133e-01 -2.74539981e-02  8.71937990e-01
  1.72914378e-03  4.69941720e-02  1.62677437e-01  4.76251245e-02
  9.79004651e-02 -5.57037033e-02 -1.01125471e-01 -9.31624919e-02
  3.84646654e-02 -8.84214565e-02 -7.55599700e-03 -1.03973243e-02
  4.78765480e-02 -1.26791120e-01  4.15673777e-02 -5.35194650e-02]",,125288,audio/signals_f,,
,-1,0,,3944,,,,,,90,125289,geometry/pose_raw,0.134874701499939,354
,-4,-1,,3945,,,,,,90,125299,geometry/pose_raw,0.111954435706139,354
,0,0,,3946,,,,,,90,125310,geometry/pose_raw,0.110090427100658,358
,9,1,,3947,,,,,,90,125320,geometry/pose_raw,0.189563348889351,358
,-4,0,,3948,,,,,,90,125329,geometry/pose_raw,0.166773200035095,358
,-3,-1,,3949,,,,,,90,125341,geometry/pose_raw,0.149789735674858,358
,0,0,,3950,,,,,,90,125349,geometry/pose_raw,0.150432020425797,358
,0,0,,0,,,,,,90,11524,geometry/pose_raw,-0.063878990709782,336
,0,0,,1,,,,,,90,11531,geometry/pose_raw,-0.062973044812679,326
