audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
123221573,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",0,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-9.57334116e-02  4.88322616e-01  1.11221325e+00  3.86584282e-01
  1.08078867e-01 -3.74426618e-02 -3.60731697e+00  3.69106680e-02
  3.18116043e-03 -4.23157841e-01 -8.50149840e-02 -2.28329554e-01
 -1.19203730e-02  1.90428764e-01 -5.65427467e-02 -6.35551363e-02
 -3.17452177e-02  1.86202116e-03  1.45145610e-01 -5.71823381e-02
 -1.74903646e-02 -3.52838635e-03 -1.83882155e-02 -4.44508567e-02
  2.21821908e-02 -4.39636875e-03  8.77697915e-02 -3.42711210e-02
  1.17890328e-01  5.99800609e-03  1.07960701e-02  2.27963291e-02
  1.33576706e-01 -5.03211498e-01  6.49953842e-01  1.70959368e-01
  2.40232199e-02  1.06277674e-01  5.61235142e+00  2.81870421e-02
 -7.86317587e-02  3.60987931e-02  7.61949643e-03  3.47042531e-01
  7.77463242e-02  3.26829761e-01  5.67977019e-02  1.27047328e-02
 -1.30261511e-01 -3.20500229e-03 -1.09403487e-02 -1.92352710e-03
  1.33359889e-02 -4.44785617e-02  3.21839773e-03 -6.63316250e-02
  2.29529515e-02 -1.01287970e-02  9.15257707e-02 -2.72854371e-03
 -6.49390891e-02  1.84666831e-02 -4.77735400e-02 -3.86731699e-06
 -1.42304823e-02 -9.33451727e-02  8.03567350e-01  1.14639306e+00
 -7.68124610e-02  1.06075868e-01 -7.75842547e-01  8.35270956e-02
  1.21560685e-01  1.09811044e+00  6.23552315e-02  3.03948879e-01
  1.20493427e-01 -3.05105895e-01 -3.14894505e-02 -1.18506327e-02
 -1.20882893e+00 -1.71679612e-02 -1.39365777e-01 -4.57083881e-02
 -1.98122580e-03  8.12513568e-03  1.20531963e-02 -2.07255155e-01
  1.00453850e-02 -3.06746140e-02  1.36421602e-02 -3.27759981e-03
 -6.00143224e-02 -1.88850425e-02 -6.83723763e-02  1.80189312e-02
 -4.39006984e-02  3.35261434e-01  1.19532987e-01  4.86544490e-01
  5.37589341e-02 -5.54828010e-02 -2.62505770e+00 -4.11059186e-02
  9.55789089e-02  1.71720505e-01 -3.89802456e-03 -1.55597568e-01
  5.35393320e-03 -4.82988983e-01  6.41441196e-02  5.86208962e-02
  3.56165439e-01  5.81198744e-02 -5.76297492e-02 -2.52231918e-02
 -8.06497484e-02 -1.49676977e-02 -3.98072898e-02  6.86230510e-02
  2.69066449e-02  1.34467864e-02 -6.61730915e-02  4.48620915e-02
 -2.06692703e-02 -5.45440465e-02  1.27144134e+00 -1.77492425e-02]","[ 1.49838701e-02 -3.76929462e-01  5.32030940e-01  8.08519721e-02
  9.54759941e-02  1.94558091e-02 -1.16115189e+00 -2.58484241e-02
  7.29191378e-02 -3.17148983e-01 -2.31368430e-02 -4.10028659e-02
 -6.81977160e-03 -6.85121268e-02 -1.25671893e-01  1.02469541e-01
  1.27171203e-01 -4.77120746e-03 -1.66219920e-01 -4.29499000e-02
 -2.86903251e-02 -6.91814646e-02 -3.53220329e-02 -1.15044445e-01
 -3.01951468e-02  4.88762334e-02 -9.71090794e-02  4.67511490e-02
 -3.78441215e-02  5.20308241e-02  1.14849478e-01  2.28549112e-02
  1.52497321e-01  4.78971720e-01  1.30761576e+00  2.99780190e-01
 -4.24235404e-01 -4.08801176e-02 -1.66313601e+00  9.21241473e-03
 -2.10465007e-02  9.03168678e-01  1.78928286e-01 -3.60925704e-01
 -1.76295880e-02  1.37105808e-01 -1.57372095e-02  1.37626082e-02
  1.57800004e-01  2.96776779e-02  1.03140295e-01 -2.40271445e-02
  2.86616553e-02  3.40157375e-02  2.86112633e-02 -8.20248201e-02
  7.67056458e-03  7.85377622e-03  2.20945813e-02 -5.24406061e-02
 -1.38720116e-02 -2.51217708e-02  2.39112303e-02  2.98052281e-03
 -1.74480259e-01 -2.43174046e-01 -2.92799413e-01 -2.85505354e-01
  1.97206900e-01 -4.91081029e-02  7.70440698e-01 -1.21492688e-02
  1.07695818e-01 -3.20131242e-01 -6.01757243e-02 -3.18761289e-01
 -6.07568771e-03 -5.91878444e-02 -2.06419230e-02  3.02687213e-02
 -7.08969831e-01 -3.45562375e-03 -1.33202195e-01 -5.20042181e-02
 -2.44811065e-02  6.37018457e-02 -2.75933072e-02 -1.29026189e-01
 -6.77063316e-03 -3.00047230e-02 -5.44100367e-02 -1.69745069e-02
 -7.33916648e-04 -1.26513168e-02 -1.81192011e-02  2.49639060e-02
 -3.87375057e-01 -1.46707416e+00  1.23621017e-01 -3.29408145e+00
  1.01568326e-01 -1.27057940e-01 -3.89027519e+01  4.08749208e-02
 -1.37135699e-01  7.15529680e-01 -2.18047351e-01  3.17504644e-01
  5.28972596e-02 -1.42696536e+00 -7.98581168e-02  2.92530786e-02
  4.47130114e-01  2.63010710e-02  7.09553242e-01 -1.38213998e-02
 -5.92657141e-02  1.59319825e-02  1.88526209e-03 -8.66459459e-02
  4.11547162e-02  9.14756488e-03 -5.49260750e-02  4.14219834e-02
  1.25879392e-01  4.67840657e-02  3.88165206e-01  4.65207621e-02]",,55264,audio/signals_f,,
,-1.0,3.0,,1,,,,,,90.0,55266,geometry/pose_raw,0.002955653006210923,1060.0
,0.0,-3.0,,2,,,,,,90.0,55274,geometry/pose_raw,0.002955653006210923,1060.0
,1.0,0.0,,3,,,,,,90.0,55283,geometry/pose_raw,0.002955653006210923,1060.0
,0.0,0.0,,4,,,,,,90.0,55292,geometry/pose_raw,0.002955653006210923,1060.0
,0.0,3.0,,5,,,,,,90.0,55303,geometry/pose_raw,0.002955653006210923,1077.0
,0.0,-3.0,,6,,,,,,90.0,55314,geometry/pose_raw,0.002955653006210923,1077.0
,0.0,0.0,,7,,,,,,90.0,55323,geometry/pose_raw,0.002955653006210923,1077.0
,-1.0,3.0,,8,,,,,,90.0,55331,geometry/pose_raw,0.002955653006210923,1077.0
,0.0,-2.0,,9,,,,,,90.0,55343,geometry/pose_raw,0.002955653006210923,1077.0
,0.0,-1.0,,10,,,,,,90.0,55353,geometry/pose_raw,0.002955653006210923,1092.0
,0.0,0.0,,11,,,,,,90.0,55363,geometry/pose_raw,0.002955653006210923,1092.0
,1.0,252.0,,12,,,,,,90.0,55381,geometry/pose_raw,0.002955653006210923,1092.0
