audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,-1.0,0.0,,0,,,,,,90.0,49122,geometry/pose_raw,-0.1305713653564453,316.0
,-4.0,0.0,,1,,,,,,90.0,49132,geometry/pose_raw,-0.14748792350292206,316.0
,5.0,0.0,,2,,,,,,90.0,49144,geometry/pose_raw,-0.12752117216587067,316.0
,0.0,0.0,,3,,,,,,90.0,49161,geometry/pose_raw,-0.1289156675338745,316.0
,0.0,0.0,,4,,,,,,90.0,49168,geometry/pose_raw,-0.1271926313638687,316.0
,-1.0,1.0,,5,,,,,,90.0,49174,geometry/pose_raw,-0.16088983416557312,316.0
,0.0,-1.0,,6,,,,,,90.0,49182,geometry/pose_raw,-0.16085945069789886,316.0
66400933,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-3.3081747e-03  5.2173967e-03 -7.1406958e-04 -2.9738043e-03
 -3.7710438e-03 -9.9144701e-04 -4.0321704e-04  4.2392360e-03
 -1.2009696e-04 -1.9303628e-03 -2.4433748e-03 -1.4526991e-03
 -5.5928988e-04 -3.1783378e-03 -6.3962103e-03 -4.2207474e-03
 -6.1336374e-03  1.8575683e-03  9.1681490e-04 -5.7903992e-04
 -6.8562536e-04  2.3323633e-03  8.6338224e-04  9.2802895e-04
  1.9793338e-03 -2.6310515e-03 -1.6142677e-03  7.7833585e-04
  3.2260572e-04 -8.9103990e-04 -3.6686321e-04 -6.8603206e-04
 -4.4651367e-03  1.3558299e-03  9.8897784e-04 -7.2878194e-03
 -1.6166392e-03 -7.6685502e-04  3.1561274e-03  3.1800789e-03
 -8.0319040e-04  3.7059651e-03  2.6834244e-04  3.1950874e-03
  1.1349892e-03  2.9845670e-04  6.9716747e-04 -2.6103418e-04
  2.0628986e-03  1.7181850e-03 -2.3598422e-04 -2.6723882e-04
 -1.8461529e-04  5.8240182e-04 -7.5421343e-04  4.2088487e-04
 -1.8034608e-03  1.8012428e-03  6.7360728e-04  1.3921531e-03
 -8.3254575e-04 -7.3751714e-04 -3.3046814e-04 -6.0777855e-04
 -1.6384291e-02  5.9014936e-03  5.3223479e-03 -9.1830986e-03
 -9.6903443e-03  1.2163033e-03 -1.8808031e-03 -1.5780786e-02
  4.8616678e-03 -5.1971618e-03 -4.1139405e-03  9.6554980e-03
 -4.3969858e-03  1.0165544e-03 -4.5773713e-03  1.5154784e-04
  2.8348870e-03  3.3726235e-04 -2.8076675e-04 -1.4104268e-03
  8.3817221e-04 -5.9074769e-04 -7.8757491e-04 -5.9596763e-04
 -2.2347979e-03  1.1224784e-03  1.0527964e-03  3.8510445e-04
 -3.6037546e-03  3.5319422e-04 -1.7128484e-03  7.2146964e-04
  1.2121281e-01  1.8663038e-02  1.1046608e-02 -1.3682714e-03
 -3.9740922e-03  2.8218059e-03  7.4025523e-03 -3.5515607e-03
  1.2548394e-03 -6.2608253e-04 -2.9631997e-03 -8.7043131e-03
  2.2368541e-03  3.1623067e-03 -3.3973609e-03 -1.4626153e-03
 -3.5660502e-03  3.8346963e-03 -3.9170356e-03 -4.8298374e-05
  2.6845173e-03 -5.3685892e-04  3.0642678e-04  5.7898316e-04
 -1.5287304e-03 -2.3780363e-03 -4.1574184e-04 -3.4700606e-03
  5.3425031e-03 -4.9476477e-04 -2.2047288e-03 -5.5715122e-04]","[-1.94190264e-01  9.19835642e-03  6.22062199e-03  3.37327854e-03
  2.89403694e-03  5.21265576e-03 -5.33826463e-03 -4.24729835e-04
  3.35916644e-03  3.03028990e-03  1.36828306e-03  1.15819846e-03
 -3.07680829e-03  1.24974025e-03 -3.96040222e-03  4.20329906e-03
  1.22794684e-03 -2.03542784e-03 -1.38678285e-03 -1.15277292e-03
 -6.72958093e-04 -2.52356008e-03  2.33838640e-04 -9.20746941e-04
  3.39580677e-03 -3.19045124e-04  1.24155823e-03 -8.01394926e-04
  2.61444040e-03 -5.24183910e-04  4.54509252e-04 -3.36652563e-04
 -1.43893123e-01  4.35425434e-03  3.86447413e-03  2.92328722e-03
  2.69201049e-03  7.48499238e-04  9.84381302e-04 -2.64523062e-03
 -6.38961513e-03  3.91952135e-03 -2.28817877e-03 -4.95390734e-03
 -8.17093707e-04  1.20861863e-03 -3.16917634e-04  8.76223785e-04
  1.10184296e-03  1.05349626e-03 -4.75903595e-04  9.84908547e-04
 -1.26778963e-03 -3.87684297e-04  1.37703051e-03 -9.12860676e-04
  5.39200555e-04 -9.55790165e-04  1.84398238e-03 -1.76919415e-03
 -7.38824077e-04 -1.64804608e-03 -3.27749876e-06 -4.69899649e-04
 -1.20546266e-01  4.41640057e-03  8.78061354e-03  7.20906910e-03
  5.18942671e-03  1.45386579e-03  5.72690368e-03 -1.44942701e-02
  1.12001821e-02  4.14924417e-03  4.27413266e-03  2.06865259e-02
  2.38643005e-03  4.19915840e-03  2.77383113e-03  3.09970882e-03
 -2.93169823e-03  1.10712158e-03  1.82039104e-03  2.06025504e-03
  8.82365130e-05 -7.04952108e-04  6.88283006e-04 -4.80572286e-04
 -2.11197021e-03 -8.53971113e-04  3.74864903e-03 -4.68046824e-03
 -3.76407895e-03  3.14402790e-03 -1.04078930e-03  7.97425455e-04
 -6.85699284e-02  1.95945054e-02  6.66483399e-03  2.06064642e-03
  8.10774788e-03  1.41233038e-02 -1.39946537e-02 -6.05928071e-04
 -4.62462101e-03  1.22471317e-03 -2.97967228e-03  7.18225585e-03
  1.62172597e-03  1.25982962e-03  1.58822071e-03  1.03801787e-02
 -7.01433979e-04 -1.62241748e-03  1.89248007e-04 -8.18873406e-04
 -5.18295215e-04 -1.09826826e-04 -5.44894836e-04 -2.34441902e-03
  1.82265544e-03 -1.51687360e-03 -2.51782383e-03  7.39132473e-03
  2.31215684e-03  4.63862857e-03 -2.33762152e-03 -6.43757172e-04]",,49185,audio/signals_f,,
,0.0,0.0,,8,,,,,,90.0,49191,geometry/pose_raw,-0.16204072535037994,316.0
,1.0,0.0,,9,,,,,,90.0,49201,geometry/pose_raw,-0.16198411583900452,322.0
,0.0,0.0,,10,,,,,,90.0,49211,geometry/pose_raw,-0.15379515290260315,322.0
,0.0,0.0,,11,,,,,,90.0,49220,geometry/pose_raw,-0.15320928394794464,322.0
,0.0,0.0,,12,,,,,,90.0,49231,geometry/pose_raw,-0.15566053986549377,322.0
,0.0,0.0,,13,,,,,,90.0,49241,geometry/pose_raw,-0.1554938703775406,322.0
,0.0,0.0,,14,,,,,,90.0,49253,geometry/pose_raw,-0.15391899645328522,316.0
,0.0,0.0,,15,,,,,,90.0,49261,geometry/pose_raw,-0.1537705361843109,316.0
,0.0,0.0,,16,,,,,,90.0,49271,geometry/pose_raw,-0.1546534299850464,316.0
,-1.0,0.0,,17,,,,,,90.0,49288,geometry/pose_raw,-0.2075544148683548,316.0
,0.0,0.0,,18,,,,,,90.0,49295,geometry/pose_raw,-0.2070569396018982,325.0
