audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,565099,geometry/pose_raw,0.04742615669965744,319.0
,0.0,0.0,,1,,,,,,90.0,565110,geometry/pose_raw,0.04901546239852905,319.0
,0.0,0.0,,2,,,,,,90.0,565121,geometry/pose_raw,0.04927029833197594,319.0
,0.0,0.0,,3,,,,,,90.0,565130,geometry/pose_raw,0.04892066493630409,319.0
,0.0,0.0,,4,,,,,,90.0,565141,geometry/pose_raw,0.04894229769706726,319.0
,0.0,0.0,,5,,,,,,90.0,565149,geometry/pose_raw,0.04894229769706726,319.0
,0.0,0.0,,6,,,,,,90.0,565166,geometry/pose_raw,0.04908966273069382,319.0
,0.0,0.0,,7,,,,,,90.0,565171,geometry/pose_raw,0.04908966273069382,319.0
,0.0,0.0,,8,,,,,,90.0,565180,geometry/pose_raw,0.04781007394194603,325.0
,0.0,0.0,,9,,,,,,90.0,565190,geometry/pose_raw,0.04781007394194603,325.0
