audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,-1.0,,0,,,,,,90.0,303550,geometry/pose_raw,-0.14117014408111572,279.0
,0.0,1.0,,1,,,,,,90.0,303558,geometry/pose_raw,-0.1414787918329239,279.0
,1.0,-1.0,,2,,,,,,90.0,303568,geometry/pose_raw,-0.14152762293815613,279.0
,-1.0,0.0,,3,,,,,,90.0,303580,geometry/pose_raw,-0.1435256004333496,279.0
,4.0,0.0,,4,,,,,,90.0,303590,geometry/pose_raw,-0.13515323400497437,274.0
,-3.0,0.0,,5,,,,,,90.0,303598,geometry/pose_raw,-0.14112836122512817,274.0
,-1.0,0.0,,6,,,,,,90.0,303611,geometry/pose_raw,-0.14226943254470825,274.0
,1.0,0.0,,7,,,,,,90.0,303618,geometry/pose_raw,-0.14342185854911804,274.0
,-1.0,0.0,,8,,,,,,90.0,303629,geometry/pose_raw,-0.14658504724502563,285.0
,0.0,0.0,,9,,,,,,90.0,303639,geometry/pose_raw,-0.14595384895801544,285.0
