audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,604739,geometry/pose_raw,0.250559002161026,316.0
,0.0,0.0,,1,,,,,,90.0,604756,geometry/pose_raw,0.25045889616012573,316.0
,0.0,0.0,,2,,,,,,90.0,604762,geometry/pose_raw,0.24831260740756989,316.0
,0.0,0.0,,3,,,,,,90.0,604770,geometry/pose_raw,0.24657557904720306,319.0
,0.0,0.0,,4,,,,,,90.0,604778,geometry/pose_raw,0.2467818409204483,319.0
,0.0,0.0,,5,,,,,,90.0,604787,geometry/pose_raw,0.24733807146549225,319.0
,0.0,0.0,,6,,,,,,90.0,604798,geometry/pose_raw,0.24795791506767273,319.0
,0.0,0.0,,7,,,,,,90.0,604808,geometry/pose_raw,0.25081467628479004,310.0
,0.0,0.0,,8,,,,,,90.0,604817,geometry/pose_raw,0.25072041153907776,310.0
,0.0,0.0,,9,,,,,,90.0,604827,geometry/pose_raw,0.25109848380088806,310.0
