audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,327575,geometry/pose_raw,0.3285697102546692,327.0
,0.0,0.0,,1,,,,,,90.0,327587,geometry/pose_raw,0.32605689764022827,327.0
,0.0,0.0,,2,,,,,,90.0,327596,geometry/pose_raw,0.32485848665237427,327.0
,0.0,0.0,,3,,,,,,90.0,327606,geometry/pose_raw,0.3249623477458954,327.0
,0.0,0.0,,4,,,,,,90.0,327623,geometry/pose_raw,0.32540979981422424,327.0
,0.0,0.0,,5,,,,,,90.0,327629,geometry/pose_raw,0.3418421447277069,319.0
,0.0,0.0,,6,,,,,,90.0,327635,geometry/pose_raw,0.34348076581954956,319.0
,0.0,0.0,,7,,,,,,90.0,327647,geometry/pose_raw,0.3434585630893707,319.0
343155795,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",8,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-6.0148522e-02 -2.1504995e-03  7.7124839e-03  3.2094617e-03
  1.1038402e-03 -1.8847798e-03 -4.2395624e-03  9.6856256e-04
  1.4779837e-03  1.3669056e-03 -1.4381115e-03  4.7160953e-04
  1.0828176e-03  3.4918645e-03 -3.3127563e-03 -3.6266523e-03
  1.1203453e-03 -9.8617561e-04 -4.6204738e-03  3.5593158e-04
  1.2150247e-04  9.4889267e-04  4.6309037e-03 -1.2032385e-03
  2.6155298e-03 -4.1125556e-03 -1.9948410e-03 -3.9181258e-03
  3.4226549e-03 -7.4223289e-04 -2.6046275e-04 -8.7950174e-03
  3.2098319e-02 -5.9178576e-04  9.3452493e-04  3.9278902e-03
  2.3237828e-03 -6.4264135e-03  1.0512766e-02  2.9938985e-03
  1.8202859e-03 -7.6568569e-05 -4.9456763e-03 -3.8193716e-03
 -1.2202197e-03 -3.4268282e-03  5.7853613e-05 -1.3808665e-04
 -5.9176824e-04 -1.6658443e-03  6.6363357e-04  9.0512575e-04
  2.9899448e-04 -5.6718051e-04 -8.8907615e-04 -9.9147961e-04
  4.4953951e-05 -1.8509156e-03 -7.0815871e-04 -3.6821497e-04
 -6.6220923e-04  1.5297004e-03  1.5295865e-03  1.9121353e-03
 -1.0124715e-02  4.1201864e-03  1.4325023e-02  1.3765702e-02
  1.8449600e-03 -8.3900467e-03  3.0998276e-03 -3.7171519e-03
  2.7893516e-03  1.9338520e-03 -3.1085203e-03  3.7785382e-03
 -5.2435120e-04  1.3173793e-03 -9.1549999e-04 -7.9852535e-04
 -1.4688447e-03 -8.2111103e-04 -3.8359896e-04  1.7705075e-03
  9.2153205e-04 -3.2632612e-04 -3.3673146e-04  2.4853894e-04
 -9.2579180e-04  5.9450592e-04  1.1437359e-03  7.3857408e-04
 -1.1507404e-03  5.4399148e-03  1.2550983e-03  6.0848580e-03
 -1.6330501e-01  2.3186661e-02  1.3648613e-02  4.5535527e-03
  6.4246850e-03  1.0073386e-02 -1.4429673e-02 -1.1840528e-03
  2.4653671e-03  1.2473065e-04  2.6279171e-03  5.9749945e-03
  4.6560243e-03 -2.0801148e-03 -9.4325625e-04 -3.5730219e-03
  4.2282427e-03 -7.0487673e-04 -9.4171904e-05 -1.3736674e-03
 -1.3403785e-03  9.4824471e-04  4.2366592e-04  4.2338768e-05
  2.5290938e-03  1.8927037e-03  5.2057118e-03  1.9654725e-03
  1.0414646e-02 -2.7689210e-04  4.9996772e-05 -3.3346908e-03]","[-1.68254465e-01  2.82033309e-02 -9.12614726e-03 -3.18092457e-03
 -2.14352692e-03  3.51958070e-03 -4.97887004e-03  7.59645947e-04
 -9.51977039e-04 -2.11781636e-03 -4.18088306e-03  1.58687145e-03
  2.88168580e-04 -7.31875421e-04  2.37864046e-03  4.27902967e-04
 -4.68757516e-03 -3.05559440e-03  3.16075340e-04  1.97055750e-03
  4.33545851e-04 -1.12884294e-03  2.80212518e-03  2.17881799e-03
 -1.21044600e-03  5.58613054e-03  3.09879123e-03 -1.38354464e-03
  9.67496075e-04 -1.94355240e-03  7.95194705e-04 -1.65091245e-04
 -1.02878004e-01  7.33407214e-03 -1.01291086e-03 -1.57370418e-03
 -8.63788184e-04 -1.83940784e-03 -1.54347904e-03  3.04505695e-03
 -5.26574731e-05 -1.38064101e-03  2.00411677e-03  3.52658273e-04
 -8.63887777e-04 -1.31228869e-03  4.81780997e-04  1.69917083e-04
  8.85916641e-04  2.70313537e-03 -2.07852136e-04 -1.26447110e-03
  1.41677549e-04  2.94616533e-04  5.12021303e-04 -1.58151903e-03
  2.76764366e-03 -1.57721294e-03  1.54202327e-03  1.43783633e-03
  3.10828269e-04  2.53100297e-03 -1.72510580e-03 -3.57633224e-04
 -1.10104062e-01  1.78037956e-02 -2.27895491e-02 -2.11670692e-03
  3.70824663e-03 -9.80272703e-03  1.91090498e-02 -1.47733302e-03
  3.83222033e-03 -5.10831177e-03 -1.76345371e-02 -1.47638582e-02
 -3.47987190e-03 -5.12945838e-03  1.40539801e-03 -7.05536513e-06
  6.17114943e-04  1.68052479e-03  1.13747001e-03 -7.66813522e-04
 -3.81862512e-04 -1.02620281e-03 -3.57580022e-04 -1.92961015e-03
  4.70422674e-06 -1.98195121e-04  6.43771375e-04  2.39944784e-03
 -3.75191658e-03  2.63192737e-03  7.72458385e-04 -7.07522407e-03
 -1.14672840e-01  2.20413338e-02 -1.74492523e-02 -7.24300649e-03
  4.16437211e-03 -1.17269969e-02 -1.35469306e-02 -5.44851739e-03
  3.17383092e-04 -1.27506070e-03 -1.35798659e-03  1.79788657e-03
  1.23886159e-04 -3.57048470e-03  1.70452939e-03  1.45673635e-03
 -3.26045323e-03  3.31913191e-03  1.61951408e-03 -6.62717852e-04
  8.15725070e-04  6.69009052e-04  1.44265941e-03 -3.34453594e-04
 -7.17037241e-04  2.49613170e-03  2.99157342e-04 -4.42903285e-04
  5.93827059e-03 -1.12155057e-03  6.31377567e-03 -1.00105889e-02]",,327650,audio/signals_f,,
,0.0,0.0,,9,,,,,,90.0,327657,geometry/pose_raw,0.34372198581695557,319.0
