audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,131076,geometry/pose_raw,0.1908661276102066,321.0
235404297,,,"[ 187  203  218  234  281  250  265  296  312  343  328  671  359  375
  421  390  406  468  437  656 1375 1328 1359 1343  687  515  484  500
  531  453  625  609]",1,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 2.4467552e-02  2.7861102e-02 -7.8152955e-02  3.4189061e-03
  3.2641090e-02  9.0816207e-03  1.6772811e-03 -2.5021698e-02
 -1.0209956e-03 -5.3067948e-03  4.9338667e-03  6.1477628e-03
  1.8518770e-02 -8.7203924e-03 -1.3825056e-03 -6.7220987e-03
  2.0252464e-03 -3.6032829e-03  4.9609272e-03 -8.9487173e-03
  6.6192653e-03 -7.6034125e-03  2.8175393e-03 -6.8679696e-04
 -1.3401366e-03  1.9714627e-03 -3.3993955e-04 -2.5562909e-03
 -2.2235399e-04 -6.3252679e-05  4.3197237e-03  8.0752773e-03
  1.1461018e-02  3.0247162e-03  2.3060706e-03  8.1049288e-03
 -3.8667051e-03  9.2085561e-04 -1.8086422e-03  5.1200215e-04
  8.0917991e-04 -1.5052466e-03  3.2813440e-04  1.3991367e-03
 -2.9261599e-03  1.4274295e-03 -1.0951955e-03  1.3521289e-03
 -3.4952536e-06 -1.0195733e-03  1.5229644e-03  9.7586395e-04
  3.5936825e-03  2.4907573e-03  9.1550583e-03  1.3757064e-03
 -1.4881260e-04 -9.2948804e-04 -3.6999735e-04  4.1055959e-05
 -1.4334896e-03  2.0025733e-03 -9.2507998e-04 -1.4202307e-03
 -4.2627477e-03 -5.9656980e-03  3.0927584e-02 -1.0825675e-02
  2.0799013e-03 -5.4862858e-03 -1.1011391e-02 -5.1565343e-03
  1.5772419e-02 -1.1575692e-02  2.3928000e-02  2.1353792e-02
  1.2880814e-03 -1.7719198e-04  7.0180716e-03 -7.0608235e-03
 -2.8685102e-04  1.4040836e-03 -7.4559683e-04 -9.6845329e-03
  1.1832870e-03 -4.1844845e-03 -1.2811657e-02  6.9887834e-03
 -5.9370804e-03  7.8259059e-04  2.1357187e-03 -5.5716024e-03
 -6.2747514e-03  1.0247978e-03  1.0051148e-02  7.9782810e-03
 -8.8532895e-02 -8.7526411e-02  3.6060158e-02 -3.1999476e-02
  5.6641962e-02 -1.5917409e-02  1.5764119e-03 -4.9124431e-02
  3.0165963e-04 -1.0341812e-02  9.8638898e-03  1.2904753e-02
 -1.3133426e-02 -6.3625099e-03  8.5319616e-03  4.3173572e-03
  8.3944090e-03  4.5343977e-03  5.5696480e-03 -2.3995163e-03
  2.2555094e-02 -3.9080735e-02  2.6336135e-02 -2.0630594e-02
 -5.8277608e-03 -2.1525794e-03 -6.2440935e-04 -3.3610821e-05
 -2.0888969e-03 -1.2049183e-02  3.2881317e-03  4.4003739e-03]","[-0.13379015 -0.1160229  -0.02877415 -0.00919691  0.0396148   0.02409726
  0.05224542  0.01581818 -0.00681448 -0.02074633 -0.01770104 -0.00281958
 -0.01382985 -0.00367081  0.00821074  0.00079617  0.00149205  0.00108626
  0.00853106 -0.00670247  0.00125855 -0.00361062 -0.00196706 -0.00158655
  0.00497739 -0.01150528 -0.00390844 -0.00144834 -0.00212957  0.00587219
 -0.0029571   0.00512413 -0.167012   -0.10935269 -0.05327246  0.00911153
  0.03617088  0.03577372  0.04488004  0.01642462 -0.00022927 -0.02102491
 -0.01700009 -0.00186569 -0.01358701 -0.01283753  0.01050568  0.00030446
  0.00648214  0.00102256  0.01048651 -0.00048819  0.0122059  -0.00438698
  0.00315053 -0.00867614 -0.00133058 -0.00404124 -0.00474314 -0.01090625
 -0.00587513  0.00544131 -0.00192868  0.00182217 -0.1517309  -0.08892498
 -0.03229203  0.02865946  0.03375945  0.01589662  0.04055562  0.00119994
  0.00946783 -0.01869853 -0.01217776 -0.00032328 -0.00991871 -0.00392004
  0.00843005  0.0055792  -0.00558727  0.00605409  0.00604423 -0.00708517
  0.00389303 -0.00261791  0.01230378 -0.00344778  0.00804388 -0.01549936
 -0.00020322  0.00356058 -0.00509371 -0.0015033  -0.0033587   0.00978769
 -0.16806349 -0.15933993  0.1049969   0.02564475  0.02572765  0.03234227
  0.03874458  0.00761955 -0.02260349 -0.03003765 -0.02935772 -0.00275175
  0.00497544 -0.01499828  0.00988982  0.00024977 -0.00135527  0.00293531
  0.00028872 -0.00043691 -0.01787943 -0.00719452 -0.01232971  0.00931283
  0.00507179 -0.01269823 -0.00366332  0.00261425 -0.00283968  0.00215386
  0.00036146  0.00463496]",,131079,audio/signals_f,,
,0.0,0.0,,2,,,,,,90.0,131095,geometry/pose_raw,0.19060426950454712,321.0
,0.0,0.0,,3,,,,,,90.0,131104,geometry/pose_raw,0.19283676147460938,341.0
,0.0,0.0,,4,,,,,,90.0,131112,geometry/pose_raw,0.19317376613616943,341.0
,0.0,0.0,,5,,,,,,90.0,131119,geometry/pose_raw,0.19062666594982147,341.0
,0.0,0.0,,6,,,,,,90.0,131125,geometry/pose_raw,0.19011932611465454,341.0
,0.0,0.0,,7,,,,,,90.0,131136,geometry/pose_raw,0.18647430837154388,326.0
,0.0,0.0,,8,,,,,,90.0,131148,geometry/pose_raw,0.18662717938423157,326.0
,0.0,0.0,,9,,,,,,90.0,131156,geometry/pose_raw,0.1868879497051239,326.0
