audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,367024,geometry/pose_raw,0.5718660354614258,322.0
,0.0,0.0,,1,,,,,,90.0,367043,geometry/pose_raw,0.5707967877388,319.0
,0.0,0.0,,2,,,,,,90.0,367050,geometry/pose_raw,0.5485879182815552,319.0
382403256,,,"[ 187  203  218  265  234  250  281  296  312  343  671  328  375  359
  390  421  406  656  437  468  687  484 1359  515  531  453  500  625
 1343  609  593  578]",3,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.62355918e-02 -4.05496880e-02 -1.52986776e-02 -1.43660769e-01
 -2.65025161e-03  2.43710149e-02  2.40176562e-02  2.41399575e-02
  1.21228602e-02  1.13286618e-02  4.00322402e-04  2.47479640e-02
 -1.02168731e-02  1.23674050e-03 -6.42690621e-03  2.43482785e-03
 -4.18558018e-03 -1.06070191e-02 -1.43857608e-02  7.00295949e-03
 -5.24199288e-03 -3.14805936e-03 -6.15323801e-03  4.62967809e-03
  8.31754951e-05  8.81539844e-03  1.21477398e-03 -6.62017753e-03
 -2.78850645e-03  2.16173264e-03  9.39221401e-03 -2.67587195e-04
  4.54837717e-02  3.94528732e-03 -8.30700528e-03  9.98424832e-03
 -1.95768084e-02  1.25835044e-02  3.33155598e-03  8.10759794e-03
  2.32888182e-04 -3.53698619e-03  2.17775669e-04  7.36752525e-04
 -1.78844808e-03  3.39085935e-03 -3.41691892e-03 -3.43393564e-04
  1.07904081e-03 -3.00386781e-03  2.22694618e-03  2.92851566e-03
  3.27490177e-03 -1.32803642e-03 -5.21642808e-03 -1.55244768e-03
 -5.83330577e-04  4.17815259e-04 -7.08479725e-04  3.09498340e-04
 -4.56855539e-03 -2.93096586e-04  3.52799217e-03  3.06400150e-04
  2.19913274e-02  7.99396932e-02  9.30704363e-03  3.55977528e-02
 -1.28631117e-02  2.12776614e-03 -4.30863909e-02 -1.64744500e-02
  6.33342890e-03 -8.95335991e-03 -4.62073321e-03  1.02405082e-02
  1.22329837e-03  1.89642451e-04 -3.07744578e-03  7.98959192e-03
  6.29113801e-03 -3.30686904e-02 -7.97691848e-03 -1.82561844e-03
 -3.46361892e-04 -1.20808296e-02  5.85578196e-03  9.18551348e-03
 -3.20013450e-03  1.80679781e-05  6.58814039e-04 -1.20834345e-02
 -2.22037360e-03  1.19369859e-02  2.07998306e-02  1.53231202e-03
 -1.45483747e-01 -7.34115317e-02 -4.23705578e-02 -2.19010472e-01
  2.98838913e-02  1.41636252e-01 -5.32112159e-02 -6.53024903e-03
  1.27523076e-02 -7.46167153e-02 -3.18564777e-03  2.43062619e-03
  3.42388824e-02  7.93095399e-03  7.61426613e-03  2.35663820e-03
 -3.45998886e-03 -1.77094601e-02  3.93839553e-03  1.07476842e-02
  9.89215448e-03 -5.49088558e-03 -2.85641588e-02  4.06735810e-04
  6.00645377e-04  2.45828647e-02  4.54851566e-03 -8.12835898e-03
  5.39425109e-03  8.50585010e-03  7.16527738e-03  7.60386174e-05]","[ 5.47109991e-02 -3.68501730e-02 -1.39368288e-02 -7.42029166e-03
  3.70239019e-02  3.77670005e-02  5.68239763e-03  1.35934334e-02
 -1.48301153e-03 -4.83885556e-02 -6.21645525e-03 -1.39052793e-02
  1.36688864e-03  3.38347591e-02  9.34559153e-04  6.61609415e-03
  9.14043188e-03  3.98770999e-03  8.32487457e-03 -1.28530106e-03
  7.18815764e-03 -5.23930648e-03 -7.25804712e-04 -4.60878294e-03
 -2.41535529e-03 -2.09037587e-03  9.31361050e-04  1.47467235e-03
 -9.82127967e-04 -5.74673992e-04 -5.44796046e-03  7.12798117e-03
 -1.15556195e-01 -9.96007174e-02 -3.96383181e-02  3.86769213e-02
  1.63164642e-02  2.17853673e-02  3.50805297e-02  2.74949707e-02
 -6.72831293e-03 -2.43357606e-02 -2.86481529e-03 -1.93516798e-02
 -6.22127671e-03 -1.60458945e-02 -1.56535272e-04  8.48826393e-03
  7.61101767e-03  1.98459602e-04  6.33758213e-03 -1.64236664e-03
 -1.43349683e-03 -4.97451285e-03 -1.20993340e-02 -7.69501971e-03
 -2.17782240e-03  5.87071758e-03 -5.13162278e-03 -2.46375077e-03
 -9.62622114e-04  1.25524076e-03  4.87869978e-03  5.20981755e-03
 -1.18581474e-01 -1.87903345e-01 -6.37712423e-03  5.00970855e-02
  3.33627313e-02  6.96532428e-02  3.44249308e-02  6.24701194e-03
 -8.06397386e-03 -2.70489901e-02 -1.19392155e-02 -2.80395858e-02
  2.45679577e-04 -1.42901577e-02  3.86509043e-03  1.25153456e-02
  3.70770670e-03  1.23908548e-02  1.29222833e-02  1.54638663e-03
  1.17231533e-02 -8.14391486e-03  1.48227895e-02  1.83057331e-03
 -9.43776127e-03  4.58153896e-03 -1.15503778e-03  2.26376252e-03
 -7.80414231e-03 -2.64511630e-03 -1.67793618e-03  9.53844003e-03
 -1.42560720e-01 -1.66840926e-01 -8.37523043e-02  4.92789038e-02
 -1.41794654e-02 -2.27378681e-02 -2.75346842e-02 -6.83775963e-03
 -3.61107849e-02  5.79779670e-02 -4.18102788e-03 -4.35203277e-02
 -8.35033692e-03 -5.32731712e-02  8.12199898e-03  3.37783545e-02
  9.45654046e-03  1.33982748e-02 -2.46062949e-02 -5.57481486e-04
  5.08828089e-04  9.28224297e-04 -3.59456055e-02 -1.46170864e-02
 -2.45493092e-03  5.63764072e-04 -3.84003244e-04  3.70042399e-03
  9.44879092e-03  9.70709021e-04  2.64436845e-03  5.87127684e-03]",,367053,audio/signals_f,,
,0.0,0.0,,4,,,,,,90.0,367056,geometry/pose_raw,0.5475218892097473,319.0
,0.0,0.0,,5,,,,,,90.0,367064,geometry/pose_raw,0.5475395321846008,319.0
,0.0,0.0,,6,,,,,,90.0,367074,geometry/pose_raw,0.5479504466056824,319.0
,0.0,0.0,,7,,,,,,90.0,367082,geometry/pose_raw,0.5268872976303101,331.0
,0.0,0.0,,8,,,,,,90.0,367095,geometry/pose_raw,0.5272776484489441,331.0
,0.0,0.0,,9,,,,,,90.0,367102,geometry/pose_raw,0.5274626612663269,331.0
,0.0,0.0,,10,,,,,,90.0,367114,geometry/pose_raw,0.5277685523033142,331.0
,0.0,0.0,,11,,,,,,90.0,367123,geometry/pose_raw,0.5203671455383301,318.0
,0.0,0.0,,12,,,,,,90.0,367133,geometry/pose_raw,0.5199204087257385,318.0
,0.0,0.0,,13,,,,,,90.0,367143,geometry/pose_raw,0.5199711322784424,318.0
,0.0,0.0,,14,,,,,,90.0,367155,geometry/pose_raw,0.5198524594306946,318.0
,0.0,0.0,,15,,,,,,90.0,367172,geometry/pose_raw,0.5202579498291016,318.0
