audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,406730,geometry/pose_raw,0.07699447870254517,326.0
,0.0,0.0,,1,,,,,,90.0,406740,geometry/pose_raw,0.07618582248687744,338.0
,0.0,0.0,,2,,,,,,90.0,406749,geometry/pose_raw,0.07639248669147491,338.0
,0.0,0.0,,3,,,,,,90.0,406760,geometry/pose_raw,0.07613474875688553,338.0
,0.0,0.0,,4,,,,,,90.0,406770,geometry/pose_raw,0.07718782126903534,338.0
,0.0,0.0,,5,,,,,,90.0,406779,geometry/pose_raw,0.07711031287908554,312.0
,0.0,0.0,,6,,,,,,90.0,406789,geometry/pose_raw,0.07773085683584213,312.0
421790466,,,"[ 671  687 1359  656  187  281  390 1343  453  468  375  234  218  484
  406  359  203 1328  437  296  343  703 2031  421  265  250  500  312
 2046  328  718  640]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 2.0993773e-03  7.3194382e-04 -2.5152063e-03 -8.9517608e-03
 -3.3612938e-03 -1.7133357e-02  5.7794116e-03  2.7816056e-04
 -4.2311605e-03  5.7945992e-03 -3.5706027e-03  2.3234636e-02
  1.7862964e-02 -9.9775475e-04 -6.3189636e-03 -8.5540274e-03
  2.8709067e-02 -1.7330404e-03 -5.5915797e-03  2.3953982e-03
  1.3270421e-04 -1.7561354e-03  3.2122683e-05  3.4861418e-03
 -3.6492195e-02 -5.6863468e-02 -3.6669313e-03 -3.0398804e-03
 -7.1115105e-04  4.9290303e-02  4.3784315e-03 -2.7751068e-03
  3.3549487e-04 -2.2663057e-04  6.4462312e-03 -1.0847611e-03
 -1.6577713e-02  1.0156850e-02  7.5399800e-04 -9.4348798e-07
 -7.2023680e-04 -4.2189934e-04  1.1117219e-03  1.6698323e-02
 -2.0051192e-02 -7.5419375e-06  1.1444712e-04  2.0475471e-03
  9.4830734e-04 -4.7811121e-03 -7.8741834e-04 -3.3490371e-03
 -4.7978672e-04 -1.1004297e-03 -5.9051830e-03  5.5646838e-04
  1.2118579e-03  9.7271977e-03  1.6215434e-03 -1.8177284e-03
  1.2320476e-03 -7.9461030e-04  2.3811669e-04 -3.4709557e-04
  4.7664284e-03  1.1436990e-03 -5.1423600e-03 -2.1706980e-02
 -2.6143026e-02 -2.4288626e-02  3.5508650e-03  4.4147721e-03
 -1.0463543e-02  1.4406343e-02 -4.6480172e-03  2.5343047e-02
  3.0382842e-02  2.6983304e-03  3.1580264e-04 -1.2626064e-02
  3.8679808e-02  7.7947709e-03 -3.6773446e-03  1.2859713e-02
 -4.1090231e-03 -1.2707550e-02  2.1500071e-03  4.8993854e-03
  2.7357981e-02 -1.8050794e-03 -9.9386927e-03 -5.6072478e-03
 -2.9812041e-03  2.8652837e-03  7.3267496e-03 -5.7517397e-03
  2.9270693e-03 -3.5564706e-03 -1.3844971e-02 -8.3905086e-03
  9.3193501e-02 -1.0385223e-02 -2.2493515e-03 -1.8882323e-02
  7.5016753e-05  4.4062678e-03 -2.6964681e-02  3.4675229e-02
  2.6696572e-02 -3.5939859e-03  6.1808098e-03 -1.5269294e-02
  7.3017180e-02 -1.4023371e-02  3.2898030e-04  3.8025219e-02
  3.9864205e-02 -8.0343708e-03 -3.4170679e-04 -1.8535944e-02
 -4.8701137e-02 -2.2467862e-01  1.1281512e-02  3.4652963e-02
  6.8075472e-04  2.4303671e-02  4.8221354e-03  1.4203950e-05]","[-2.49306299e-03  8.42462905e-05 -6.43122103e-03  4.99855378e-05
 -2.08073288e-01  3.04111242e-02 -5.27221244e-03 -2.26650760e-03
  6.90207584e-03 -3.23164766e-03 -1.17802415e-02 -5.70108593e-02
 -7.01862127e-02 -3.41845350e-03 -4.53326525e-03 -9.68911871e-03
 -1.47846445e-01  4.65192180e-03  1.61253735e-02  1.44541301e-02
 -1.14670489e-02  6.42453413e-03 -1.39437569e-03  1.47554232e-02
  3.67657095e-02  1.30140036e-01 -1.14503372e-02  4.35619894e-03
  9.11771902e-04 -1.61460228e-02  9.25194658e-03 -6.25456031e-03
 -1.17775332e-03 -2.15354515e-03 -9.42893513e-03 -1.48421712e-03
 -1.42558575e-01  3.97431143e-02  3.17779806e-04  3.60874436e-03
  1.35207316e-03 -2.75858818e-03 -8.53902753e-03 -1.22910244e-02
 -4.67776507e-02 -4.33112495e-03  7.89803267e-03 -2.09794454e-02
 -1.17847905e-01  1.84952165e-04  8.13117251e-03  2.05669329e-02
 -2.21827868e-02  3.97637347e-03 -4.24704142e-03  1.06459577e-02
  4.34391871e-02  3.13011818e-02 -5.87276556e-03 -4.43292363e-03
  3.84158827e-03 -1.67146549e-02  3.46508823e-05 -3.08818650e-03
  9.34378011e-04 -1.84960943e-03 -5.14735654e-03  2.65558949e-03
 -1.18235439e-01  5.23607172e-02  1.49284827e-03  1.69845449e-03
  7.53195258e-03 -5.51947625e-03 -7.65524991e-03  7.02535640e-03
 -3.06776632e-02 -1.13886334e-02  5.57626598e-03 -1.00627607e-02
 -1.91418380e-01  8.46364535e-03  1.97132602e-02  1.94759555e-02
 -2.13875137e-02  2.04790924e-02 -6.16818154e-03  1.30059896e-02
  3.63641381e-02  5.64211980e-02 -9.53492336e-03 -6.91084249e-04
  2.31204461e-03 -3.28194909e-02  1.34549923e-02 -9.77872871e-03
  1.92286156e-03 -3.29560088e-03 -4.73589683e-03  5.80720138e-03
 -6.46631718e-02  1.53136095e-02  1.41811129e-02 -2.60546394e-02
 -9.95118357e-03 -1.12531781e-02  1.04791559e-02 -4.76469584e-02
 -3.35444584e-02 -2.37033051e-03  2.73508318e-02  4.14207857e-03
 -5.34927547e-02  3.59338224e-02 -3.39400227e-04  9.27457761e-04
  3.36663984e-02  2.17592232e-02 -1.37921167e-03 -2.19900371e-03
 -5.53302700e-03  1.75324783e-01 -1.40498602e-03 -1.48121240e-02
 -1.11852470e-03 -1.26309514e-01  3.09543521e-03 -6.85095927e-03]",,406795,audio/signals_f,,
,0.0,0.0,,8,,,,,,90.0,406800,geometry/pose_raw,0.07759316265583038,312.0
,0.0,0.0,,9,,,,,,90.0,406810,geometry/pose_raw,0.07735831290483475,312.0
