audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,135075,geometry/pose_raw,0.002955653006210923,1078.0
,0.0,0.0,,1,,,,,,90.0,135084,geometry/pose_raw,0.002955653006210923,1078.0
,0.0,0.0,,2,,,,,,90.0,135094,geometry/pose_raw,0.002955653006210923,1078.0
202554336,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",3,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 1.51655883e-01 -7.12856174e-01 -8.83543491e-01 -9.85482395e-01
 -3.09835136e-01  8.84906277e-02 -3.07060599e-01 -4.27868254e-02
 -4.44817878e-02 -3.11731696e-01 -2.03335173e-02  5.07082567e-02
  1.03208125e-01  3.58875692e-02  2.31012926e-01  1.42753378e-01
  1.69051439e-01 -8.04039836e-02  8.70438516e-02 -4.95242141e-02
 -5.52606676e-03 -3.00182030e-02 -2.33345423e-02 -4.55017388e-02
 -2.13013589e-02  4.55621034e-02  1.95138082e-01 -7.62245208e-02
 -1.65027007e-02  3.43909040e-02 -3.80562618e-02 -2.28164978e-02
 -1.57567993e-01 -1.96760505e-01 -3.29323441e-01 -7.92472720e-01
  3.69689971e-01 -1.68190390e-01 -1.79995859e+00  4.50417437e-02
  3.17760929e-02 -1.19723007e-01  1.92297213e-02  8.61458331e-02
  1.34478658e-01  1.53870597e-01 -8.30300823e-02 -1.40612898e-02
 -1.37076840e-01  5.90502331e-03 -2.95175668e-02 -1.22192539e-02
  6.72602654e-03  9.82676633e-04  2.26850677e-02  1.34082846e-02
 -1.08548440e-03  3.13682714e-03 -1.68226272e-01  1.44793186e-04
  2.51907147e-02  6.70031831e-03 -7.31840916e-03  1.31446477e-02
 -2.93117873e-02  3.51097822e-01  3.79433900e-01 -9.88443077e-01
 -1.30724788e-01  1.66278370e-02  2.61793113e+00  6.62193745e-02
  2.37146448e-02  1.66602218e+00  2.59772446e-02 -6.38344824e-01
 -1.73657104e-01  1.04434043e-01  1.27113983e-01 -7.65735097e-03
 -3.30811143e-01  4.63894568e-03 -5.48055992e-02 -4.15071510e-02
 -2.78687626e-02  1.34311682e-02 -8.00517127e-02  6.95347935e-02
  3.20098475e-02 -1.62418075e-02 -7.55554959e-02 -2.12483555e-02
 -3.20616066e-02  4.77516726e-02 -1.41206570e-03  4.79255728e-02
  4.92838360e-02  1.33988345e+00  1.12176013e+00  3.17203254e-01
  4.24039513e-01 -4.92014028e-02 -6.28822708e+00  1.35647515e-02
  4.08202969e-02 -1.50868011e+00 -2.06346840e-01  7.09465444e-02
  7.38177374e-02  7.31176078e-01  1.19703621e-01 -5.72716855e-02
  9.15588140e-01  6.03908300e-02  7.07150530e-03  9.66751948e-04
 -1.83413997e-01 -2.19814982e-02 -2.16338038e-02 -6.98603988e-02
 -5.75857610e-03  4.31684777e-02 -6.12899065e-02  4.85235192e-02
 -9.89639014e-02  1.59179140e-02  2.02308614e-02 -2.15711165e-02]","[ 8.55962373e-03 -2.03066841e-02 -1.73055738e-01  2.54077554e-01
  1.00971669e-01 -5.74252605e-02  6.17773294e-01  6.72243237e-02
  1.77517813e-02  8.72276902e-01  5.11027500e-02  1.38018906e-01
 -4.65217754e-02  1.96303338e-01  1.82246178e-01 -1.76059380e-02
 -6.56321824e-01 -4.64517437e-02  6.98531643e-02  1.38312690e-02
 -4.49563004e-02 -3.28915976e-02 -4.09045555e-02 -3.87252960e-03
 -1.33733982e-02  5.23164645e-02  5.05676866e-03  7.52348751e-02
 -5.72654605e-03 -1.09691005e-02 -1.59549639e-02  2.83255093e-02
  7.28010833e-02 -8.92432183e-02 -5.90395391e-01 -1.27259088e+00
  4.45791334e-02  2.38375559e-01  2.95702875e-01 -6.40707761e-02
  4.34577763e-02  7.63225913e-01  1.46308437e-01  2.59228557e-01
  1.39226671e-02  8.45714360e-02  8.12846571e-02  6.72293222e-03
  1.03768863e-01  3.22832540e-02  7.21178949e-04 -9.63295326e-02
 -1.01748230e-02 -6.06864244e-02 -4.57452536e-02  1.05052022e-02
 -1.14999376e-02  2.17166003e-02 -2.09317684e-01 -1.74914487e-02
 -1.23531753e-02 -4.05603051e-02  1.14989765e-02  1.87452510e-02
 -2.25567326e-01 -2.36830130e-01  1.44710969e-02  1.03039436e-01
 -1.68359756e-01  3.38325292e-01 -7.81389594e-01 -3.48825119e-02
 -1.29260182e-01 -2.62945533e-01 -1.28004879e-01  1.38508856e-01
 -9.76753607e-02 -4.06096429e-02 -4.49215025e-02 -1.86174084e-02
 -2.03645334e-01 -8.53663031e-03 -6.44225031e-02  1.45203909e-02
  4.97750528e-02 -1.66613273e-02  3.91836464e-02 -1.10521400e-02
  5.63305095e-02  5.09186368e-03 -2.12853029e-02 -3.08764949e-02
 -8.09938461e-03 -1.16426982e-02  1.16217546e-02 -5.28771244e-02
 -2.02062488e-01  5.00068963e-02 -2.24664688e+00 -3.69459093e-01
  3.67766261e-01  2.68956274e-01  8.74228096e+00  1.06088095e-03
 -8.29681009e-02  1.37486470e+00  2.00289756e-01 -1.77740645e+00
 -1.70745820e-01 -5.42438090e-01 -3.46240252e-02  8.50921050e-02
 -4.37949777e-01  1.90107413e-02  7.93787241e-02  2.96992976e-02
  5.91124967e-02  6.54466003e-02 -1.77302305e-03 -5.38243167e-03
 -1.05496809e-01  3.00447065e-02 -3.31146084e-02  7.72588467e-03
 -1.94959953e-01 -4.83147986e-03 -1.70717668e-02  2.73893308e-02]",,135103,audio/signals_f,,
,1.0,-3.0,,4,,,,,,90.0,135106,geometry/pose_raw,0.002955653006210923,1078.0
,-1.0,3.0,,5,,,,,,90.0,135113,geometry/pose_raw,0.002955653006210923,1078.0
,0.0,-4.0,,6,,,,,,90.0,135124,geometry/pose_raw,0.002955653006210923,1081.0
,0.0,4.0,,7,,,,,,90.0,135133,geometry/pose_raw,0.002955653006210923,1081.0
,0.0,-5.0,,8,,,,,,90.0,135143,geometry/pose_raw,0.002955653006210923,1081.0
,0.0,1.0,,9,,,,,,90.0,135163,geometry/pose_raw,0.002955653006210923,1081.0
