audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,137704,geometry/pose_raw,-0.17955774068832397,299.0
,0.0,0.0,,1,,,,,,90.0,137710,geometry/pose_raw,-0.17879223823547363,299.0
,0.0,0.0,,2,,,,,,90.0,137716,geometry/pose_raw,-0.1794702112674713,299.0
,0.0,0.0,,3,,,,,,90.0,137726,geometry/pose_raw,-0.17907653748989105,299.0
,0.0,0.0,,4,,,,,,90.0,137736,geometry/pose_raw,-0.17794941365718842,299.0
,0.0,0.0,,5,,,,,,90.0,137745,geometry/pose_raw,-0.1775173842906952,274.0
152646469,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",6,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-2.2750844e-03  4.2164749e-03 -6.8712514e-03  6.0456395e-03
 -1.0013763e-03 -2.7849213e-03  4.7872422e-04 -1.0077080e-03
  1.1500899e-03 -1.2334903e-03 -2.3876040e-03  3.4195470e-04
 -5.4291106e-04 -8.3987863e-04 -3.5046476e-03 -2.1686074e-03
  1.0321907e-03  1.0697552e-03  1.1883117e-03  8.7566051e-04
 -3.5921930e-04 -5.9480796e-04 -3.5127014e-04  1.8836118e-03
  6.5780256e-04 -1.2204967e-03  1.2736194e-03 -2.1891666e-03
 -1.9942170e-03 -1.1978968e-03  7.1518990e-04 -1.3217633e-03
 -2.5843896e-03 -1.2519289e-03 -3.5396358e-04  9.7075965e-05
 -4.3342798e-04 -1.6185341e-03  1.1161512e-03  8.8286912e-04
  3.8616755e-04 -1.1394783e-03 -3.3470117e-03 -2.2624792e-03
 -7.5529562e-05  1.6703781e-03 -2.1173102e-04 -2.2754206e-04
 -7.7583233e-04 -7.6489849e-04 -5.5886729e-04 -5.1399088e-04
 -2.7085864e-04  4.3062650e-04  9.0352213e-04 -6.4463192e-04
 -2.0387719e-04 -6.8274292e-04 -7.8427698e-04  6.5469719e-04
  2.7208019e-04  8.4287341e-05  3.1843875e-04  5.7174457e-04
 -8.7470273e-03  7.2269854e-03 -1.3796313e-02  1.1133898e-02
 -4.2464240e-03 -6.0481406e-03 -5.1654154e-04 -6.9897543e-03
  4.0521766e-03 -2.6657444e-03 -8.7519139e-03 -3.2954784e-03
  4.6406216e-03 -2.1669970e-04 -6.1367347e-05 -8.6978625e-04
 -4.9479754e-04 -5.2665710e-06 -5.5991311e-04 -6.0245424e-05
  5.8890460e-04 -2.9314522e-04  2.1748182e-04 -7.9146971e-04
 -4.4428674e-04  1.0782466e-04  1.5360283e-03  1.5419580e-03
 -8.0416084e-04 -1.9967186e-04  1.0618326e-03  1.4857030e-03
 -1.9308973e-02  4.1115051e-03 -9.9107502e-03  7.5448677e-03
 -1.4314009e-03 -1.5298609e-02 -5.6094876e-03 -3.4987777e-03
  2.1723672e-03 -4.9677043e-04  9.5704402e-04  3.8922364e-03
 -2.6035570e-03  3.7473545e-03 -4.5584486e-04 -1.9912247e-03
 -9.2350366e-04  1.6950686e-03 -2.0293696e-03 -1.8562283e-03
 -3.0438323e-03 -1.3660007e-03 -2.6467282e-04 -1.4900849e-03
  4.8948347e-04  2.7394216e-04 -2.4472834e-03 -3.2216681e-03
 -1.9316144e-03 -3.5813695e-04  2.3601619e-03  8.5173361e-04]","[-1.4905486e-01  4.9968255e-03 -1.9485665e-03  1.1726696e-03
  8.3902625e-05  2.4614707e-03 -1.7512465e-04 -6.2013674e-04
  4.2180144e-04  5.9189985e-04 -2.5351623e-03 -1.6840885e-04
  9.8740216e-04  1.9730658e-03  1.2880822e-03 -4.1954680e-03
  5.4956074e-03  2.0316064e-03 -1.7488734e-03  4.9623544e-04
  8.8149752e-04 -2.2254710e-05 -1.1898280e-03  1.2516165e-03
 -1.7752129e-04  1.6314170e-04  3.3561996e-04  1.9339961e-03
  1.7390404e-03 -6.2116008e-04  2.1803973e-03  6.7947421e-04
 -1.4623985e-01  7.4655744e-03  2.5992268e-03  3.1049550e-04
 -9.2566013e-04  2.1785947e-03 -2.8131944e-03 -8.6208060e-04
  3.3098627e-03  2.5015692e-03  9.3679363e-04  1.7377612e-03
 -1.7855144e-03 -7.6450384e-04  1.7606447e-04  9.6038144e-05
  1.1678794e-03  1.0885297e-03 -4.1836224e-04 -1.7793338e-04
  1.4959212e-04  1.3644560e-05 -4.2197382e-04  3.4797049e-04
 -1.8693916e-03  1.5779306e-03  1.5474093e-03  7.7910117e-05
 -3.7595356e-04  6.8989153e-05 -2.1104260e-04  4.5649344e-04
 -1.4275441e-01  3.9367899e-03 -7.1759303e-03  2.8198408e-03
 -2.6277427e-03  4.4866516e-03  2.4556583e-03  4.8614834e-03
 -3.7324836e-03  1.8162844e-03 -8.3258841e-03 -8.5788220e-03
  1.1750984e-03  7.5523497e-04  1.1484548e-03  5.9481274e-04
  7.6300092e-04  6.8337430e-04  6.1856711e-04  6.8676891e-04
 -3.1632336e-04 -2.1097527e-04 -2.5322472e-04  6.6440098e-04
 -1.7081685e-03  1.0945954e-03  2.0880178e-03 -2.6202691e-04
 -2.0466028e-03  6.0725358e-04 -2.6421668e-03 -1.7335756e-03
 -1.7248951e-01  1.8604372e-02 -3.4227569e-03 -1.0388936e-03
  2.7407596e-03  6.7417049e-03 -2.9600966e-03  7.2363392e-04
 -2.4122279e-03 -2.3733309e-04  1.8016474e-03 -2.1798564e-03
  3.4525193e-04 -7.4163894e-05  1.9310364e-03  9.5023587e-04
  2.2098115e-03  2.0080067e-03  4.5482710e-04 -3.1445242e-04
 -1.1281369e-03  9.3077007e-04  1.0834183e-03 -1.3807678e-04
 -3.6767992e-04 -1.0015229e-03 -8.0315088e-04 -3.8660069e-03
  2.5594451e-03  3.8744320e-04 -4.4221611e-05  1.0284743e-03]",,137755,audio/signals_f,,
,0.0,0.0,,7,,,,,,90.0,137757,geometry/pose_raw,-0.17589208483695984,274.0
,0.0,-1.0,,8,,,,,,90.0,137765,geometry/pose_raw,-0.1726900190114975,274.0
,0.0,1.0,,9,,,,,,90.0,137776,geometry/pose_raw,-0.17221195995807648,274.0
