audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,168414,geometry/pose_raw,-0.06770972907543182,320.0
,0.0,-1.0,,1,,,,,,90.0,168425,geometry/pose_raw,-0.07608029991388321,320.0
184925061,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",2,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-3.68786999e-03  1.75575668e-04  3.12240492e-03  1.46317901e-03
 -1.32781535e-03  1.55722233e-03  1.07749132e-03  1.11714168e-03
 -3.77607357e-04  2.75247323e-04 -3.14521429e-04 -7.26406870e-04
 -6.02921180e-04  3.68691428e-04  8.12885060e-04 -4.90534934e-04
 -4.51072934e-04  2.77665211e-04 -5.69395605e-04  9.13747004e-04
  7.63631542e-04 -9.32410694e-05 -2.22956514e-04 -2.79200991e-04
 -2.27735014e-04  5.51493722e-05 -5.69653581e-04 -4.52855747e-05
  1.52370631e-05 -3.38800892e-05  1.64088269e-04 -7.68246420e-04
 -3.80303524e-03 -7.91710918e-05 -1.39074255e-05  1.19495473e-03
  3.89995053e-04  8.81233427e-04 -9.33364092e-04  2.89296499e-04
  4.74499102e-05 -1.83400902e-04 -1.99552851e-05  4.94211970e-04
 -1.93233020e-04  3.47141817e-04 -1.29145017e-04  3.83168197e-04
 -5.67659037e-04 -3.16842634e-05 -4.99686110e-04 -6.90420638e-05
  2.95788836e-04 -4.43181256e-04  5.91904827e-05  2.77092040e-04
  5.96161699e-04  2.77860614e-04 -2.03150848e-04  2.40153749e-04
  1.81683048e-04 -3.33280259e-05 -5.98749248e-05 -2.81752611e-04
 -4.31055808e-03  5.49703231e-03  3.00055509e-03  3.03152693e-03
 -2.99406378e-03  4.13987553e-03  1.61553163e-03  2.69212783e-03
 -3.36053898e-04  6.08869654e-04 -2.34913896e-05 -1.68941588e-05
 -2.96412967e-04 -4.73757827e-05 -5.94235316e-04 -5.88945986e-05
  5.93981589e-04 -3.94710049e-04  7.36000293e-05 -2.01715011e-04
 -3.82938539e-04 -6.03224966e-04 -7.71151215e-04 -3.04153509e-05
  1.69658801e-04 -4.84404824e-04 -5.45947871e-04 -3.24450288e-04
  3.85852181e-05 -2.30297650e-04  1.29470922e-04 -8.18361441e-05
 -5.92054054e-03  2.05950323e-03  3.24756769e-03  2.38679908e-03
 -2.11315206e-03  3.44728795e-03  3.48232890e-04  9.95528651e-04
 -1.17341161e-03 -1.00291465e-04  3.08083196e-04  9.32389405e-04
 -3.68533161e-04  1.40599062e-04 -2.23427589e-04  2.82136811e-04
  2.64050672e-04  3.51821625e-04 -7.92531006e-04 -8.23590017e-05
 -2.67487078e-04  2.00289491e-04  2.62648246e-04  1.83534357e-05
 -4.91100946e-04 -3.69279413e-04  9.28403679e-05  2.56290987e-05
 -7.27876031e-05  1.88143349e-05  4.95299639e-04  1.75480032e-04]","[-1.38668284e-01  9.19696223e-03  5.33751212e-03 -3.11584724e-03
  3.37712700e-05  1.67178642e-03 -1.09160296e-03 -4.84520686e-04
 -8.47473508e-04 -9.86582832e-04  3.16356571e-04 -9.08025831e-04
 -8.18627886e-05 -3.35003075e-04  8.33406666e-05 -2.57196603e-04
  4.23316742e-05 -1.18307769e-04  3.26949870e-04  3.53317155e-04
 -5.97539241e-04  1.55725007e-04 -3.60448794e-05 -2.70052609e-04
 -2.52373022e-04  6.27655681e-05 -1.04100676e-04  4.90331091e-04
 -2.44053212e-04 -1.95634711e-05 -2.45648425e-05 -5.09315869e-04
 -1.46495551e-01  7.39420578e-03  2.32458161e-03 -1.16009067e-03
  9.95172653e-04 -4.90681123e-05 -2.33470288e-04 -2.19658425e-04
  2.06654193e-04 -7.47990562e-04 -2.22875475e-04 -4.22919751e-04
  2.36155262e-04  6.63157785e-04 -4.51925735e-06  1.95781671e-04
 -3.40763683e-04  2.67232244e-04  2.76344712e-04 -3.64729727e-04
  1.78467599e-04 -1.59535572e-04  4.75672132e-04 -2.78852604e-05
  8.86506314e-05 -2.24671050e-04  2.01974064e-04 -3.01922497e-04
 -1.31746783e-04  3.16326274e-04 -2.13516469e-04 -1.03559549e-04
 -1.28599793e-01  4.21976764e-03  1.18463635e-02 -1.30136800e-03
  1.11951830e-03  4.21701046e-03 -3.28139728e-03  3.08205403e-04
 -9.32272989e-04 -1.82460505e-03  1.51410582e-03 -2.75765051e-04
 -6.94823044e-04 -1.22258003e-04 -5.58717351e-04  1.06758939e-03
 -2.40420399e-04  2.41257731e-04 -5.12646046e-04  7.87666766e-04
  2.50366778e-04  2.43751565e-04 -1.96622510e-04  5.87003888e-05
  6.53909694e-04 -2.24204385e-04 -4.77412541e-05  2.09334539e-04
 -2.00475362e-04  8.20897054e-04 -7.50286621e-04 -1.34885224e-04
 -1.45150095e-01  7.53031578e-03  6.77314680e-03 -2.37079291e-03
  1.19229394e-03  1.33222342e-03 -2.21086899e-03 -7.54593406e-04
 -1.69943101e-04 -6.27061163e-05  2.18264919e-04 -4.66984289e-04
  3.63677624e-04  4.74669156e-04  1.80322677e-05  4.88217513e-04
  2.02229305e-04  1.29553169e-04 -1.72522108e-04 -2.80497014e-04
 -4.91880419e-05  1.61140597e-05 -4.08352847e-04 -3.63801693e-04
 -1.19666161e-04 -3.97607218e-04  6.09234557e-04  5.44948212e-04
  1.93167085e-04 -4.75529872e-04  7.39386305e-04  3.67638102e-04]",,168426,audio/signals_f,,
,0.0,0.0,,3,,,,,,90.0,168434,geometry/pose_raw,-0.07584114372730255,312.0
,0.0,1.0,,4,,,,,,90.0,168446,geometry/pose_raw,-0.07494542002677917,312.0
,3.0,2.0,,5,,,,,,90.0,168455,geometry/pose_raw,-0.08028478920459747,312.0
,3.0,2.0,,6,,,,,,90.0,168473,geometry/pose_raw,-0.07047908008098602,312.0
,-3.0,-3.0,,7,,,,,,90.0,168481,geometry/pose_raw,-0.08540759980678558,312.0
,8.0,2.0,,8,,,,,,90.0,168487,geometry/pose_raw,-0.0561295785009861,318.0
,-4.0,0.0,,9,,,,,,90.0,168494,geometry/pose_raw,-0.07380249351263046,318.0
,4.0,-1.0,,10,,,,,,90.0,168504,geometry/pose_raw,-0.06092839315533638,318.0
,-8.0,0.0,,11,,,,,,90.0,168513,geometry/pose_raw,-0.0945494994521141,318.0
,7.0,1.0,,12,,,,,,90.0,168523,geometry/pose_raw,-0.06818388402462006,334.0
,-2.0,0.0,,13,,,,,,90.0,168537,geometry/pose_raw,-0.07835933566093445,334.0
