audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,485755,geometry/pose_raw,0.07365117222070694,314.0
,0.0,0.0,,1,,,,,,90.0,485765,geometry/pose_raw,0.07354767620563507,314.0
,0.0,0.0,,2,,,,,,90.0,485775,geometry/pose_raw,0.0736963152885437,314.0
,0.0,0.0,,3,,,,,,90.0,485785,geometry/pose_raw,0.07216274738311768,320.0
,0.0,0.0,,4,,,,,,90.0,485795,geometry/pose_raw,0.07162551581859589,320.0
,0.0,0.0,,5,,,,,,90.0,485805,geometry/pose_raw,0.07139729708433151,320.0
,0.0,0.0,,6,,,,,,90.0,485815,geometry/pose_raw,0.07240799814462662,320.0
500382679,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-9.92343575e-03  2.79941480e-03 -1.70153962e-03 -2.21568486e-03
 -7.92184845e-04 -4.70309379e-03  1.75690639e-03 -7.51693442e-05
  4.40987642e-04 -9.46647197e-05 -1.39917916e-04  5.15577325e-04
 -2.45148141e-04 -3.11627373e-04 -9.13077383e-06  1.08918917e-04
  9.25643835e-05  4.14462469e-04  4.17783507e-04  8.14783736e-04
 -4.33789188e-04  3.82444094e-04  2.04037555e-04  1.06788859e-04
  1.61473290e-05 -4.22654266e-05 -6.10554300e-04  1.73453067e-04
  3.17832135e-04  5.76077029e-04  2.49159988e-04  1.41951285e-04
 -3.52169015e-03  4.32121422e-04 -3.63771804e-04 -2.66693562e-04
  1.11011392e-03 -8.71871365e-04 -3.72586946e-05  2.84492940e-04
 -3.54516465e-04  1.12648442e-04 -4.54066845e-04  3.48157366e-04
 -3.17678059e-04  2.46277050e-05 -1.30907720e-04 -2.78111984e-04
  1.96623951e-04 -2.78545311e-04  4.60300158e-04 -1.12505768e-04
  3.79775243e-04 -9.88690153e-05 -1.26466635e-04  1.17826567e-04
 -4.82835982e-04  3.04948859e-04  1.44370817e-04 -3.90041823e-05
  1.49230735e-04  1.00121382e-04 -1.41101729e-04 -1.56783120e-04
 -1.66758876e-02  2.18959665e-03 -5.27048297e-03 -6.38301391e-03
 -2.03575194e-03 -1.07870558e-02  3.29766795e-03  1.72557251e-04
 -1.00412488e-03  7.91871105e-04  6.71323563e-04  1.12529192e-03
 -1.41128467e-03 -5.67455136e-04  3.01566964e-04  5.42612397e-05
 -7.82977557e-04  8.60853586e-04  3.54149786e-04  3.74466646e-04
  6.33166637e-05 -5.63087640e-04  2.23901836e-04 -3.52732110e-04
  2.58294109e-04  4.21583245e-05  5.63061447e-04  2.00451759e-05
 -4.30648215e-04  4.01946279e-04 -4.32511384e-04  1.14739662e-04
 -9.35401302e-03  4.82750684e-03 -5.83605282e-03 -1.54029403e-03
 -1.22671714e-03 -4.69620107e-03  1.58493780e-03  1.51478627e-04
  8.87862931e-04  4.03075013e-04  5.83567657e-04  7.13948917e-04
 -2.08084050e-04 -1.66168233e-04 -3.60065285e-04 -2.74989812e-04
 -9.39302845e-04  1.41477329e-04  2.62977555e-04  2.51338148e-04
  3.79325284e-05 -2.66230491e-05 -4.32596935e-05  2.67049298e-04
 -3.52147181e-04 -3.89413472e-04 -2.41554226e-04 -6.77900825e-05
 -1.21683755e-04  4.43170982e-04  3.15216137e-04 -7.50497566e-05]","[-1.33710355e-01  7.65994843e-03 -5.83541114e-03 -1.08791993e-03
 -1.47127570e-03  2.01972597e-03  5.72736084e-04 -7.93326763e-04
  6.31401199e-04  2.28917066e-04  9.33139017e-05  2.07435602e-04
  5.79698826e-05  2.54724873e-04 -8.28326214e-04 -4.54085210e-04
 -5.73649304e-04 -1.22268379e-04  2.95653823e-04 -1.73263194e-04
 -6.42879226e-04 -2.06191617e-04  8.33212223e-04 -5.20081012e-05
 -4.79949900e-04 -1.03044877e-04 -1.18204072e-04 -2.34416439e-04
 -1.29241293e-04 -1.49564235e-04  5.56546671e-04  7.99559857e-05
 -1.46383226e-01  9.49073862e-03  1.72542734e-03 -1.37768581e-03
  2.71548866e-04 -6.74703915e-05  3.58129677e-04  1.63736055e-04
  2.16127359e-04 -7.56626017e-04  2.86381604e-04 -2.64983159e-04
 -3.08382325e-04  4.00699762e-04 -4.18202981e-04 -3.24346183e-04
 -2.06542361e-04  6.17010810e-05  4.99229500e-05  1.22129466e-04
  2.42485199e-04  2.61641952e-04  1.90996725e-04  2.55382591e-04
  2.63481925e-05  3.57426674e-04 -2.58794083e-04  1.00661302e-04
 -3.53700307e-04  2.03132804e-04  9.08013753e-05  2.71236422e-06
 -1.25506401e-01  1.64948739e-02 -1.69282481e-02 -4.10487381e-04
 -3.04903649e-03  2.85261963e-03  2.32889503e-03  4.33860812e-04
  8.90065450e-04 -7.78146496e-05 -3.55443219e-04  8.69043986e-04
  5.08087804e-04 -2.53091945e-04  3.61908111e-04 -5.55628096e-04
  1.24674072e-04  6.91074645e-04  1.01683161e-03 -9.48437024e-04
 -3.94949340e-04 -4.46485472e-04  9.31534101e-04 -2.51655118e-04
 -4.03425249e-04 -4.99347407e-05 -8.47716408e-04 -7.69029139e-05
 -9.82085941e-04 -5.39686531e-04 -2.28139281e-04  4.95939748e-04
 -1.40843853e-01  1.01518445e-02 -7.66843930e-03 -7.87787896e-04
 -8.77441256e-04  2.94313417e-03  8.24207498e-04  4.03501384e-04
  4.86093399e-04 -3.58246383e-04 -5.54874947e-04  9.96136223e-05
  8.41198256e-04  9.15865458e-05 -8.18800647e-04 -3.57010809e-04
  9.10420320e-04  1.72734683e-04 -2.20429414e-04 -3.81184625e-04
 -1.60575029e-04  3.68353445e-04  6.49200578e-04  2.25342010e-05
 -7.20436685e-04 -2.71406665e-04  2.37394750e-04  1.17329546e-05
  2.51252903e-04  2.63398309e-04 -1.00577447e-04  5.03100709e-05]",,485821,audio/signals_f,,
,0.0,0.0,,8,,,,,,90.0,485834,geometry/pose_raw,0.07157054543495178,321.0
,0.0,0.0,,9,,,,,,90.0,485841,geometry/pose_raw,0.07268042117357254,321.0
