audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,208329,geometry/pose_raw,0.014786849729716778,317.0
,0.0,0.0,,1,,,,,,90.0,208336,geometry/pose_raw,-0.010802014730870724,331.0
,0.0,0.0,,2,,,,,,90.0,208344,geometry/pose_raw,-0.010737353004515171,331.0
,0.0,0.0,,3,,,,,,90.0,208352,geometry/pose_raw,-0.011378109455108643,331.0
,0.0,0.0,,4,,,,,,90.0,208363,geometry/pose_raw,-0.011772193014621735,331.0
,0.0,0.0,,5,,,,,,90.0,208374,geometry/pose_raw,-0.012108078226447105,331.0
,0.0,0.0,,6,,,,,,90.0,208383,geometry/pose_raw,-0.011975291185081005,321.0
,0.0,0.0,,7,,,,,,90.0,208392,geometry/pose_raw,-0.011975291185081005,321.0
,0.0,0.0,,8,,,,,,90.0,208402,geometry/pose_raw,-0.012149427086114883,321.0
224586360,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 4.91318712e-03  1.64084951e-04  3.77184874e-03 -1.74123398e-03
  1.23750395e-03 -1.86552585e-03  3.03519104e-04  1.81981304e-04
  2.78098247e-04 -4.33087465e-04 -3.22177017e-04  2.28172692e-04
 -3.66160297e-04 -1.00492151e-03 -8.58640997e-04 -9.06111265e-04
  1.48312916e-04  6.44423126e-04  2.95406498e-05 -3.71682458e-04
  1.38514006e-04  7.19400705e-04 -4.28176136e-04  4.08641645e-04
 -5.39658824e-04  1.51185057e-04  7.19206728e-05  8.17804248e-05
  5.67048439e-04  1.81557843e-05  4.35129361e-04  2.95401114e-04
 -2.44417996e-03 -4.20181284e-04 -2.81931687e-04  2.34564330e-04
 -9.91733046e-04  1.76962334e-04  4.10598179e-04 -2.27996679e-05
  3.60581878e-04  4.46369784e-04 -1.71054737e-04 -5.05478878e-04
 -1.19611024e-04 -9.16427409e-04  3.43440217e-04 -1.26865678e-04
  3.23759363e-04  1.18687189e-04 -3.60948819e-04 -7.48277816e-05
 -2.18686328e-05  5.66164555e-04 -1.32807079e-04  8.30983663e-06
 -4.43792960e-04  5.20260772e-04  4.02993639e-04 -1.51442102e-04
 -4.97568573e-04  4.01214871e-04 -4.37519193e-04 -2.41954622e-04
  4.73805796e-03  1.31131895e-03  9.52463318e-03 -3.60870711e-03
 -1.12337561e-03 -4.43902100e-03  2.33394071e-03  1.15405733e-03
  1.17426587e-03 -2.10605445e-04 -3.73686169e-04  1.36122305e-03
  4.81374154e-04 -3.08572431e-04 -4.61139192e-04 -1.09199973e-04
  7.62244395e-04  3.96837597e-04  5.17016044e-04 -8.45502887e-04
  1.42575045e-05  1.38842181e-04  8.30987061e-04 -7.14897062e-04
  9.24058433e-04  6.05339999e-04  1.00106862e-03 -3.28891416e-04
 -3.73568590e-04  2.75929429e-04 -3.92593560e-04 -1.84705132e-04
  1.28505938e-03  2.72049638e-03  4.11297614e-03 -2.16112495e-03
 -6.04936213e-04 -1.41484151e-03  9.19842569e-05  1.35073540e-04
  3.81628604e-04  1.43836834e-03 -1.31556983e-04  2.39193774e-04
 -7.44440767e-04  4.46247926e-04  6.06290821e-04 -3.21964792e-04
  2.51520687e-04  3.60057602e-04  2.69594428e-04 -6.94261034e-05
  2.06725817e-04 -9.11137846e-04 -3.06659436e-04  4.81328403e-04
  2.40709429e-04 -3.19862767e-04  2.31084210e-04  3.23854212e-04
 -1.08681794e-04 -3.45881999e-05 -5.18368150e-04  2.86287919e-04]","[-1.44537017e-01  7.72284716e-03  4.06705454e-04 -1.24034507e-03
  3.61362530e-04  5.27459371e-04 -2.62300274e-03 -8.63172827e-05
  8.62002373e-04  1.63481513e-03 -9.23542539e-05 -8.67238850e-04
  8.64407775e-05  2.04897689e-04  2.54164770e-04 -9.09474795e-04
  2.56682746e-04 -3.92860064e-04  5.00131049e-04 -5.76798571e-04
 -1.29093998e-04 -1.25993113e-03 -2.82287190e-04  4.38792311e-04
 -1.56570663e-04  5.53323072e-04  5.16204105e-04 -2.85015674e-04
 -1.88789796e-04 -1.22995581e-04  2.29004901e-04  2.60584609e-04
 -1.46949545e-01  7.76401348e-03  9.92831192e-04 -1.33334822e-03
  1.03951264e-04 -2.98825849e-04  2.57523614e-04  4.55472502e-04
  8.11769205e-05 -2.24691175e-04  3.10930802e-04 -3.35506775e-04
 -6.39191421e-05 -1.25200022e-04  1.59578311e-04 -8.90483643e-05
  1.42244549e-04 -6.22549211e-04 -2.82460329e-04  4.80092684e-04
 -1.80708463e-04 -6.71471644e-05  3.08396964e-04  7.02087200e-05
 -3.35380028e-04 -6.21878600e-04 -4.48079692e-04  6.63616695e-04
 -1.57314440e-04  7.95609900e-04 -1.12838643e-04 -5.78105246e-05
 -1.47490859e-01  6.06149482e-03 -7.43031502e-04 -1.91838143e-03
 -8.04144191e-04  1.25870900e-03 -3.97276133e-03  1.68184473e-04
  7.61338044e-04  3.52628925e-03  6.06422778e-04 -6.87480439e-04
 -1.16099173e-03 -1.49539701e-05  9.08206915e-04 -8.70603486e-04
  9.62143065e-04 -7.44747755e-04 -6.71671820e-04 -4.68981510e-04
 -1.69881256e-04  7.82630348e-04  4.86876874e-04  8.78011051e-05
 -2.67194060e-04 -4.18368581e-04  2.91205797e-05  3.70018359e-04
 -6.41155988e-04  1.11724854e-04  6.59060781e-04  2.43613642e-04
 -1.58808142e-01  9.06236749e-03 -5.87193761e-04 -4.70083876e-04
 -2.96671729e-04  9.93671245e-04 -2.46254215e-03  1.91102590e-04
 -4.03774029e-04  1.66584249e-03  1.03467912e-03 -9.52038972e-04
 -5.38901368e-04  3.71580332e-04  1.03665152e-04 -3.08082526e-05
 -5.62329427e-04  3.76904965e-04 -6.62882812e-05 -3.26969399e-04
 -6.47443812e-04 -5.53592748e-04  8.27455660e-05 -5.55352235e-05
  2.41262838e-04 -2.44414492e-04  2.18701403e-04 -1.84760764e-04
  3.72753944e-04  3.09757830e-04 -4.77031426e-05  6.13721277e-05]",,208408,audio/signals_f,,
,0.0,0.0,,10,,,,,,90.0,208411,geometry/pose_raw,-0.011607392691075802,321.0
,0.0,0.0,,11,,,,,,90.0,208422,geometry/pose_raw,-0.011607392691075802,322.0
,0.0,0.0,,12,,,,,,90.0,208433,geometry/pose_raw,-0.011005440726876259,322.0
,0.0,0.0,,13,,,,,,90.0,208442,geometry/pose_raw,-0.010148159228265285,322.0
,0.0,0.0,,14,,,,,,90.0,208461,geometry/pose_raw,-0.011129297316074371,322.0
,0.0,0.0,,15,,,,,,90.0,208469,geometry/pose_raw,-0.011582532897591591,318.0
,0.0,0.0,,16,,,,,,90.0,208475,geometry/pose_raw,-0.021025754511356354,318.0
,0.0,0.0,,17,,,,,,90.0,208481,geometry/pose_raw,-0.021457169204950333,318.0
,0.0,0.0,,18,,,,,,90.0,208493,geometry/pose_raw,-0.022158363834023476,318.0
,0.0,0.0,,19,,,,,,90.0,208501,geometry/pose_raw,-0.021428372710943222,318.0
,0.0,0.0,,20,,,,,,90.0,208511,geometry/pose_raw,9.827507892623544e-05,330.0
,0.0,0.0,,21,,,,,,90.0,208522,geometry/pose_raw,-0.00014178240962792188,330.0
