audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,551827,geometry/pose_raw,-0.24848335981369019,280.0
564469063,,,"[6984  203  218  234  250  265  281  296  312  328  343  359  375  390
  406  421  437  453  468  484  500  515  531  546  562  578  593  609
  625  640  656  671]",1,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-9.2440794e-05 -1.4991800e-03  4.9260729e-03 -3.4925453e-03
 -2.0150861e-03  1.6345218e-03  3.7467335e-03  5.7667638e-03
 -3.6605098e-03 -1.2625221e-03  3.1780559e-03 -3.7748995e-03
 -1.4632654e-03  1.2938654e-03 -2.4460658e-04 -6.5731048e-04
  3.8878992e-05 -2.4355049e-03  4.9684392e-03 -1.6657113e-03
 -7.4037223e-04  6.2339599e-03 -3.9431429e-03 -2.0770708e-03
  2.2961206e-03 -5.9887338e-03 -1.0704133e-03 -3.8122856e-03
  3.6046919e-03 -1.0367284e-03  1.0209734e-02 -2.0902553e-03
 -4.5376306e-04 -3.9200000e-03 -6.9714012e-04  1.3452932e-03
 -8.3348656e-05  1.8144636e-03  2.5676948e-03  2.0927202e-04
 -1.5327823e-04  9.2911528e-04 -1.0470758e-03 -1.3566368e-03
 -7.9739047e-04 -1.6491165e-04  7.0434937e-05  7.1551016e-04
  1.1680572e-03 -6.1506740e-05 -4.3747530e-04  3.1240052e-05
 -8.4436865e-04  7.5217523e-04 -9.1435085e-04  7.2651735e-04
 -3.9550624e-04 -1.4470498e-03  1.1924069e-04  2.8540919e-05
  7.0859492e-04  5.3035241e-05  7.5918913e-04 -1.1681010e-04
 -8.1165053e-05 -4.8092101e-05  4.8129181e-03 -1.1062039e-02
 -1.0145017e-02  2.0098574e-03  3.8704141e-03  8.4508276e-03
 -7.3075988e-03  1.3762556e-02  3.3508716e-03 -6.2355874e-03
 -2.5759782e-03  2.2786267e-03  1.1276504e-03 -3.7188060e-04
 -2.0459455e-03 -5.5596330e-03  8.1533976e-03 -3.9515300e-03
 -1.8595217e-03  1.2727757e-02 -7.3530315e-03 -4.4304845e-03
  4.0442212e-03 -1.0344960e-02 -3.1182205e-03 -9.1907978e-03
  8.6049205e-03  8.2674588e-04  1.8923845e-02 -5.9095193e-03
 -4.9920304e-04 -3.9949967e-03  2.2531173e-03 -4.4905669e-03
  8.3667692e-05 -1.1041977e-03  2.9224062e-03  4.1703098e-03
 -5.1908377e-03  6.9034495e-03  4.3241340e-03 -4.1871998e-03
 -2.5336675e-03  5.0076074e-04 -9.2035253e-04 -7.0542726e-04
 -1.0083398e-03 -2.0828722e-03  4.5743645e-03 -1.4953377e-03
  1.5123633e-03  8.0851382e-03 -5.4308758e-03 -2.9383465e-03
  1.1336160e-03 -9.2686210e-03 -9.2801463e-04 -3.6967702e-03
  5.2451808e-03 -1.9031615e-03  1.3957393e-02 -3.1975091e-03]","[ 6.92140078e-04 -1.07144266e-01 -5.27322665e-02  1.21647236e-03
  3.72610986e-02  3.78891304e-02  3.82833779e-02  1.68975815e-02
 -3.34164570e-03 -1.29209477e-02 -1.88350715e-02 -1.99028570e-02
 -1.23350238e-02  2.95814103e-03  7.57566839e-03  7.14392588e-03
  8.95620603e-03  3.43721267e-03 -8.76943988e-04 -3.24823009e-03
 -3.70357186e-03 -1.45463995e-03 -6.74035680e-03 -1.50290201e-03
  1.61006162e-03 -5.62480465e-03  7.59811467e-03  5.34322951e-03
  1.52349472e-03 -1.12724155e-02 -1.05843984e-03  1.39603554e-03
 -7.65345001e-04 -1.10187203e-01 -5.48997112e-02  1.18652778e-03
  3.46964747e-02  4.36137617e-02  3.65336463e-02  1.67384632e-02
 -3.29728308e-03 -1.49279460e-02 -2.06912383e-02 -1.81538314e-02
 -9.41970665e-03 -4.53010842e-04  8.18468072e-03  1.03689833e-02
  8.31599906e-03  3.59240617e-03 -1.13621674e-04 -4.15072683e-03
 -6.86432887e-03 -6.60715578e-03 -2.82881316e-03  1.06009655e-03
  2.04784726e-03  3.19160661e-03  3.14682024e-03  2.57904548e-03
 -7.21668242e-04 -2.85612326e-03 -2.02906108e-03 -3.04359943e-03
 -1.40080847e-05 -1.00508079e-01 -5.48959784e-02  1.86653854e-03
  3.41732726e-02  3.74849439e-02  4.44958061e-02  1.47510543e-02
 -7.03804567e-03 -6.94095902e-03 -1.83065049e-02 -2.17736606e-02
 -1.56472586e-02  8.60818103e-03  5.63592091e-03  5.78119513e-03
  7.35379988e-03  4.72917641e-03 -3.12851649e-03 -3.74012627e-03
 -1.88595452e-03  1.93759473e-03 -8.12350772e-03  3.84039216e-04
  1.81247876e-03 -1.80215538e-02  1.20803937e-02  7.48278294e-03
  2.99909618e-03 -2.05389056e-02  2.85036815e-03  6.93643652e-03
  6.69713190e-05 -1.13258012e-01 -5.83080724e-02  3.39637604e-03
  4.31968719e-02  3.97172496e-02  4.05783877e-02  1.44071653e-02
  6.08601607e-04 -1.29216248e-02 -2.38325223e-02 -1.91233940e-02
 -1.45047791e-02  4.61027911e-03  6.25979342e-03  8.70903675e-03
  7.59653468e-03  5.82542550e-03 -1.46332115e-03 -4.15823562e-03
 -3.64622776e-03 -4.17794241e-03 -6.04308769e-03  2.91287113e-04
  4.59953182e-04 -6.76766131e-03  1.07902829e-02  7.10303802e-03
  1.03532540e-04 -1.34012736e-02 -3.76651483e-03  3.55276978e-03]",,551831,audio/signals_f,,
,0.0,0.0,,2,,,,,,90.0,551836,geometry/pose_raw,-0.2472601681947708,280.0
,0.0,0.0,,3,,,,,,90.0,551846,geometry/pose_raw,-0.24597668647766113,280.0
,0.0,1.0,,4,,,,,,90.0,551855,geometry/pose_raw,-0.24325184524059296,280.0
,-1.0,-1.0,,5,,,,,,90.0,551866,geometry/pose_raw,-0.24391329288482666,281.0
,1.0,0.0,,6,,,,,,90.0,551876,geometry/pose_raw,-0.24313999712467194,281.0
,0.0,0.0,,7,,,,,,90.0,551885,geometry/pose_raw,-0.24259929358959198,281.0
,-1.0,0.0,,8,,,,,,90.0,551896,geometry/pose_raw,-0.2454734891653061,281.0
,0.0,0.0,,9,,,,,,90.0,551904,geometry/pose_raw,-0.244562029838562,275.0
