audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,248211,geometry/pose_raw,-0.040646445006132126,321.0
,0.0,0.0,,1,,,,,,90.0,248220,geometry/pose_raw,-0.04050104692578316,321.0
,0.0,0.0,,2,,,,,,90.0,248229,geometry/pose_raw,-0.04106161743402481,321.0
,0.0,0.0,,3,,,,,,90.0,248241,geometry/pose_raw,-0.040798380970954895,321.0
,0.0,0.0,,4,,,,,,90.0,248250,geometry/pose_raw,-0.0456249862909317,331.0
,0.0,0.0,,5,,,,,,90.0,248260,geometry/pose_raw,-0.044355250895023346,331.0
,0.0,0.0,,6,,,,,,90.0,248272,geometry/pose_raw,-0.044896841049194336,331.0
264320991,,,"[187 203 218 265 250 281 328 359 343 296 718 687 421 593 375 625 406 437
 500 734 609 671 453 578 640 656 234 515 703 828 484 531]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.1678485e-02 -1.1922407e-03 -5.7242131e-03  1.3570375e-03
 -2.5732154e-03 -3.6727276e-04  2.2099765e-03 -4.4541960e-03
 -3.0316151e-04  6.6462527e-03  7.7000279e-03 -7.8636128e-03
 -2.6539234e-03  5.6686900e-03  5.7845202e-04  6.3229566e-03
  1.7210983e-03  2.1439148e-03  8.1054005e-04  2.0039575e-03
  2.6166996e-03 -2.5767486e-03 -1.6724672e-03  1.4379396e-04
 -3.2389937e-03 -1.4285864e-03 -4.0989453e-03 -3.7750139e-04
 -2.9202062e-03  2.1876020e-03  1.0709757e-03 -5.1462143e-03
 -4.0020356e-03 -2.2137514e-03 -1.5535677e-03 -1.8876628e-04
 -3.7681346e-04 -3.1920482e-04  5.5283750e-04 -1.3944898e-03
  1.1810542e-03  1.9696904e-03  1.5818671e-03 -1.2889252e-03
 -1.3575503e-03  5.9439670e-05 -1.0007927e-03  6.7751453e-04
  1.8170016e-04  9.7188284e-04 -4.8654352e-04  7.1796979e-04
  5.1685283e-04 -6.6929252e-04  1.1261117e-03 -1.4633350e-03
 -1.2044171e-04  2.1984229e-04  6.2690361e-04 -2.9410992e-04
 -1.5446342e-03  5.7848636e-05  3.9222802e-04 -2.1548392e-04
 -1.7398475e-02 -1.2322706e-03 -5.5294284e-03  6.1259894e-03
 -1.3359716e-02 -1.1974873e-03  1.1225988e-02 -1.1863229e-02
  2.1589208e-04  1.8565711e-02  1.4052823e-02 -1.5188476e-02
 -1.0915215e-03  1.2350316e-02 -5.6030520e-04  1.3212456e-02
  3.8846729e-03  3.3834272e-03  1.7556637e-03  5.6797573e-03
  4.0111146e-03 -5.7998504e-03 -7.3237987e-03  6.1788200e-04
 -7.3394361e-03 -1.2140803e-03 -7.8550344e-03 -1.3583793e-03
 -7.8206174e-03  7.0617697e-03  4.4002072e-03 -9.2969816e-03
 -4.8946114e-03 -3.8441420e-03 -3.5179453e-03  3.6451719e-03
 -4.9807183e-03 -1.7596909e-03  2.5208080e-03 -5.7184594e-03
  1.9592720e-03  5.2368585e-03  9.4883032e-03 -1.0464262e-02
 -1.9708376e-03  6.1630518e-03 -1.6709128e-03  5.6797271e-03
  4.9512489e-03  3.1791497e-03  1.1963409e-03  3.5617603e-03
  8.0078270e-04 -3.9148727e-03 -3.2734938e-03  2.0473723e-03
 -2.2717023e-03 -2.4698565e-03 -5.1084720e-03 -1.2048780e-03
 -2.0705813e-03  1.8461581e-03  3.0797136e-03 -5.8489530e-03]","[-0.13645242 -0.10989414 -0.05283989  0.0431705   0.03490908  0.03426546
 -0.02279591 -0.01652323 -0.01446737  0.01146572  0.0114635  -0.00847022
  0.00728689  0.00101995 -0.00891483 -0.00586808  0.01055908  0.00879203
 -0.00700605  0.00652629 -0.00167564 -0.0067243   0.00654451  0.00650436
  0.00589734 -0.00592068 -0.00490917 -0.00291879  0.00271281 -0.00491983
 -0.0024618  -0.00473217 -0.14454198 -0.11186847 -0.05103721  0.04347026
  0.0359492   0.03660303 -0.01974873 -0.0176223  -0.02067222  0.01732459
  0.00282782 -0.00159606  0.00993455  0.00332736 -0.00853304 -0.00140995
  0.00874641  0.00841857 -0.00694848  0.00203581  0.00077951 -0.00276436
  0.00464271  0.00341482 -0.0021498  -0.0039337  -0.0032811  -0.00617814
  0.0007396  -0.00244267 -0.00577786 -0.00228948 -0.13569662 -0.11120523
 -0.05125897  0.04366381  0.04439656  0.02602455 -0.03659385 -0.01572829
 -0.00704412  0.0106342   0.022189   -0.0154531   0.00430034  0.00084175
 -0.0069588  -0.00758073  0.0136963   0.01127942 -0.00777619  0.01255154
 -0.00641147 -0.01085044  0.00975951  0.00641058  0.01211136 -0.01116726
 -0.01009745 -0.00278545  0.00636392 -0.00620728 -0.0030703  -0.00530451
 -0.14525071 -0.11470219 -0.05315469  0.044109    0.04005441  0.03677697
 -0.02759208 -0.01692145 -0.01442826  0.01282444  0.01024824 -0.00654612
  0.00901533 -0.00038342 -0.00914539 -0.00643157  0.01058321  0.00891774
 -0.00896932  0.00657623 -0.0019132  -0.00771358  0.00820648  0.00568932
  0.00668339 -0.00697394 -0.00629845 -0.0040103   0.00483823 -0.00446285
 -0.00424113 -0.00248521]",,248273,audio/signals_f,,
,0.0,0.0,,8,,,,,,90.0,248281,geometry/pose_raw,-0.0439487025141716,331.0
,0.0,0.0,,9,,,,,,90.0,248298,geometry/pose_raw,-0.04253918677568436,331.0
,0.0,0.0,,10,,,,,,90.0,248305,geometry/pose_raw,-0.041515715420246124,325.0
,0.0,0.0,,11,,,,,,90.0,248313,geometry/pose_raw,-0.0432097502052784,325.0
,0.0,0.0,,12,,,,,,90.0,248319,geometry/pose_raw,-0.04289736598730087,325.0
,0.0,0.0,,13,,,,,,90.0,248329,geometry/pose_raw,-0.04415864497423172,325.0
,0.0,0.0,,14,,,,,,90.0,248339,geometry/pose_raw,-0.04301821440458298,324.0
,0.0,0.0,,15,,,,,,90.0,248348,geometry/pose_raw,-0.04272528737783432,324.0
,0.0,0.0,,16,,,,,,90.0,248361,geometry/pose_raw,-0.04319443926215172,324.0
,0.0,0.0,,17,,,,,,90.0,248369,geometry/pose_raw,-0.043937962502241135,324.0
,0.0,0.0,,18,,,,,,90.0,248379,geometry/pose_raw,-0.04297742247581482,332.0
