audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,13390,geometry/pose_raw,-15.60547161102295,290.0
,1.0,0.0,,1,,,,,,90.0,13398,geometry/pose_raw,-15.590250968933105,299.0
,0.0,0.0,,2,,,,,,90.0,13408,geometry/pose_raw,-15.57444953918457,299.0
,0.0,0.0,,3,,,,,,90.0,13426,geometry/pose_raw,-15.55803108215332,299.0
,0.0,0.0,,4,,,,,,90.0,13433,geometry/pose_raw,-15.543545722961426,299.0
,1.0,0.0,,5,,,,,,90.0,13439,geometry/pose_raw,-15.527722358703613,299.0
,-1.0,0.0,,6,,,,,,90.0,13447,geometry/pose_raw,-15.511819839477539,292.0
,0.0,-1.0,,7,,,,,,90.0,13458,geometry/pose_raw,-15.495107650756836,292.0
,-3.0,0.0,,8,,,,,,90.0,13467,geometry/pose_raw,-15.480575561523438,292.0
,1.0,1.0,,9,,,,,,90.0,13479,geometry/pose_raw,-15.465956687927246,292.0
29112260,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",10,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.41547853e-02  1.56738516e-03  4.21792176e-03  2.89925840e-03
 -1.84438261e-03 -1.57565752e-03 -1.35430053e-03 -5.02649986e-04
 -8.73547280e-04  3.40652565e-04  3.24548600e-05  5.35150932e-04
 -3.79207253e-04  4.54940746e-05 -2.75289989e-04 -1.38829098e-04
  1.81784912e-04  2.62253074e-04  3.68746732e-05  6.22500374e-05
  6.95312803e-04  6.49987633e-05 -6.47286070e-04  1.07990600e-04
  4.20392840e-04 -7.55642541e-05  3.20396721e-05  4.11757239e-04
  1.02460363e-04 -2.86615395e-05 -2.90309661e-04  1.68432642e-04
 -3.41981510e-03  1.28159695e-03  3.92192160e-04  4.36349656e-04
 -2.06310302e-04 -2.48403783e-04  8.06152893e-05  3.60321254e-04
 -1.32820394e-04  1.46430888e-04 -8.57370906e-05  2.47322430e-04
 -4.08600579e-04 -3.52463685e-04  1.52463850e-04  8.16487882e-05
  1.97781046e-04  1.04387596e-04  1.45711660e-04 -1.31889828e-05
  3.14647041e-04  4.10336885e-04 -3.15737678e-04  2.68872536e-04
  1.81099604e-04  1.99179252e-04 -1.76392277e-04  2.69997894e-04
 -3.51079914e-04  9.35908902e-05 -2.66242452e-04 -4.49348998e-04
 -2.18300037e-02  4.74424055e-03  8.78112298e-03  5.23172645e-03
 -2.49108998e-03 -3.10847047e-03 -1.46015745e-03 -8.13405204e-04
  5.49892546e-04  5.56691666e-04  3.68671521e-04 -4.58043301e-04
 -1.26647111e-03  1.67435879e-04 -4.60657466e-04  2.41606380e-04
 -1.75114314e-04 -7.29179766e-04  3.68644862e-04  1.37829178e-04
  2.64093833e-04  3.97233991e-04  1.02032349e-03 -5.04970012e-05
 -3.54669610e-05  6.23512373e-04 -3.97100550e-04 -5.10829035e-04
  4.93458239e-04 -2.27732773e-04 -5.56830608e-04 -2.04383512e-04
 -1.21747246e-02  2.06214795e-03  6.82289712e-03  3.29141389e-03
 -1.70540041e-03 -2.28422834e-03 -3.05962778e-04 -2.47635297e-04
 -4.69889725e-04 -3.86517379e-04  2.86017865e-04 -8.21471680e-04
 -4.89804486e-04  1.82365591e-04 -5.35663159e-04  4.79109993e-04
  2.45402218e-04  5.69998301e-05 -3.67206725e-04 -4.40300500e-04
 -3.33640171e-04  1.03336766e-04  3.44698550e-04  2.68738891e-04
  1.13189686e-04 -2.70411430e-04  5.33042650e-04  3.86740780e-04
 -2.39582849e-04  1.37241252e-04  2.77326733e-04 -1.08566877e-04]","[-1.45089239e-01  6.23491220e-03  5.52222226e-03 -2.03049596e-04
  1.95702910e-03 -4.27454623e-04  4.80624090e-04 -7.03022743e-05
 -5.41227811e-04  2.63637863e-04  6.92329602e-04 -2.69225537e-04
 -1.20912140e-04 -2.55034247e-04 -1.49264932e-04  4.10527835e-04
 -5.02896495e-04  5.02349110e-04  2.42939248e-04  1.12946691e-05
  5.33029553e-04 -3.98609045e-05 -1.47672225e-04  6.14140765e-04
  9.12456017e-06 -1.61459480e-04  3.05897032e-04  1.20674034e-04
 -6.49549766e-04  3.97465657e-04 -1.30669810e-04  3.70843947e-04
 -1.46859169e-01  6.88510295e-03  1.97185087e-03 -1.57930923e-03
  1.11225282e-03 -4.79307229e-04 -1.57385773e-04 -3.30480398e-04
  4.25742241e-04  1.83781478e-04 -2.19449837e-04 -5.83600849e-05
  3.70353810e-04  6.58328354e-05 -2.71956000e-04  2.25430864e-04
 -3.15297861e-04 -2.58090615e-04 -2.88631913e-04 -2.03350966e-04
 -4.55180649e-04  4.97926725e-04 -1.40979697e-04 -2.75679718e-04
  2.00333103e-04 -5.28226432e-04  4.07113606e-04  2.98414991e-04
 -1.88132122e-04  3.68469373e-05 -2.16803513e-04 -2.10301325e-04
 -1.35568440e-01  6.81001553e-03  1.12114754e-02 -1.01207127e-03
  2.10843165e-03 -1.44021213e-03  2.67632189e-04 -1.43307250e-03
 -1.30790402e-04  1.13822136e-03  2.14548083e-03  1.43300160e-04
 -5.07796125e-04 -2.71085999e-04 -6.20570150e-04  2.46993150e-05
 -1.86539546e-06  4.65057266e-04 -4.46630933e-04  6.40045968e-04
 -5.66037124e-05  7.32530374e-04 -3.54010612e-04 -2.12805666e-04
  3.36621859e-04  5.71592420e-04  3.14903038e-04  9.18539008e-05
  5.44468348e-04 -4.57146263e-04 -1.65904057e-04  2.00546870e-04
 -1.49074376e-01  8.86037759e-03  5.97137678e-03 -1.91039848e-03
  2.38368032e-03 -6.23425585e-04  1.31408975e-04  1.48826701e-04
  6.31434959e-05 -3.74543102e-04  9.39236372e-04  9.09172872e-04
 -3.26051406e-04 -5.72124613e-04  6.92997826e-04 -3.75566829e-04
 -3.14067380e-04 -1.36082614e-04  2.65250710e-04  9.39952297e-05
 -7.26420141e-04 -3.55270284e-04 -1.43514422e-04 -3.90305300e-04
 -4.53824439e-04 -3.42433887e-05  3.82023049e-04 -2.61007779e-04
  3.44176777e-04  6.76037162e-04  8.24351155e-05  5.64696733e-04]",,13486,audio/signals_f,,
,1.0,0.0,,11,,,,,,90.0,13487,geometry/pose_raw,-15.450498580932617,287.0
,1.0,0.0,,12,,,,,,90.0,13497,geometry/pose_raw,-15.435661315917969,287.0
,0.0,0.0,,13,,,,,,90.0,13510,geometry/pose_raw,-15.41848373413086,287.0
,0.0,0.0,,14,,,,,,90.0,13517,geometry/pose_raw,-15.40216064453125,287.0
,0.0,0.0,,15,,,,,,90.0,13528,geometry/pose_raw,-15.386977195739746,287.0
