audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,96290,geometry/pose_raw,-0.10661756992340088,286.0
,0.0,0.0,,1,,,,,,90.0,96299,geometry/pose_raw,-0.10554251819849014,286.0
,0.0,0.0,,2,,,,,,90.0,96309,geometry/pose_raw,-0.10561975091695786,286.0
,0.0,0.0,,3,,,,,,90.0,96319,geometry/pose_raw,-0.10633931308984756,286.0
,-4.0,0.0,,4,,,,,,90.0,96331,geometry/pose_raw,-0.12656129896640778,285.0
,3.0,0.0,,5,,,,,,90.0,96348,geometry/pose_raw,-0.12224786728620529,285.0
,0.0,0.0,,6,,,,,,90.0,96354,geometry/pose_raw,-0.11967696994543076,285.0
,0.0,0.0,,7,,,,,,90.0,96362,geometry/pose_raw,-0.11948489397764206,285.0
,0.0,0.0,,8,,,,,,90.0,96368,geometry/pose_raw,-0.12085475772619247,295.0
111553331,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",9,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.78449089e-04  1.79633952e-03  2.71204417e-03  2.33254046e-03
  1.16411939e-05 -2.68347142e-03 -9.05009510e-05 -9.21137922e-04
 -8.58998450e-04  5.50701167e-04 -2.02612509e-03 -5.79400745e-04
 -6.29472081e-04 -5.10274665e-04  1.69945299e-03  3.10693076e-03
 -2.20809970e-03 -3.09061783e-04  3.01967841e-04  8.04002048e-05
 -5.89244999e-04 -2.16719141e-04  1.74699264e-04 -1.20034150e-03
 -2.28106379e-04 -3.31138726e-04 -5.36031032e-04  2.67631956e-03
  1.50903268e-03 -9.49945941e-04 -2.00247183e-03 -9.55607858e-04
 -2.30314955e-03 -4.50958702e-04  5.78467909e-04 -2.82812165e-03
 -4.90626669e-04  6.66784006e-04 -9.85036138e-04  2.42468086e-03
 -7.59095710e-04 -2.77792569e-04 -2.34242575e-03 -8.41980160e-04
  3.66779772e-04  6.17442827e-04 -8.84118257e-04 -6.38295460e-05
 -7.86854769e-04 -1.56122737e-03  9.86965140e-04  3.19787650e-04
 -4.82020929e-04 -6.45872613e-04 -4.29392443e-04  2.85153597e-04
  5.88310941e-05 -1.18165440e-03  2.76484818e-04 -9.49318783e-05
  7.51462139e-05  2.61603331e-04 -3.67386150e-04  1.69363455e-04
  3.62238148e-04  5.06480783e-03  4.43755696e-03  4.77816258e-03
  3.90387897e-04 -6.48177753e-04 -5.04965289e-03 -2.47567659e-03
 -8.45088623e-04  2.71206023e-03 -5.76092442e-03  2.22800951e-03
  4.33404651e-03  8.16611107e-04 -5.30170335e-04  4.97816422e-04
 -7.38559116e-04 -4.00545716e-04 -3.15971964e-04 -4.05781611e-04
 -1.17177842e-05 -7.97051238e-04 -1.03586062e-03 -4.71635984e-04
 -4.01981699e-04 -1.73294777e-03 -5.96530677e-04  1.03664424e-04
 -1.00378820e-03 -8.71350057e-04  1.14341639e-03  1.60517858e-03
 -6.84056664e-04  7.91193638e-03  2.23815767e-03  3.90182948e-03
 -1.34102209e-03 -8.18774919e-04  1.78595597e-03 -3.75129911e-03
 -4.67506936e-04 -1.68671377e-03  9.21869068e-04 -1.11437205e-03
 -1.75231567e-03  4.81677125e-05 -1.07432506e-03  1.53345754e-03
 -1.57486449e-03  2.19979323e-04  4.55703773e-03 -2.17108725e-04
 -4.54733265e-04 -2.68560660e-04  2.45621995e-05  1.01339770e-04
 -8.84433510e-04  5.62832749e-04  1.85104180e-03 -1.79658970e-03
  5.79021173e-04 -1.26538891e-03 -1.96504756e-03 -2.53638791e-05]","[-1.4187649e-01  6.9181863e-03  6.1186345e-04  1.3011330e-03
 -8.3476445e-04  1.6446621e-04  1.3548268e-03  3.8522965e-04
  5.7871855e-04 -1.1564561e-03 -2.1569240e-03 -1.1491390e-03
  4.2351248e-04  6.3955400e-04 -2.6387936e-03  2.6677619e-05
  2.1235880e-03  2.6401510e-03 -2.2917846e-03  1.7335099e-03
 -2.4259365e-04  5.3422345e-04 -2.2923130e-04 -1.5961436e-03
 -1.7685388e-06 -2.7386458e-03  2.1794591e-04 -1.2454847e-03
  1.4285964e-05  4.0546720e-04 -7.4130634e-04 -8.2743884e-04
 -1.4586422e-01  6.2912507e-03  2.1386591e-03 -1.2371922e-04
  1.3598539e-03 -1.5469692e-03  1.4414347e-03  9.6203294e-04
  1.2261344e-03 -5.0634868e-03  1.5053001e-03 -2.5280921e-03
 -2.2768783e-03 -1.0513140e-05 -3.3518474e-04  7.5131647e-05
 -2.8523745e-04  1.8347235e-04  1.3409905e-03 -3.9891765e-04
  4.1821276e-04 -2.2831235e-04 -1.1862037e-05 -7.9681561e-04
 -6.8604399e-04  1.8581428e-04 -5.9987843e-04  1.7516739e-05
  4.4385961e-04 -2.2567925e-04 -7.0943381e-05  1.1862310e-04
 -1.4165330e-01  1.1460877e-03 -9.5786946e-04  3.9263684e-03
 -3.1347442e-03  4.5153761e-04  2.2644582e-03  8.5804136e-03
 -4.8966492e-03 -6.3549993e-03 -7.5499527e-03  2.8929932e-03
  1.4421251e-03 -3.7277394e-05  3.8335056e-04  2.8559228e-04
  1.1707045e-03  1.0266942e-04 -2.7075829e-04 -9.1018726e-04
  4.7874331e-04  6.0344522e-04 -7.5692782e-04 -1.1247584e-04
 -1.0123005e-03  6.9052074e-04 -1.8862821e-03 -8.0882956e-04
  8.7104877e-04 -5.0218619e-04  2.0533348e-03 -2.4435838e-04
 -1.4688143e-01  8.0233561e-03  2.1260637e-03  1.2847988e-03
 -2.7891831e-03 -4.6683867e-03  2.5499138e-04 -7.5458060e-04
 -1.3006901e-03 -9.7942341e-04 -1.1748655e-03  1.7694701e-03
 -1.3034729e-03  9.5957943e-04 -1.3204528e-03 -1.7767489e-03
  1.1939675e-03  2.1842804e-03  1.3909742e-03 -4.9760641e-04
 -1.1905443e-03  2.0012930e-04 -1.1545136e-04 -2.2943241e-05
 -6.6507945e-04 -1.9892231e-03  1.0389271e-03  1.3401040e-03
  5.2341324e-04 -5.2187598e-04  1.2815166e-03 -6.4758683e-04]",,96371,audio/signals_f,,
