audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,593202,geometry/pose_raw,-0.2690623700618744,280.0
,1.0,0.0,,1,,,,,,90.0,593219,geometry/pose_raw,-0.2643771469593048,278.0
605598949,,,"[ 187  203  218  265  281  250  359  343  656  593  296  328  234  421
  609  437  484  531  375  406  515  718  500  687 1250  796  625  703
  890  562  765  453]",2,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-6.3723810e-03  1.7608558e-03  1.9407970e-03  3.8274133e-03
  1.4521531e-04  1.5664939e-03 -2.5113774e-03  3.1683487e-03
  1.4160906e-03 -1.1157728e-02 -5.0882576e-03  3.3009963e-04
 -8.3390819e-03  4.7762990e-03  9.2851212e-03 -4.2872531e-03
 -2.4342779e-03  2.4850739e-03  2.9003420e-03  1.8411200e-03
  1.6394397e-03 -4.4776779e-03  8.8878209e-04  4.8689111e-03
  1.8783786e-03  3.7124127e-04  6.0560164e-04 -1.5016084e-03
 -4.4851368e-03 -1.1833211e-03 -2.2927322e-03 -1.4760506e-03
 -1.7020102e-03 -3.5691136e-03 -7.4744062e-04  8.3904981e-04
 -2.6028760e-04  8.5517165e-04  7.4307650e-04  2.4330307e-04
 -5.0055940e-04  3.6709051e-04 -6.0949306e-04 -2.3249378e-03
  4.7230060e-04  1.0295446e-03  4.7777081e-04  2.4137675e-04
 -1.8804813e-03 -2.6683614e-04 -1.6160788e-03  2.2152103e-03
 -1.5884743e-04 -4.6036753e-04 -5.8770966e-04  2.3155950e-04
  5.1148445e-04 -9.2307455e-04  4.7024958e-05 -2.3094911e-04
  5.6082068e-04  5.1281176e-04  3.0946659e-04 -1.3793020e-03
 -2.8625901e-03  3.6914891e-04  4.4931453e-03  1.1917006e-02
 -3.6950668e-03  2.5832080e-03 -3.0017020e-03  1.1261158e-02
  2.1114063e-03 -2.2939511e-02 -5.6169531e-03 -1.4336038e-02
 -1.4384985e-02  9.0125445e-03  1.6656768e-02 -8.6544231e-03
 -2.9727488e-03  6.0029360e-03  5.3107925e-03  3.5906509e-03
  3.0952182e-03 -8.1816306e-03  3.5141690e-03  9.4250683e-03
  3.1607025e-03  1.6234173e-03  1.6761345e-03 -3.7342969e-03
 -8.8271564e-03 -2.6905318e-03 -5.6878915e-03 -2.6652238e-03
 -6.8066060e-04  2.3537776e-03  1.8043250e-03  5.5454010e-03
 -2.1663154e-03  1.4845107e-03 -2.6063984e-03  7.5852713e-03
 -1.8542381e-03 -1.2848585e-02 -7.4912063e-03 -3.4712828e-03
 -1.1950737e-02  6.2267915e-03  1.0229856e-02 -7.2912714e-03
 -2.4182580e-03  3.7981209e-04  5.5978135e-03  2.1455847e-03
  1.8510033e-03 -4.0929718e-03 -2.0286720e-04  6.2491335e-03
  3.0528919e-03  3.3866332e-04  1.5904850e-03  5.6019780e-05
 -3.6864344e-03  3.1815172e-05 -3.5925650e-03 -1.0605294e-03]","[-1.39014363e-01 -1.06457248e-01 -4.97979000e-02  4.14458029e-02
  3.75414342e-02  3.12002823e-02 -1.80359855e-02 -1.72131509e-02
 -1.32639259e-02  2.16415687e-03  1.24552697e-02 -1.41767170e-02
 -4.71111666e-03  1.14263920e-02  2.77496432e-03  5.78946155e-03
 -7.78947771e-03 -8.32503103e-03 -5.22777997e-03  6.98030088e-03
 -6.34335959e-03  4.99117002e-03 -6.41206652e-03  1.17747136e-03
  4.41806903e-03 -5.47116436e-03  4.57954081e-03  3.92971933e-03
  1.03473925e-04  4.28734254e-03 -2.56049680e-03  4.40558605e-03
 -1.46275014e-01 -1.10775113e-01 -5.48074096e-02  4.49659452e-02
  3.62462625e-02  3.27555537e-02 -1.86368972e-02 -2.21276488e-02
 -3.67357535e-03  3.69354011e-03  1.89499874e-02 -1.34646948e-02
 -4.88650636e-04  8.93444940e-03  1.14575890e-03  8.57367553e-03
 -3.99975339e-03 -3.70045519e-03 -9.88680404e-03  6.50084391e-03
 -4.58715158e-03  2.21465481e-03 -6.99966960e-03 -1.50398177e-03
 -1.94571607e-04 -1.27657468e-03  1.02776539e-04  8.67951254e-04
  1.14013348e-03  3.03116534e-03  5.78556210e-04  5.44463005e-03
 -1.35008976e-01 -9.69222933e-02 -5.26256263e-02  4.28680703e-02
  3.69891301e-02  2.76645105e-02 -2.50583924e-02 -1.52707146e-02
 -2.33669747e-02  5.83935645e-04  2.58205272e-03 -2.89511890e-03
 -1.15957633e-02  1.15771070e-02  5.49801160e-03  5.84409572e-03
 -1.29455272e-02 -1.01673072e-02 -3.57364165e-03  7.50507228e-03
 -7.09804799e-03  6.07134122e-03 -5.00985235e-03  3.69261205e-03
  9.18772537e-03 -7.80131528e-03  8.05472024e-03  8.20413418e-03
  5.63914306e-04  6.49844389e-03 -5.67991752e-03  2.95769284e-03
 -1.48755357e-01 -1.13215908e-01 -5.93873188e-02  4.17360701e-02
  3.88383642e-02  3.44298072e-02 -2.36603133e-02 -1.91340856e-02
 -1.70726571e-02  5.38920984e-03  1.47764012e-02 -1.06922202e-02
  1.44822244e-03  8.08966625e-03  1.84375478e-03  9.73779894e-03
 -8.57939757e-03 -8.54586903e-03 -6.41338574e-03  8.21099803e-03
 -9.11267661e-03  5.77199226e-03 -6.91578351e-03  1.22107437e-03
  4.18452919e-03 -5.77648496e-03  5.44494716e-03  4.42499761e-03
  1.93336594e-03  5.32801496e-03 -2.23112502e-03  4.36228979e-03]",,593221,audio/signals_f,,
,0.0,0.0,,3,,,,,,90.0,593225,geometry/pose_raw,-0.2644942104816437,278.0
,-1.0,0.0,,4,,,,,,90.0,593233,geometry/pose_raw,-0.2695414125919342,278.0
,0.0,0.0,,5,,,,,,90.0,593241,geometry/pose_raw,-0.26960209012031555,278.0
,1.0,0.0,,6,,,,,,90.0,593251,geometry/pose_raw,-0.2660805881023407,278.0
,0.0,0.0,,7,,,,,,90.0,593262,geometry/pose_raw,-0.2656776010990143,274.0
,0.0,0.0,,8,,,,,,90.0,593272,geometry/pose_raw,-0.2639618217945099,274.0
,0.0,0.0,,9,,,,,,90.0,593280,geometry/pose_raw,-0.26378607749938965,274.0
,-1.0,0.0,,10,,,,,,90.0,593291,geometry/pose_raw,-0.2781304717063904,274.0
,1.0,0.0,,11,,,,,,90.0,593301,geometry/pose_raw,-0.27761968970298767,274.0
,-1.0,0.0,,12,,,,,,90.0,593309,geometry/pose_raw,-0.27699634432792664,274.0
,0.0,0.0,,13,,,,,,90.0,593320,geometry/pose_raw,-0.27995923161506653,274.0
