audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,634574,geometry/pose_raw,-0.45582395792007446,281.0
,0.0,-1.0,,1,,,,,,90.0,634581,geometry/pose_raw,-0.46834221482276917,281.0
,0.0,0.0,,2,,,,,,90.0,634588,geometry/pose_raw,-0.46732476353645325,281.0
646753869,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",3,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 4.2015901e-03  5.6641586e-03  3.3413365e-03 -2.3461482e-03
  9.8982931e-04  1.8043228e-03 -1.5770622e-03  5.7033903e-04
 -2.0666192e-04 -1.5740494e-03 -2.3807529e-03 -1.1191935e-03
 -2.8888066e-03  1.7171197e-03  1.0837057e-03  5.6928094e-04
 -3.2553689e-03  4.7243880e-03  2.4334558e-03  1.0705553e-03
  2.1794499e-03  1.2470671e-05  7.7474443e-04 -6.3386391e-04
 -7.4340147e-04  1.1682147e-03  9.2665502e-04 -3.8895542e-03
  6.5012905e-04 -6.7497283e-04  2.4618683e-03  9.6718431e-04
 -2.7552764e-03 -2.5580102e-04  4.2269606e-04 -2.9826825e-03
 -1.2451905e-04  7.6739644e-03  1.1960700e-04 -2.9964891e-04
 -3.8515439e-03 -2.8686635e-03 -2.4029037e-03 -9.7189229e-03
  3.9510652e-03 -2.0210675e-03  8.5725420e-04 -8.5695088e-04
  1.9158554e-03  1.7771395e-03  2.2009851e-03 -2.1588965e-04
 -2.3394500e-04 -2.4352770e-04  3.6549818e-04 -1.1588559e-03
  3.0387444e-03  3.4530682e-03 -1.0485955e-03 -1.2974473e-04
 -1.2703290e-03  5.2971242e-04 -1.3987398e-04  7.3756673e-05
  7.2717178e-04  7.6028067e-03  1.0879596e-02 -6.7214072e-03
  7.3124599e-03 -1.3310903e-02  8.0097541e-03  7.1118488e-03
  1.3715813e-03 -7.7019408e-03 -3.9861603e-03  5.0558629e-03
 -6.6556525e-03 -3.0551647e-04  1.9741221e-03  4.3802967e-04
  3.1715637e-04  1.4161533e-03  1.4250220e-03 -6.8053871e-04
  1.5239228e-04  3.0132325e-04  4.7784852e-07  8.1086392e-04
  3.9900942e-03  2.9781784e-03 -1.9006022e-03  2.9401420e-04
 -1.9616336e-03  1.2224668e-03 -4.9797283e-04 -5.8152428e-04
  2.2036180e-02 -3.6087492e-03  2.0550287e-03 -2.1426191e-03
  3.6455668e-03  3.1121757e-02 -4.7160378e-03  4.7293658e-04
 -1.6360772e-03 -5.8851257e-04  1.2480778e-03  2.8885705e-03
  2.4090325e-03  2.3219278e-04  2.9236816e-03 -1.2065717e-03
 -2.9148972e-03  2.6492802e-03  7.6095387e-03 -2.9036114e-03
 -1.9311329e-03  2.1547727e-04 -2.4387704e-03  4.3962072e-04
  9.2055678e-04 -2.1790771e-03  1.4594425e-03  4.2727217e-05
  5.0719827e-03 -6.8667566e-04  2.0174249e-03 -4.8195833e-04]","[-1.41869485e-01  5.52475639e-03 -1.25630032e-02  1.12427771e-03
 -8.80968582e-04 -2.56813224e-03 -1.99224078e-03  8.11962178e-04
 -6.88651402e-04 -6.61496946e-04 -2.07169098e-03  3.28631082e-04
 -1.41301751e-03 -7.80967646e-04  9.10236500e-04  4.87302197e-03
 -5.76108648e-03  4.73352522e-03 -3.34678590e-03  1.90318795e-03
  1.26688380e-03 -1.71129731e-03 -3.11065640e-04  6.43936859e-04
 -1.95762678e-03 -5.39385539e-04  5.18206652e-05  1.41375593e-03
  1.92169833e-03  6.79644931e-04  1.15020538e-03  2.52965325e-03
 -1.46308467e-01  7.09345005e-03  2.03782949e-03 -2.73249997e-03
 -5.02381008e-04  3.72044649e-03  5.32690610e-04 -9.57793789e-04
 -6.23885402e-03  3.08545516e-03  3.51585448e-04 -9.90652945e-04
 -2.90608569e-03 -3.42465006e-04  6.77141070e-04 -6.58624223e-04
 -1.99025008e-03  7.80038361e-04  2.37910938e-03 -4.63065458e-04
  2.09218706e-05 -5.28589357e-04  2.25028198e-04  2.41462883e-04
 -2.42884969e-04  1.15016941e-03 -1.12361298e-03 -2.40319816e-04
  7.16224837e-04 -1.21097139e-03 -1.50869499e-04 -4.77314665e-04
 -1.45499021e-01  1.93510344e-03 -2.29149368e-02 -2.36845785e-03
 -1.63173885e-03  9.27500706e-03 -4.08438314e-03 -1.70584198e-03
  8.57723691e-03  2.91133882e-03 -8.39797221e-03 -3.76894977e-03
  1.10765593e-02 -1.44012051e-03  5.23462950e-04 -7.74533721e-04
  7.41309603e-04  9.46973916e-04  2.78485124e-04  7.41353491e-04
 -6.19298778e-04 -1.21589180e-03  2.50676298e-04  7.11975154e-04
  1.31116179e-03  1.18944468e-03 -1.68975047e-03 -2.22489587e-04
  2.65654153e-03 -7.94580497e-04 -8.43420508e-04 -1.51379325e-03
 -1.67050466e-01  1.15481708e-02 -1.25567075e-02  2.21593189e-03
 -3.80538346e-04  4.64147609e-03 -1.05516482e-02  2.50507938e-03
  4.20289207e-03  2.46308628e-04 -8.30280071e-04  1.63755880e-03
 -6.58199098e-03 -6.90070679e-04  2.20354320e-03  4.64616157e-03
 -1.85508269e-03  5.06421784e-05  3.76905780e-03 -1.87541812e-03
 -1.87936472e-03  2.03733391e-04  8.82876804e-04  5.30150079e-04
  1.77712599e-03  1.86928082e-05  3.49821756e-03  2.23066518e-03
  4.26198542e-03  1.03703421e-03  6.84449566e-04  3.56722786e-03]",,634595,audio/signals_f,,
,0.0,2.0,,4,,,,,,90.0,634597,geometry/pose_raw,-0.47556737065315247,281.0
,0.0,-1.0,,5,,,,,,90.0,634608,geometry/pose_raw,-0.475566029548645,282.0
,0.0,0.0,,6,,,,,,90.0,634616,geometry/pose_raw,-0.4758189618587494,282.0
,0.0,0.0,,7,,,,,,90.0,634627,geometry/pose_raw,-0.47371238470077515,282.0
,0.0,0.0,,8,,,,,,90.0,634637,geometry/pose_raw,-0.47078806161880493,282.0
,0.0,0.0,,9,,,,,,90.0,634647,geometry/pose_raw,-0.47021880745887756,281.0
