audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,344834,geometry/pose_raw,-0.3311033546924591,277.0
,0.0,0.0,,1,,,,,,90.0,344845,geometry/pose_raw,-0.32722973823547363,285.0
,0.0,1.0,,2,,,,,,90.0,344855,geometry/pose_raw,-0.3421817719936371,285.0
,0.0,0.0,,3,,,,,,90.0,344864,geometry/pose_raw,-0.3434225916862488,285.0
,0.0,0.0,,4,,,,,,90.0,344875,geometry/pose_raw,-0.34503355622291565,285.0
,0.0,-1.0,,5,,,,,,90.0,344887,geometry/pose_raw,-0.349517822265625,279.0
,1.0,0.0,,6,,,,,,90.0,344896,geometry/pose_raw,-0.34789490699768066,279.0
,0.0,0.0,,7,,,,,,90.0,344905,geometry/pose_raw,-0.34870755672454834,279.0
358591520,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",8,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.15292054e-02  7.04306457e-03 -1.60061376e-04  7.13202462e-04
  1.57467159e-03 -4.70283470e-04 -1.35009061e-04 -4.11344226e-04
 -7.09766988e-04 -3.54508462e-04  7.81519571e-04 -9.36051947e-07
 -1.57056970e-03 -6.39038277e-04 -5.10046026e-04 -1.78984203e-03
  2.71722907e-03 -1.98220194e-04  7.97851942e-04  2.69383192e-04
 -4.28254833e-04  2.76963692e-06 -1.93798239e-03  8.14729719e-04
 -2.17654696e-03  1.71028904e-03  8.97107588e-04 -5.97432896e-04
  2.17054621e-03 -1.10419816e-04  3.70238617e-04 -1.18063320e-03
 -3.40846996e-03 -1.14756916e-03 -2.62437214e-04  1.23503513e-03
  1.89629063e-05  4.45776433e-03 -9.77801028e-05 -2.35787081e-03
  1.24968658e-03  2.35494808e-03 -7.69551116e-05  1.86135399e-03
  2.16263207e-03  5.04592026e-05 -1.61274185e-03  3.08123737e-04
  2.84928508e-04 -1.71604869e-03 -3.21691507e-03 -7.44482153e-04
 -2.66686024e-04  1.92171108e-04 -6.92080939e-04 -8.10505881e-05
  1.64794445e-03 -9.23170650e-04  6.06955437e-05  6.97555544e-04
 -1.78982416e-04  2.50199140e-04  3.36147554e-04 -4.84646880e-04
 -1.19543355e-02  9.36869811e-03  4.30969521e-07  2.13027396e-03
  1.54484657e-03 -3.81669798e-03 -1.81047316e-03  5.18192817e-03
 -9.65792453e-04  1.41751731e-03  4.04529599e-03  7.17577524e-03
 -1.86796964e-03 -1.10990927e-03 -3.24925757e-03  6.35656063e-04
  9.80383251e-04 -5.48874144e-04  4.80346935e-04 -4.66157129e-04
  1.72814747e-04 -7.07409345e-04  6.46573899e-04  7.43321070e-05
  1.88647362e-03 -8.79632542e-04 -3.80638783e-04  8.97969876e-04
 -2.94851349e-03 -4.61975025e-04 -1.53359972e-04  2.17168173e-03
 -4.05830704e-03  8.07146542e-03  1.56663905e-03 -1.40976941e-03
  2.90824240e-03  2.60005258e-02 -4.39342856e-03  3.22430558e-03
  1.02172280e-03  9.13197524e-04 -1.17069343e-03 -7.22211553e-06
  1.82303716e-03 -2.87077797e-04 -3.57262744e-03 -1.88841380e-03
  4.85426700e-03 -1.04139093e-03 -5.39693795e-03 -8.87059956e-04
 -1.15922317e-04 -1.50576001e-03  5.99771272e-04  1.49133120e-05
  3.05975118e-04  3.29428352e-04 -3.44096124e-03  1.79595561e-04
  5.52433915e-03 -1.38954190e-03  9.97922965e-04  2.12874007e-03]","[-1.32010564e-01  6.97367545e-03 -4.41579428e-03 -5.08648809e-04
 -2.56035419e-04 -1.22840959e-03 -2.73706508e-03  3.77001794e-04
  1.72724680e-03  5.22887218e-04 -1.51075982e-03 -8.94595520e-04
 -6.82020443e-04  1.45540189e-03 -6.43236330e-03 -3.99117824e-03
 -3.66344163e-03  2.03958619e-03  5.63224684e-03  1.09107619e-04
  4.50489228e-04  5.38255204e-04  2.17118114e-03  1.49494968e-03
 -1.51784811e-03  1.21365662e-03  7.12498929e-03  2.17815442e-03
  3.82839702e-03 -1.60872808e-03 -5.82519046e-04 -1.51046587e-03
 -1.45961612e-01  7.13064848e-03  2.07698648e-03 -2.03827629e-03
  9.00716579e-04 -4.36452776e-03  1.45632750e-03  1.68434205e-03
  4.54303483e-03 -1.26074604e-03 -1.42651552e-03 -1.88236637e-03
  2.32537132e-04 -9.46085667e-04 -9.82023194e-05 -8.16831671e-05
  3.19731014e-04  1.48946536e-03  2.25992757e-04  1.10219684e-04
 -1.03834245e-05  1.68068567e-04 -1.37869082e-03 -4.49341824e-05
 -3.00793676e-04 -9.51003341e-04 -9.86232189e-04 -2.46469863e-04
  1.09622476e-03  3.24987457e-04 -5.64207032e-04  1.11241778e-03
 -1.48022056e-01  7.29943346e-03 -7.92507920e-03  1.97994756e-03
  1.14992238e-03  2.83257989e-03  1.91119511e-03  1.00095756e-03
 -3.28397937e-03 -6.10421761e-04 -1.25628128e-03  2.09004595e-03
  4.45063785e-03  2.40930519e-03 -3.82523448e-03 -5.76492399e-04
  8.50250595e-04  6.61737286e-04  1.46263069e-03  1.77291877e-04
  4.25626989e-04  1.95657980e-04 -3.56594537e-04  3.99874989e-04
 -1.21335313e-03 -5.30620455e-04  1.36549375e-03 -2.76134349e-04
  2.15009018e-03  8.75442871e-04 -2.94694619e-04  4.85031487e-04
 -1.69571951e-01  9.03726742e-03 -3.74575984e-03 -4.73794877e-04
  7.32585380e-04 -8.02229904e-03 -4.43761982e-03  1.94662425e-03
 -1.46075781e-03 -7.82863499e-05  1.09237700e-03  3.10801994e-03
 -1.57293817e-03 -2.33675679e-03 -3.63873178e-03 -2.50486913e-03
 -1.64474291e-03  1.08129811e-03  6.91382156e-04 -1.47357502e-03
  1.19282329e-03  1.91305834e-03 -1.42384972e-03 -1.04923220e-03
 -1.30059256e-03 -4.91896528e-04  2.05963105e-03 -4.51945030e-04
 -2.48044310e-03 -7.70182814e-04 -2.57112348e-04 -2.38605356e-03]",,344908,audio/signals_f,,
,0.0,0.0,,9,,,,,,90.0,344915,geometry/pose_raw,-0.34783652424812317,279.0
,-1.0,0.0,,10,,,,,,90.0,344934,geometry/pose_raw,-0.3479754328727722,279.0
,0.0,0.0,,11,,,,,,90.0,344941,geometry/pose_raw,-0.364246129989624,288.0
,1.0,0.0,,12,,,,,,90.0,344946,geometry/pose_raw,-0.3653324842453003,288.0
,0.0,-1.0,,13,,,,,,90.0,344955,geometry/pose_raw,-0.36604154109954834,288.0
,0.0,-1.0,,14,,,,,,90.0,344963,geometry/pose_raw,-0.36655452847480774,288.0
,0.0,0.0,,15,,,,,,90.0,344976,geometry/pose_raw,-0.3641740679740906,283.0
,0.0,0.0,,16,,,,,,90.0,344985,geometry/pose_raw,-0.36241137981414795,283.0
,0.0,0.0,,17,,,,,,90.0,344994,geometry/pose_raw,-0.3626125454902649,283.0
,0.0,0.0,,18,,,,,,90.0,345006,geometry/pose_raw,-0.36331090331077576,283.0
,0.0,0.0,,19,,,,,,90.0,345015,geometry/pose_raw,-0.36405375599861145,283.0
,0.0,0.0,,20,,,,,,90.0,345025,geometry/pose_raw,-0.3631945550441742,293.0
