audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,675852,geometry/pose_raw,-0.4234742522239685,287.0
,0.0,0.0,,1,,,,,,90.0,675860,geometry/pose_raw,-0.4235841631889343,287.0
,0.0,0.0,,2,,,,,,90.0,675866,geometry/pose_raw,-0.424292653799057,287.0
687875218,,,"[6984  203  218  234  250  265  281  296  312  328  343  359  375  390
  406  421  437  453  468  484  500  515  531  546  562  578  593  609
  625  640  656  671]",3,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.3001632e-03  1.4166267e-02 -9.9720601e-03  2.3671091e-03
 -2.6110131e-03  3.2903012e-03  8.5076345e-03 -3.0834135e-03
  4.9497695e-03 -7.3025674e-03 -5.2471827e-03  5.1960298e-03
  7.6093193e-04  2.4636267e-03  1.9929136e-04 -4.9938592e-03
  4.4687646e-03 -9.0721278e-03  1.2720498e-03  4.1840123e-03
 -6.6588749e-04  7.1697952e-03 -9.7875274e-04 -3.1058290e-03
  1.2194158e-03 -1.0780920e-02 -3.0170623e-03  2.6112995e-03
  4.5503555e-03  7.1783899e-04  2.3034224e-03 -3.4368499e-03
 -5.7483726e-04 -3.7308349e-03 -2.1846802e-04 -1.4371217e-04
  9.3957089e-04  2.9973977e-04  1.5955314e-03 -9.0168882e-04
  3.7808937e-04 -4.6093841e-04  1.2518588e-04 -3.5554945e-04
 -8.9622277e-04 -6.2153523e-04  5.0286634e-04  2.2401818e-04
 -5.5905315e-05 -5.8170565e-04  5.6669291e-04  1.7515937e-05
  1.4621590e-03  5.0159736e-04 -4.0613714e-04  9.6796703e-04
  2.9957670e-04 -3.2770208e-03 -1.5252470e-03  4.3657696e-04
 -1.1425793e-05  5.8961142e-04 -1.0424294e-05  2.3532772e-04
  1.0101679e-03  2.0915387e-02 -1.3854876e-02  2.2714820e-03
 -7.2636581e-03 -2.8623038e-03  1.5114999e-02 -8.0325715e-03
  7.1998984e-03 -1.1070358e-02 -7.2003957e-03  8.4329499e-03
  5.3083752e-03  4.5408201e-03 -1.1047407e-03 -1.0357838e-02
  7.9945689e-03 -1.4564143e-02  1.5508350e-03  7.8448635e-03
  1.5697407e-04  1.3207925e-02 -4.3227607e-03 -4.5650238e-03
  2.3911432e-03 -2.0526754e-02 -9.7068716e-03  3.2068077e-03
  1.2934200e-02  4.4678350e-04  4.6765292e-03 -3.0592419e-03
 -2.8946844e-05 -6.8060132e-03 -8.3371643e-03  2.8577363e-03
  3.2084889e-03  6.6613196e-03  1.0411865e-02  2.6967290e-03
  4.1551464e-03 -2.0986998e-03 -1.3011059e-03  5.6326151e-04
  7.0362892e-03  2.8956390e-03 -1.3234812e-02 -1.0582350e-02
  5.1205517e-03 -4.7952989e-03  7.0712529e-03  5.7378449e-03
  3.2054619e-03  7.5046243e-03 -7.1569434e-03 -3.8911675e-03
  3.3415756e-03 -1.1397707e-02 -8.1005283e-03  2.8220811e-03
  1.0182094e-02  5.1905552e-04  2.9497051e-03 -1.5828517e-03]","[-1.61877426e-04 -1.06847011e-01 -5.08197583e-02 -1.08569041e-02
  3.65340412e-02  4.33597788e-02  3.69525962e-02  1.51384789e-02
 -2.97372602e-03 -1.20102372e-02 -2.22274922e-02 -2.04653554e-02
 -5.33908512e-03 -2.91478354e-03  1.21047441e-02  8.97784717e-03
  1.04465801e-02  1.03988335e-03  6.10834919e-04 -1.04342564e-03
 -7.20767956e-03 -5.33654774e-03 -1.51156690e-02 -8.67766328e-04
  1.06664523e-02  2.99619976e-03 -1.76826259e-03  3.29003320e-03
 -2.21347576e-03  4.04018257e-03  1.55580835e-03 -3.59869958e-03
  7.64056924e-04 -1.11482717e-01 -5.39335087e-02 -6.53190422e-04
  3.36850621e-02  4.40416113e-02  3.80391330e-02  1.73596255e-02
 -2.82472279e-03 -1.47581268e-02 -2.11670753e-02 -1.59177966e-02
 -9.24501941e-03  3.77445976e-05  7.16309343e-03  1.04812775e-02
  8.19995254e-03  3.37298214e-03 -9.83225182e-05 -7.17026042e-03
 -8.20251368e-03 -5.08231530e-03 -2.46915896e-03  1.15649845e-03
  4.39173775e-03  3.61474324e-03  3.60883540e-03  2.45776679e-03
 -1.62020011e-03 -1.84288458e-03 -3.55679495e-03 -2.90998630e-03
  6.10011630e-05 -1.01312540e-01 -4.55356017e-02 -1.89386122e-02
  4.48901914e-02  4.86583412e-02  4.16790433e-02  1.41469277e-02
 -2.89975433e-03 -2.70804577e-03 -2.67099831e-02 -2.36033797e-02
 -5.69450855e-03 -6.69159926e-03  1.12060718e-02  7.89313018e-03
  1.08017633e-02 -2.46865908e-03  2.44304608e-03  3.91481677e-03
 -4.88224020e-03 -1.90838007e-03 -2.98831351e-02 -1.18039618e-03
  1.79316066e-02  5.05001843e-03 -1.26914233e-02  7.98026100e-03
 -7.04990467e-03  1.01328287e-02  5.58732636e-03 -2.31711287e-03
 -1.48006098e-03 -1.52398303e-01 -5.93066737e-02 -2.39398982e-03
  2.40251198e-02  4.51074354e-02  3.98948677e-02  1.18571594e-02
  4.63662203e-03 -1.08783431e-02 -2.13157963e-02 -2.02888921e-02
 -3.86460824e-03  1.56526454e-04  8.38368014e-03  6.55149017e-03
  8.17042217e-03  2.32115015e-03  1.88961648e-03 -1.69280602e-03
 -6.32609427e-03 -3.37507948e-03 -1.76045783e-02  2.01579431e-04
  1.14188492e-02  6.80444203e-03 -4.09763213e-03  4.44555469e-03
 -5.35900146e-03  2.34653824e-03  1.05401909e-04 -2.01967591e-03]",,675868,audio/signals_f,,
,0.0,0.0,,4,,,,,,90.0,675874,geometry/pose_raw,-0.42455750703811646,287.0
,0.0,0.0,,5,,,,,,90.0,675882,geometry/pose_raw,-0.4236593544483185,289.0
,0.0,1.0,,6,,,,,,90.0,675892,geometry/pose_raw,-0.4529084265232086,289.0
,0.0,-1.0,,7,,,,,,90.0,675904,geometry/pose_raw,-0.45154666900634766,289.0
,0.0,0.0,,8,,,,,,90.0,675913,geometry/pose_raw,-0.449322909116745,289.0
,-3.0,0.0,,9,,,,,,90.0,675922,geometry/pose_raw,-0.47490233182907104,289.0
,2.0,0.0,,10,,,,,,90.0,675932,geometry/pose_raw,-0.4668348729610443,289.0
,0.0,0.0,,11,,,,,,90.0,675942,geometry/pose_raw,-0.46660658717155457,289.0
,0.0,0.0,,12,,,,,,90.0,675952,geometry/pose_raw,-0.4678936004638672,289.0
,0.0,0.0,,13,,,,,,90.0,675962,geometry/pose_raw,-0.46830692887306213,289.0
,0.0,0.0,,14,,,,,,90.0,675978,geometry/pose_raw,-0.4668068587779999,284.0
