audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,386088,geometry/pose_raw,-0.42550915479660034,279.0
,0.0,0.0,,1,,,,,,90.0,386096,geometry/pose_raw,-0.42600253224372864,279.0
,0.0,0.0,,2,,,,,,90.0,386104,geometry/pose_raw,-0.4261188209056854,279.0
,0.0,-1.0,,3,,,,,,90.0,386112,geometry/pose_raw,-0.4396456778049469,278.0
,0.0,1.0,,4,,,,,,90.0,386120,geometry/pose_raw,-0.4371657073497772,278.0
,0.0,0.0,,5,,,,,,90.0,386132,geometry/pose_raw,-0.4364483952522278,278.0
,0.0,0.0,,6,,,,,,90.0,386142,geometry/pose_raw,-0.43697863817214966,278.0
,0.0,0.0,,7,,,,,,90.0,386151,geometry/pose_raw,-0.43727731704711914,278.0
,0.0,0.0,,8,,,,,,90.0,386160,geometry/pose_raw,-0.4370659589767456,293.0
,0.0,0.0,,9,,,,,,90.0,386173,geometry/pose_raw,-0.43334442377090454,293.0
