audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,427517,geometry/pose_raw,-0.40041741728782654,287.0
,0.0,0.0,,1,,,,,,90.0,427529,geometry/pose_raw,-0.3987637162208557,287.0
,0.0,0.0,,2,,,,,,90.0,427537,geometry/pose_raw,-0.3986183702945709,286.0
,0.0,0.0,,3,,,,,,90.0,427547,geometry/pose_raw,-0.3987048864364624,286.0
,-1.0,0.0,,4,,,,,,90.0,427559,geometry/pose_raw,-0.43124425411224365,286.0
440752107,,,"[ 187  203  218  265 1296  250 1343  281  343  234  359  328  296  625
 1359 1390  609  406 1265 1546  421 1375 1765  375  703 1250  546  437
 1578 1640 1750 1406]",5,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 5.76959923e-03  8.06190539e-03 -2.51907296e-03 -1.87277980e-03
 -1.60248356e-03 -3.16183385e-03  2.96501821e-04 -2.89563858e-03
 -2.49130232e-03 -1.31719804e-03 -1.77629350e-03  2.84468615e-03
  3.46903631e-04  3.55252996e-03 -2.89968739e-05  2.37620971e-03
  8.92193895e-03  1.68558536e-03  3.77121288e-03  3.86201707e-03
 -4.43175808e-03 -3.15085193e-03 -3.96165473e-04 -1.46477623e-03
  5.40634198e-03 -1.82285323e-03 -8.59134924e-03  9.35990829e-05
 -2.00111722e-03  1.18883350e-03  1.06679741e-03 -2.48853961e-04
 -2.11013877e-03 -2.46847072e-03 -2.89234146e-03  1.90086325e-03
  4.87894891e-03  2.76492443e-03 -3.74032045e-03  1.79419189e-03
 -1.56671926e-03 -9.16718272e-04 -1.53594394e-03  1.60985196e-03
 -1.45936094e-04 -1.69990747e-03 -1.56709296e-03 -8.21931381e-03
  2.25228094e-03 -1.00333942e-03 -2.84141372e-03 -1.81727490e-04
  5.67617477e-04  4.58802981e-03  8.83765111e-04  2.02280295e-04
 -1.81337167e-03 -1.94090535e-03 -1.58692908e-03 -6.53538154e-05
  1.74455496e-03 -1.49880187e-03  3.28245945e-03  9.12113022e-03
  1.98230408e-02 -3.28137912e-03  4.51879529e-03 -6.04731031e-03
  4.18290729e-03  7.51569215e-03 -9.55432374e-03 -1.83177018e-03
 -2.08652765e-03 -9.30207595e-03 -9.81529057e-03  1.66947171e-02
  3.57902236e-03  6.44670567e-03 -4.08658758e-03  8.81415792e-03
  1.74264610e-02  3.58760328e-04  1.03652254e-02 -2.20788270e-02
 -1.19820405e-02 -6.72489870e-03 -1.74071677e-02 -3.06638936e-03
  2.01552035e-03 -4.44800826e-03 -1.88296791e-02 -5.89173986e-03
  1.40028782e-02  1.82829965e-02 -1.78405531e-02  4.13674116e-03
  1.44355036e-02  1.38676390e-02  4.55583520e-02 -5.72565361e-04
 -6.71483949e-02 -7.79513502e-03  4.30903211e-02 -4.52828407e-03
 -4.86067822e-03 -2.54447293e-02 -8.16902611e-03  1.44759500e-02
  7.41815008e-03 -1.15828181e-03 -3.36205494e-03  9.89878923e-03
  1.47674568e-02  6.70616701e-03  7.23529793e-03  3.97202931e-03
 -1.13008358e-02 -2.41489545e-03 -9.81028285e-03 -4.96383291e-03
 -1.43128971e-04  2.32038763e-03 -6.26052218e-03  2.68328888e-03
 -1.00625586e-02  2.04499625e-03 -6.61990233e-03 -1.41668189e-02]","[-1.40036792e-01 -9.18526053e-02 -5.32058775e-02  3.91173065e-02
  9.78252850e-04  4.05947566e-02  2.21206574e-03  3.09189539e-02
 -2.11207308e-02  8.90764222e-03 -1.94919929e-02 -1.60750300e-02
  1.95496380e-02 -1.15599697e-02 -1.95505144e-03  1.44303043e-03
  8.85714963e-03  8.66825227e-03 -1.23454724e-03 -2.89015751e-03
  1.14669781e-02  3.83562967e-03 -1.02245063e-03 -1.13064982e-02
  7.42919371e-03 -2.21671932e-03 -4.56623384e-04  9.19280201e-03
  2.72818189e-03  7.78742891e-04  1.87666109e-03 -1.21411274e-03
 -1.46562397e-01 -1.12764969e-01 -5.09258732e-02  4.40131053e-02
  7.67925568e-03  3.32194716e-02 -1.31384740e-02  3.73590291e-02
 -2.24981457e-02  2.15129927e-03 -1.74616463e-02 -1.59845911e-02
  1.63679756e-02 -2.52482691e-03  6.46239612e-03  1.64236233e-03
  1.46011182e-04  6.87525654e-03 -3.32396873e-03  1.22832076e-03
  9.83393099e-03 -1.11993356e-03 -3.68975941e-03 -9.02627036e-03
  1.08217145e-03 -3.72940861e-03 -1.05967374e-05  9.65083018e-03
 -1.96279469e-03 -1.49541185e-03 -6.00769999e-05  6.06759777e-03
 -1.36069685e-01 -9.70674008e-02 -6.59468770e-02  4.32148427e-02
 -1.70708215e-03  3.58683467e-02 -2.75771343e-03  2.50753146e-02
 -2.64413841e-02  8.33211187e-03 -2.14588903e-02 -9.83747281e-03
  1.35625675e-02 -2.51433775e-02 -1.24174985e-05  1.00355269e-03
  1.52639356e-02  9.92048159e-03 -2.71815318e-03 -8.77531059e-03
  1.22237243e-02 -3.22891888e-03  1.59770250e-02 -1.74955279e-02
  1.74135230e-02 -5.09247277e-03 -4.07558680e-03  8.75881221e-03
  6.72424538e-03  5.29230339e-03 -4.29864973e-03 -3.76020558e-03
 -1.60003006e-01 -1.10578492e-01 -7.14843497e-02  5.35876416e-02
  4.28775214e-02  4.29399535e-02  4.00663130e-02  1.58678517e-02
 -2.89388001e-02  3.61548848e-02 -1.65871978e-02 -1.73035562e-02
  1.94910727e-02 -1.66116692e-02 -3.17780003e-02 -2.73240544e-02
  8.49405862e-03  2.56958604e-02 -2.55126338e-02 -1.28157008e-02
  7.69032445e-03  2.45237686e-02  4.27492522e-03 -1.00573692e-02
  1.35267628e-02 -2.10298132e-02  1.79552531e-04  1.33464616e-02
  9.29593761e-03  7.86678307e-03 -4.82483488e-03 -7.09918281e-03]",,427561,audio/signals_f,,
,0.0,0.0,,6,,,,,,90.0,427567,geometry/pose_raw,-0.43042507767677307,286.0
,0.0,0.0,,7,,,,,,90.0,427576,geometry/pose_raw,-0.43153396248817444,286.0
,0.0,0.0,,8,,,,,,90.0,427597,geometry/pose_raw,-0.431310772895813,286.0
,0.0,0.0,,9,,,,,,90.0,427605,geometry/pose_raw,-0.430355042219162,286.0
