audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,1.0,,0,,,,,,90.0,468914,geometry/pose_raw,-0.1676214635372162,287.0
,0.0,-1.0,,1,,,,,,90.0,468931,geometry/pose_raw,-0.16835105419158936,287.0
,0.0,0.0,,2,,,,,,90.0,468938,geometry/pose_raw,-0.1685023307800293,287.0
,0.0,0.0,,3,,,,,,90.0,468945,geometry/pose_raw,-0.1683209389448166,287.0
482027779,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",4,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-4.69932053e-03  1.53647817e-03  1.02698375e-02 -8.13661027e-04
  1.85345038e-04 -7.95566710e-04  1.69789756e-03  2.04301439e-04
  1.02485166e-04 -1.09951280e-03 -6.68612134e-04  7.93107320e-04
  3.05070163e-04  1.74678047e-04  6.31572970e-04 -1.04894605e-03
  2.03732809e-04 -2.35902364e-04  5.59498672e-04 -5.71548357e-04
  3.83036939e-04  3.42068292e-04 -8.59085849e-05  2.43422488e-04
 -4.57192888e-04 -7.97850545e-04 -2.16613742e-04  3.12025542e-04
 -2.59346882e-04  1.66002807e-04  1.65589998e-04  4.37802635e-04
 -4.10644058e-03  5.34959487e-04  3.41055566e-04  2.62226793e-04
 -1.97767120e-04 -2.27487908e-04 -1.72536471e-04 -1.94676395e-05
  6.39165752e-04 -3.50929404e-05 -1.41681230e-04  2.31856640e-04
 -1.43750585e-05  4.37488488e-05 -3.53633834e-04  4.16526687e-04
  4.43471727e-05  2.21541093e-04  4.54079825e-04  2.88109411e-04
 -1.62508921e-04  3.75742733e-04  3.15551355e-04 -1.96466863e-04
  1.29579974e-04 -2.68870426e-05 -3.21835309e-04 -5.69086114e-05
 -4.00954304e-05  4.33567984e-05  8.11447535e-07 -1.61253789e-04
  9.48319212e-07  1.49534515e-03  1.63015630e-02 -2.16194196e-04
 -1.17228867e-03 -9.80396871e-04  2.92353588e-03  5.50921395e-05
 -4.39112337e-05 -1.29504979e-03 -3.57761455e-04  1.15230319e-03
 -3.00753978e-04  7.54887587e-04  2.67448340e-04 -1.00621150e-03
  2.92580080e-05 -6.41524093e-06  3.04756686e-04  1.87128258e-04
  1.84023622e-04 -5.18681365e-04  1.95546192e-04  5.86322160e-04
  1.16289200e-04 -3.05225665e-04 -9.04708053e-04  5.76296821e-04
 -7.87446515e-06 -2.70406454e-04 -5.17858134e-05 -1.83622731e-04
  1.75751257e-03  7.13163230e-04  1.03681441e-02  6.19784638e-04
 -3.96879943e-04 -8.24354356e-06  1.29884004e-03 -7.14845257e-04
  2.69913871e-04 -1.00322277e-03 -3.19591200e-04  4.02150443e-04
  5.62175992e-04  2.23537441e-04  4.37574112e-04  1.89894708e-05
 -6.59216312e-04  3.77961260e-06  3.52033647e-04 -5.59180626e-04
  6.66191685e-04  3.32701311e-05  9.33207557e-05 -2.64153467e-04
  3.61374812e-04 -1.95648652e-04 -1.52146138e-04 -2.06350378e-04
  6.60000718e-04  3.58598772e-05 -3.09728435e-04 -2.02157418e-04]","[-1.35577977e-01  8.42908397e-03  6.60822378e-04  1.88929203e-03
  1.19659072e-03  1.89859048e-03 -1.58607552e-04 -3.68646404e-04
  1.05503248e-03 -7.39432580e-05 -4.53568180e-04 -6.29524351e-04
 -5.34912106e-04  1.09532550e-04  1.17300100e-04 -1.81474883e-04
 -2.99643725e-05 -7.63020595e-04 -4.95364657e-04  6.33574557e-04
 -7.13885878e-04  8.25932890e-04  4.04606399e-05  3.84506478e-04
  1.20451892e-04  5.31407073e-04  1.07956075e-04  1.65692327e-04
  5.85981936e-04 -1.07669221e-04 -2.42114256e-04 -3.05771653e-04
 -1.47212818e-01  7.55083561e-03  2.47351034e-03 -1.41434604e-03
  1.48108648e-03 -2.10409518e-04 -6.45633671e-04  1.26172410e-04
  4.77544672e-05  2.74787424e-04 -9.05248307e-05 -2.31968472e-04
  2.97636754e-04 -1.10426263e-04  2.27217504e-04  3.63468833e-04
  2.72928941e-04 -1.12838272e-04  1.57928589e-05  1.85898665e-04
 -2.99509498e-04  2.88034644e-04 -4.99861897e-04 -1.50301057e-05
  1.82991862e-04 -1.16949406e-04  2.86893308e-04  1.97693706e-04
  1.97894464e-04 -1.71495281e-04 -3.82377621e-04 -2.95806421e-06
 -1.25966012e-01  9.99676622e-03  1.80130859e-03  5.78782056e-03
  1.78332848e-03  2.67486949e-03  6.86558662e-04  1.22212933e-03
  1.34322024e-03  1.76962058e-05 -1.53460680e-03 -1.08426949e-03
 -3.32227617e-04  1.17596099e-03 -6.62124483e-04 -8.26103729e-04
 -5.97260077e-04  4.55652917e-04  6.40783808e-04 -4.47852392e-04
  2.17888097e-04  7.36032729e-04 -3.38396145e-04 -5.64296031e-04
 -7.53321801e-04  8.61183944e-05 -7.60157636e-05 -4.96977649e-04
  2.09823091e-04  4.62538854e-04 -6.08736998e-04  2.51350342e-04
 -1.45417646e-01  8.26629531e-03 -1.51136692e-03  1.93091715e-03
  1.53757166e-03  2.42431997e-03 -2.92177137e-04  3.34133074e-05
 -9.40185782e-05 -3.43826425e-04 -3.11172684e-04 -9.91216279e-04
  2.13655410e-04  1.91460626e-04 -3.63623869e-04  6.39136124e-04
 -4.96260065e-04  2.73241836e-04  4.13768168e-04 -3.00444575e-04
  1.82880700e-04 -2.00227907e-04  1.70557643e-04 -6.23289146e-04
 -1.00087338e-04  1.45708793e-04 -8.39655258e-05  3.39802966e-04
 -3.75600677e-04 -6.31979376e-04  1.36487331e-04 -2.88321346e-04]",,468946,audio/signals_f,,
,0.0,0.0,,5,,,,,,90.0,468954,geometry/pose_raw,-0.1681443154811859,287.0
,0.0,0.0,,6,,,,,,90.0,468964,geometry/pose_raw,-0.16696880757808685,282.0
,0.0,0.0,,7,,,,,,90.0,468973,geometry/pose_raw,-0.16635029017925262,282.0
,0.0,0.0,,8,,,,,,90.0,468982,geometry/pose_raw,-0.1657106876373291,282.0
,0.0,0.0,,9,,,,,,90.0,468994,geometry/pose_raw,-0.16548383235931396,282.0
,0.0,0.0,,10,,,,,,90.0,469002,geometry/pose_raw,-0.16453339159488678,282.0
,0.0,1.0,,11,,,,,,90.0,469014,geometry/pose_raw,-0.16372710466384888,288.0
,0.0,-1.0,,12,,,,,,90.0,469024,geometry/pose_raw,-0.16757622361183167,288.0
,0.0,-1.0,,13,,,,,,90.0,469033,geometry/pose_raw,-0.16659334301948547,288.0
,0.0,0.0,,14,,,,,,90.0,469051,geometry/pose_raw,-0.1664273887872696,288.0
,-1.0,0.0,,15,,,,,,90.0,469058,geometry/pose_raw,-0.17008669674396515,288.0
