audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,510379,geometry/pose_raw,-0.18096643686294556,281.0
,0.0,0.0,,1,,,,,,90.0,510388,geometry/pose_raw,-0.18007482588291168,281.0
,0.0,0.0,,2,,,,,,90.0,510409,geometry/pose_raw,-0.18093208968639374,281.0
,0.0,-1.0,,3,,,,,,90.0,510418,geometry/pose_raw,-0.19238659739494324,281.0
,0.0,0.0,,4,,,,,,90.0,510424,geometry/pose_raw,-0.1933576762676239,276.0
,0.0,0.0,,5,,,,,,90.0,510431,geometry/pose_raw,-0.1930519938468933,276.0
,0.0,0.0,,6,,,,,,90.0,510440,geometry/pose_raw,-0.19175925850868225,276.0
523212552,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",7,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.84783293e-03  4.48978692e-03  4.95352596e-03  1.00942026e-03
  1.07275299e-03  1.96489925e-03 -1.20888661e-04 -2.55029707e-04
 -4.26767481e-04  7.81861017e-05 -9.00462794e-04  3.41619656e-04
 -3.35590121e-05 -1.49685031e-04 -1.57392380e-04  9.13592870e-04
  8.32178339e-05  9.62177728e-05 -1.92305870e-05 -7.03491605e-05
  1.52229739e-04  4.49829968e-04 -4.43854980e-04 -9.87180509e-04
 -1.50913002e-06 -7.29437626e-04 -5.39912144e-04 -7.93418512e-05
 -3.21955449e-04 -1.93231273e-04  7.00225355e-04 -6.03551394e-04
 -3.18411016e-03  1.47057394e-03  3.38643789e-04 -5.17003355e-04
  3.70993861e-04  2.00903276e-04 -2.99805339e-04  3.51101538e-04
  1.04664650e-05 -4.29585343e-04 -5.18534449e-04  9.97780226e-05
 -8.19647918e-04 -4.87036741e-04 -2.05339704e-04 -9.51237307e-05
  9.75722578e-05 -1.46788807e-04 -4.43045894e-04 -1.30512257e-04
  2.18771165e-04  6.36978133e-04  4.50596446e-04 -1.12006404e-04
 -2.33737694e-04 -6.29615679e-04 -5.31440164e-05  3.56916687e-04
 -3.00193089e-04 -1.30975226e-04 -1.80383577e-05  1.39668875e-04
 -6.22500293e-03  4.86237556e-03  9.83479992e-03 -2.11238046e-04
  1.98219740e-03  3.63476737e-03 -6.63553656e-05 -9.04627377e-04
 -6.73425442e-04  2.85266695e-04 -1.25599513e-03  9.59390309e-05
 -6.49787311e-04 -7.71847437e-04 -1.63372461e-04  1.10855348e-04
  2.42166599e-04  3.61650833e-04  1.76043395e-05  1.53489847e-04
 -2.80607463e-04 -2.90639640e-04 -5.19465073e-04  2.39046203e-04
 -8.23225302e-04 -3.18640290e-04  1.20161031e-03  1.91860556e-04
  6.81162928e-05 -7.99707545e-04 -1.98557129e-04 -8.04114155e-04
 -2.60578212e-03  4.51740110e-03  5.77775668e-03 -1.24832825e-03
  4.84485790e-04  3.15856235e-03  4.92898747e-04 -3.91628593e-04
 -5.87432354e-04  9.67203698e-04  5.85242233e-05  4.03499143e-04
  2.64333270e-04  3.38676735e-04 -6.65497966e-04  5.74908510e-04
  4.80526476e-04 -8.79210536e-04 -3.50866794e-05  5.77929604e-05
  7.90054692e-05 -4.98574052e-04  3.11042531e-04  1.37341936e-04
 -1.30175176e-04  9.58500896e-05  4.21954610e-04 -6.10031013e-04
 -4.21217148e-04  2.78713487e-05  2.48443190e-04 -2.25934185e-04]","[-1.45165429e-01  5.58729563e-03 -8.98435595e-04 -3.03619960e-03
 -4.34155867e-04  1.58360228e-03  1.05863786e-03 -1.25750538e-03
 -4.66498197e-04  1.54813332e-03 -1.47350816e-04 -3.72042239e-04
  1.44535898e-05 -1.50866952e-04 -2.64084199e-04 -9.83353530e-05
  1.32422568e-03 -1.69827719e-04  6.08903065e-04 -4.03526501e-04
  2.13204679e-04  9.74098570e-04  4.61476448e-05  5.49849938e-05
  4.11639456e-04  7.37992348e-04 -3.05720110e-04 -5.03963907e-04
 -9.39505408e-04 -1.11404661e-04 -2.41875139e-04  8.99497536e-05
 -1.46431386e-01  6.97767455e-03  1.43555389e-03 -1.33645232e-03
  3.40109458e-04  7.40366871e-04  1.65907841e-04  6.84156490e-04
  4.97662812e-04 -5.60257467e-04 -2.38133885e-04  4.66062280e-04
  2.29203011e-04  3.83412262e-05 -2.20866961e-04  1.39128926e-04
 -4.28914100e-05  1.37311406e-04  1.26143830e-04 -9.59343743e-06
 -2.89908174e-04  3.05081921e-04  2.38439810e-04  2.65805051e-04
 -3.99823824e-04 -3.21944710e-04 -8.47041156e-05 -8.38287815e-05
 -5.57285792e-04  1.10713052e-04  1.76083850e-04 -3.32931260e-04
 -1.44499332e-01  2.28525186e-03 -3.80518124e-03 -6.23787846e-03
 -2.35623401e-03  2.48696073e-03  2.19976343e-03  2.94577854e-04
 -8.50858865e-04  2.57339887e-03  1.43686705e-03  2.55244726e-04
 -5.91501957e-05  6.72446040e-05  4.06037230e-04  3.69930232e-04
 -2.95748468e-05  3.97208147e-04 -1.08615655e-04 -8.46608775e-04
  1.74559551e-04  5.90329815e-04 -2.28236939e-04  1.83147436e-04
  2.37613509e-04 -5.97402977e-04  7.22688856e-06  3.84918269e-04
  3.24759807e-04 -2.91458971e-04 -2.26422009e-04 -2.44204712e-04
 -1.50325358e-01  4.15375736e-03 -2.15015654e-03 -4.38798219e-03
 -1.13374158e-03  8.75975238e-04  3.11848649e-04  1.16381631e-03
  3.54039832e-04  1.21435593e-03  9.32136201e-04  3.49547423e-04
  3.47690802e-05  9.99246491e-04  6.10073388e-04 -5.12504135e-04
 -3.55819764e-04  4.78250615e-04 -1.67777296e-04  4.33231835e-05
 -1.22719750e-04  6.95472627e-05  2.91805598e-04  1.41467885e-04
 -2.78744265e-04 -1.43203608e-04  2.85174727e-04 -2.88092444e-04
 -1.85124896e-04  1.84223187e-04  9.71532718e-05  2.90449952e-05]",,510445,audio/signals_f,,
,0.0,0.0,,8,,,,,,90.0,510450,geometry/pose_raw,-0.19128049910068512,276.0
,0.0,0.0,,9,,,,,,90.0,510458,geometry/pose_raw,-0.19112499058246613,286.0
