audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,220646,geometry/pose_raw,-0.05113775283098221,284.0
234926015,,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",1,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.66485365e-03 -9.07810056e-04 -3.57605563e-03  4.67882055e-05
  2.49203108e-03  7.30147935e-04  5.17866400e-04  3.37705540e-04
 -1.02565915e-03  8.08594516e-04  5.23297873e-04 -1.32118250e-04
  4.10748617e-04  2.22216899e-04  1.78201983e-04 -1.48277322e-04
  6.60642516e-04 -6.18131133e-04 -1.40867778e-04 -2.56262982e-04
 -8.07904638e-04 -5.60691464e-04 -3.40121624e-05 -5.47554519e-04
  2.47981079e-04  7.76855974e-04 -2.82192981e-04  4.15410148e-04
 -1.11205489e-04  9.46887245e-04  7.49828978e-05 -2.31985468e-05
 -5.23682404e-03  4.01423778e-04 -4.52815875e-04 -1.44748919e-04
  4.64596844e-04 -6.41833176e-04  1.29879496e-04  1.69506835e-04
  3.46769462e-04  2.34536536e-04  2.81528832e-04 -2.40069843e-04
  3.21964559e-04  9.00992018e-06 -4.07860003e-04  1.22677258e-04
 -4.61215823e-04  2.20342336e-04 -3.64354928e-04 -5.24190720e-04
 -5.64931906e-05 -1.26855666e-04 -5.27704251e-05  5.66942967e-04
  3.30990588e-04 -4.07613639e-04 -3.73268413e-04 -8.24059709e-04
 -1.16670730e-04  7.60965922e-05  2.27714307e-04  6.07717375e-05
 -6.06344640e-03 -4.50231368e-03 -9.31267347e-03 -1.45478349e-03
  3.58459982e-03  5.29824931e-04  1.43251300e-03  6.91654219e-04
 -6.96214964e-04  2.50743539e-03 -8.51115328e-04  1.12377957e-03
  8.76076345e-04 -1.01326295e-04  3.30517098e-04  3.64791369e-04
  1.08884502e-04 -1.24465325e-04 -2.01497358e-04  2.92604556e-04
 -7.04360020e-04  1.66315571e-04  1.90259860e-04  4.85857861e-04
  7.66735975e-05  4.50284104e-04  1.90879000e-04 -4.96410183e-04
 -1.78183764e-04 -2.22963878e-04  2.44378170e-04  3.92055605e-04
 -5.74102998e-03 -1.29224465e-03 -5.41840727e-03 -1.33505662e-03
  1.92007329e-03 -1.20775099e-03  1.01072574e-03  2.58849584e-04
 -1.43588672e-03  1.69447216e-04 -8.99166334e-04  6.67084823e-04
  3.10912787e-04 -8.49927164e-05 -5.03744173e-04 -1.57613162e-04
  2.38374079e-04 -1.42364413e-04 -5.65356284e-04  4.00933088e-04
 -6.44753818e-05  1.85710232e-04 -7.07799336e-04  3.10719843e-05
 -5.75724698e-04 -2.24474948e-04 -3.81790131e-04 -2.45420873e-04
  5.95140154e-05 -2.80779554e-04  6.61237107e-04 -2.15324544e-04]","[-1.4388061e-01  3.4892266e-03  1.8167365e-03  6.7197968e-04
  1.8408697e-03 -7.4500940e-04 -5.7856546e-04 -8.6141721e-05
 -1.8675451e-03 -6.2111812e-04  3.0722024e-04 -3.4325369e-04
  3.0954351e-04  2.9568598e-04 -1.1540954e-03  8.9864850e-05
 -3.5638537e-04 -7.9726544e-04 -1.4334521e-04 -4.4642587e-04
  8.0439611e-05 -1.2055648e-04  2.0275591e-04  4.4780190e-04
  1.1417295e-04 -4.0051423e-04 -3.2254052e-04 -9.2227646e-04
  3.3962965e-04  5.0249498e-04 -2.7582899e-04  3.1048333e-04
 -1.4703751e-01  7.4291779e-03  2.5655902e-03 -1.3564979e-03
  5.5258686e-04  2.9444633e-04 -4.6095121e-04  6.3686726e-05
  7.1622948e-05 -2.2348945e-04 -5.3644864e-05 -5.8395253e-04
  1.8014637e-04 -4.0937919e-04 -5.3655659e-04  2.9912586e-05
 -2.6101450e-04 -2.8224927e-04  9.9952595e-05 -4.7141683e-04
 -2.1159269e-04  7.0267508e-04 -2.1682400e-04 -9.0094807e-05
  2.2355438e-05  1.1455607e-04 -2.9314724e-05  1.8209364e-05
 -1.4316049e-04 -1.2805971e-04 -2.0927041e-04  2.0373586e-04
 -1.4529683e-01 -3.7680464e-04  1.6122106e-03  9.3115703e-04
  1.9721170e-03 -1.7667870e-03 -5.2854297e-04 -6.9160218e-05
 -2.1763952e-03 -7.2125136e-04 -1.0521592e-03  3.7001868e-05
  8.3020204e-06 -4.3689017e-04 -1.5499278e-03 -4.0181560e-04
  6.0199882e-04 -1.2829882e-04  5.1683695e-05  4.5279489e-04
 -7.6468126e-04  1.3364606e-04 -4.8444330e-04 -6.1462354e-04
  8.9373396e-05  4.6523777e-04 -1.1793668e-04 -9.8203076e-05
  2.5872668e-04 -9.2177739e-05  3.4249545e-04  6.7921872e-05
 -1.5431747e-01  4.2426321e-03  4.7755134e-03  6.5108074e-04
  9.4181322e-04 -1.1250083e-03 -7.7546138e-04 -1.8495298e-04
 -5.5830553e-04 -1.1312424e-03 -1.5143116e-04 -5.4065493e-04
 -1.0703269e-04 -3.9298757e-04 -1.0579386e-03 -8.8112356e-05
 -1.9907186e-04 -5.4019259e-04 -7.3750518e-05 -4.6288024e-04
 -4.6909005e-05 -1.5284195e-04  3.1593203e-04  6.2764611e-04
 -1.0188557e-04 -3.8279468e-04 -8.7430017e-05 -3.5145861e-04
  2.1326117e-04  3.3410732e-04  2.3196086e-04 -1.5309249e-04]",,220648,audio/signals_f,,
,1.0,-1.0,,2,,,,,,90.0,220652,geometry/pose_raw,-0.05594563111662865,284.0
,-1.0,0.0,,3,,,,,,90.0,220659,geometry/pose_raw,-0.055477071553468704,283.0
,0.0,0.0,,4,,,,,,90.0,220668,geometry/pose_raw,-0.055241841822862625,283.0
,0.0,1.0,,5,,,,,,90.0,220678,geometry/pose_raw,-0.05339539796113968,283.0
,0.0,-1.0,,6,,,,,,90.0,220688,geometry/pose_raw,-0.05201200023293495,283.0
,0.0,0.0,,7,,,,,,90.0,220699,geometry/pose_raw,-0.050921984016895294,283.0
,0.0,1.0,,8,,,,,,90.0,220708,geometry/pose_raw,-0.0478738434612751,285.0
,0.0,-1.0,,9,,,,,,90.0,220717,geometry/pose_raw,-0.04850305989384651,285.0
