audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,261975,geometry/pose_raw,-0.15052181482315063,277.0
,0.0,0.0,,1,,,,,,90.0,261984,geometry/pose_raw,-0.15139387547969818,277.0
,0.0,0.0,,2,,,,,,90.0,261993,geometry/pose_raw,-0.15186761319637299,277.0
,-2.0,1.0,,3,,,,,,90.0,262004,geometry/pose_raw,-0.15776145458221436,277.0
,1.0,0.0,,4,,,,,,90.0,262013,geometry/pose_raw,-0.1584751009941101,280.0
,0.0,-1.0,,5,,,,,,90.0,262022,geometry/pose_raw,-0.15752540528774261,280.0
276180240,,,"[6984  203  218  234  250  265  281  296  312  328  343  359  375  390
  406  421  437  453  468  484  500  515  531  546  562  578  593  609
  625  640  656  671]",6,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[-1.06967811e-04 -2.21005105e-03 -1.95339276e-03  2.77441088e-03
 -1.97338685e-03  5.35242772e-03  4.65046847e-03 -4.87516308e-03
 -4.19532321e-03  4.50305268e-03 -1.06146873e-03  2.78594159e-03
 -3.38172633e-03  2.36011157e-03 -3.17081204e-03 -3.17672803e-03
  1.47855096e-03  1.13728619e-03  3.51431197e-03  8.23632989e-04
 -2.17158184e-03 -1.05746440e-04  1.48113130e-03  5.45759965e-03
 -6.58074021e-03 -9.09165014e-04 -1.11010978e-02  5.61294239e-03
  3.39280209e-03 -2.61959806e-03  2.27218145e-03  5.43407071e-03
 -5.06343669e-04 -3.71830957e-03 -1.40716508e-03 -9.82835540e-04
  1.50681182e-04  1.17087050e-03  7.84666510e-04  3.23874672e-04
 -1.41503187e-06  2.72822188e-04 -8.66923132e-04  2.11609644e-04
 -8.69292766e-04  2.63517286e-04 -1.82970962e-03 -1.12293672e-03
  1.38560717e-04  1.37769920e-03  7.93618092e-04  7.31514185e-04
 -7.78548303e-04 -5.91600023e-04 -1.82932854e-04  8.48487471e-05
  1.19505776e-03 -1.75297551e-04 -7.28128245e-04  5.96791360e-05
 -7.33364548e-04 -3.17745376e-04  1.22211967e-03  6.45664986e-04
  1.20122641e-04 -6.01860695e-03 -4.00724588e-03  8.76424462e-03
 -6.58846507e-03  2.32158462e-04  1.09808100e-02 -1.25729488e-02
 -6.41369587e-03  2.08183192e-02 -2.64582131e-03  3.80900572e-04
 -6.79087779e-03  3.79643776e-03 -7.04643037e-03 -9.53974016e-03
  5.72731718e-03  4.63950622e-04  7.54958391e-03  2.42191157e-03
  3.27221060e-05 -1.92531012e-03  4.87212464e-03  8.62295181e-03
 -1.27247050e-02 -4.78835125e-03 -1.80696342e-02  1.00702057e-02
  6.03459915e-03 -5.72794676e-03  5.22602908e-03  1.16501842e-02
 -1.86304562e-04 -3.02743330e-03 -3.74807557e-03  4.07057302e-03
 -1.78890582e-03  2.70448881e-03  6.22752495e-03 -4.81681153e-03
 -2.58919667e-03  7.33487960e-03 -2.11112527e-03  1.34507148e-03
 -4.93796449e-03  1.52075978e-03 -3.84458719e-04 -5.73829748e-03
  1.98233197e-03  1.09823755e-04  3.83024965e-03  2.81153736e-03
 -1.05435471e-03 -9.68243810e-04  1.97472563e-03  6.56700274e-03
 -7.65670091e-03 -2.77944421e-03 -1.27732912e-02  6.71460433e-03
  4.07397887e-03 -4.28468827e-03  3.24250874e-03  6.16527349e-03]","[ 2.44033345e-05 -1.08865455e-01 -5.70513085e-02  5.56609221e-03
  3.57610285e-02  4.53860536e-02  3.08878496e-02  2.00822279e-02
 -1.74537441e-03 -1.15660904e-02 -2.46353447e-02 -1.37888221e-02
 -9.32176039e-03  6.04601053e-04  9.05951392e-03  5.23820566e-03
  6.56584790e-03  1.96995749e-03  1.35287689e-03 -3.41416150e-03
 -5.36327716e-03 -8.97435937e-03 -3.14338179e-03  3.13581695e-04
  4.07540984e-03  5.83899766e-03  2.94228573e-03  5.87101933e-03
 -4.14699316e-03 -9.29883681e-03 -5.34284534e-03  2.41244008e-04
  4.23491874e-04 -1.11543462e-01 -5.54237813e-02 -9.47628636e-04
  3.43972221e-02  4.58254293e-02  3.77546884e-02  1.58636086e-02
 -1.59814279e-03 -1.63058005e-02 -2.08748579e-02 -1.79599058e-02
 -8.15893523e-03 -1.09020039e-04  6.45719841e-03  1.03390384e-02
  9.09797102e-03  3.78622999e-03  9.70134715e-05 -4.79041925e-03
 -6.56680111e-03 -6.46800734e-03 -3.52174928e-03  2.16343324e-06
  2.43263692e-03  4.70126420e-03  3.80155072e-03  2.46608024e-03
 -8.74765217e-04 -3.87610123e-03 -3.12091270e-03 -2.21520849e-03
  4.77386144e-04 -1.04869634e-01 -5.72256297e-02  1.50670260e-02
  3.76187526e-02  4.60218713e-02  3.01525779e-02  2.10736301e-02
 -5.03601879e-03 -1.18066519e-02 -3.29161547e-02 -7.85752013e-03
 -6.17980212e-03 -2.29865615e-03  1.12618506e-02  2.98278849e-03
  7.19867088e-03  1.92640611e-04  4.36780602e-03 -3.57924029e-03
 -6.57198206e-03 -1.24963261e-02 -3.53468629e-03  2.33086292e-03
  6.86148554e-03  7.92440493e-03  4.64634155e-04  1.14880651e-02
 -5.43982908e-03 -1.91465952e-02 -6.28251722e-03  1.77447521e-03
  3.89602683e-05 -1.12916492e-01 -5.90048954e-02  3.06622265e-03
  4.07176018e-02  4.94568497e-02  3.54449674e-02  2.03226805e-02
 -4.27553430e-03 -1.48966555e-02 -2.63232104e-02 -1.46459676e-02
 -1.11009954e-02  2.65961047e-04  1.07451035e-02  8.02351627e-03
  8.29600729e-03  3.34512955e-03  1.55729195e-03 -7.39445258e-03
 -6.74818549e-03 -8.64238106e-03 -2.62818811e-03  6.39030186e-05
  7.18361605e-03  6.04844699e-03  2.85254931e-03  5.92092425e-03
 -4.06371197e-03 -9.30909626e-03 -6.49315026e-03 -2.83659669e-03]",,262023,audio/signals_f,,
,0.0,0.0,,7,,,,,,90.0,262035,geometry/pose_raw,-0.15851713716983795,280.0
,1.0,0.0,,8,,,,,,90.0,262044,geometry/pose_raw,-0.15366870164871216,280.0
,0.0,0.0,,9,,,,,,90.0,262052,geometry/pose_raw,-0.1541149765253067,286.0
,1.0,0.0,,10,,,,,,90.0,262073,geometry/pose_raw,-0.1510775089263916,286.0
,-1.0,0.0,,11,,,,,,90.0,262079,geometry/pose_raw,-0.15159393846988678,286.0
,0.0,0.0,,12,,,,,,90.0,262086,geometry/pose_raw,-0.15058641135692596,286.0
,0.0,0.0,,13,,,,,,90.0,262093,geometry/pose_raw,-0.1496541053056717,286.0
,1.0,0.0,,14,,,,,,90.0,262103,geometry/pose_raw,-0.14874431490898132,281.0
,-1.0,0.0,,15,,,,,,90.0,262112,geometry/pose_raw,-0.1425413340330124,281.0
,0.0,0.0,,16,,,,,,90.0,262125,geometry/pose_raw,-0.1437504142522812,281.0
,0.0,0.0,,17,,,,,,90.0,262133,geometry/pose_raw,-0.14420658349990845,281.0
276306435,,,"[6984  203  218  234  250  265  281  296  312  328  343  359  375  390
  406  421  437  453  468  484  500  515  531  546  562  578  593  609
  625  640  656  671]",18,[ 0.054 -0.054 -0.054 -0.054  0.054  0.054 -0.054  0.054],32,4,"[ 1.83678421e-04  2.96062697e-03  1.24613673e-03 -4.07036423e-04
 -9.69510525e-04 -1.87684793e-03  3.29637178e-03 -2.72436440e-03
 -1.28386216e-03 -2.23641307e-03 -1.76388305e-03 -3.75131756e-04
  3.01316520e-03  9.64705658e-04  1.69665017e-03  1.97550980e-05
  4.30205045e-03 -1.72382104e-03 -2.58756313e-03  9.99809126e-04
  2.46936828e-03 -7.79449288e-03  7.50310253e-03  1.17923622e-03
 -2.40347697e-04 -4.64053173e-03 -2.31996598e-03  1.80173409e-03
 -6.24404708e-03 -4.84220125e-03  5.74683724e-03 -8.85138987e-04
  3.02665954e-04  2.26259208e-03 -3.10827326e-03 -3.05366726e-03
  1.44332182e-03  3.66132706e-03  2.19779881e-03  1.06760883e-04
 -5.96684753e-04 -1.10903056e-03 -1.36040081e-03 -2.21139356e-03
  7.01968092e-04  3.34423588e-04 -6.92298985e-04  8.23500042e-04
  2.20536510e-03  5.07691060e-04 -9.09888186e-04  5.41154062e-04
  1.08912680e-03 -1.93802139e-03 -7.41009368e-04 -2.15026666e-04
 -8.57929990e-06 -7.45783153e-04 -4.41734272e-04  2.49426113e-04
  9.44594678e-04  8.98764847e-05  2.12128725e-04 -9.72132548e-05
  1.21861813e-04  4.09100158e-03  3.77376797e-03 -1.91712670e-03
 -8.40959430e-04 -1.04630867e-03  1.36636477e-02 -4.66611609e-03
 -3.23478016e-03 -2.35030875e-02  1.45137450e-03 -3.88177170e-04
  4.92327521e-03  2.88359914e-03  2.89372215e-03  1.13364519e-03
  1.08438432e-02 -6.13241922e-03 -3.13178054e-03  4.45909798e-03
  4.34057508e-03 -1.50255384e-02  1.45113915e-02  3.43379169e-03
 -1.00088085e-03 -7.52060721e-03 -5.52962674e-03  3.43896379e-03
 -1.52326832e-02 -5.59567381e-03  8.40380043e-03 -1.46808825e-03
 -2.66038172e-04  1.84915541e-03 -2.02264613e-03 -3.53114191e-03
 -3.13474284e-03 -1.37730082e-03  9.04016290e-03 -2.74405885e-03
 -9.76570882e-04 -9.38082114e-03 -7.90536287e-05  1.76728482e-03
  4.16700961e-03  1.31145678e-03  1.53350120e-04 -2.55807914e-04
  6.08991925e-03 -3.34803062e-03 -1.95432780e-03  2.08647246e-03
  1.04994862e-04 -6.05891133e-03  7.06867874e-03  7.27609731e-04
  1.00479438e-03 -4.42693429e-03 -1.20005850e-03 -1.80564879e-04
 -7.06656557e-03 -3.93003458e-03  5.83605329e-03 -2.36992375e-03]","[ 7.87117344e-04 -1.07985169e-01 -4.63126600e-02  2.52647884e-03
  3.13398279e-02  4.59710732e-02  3.58512327e-02  1.42774368e-02
 -6.21471368e-03 -1.60207842e-02 -2.13470440e-02 -1.14955567e-02
 -1.25448266e-02 -5.79726358e-04  4.18515550e-03  1.52316783e-02
  7.21451780e-03  7.15505239e-03  1.70200772e-03 -8.29513464e-03
 -7.08813779e-03 -5.85335772e-03 -4.49057482e-03 -4.34258720e-04
  9.01703909e-03  2.17760075e-03  6.57911692e-03 -7.07337074e-03
  7.51311076e-04 -1.68011838e-03  1.81410997e-03 -6.70904201e-03
 -1.49572996e-04 -1.12542167e-01 -5.08482307e-02  1.54290115e-04
  3.28752883e-02  4.70929220e-02  3.70122194e-02  1.75970681e-02
 -2.52422597e-03 -1.63293406e-02 -2.07903571e-02 -1.96612664e-02
 -9.61898733e-03 -3.16520571e-04  8.42121616e-03  1.04442425e-02
  8.81966762e-03  5.73329348e-03 -7.53800618e-04 -5.38798608e-03
 -8.06098897e-03 -5.45821432e-03 -2.18911027e-03 -1.40314410e-03
  3.79527407e-03  4.06734413e-03  2.84339837e-03  6.30509981e-04
  7.87119643e-05 -1.15929311e-03 -3.00427852e-03 -3.21335765e-03
  4.20026976e-04 -1.05433345e-01 -4.44443300e-02 -4.73956764e-03
  2.71178782e-02  4.38318811e-02  3.73347998e-02  1.27941631e-02
 -8.43442511e-03 -1.69665515e-02 -2.36030072e-02 -3.96327209e-03
 -1.20928651e-02 -2.90026003e-03  1.95146468e-03  1.87208448e-02
  6.23874180e-03  8.31756648e-03  2.96998699e-03 -1.07681742e-02
 -9.11919121e-03 -4.72009135e-03 -1.83824706e-03 -2.24588998e-03
  1.55509952e-02  1.13729329e-05  7.51601718e-03 -1.52271148e-02
 -1.53431669e-04 -1.63182779e-03  5.52135566e-03 -6.89507555e-03
  5.53861573e-05 -1.16338313e-01 -4.70730066e-02 -3.22141172e-03
  3.53217088e-02  4.77015600e-02  3.52509916e-02  1.66842975e-02
 -6.30752090e-03 -1.12311542e-02 -2.30282471e-02 -1.22624096e-02
 -1.34562869e-02 -1.67287630e-03  1.62762415e-03  1.44359004e-02
  7.99677148e-03  7.66329328e-03  2.36511696e-03 -8.03484209e-03
 -8.36183690e-03 -5.16769849e-03 -4.67743073e-03  2.21506722e-04
  1.06948670e-02  1.36465451e-03  5.52266464e-03 -6.72780303e-03
  1.34604564e-03 -1.29539287e-03  1.38392916e-03 -6.50736131e-03]",,262141,audio/signals_f,,
,0.0,0.0,,19,,,,,,90.0,262142,geometry/pose_raw,-0.1444704532623291,273.0
,0.0,0.0,,20,,,,,,90.0,262153,geometry/pose_raw,-0.14392326772212982,273.0
,0.0,0.0,,21,,,,,,90.0,262163,geometry/pose_raw,-0.1434071809053421,273.0
,0.0,0.0,,22,,,,,,90.0,262173,geometry/pose_raw,-0.14400127530097961,273.0
