audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,459362,geometry/pose_raw,161.82322692871094,0.0
,0.0,0.0,,1,,,,,,90.0,459379,geometry/pose_raw,161.82315063476562,0.0
,0.0,0.0,,2,,,,,,90.0,459385,geometry/pose_raw,161.82192993164062,0.0
,0.0,0.0,,3,,,,,,90.0,459392,geometry/pose_raw,161.8211212158203,0.0
,0.0,0.0,,4,,,,,,90.0,459399,geometry/pose_raw,161.82009887695312,0.0
,0.0,0.0,,5,,,,,,90.0,459410,geometry/pose_raw,161.81991577148438,0.0
,0.0,0.0,,6,,,,,,90.0,459421,geometry/pose_raw,161.8199920654297,0.0
,0.0,0.0,,7,,,,,,90.0,459430,geometry/pose_raw,161.81924438476562,0.0
,0.0,0.0,,8,,,,,,90.0,459441,geometry/pose_raw,161.81903076171875,0.0
,0.0,0.0,,9,,,,,,90.0,459451,geometry/pose_raw,161.8193817138672,0.0
