audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
601375564,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",0,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-9.4900519e-02 -7.3933743e-02 -4.0469378e-02  9.9621296e-02
  1.6749834e+00 -5.5472541e-01 -2.8280184e-01 -2.0274414e-01
 -1.3271332e-01 -9.0855598e-02 -5.1323287e-02 -2.6568530e-02
  3.2424927e-05  3.2424927e-05  3.2424927e-05  3.2424927e-05
  3.2424927e-05  3.2424927e-05  3.2424927e-05  3.2424927e-05
  3.2424927e-05  3.2424927e-05  3.2424927e-05  3.2424927e-05
  3.2424927e-05  3.2424927e-05  3.2424927e-05  3.2424927e-05
  3.2424927e-05  3.2424927e-05  3.2424927e-05  3.2424927e-05
  1.2796197e-02  1.3265373e-02  1.1903560e-02 -2.0396534e-02
 -3.0520490e-01  1.0536207e-01  5.5629276e-02  3.4865748e-02
  2.1413054e-02  1.8265588e-02  9.7634308e-03  6.3439524e-03
 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04
 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04
 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04
 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04
 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04 -2.4032593e-04
 -1.5166692e-01 -1.2564996e-01 -6.8402484e-02  1.8748182e-01
  2.8059268e+00 -9.4110775e-01 -4.8288622e-01 -3.3896077e-01
 -2.2091289e-01 -1.5532881e-01 -8.6812891e-02 -4.4081874e-02
 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04
 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04
 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04
 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04
 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04 -2.8228760e-04
  8.4370174e-02  6.9483809e-02  4.3852925e-02 -9.6223459e-02
 -1.5548830e+00  5.1172733e-01  2.6723045e-01  1.8598296e-01
  1.2108785e-01  8.6570024e-02  4.8169453e-02  2.5204724e-02
 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04
 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04
 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04
 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04
 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04 -6.8092346e-04]","[-1.08299553e-02 -6.75299205e-03 -1.01663359e-03  1.28353648e-02
  1.41944647e-01 -3.87861282e-02 -2.43460312e-02 -2.10360698e-02
 -1.41377356e-02 -8.27254541e-03 -4.87372093e-03  4.39915340e-04
 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01
 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01
 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01
 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01
 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01 -5.50668335e+01
  1.04195349e-01  8.34702402e-02  4.48583290e-02 -1.23580560e-01
 -1.86645091e+00  6.21991873e-01  3.19584489e-01  2.25311473e-01
  1.48605779e-01  1.02419369e-01  5.69896027e-02  2.93414183e-02
 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01
 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01
 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01
 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01
 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01 -5.17366753e+01
 -6.31087050e-02 -4.92668562e-02 -2.13367473e-02  6.37357756e-02
  1.00762582e+00 -3.19958150e-01 -1.65075183e-01 -1.23652175e-01
 -8.46040994e-02 -5.38061634e-02 -3.07111554e-02 -1.37664769e-02
 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01
 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01
 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01
 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01
 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01 -4.78298492e+01
  6.80725500e-02  5.24083301e-02  2.42501125e-02 -7.92981237e-02
 -1.16619468e+00  3.86829644e-01  1.98905379e-01  1.43547252e-01
  9.51421782e-02  6.30851164e-02  3.54548879e-02  1.62534118e-02
 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01
 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01
 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01
 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01
 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01 -5.15752640e+01]",,517664,audio/signals_f,,
,0.0,0.0,,1,,,,,,90.0,517666,geometry/pose_raw,53.78336715698242,0.0
,0.0,0.0,,2,,,,,,90.0,517675,geometry/pose_raw,53.80630874633789,0.0
,0.0,0.0,,3,,,,,,90.0,517686,geometry/pose_raw,53.80452346801758,0.0
,0.0,0.0,,4,,,,,,90.0,517696,geometry/pose_raw,53.806583404541016,0.0
,0.0,0.0,,5,,,,,,90.0,517704,geometry/pose_raw,53.80759811401367,0.0
,0.0,0.0,,6,,,,,,90.0,517717,geometry/pose_raw,53.809814453125,0.0
,0.0,0.0,,7,,,,,,90.0,517725,geometry/pose_raw,53.81093215942383,0.0
,0.0,0.0,,8,,,,,,90.0,517735,geometry/pose_raw,53.81272888183594,0.0
,0.0,0.0,,9,,,,,,90.0,517745,geometry/pose_raw,53.812705993652344,0.0
,0.0,0.0,,10,,,,,,90.0,517756,geometry/pose_raw,53.8125114440918,0.0
,0.0,0.0,,11,,,,,,90.0,517764,geometry/pose_raw,53.81207275390625,0.0
,0.0,0.0,,12,,,,,,90.0,517776,geometry/pose_raw,53.81184005737305,0.0
601438986,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",13,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-6.77224845e-02 -5.69251217e-02 -2.01938730e-02  5.13085499e-02
  1.05854189e+00 -3.14729095e-01 -1.84367746e-01 -1.30624533e-01
 -9.06125158e-02 -5.67511506e-02 -3.37954536e-02 -1.24223195e-02
 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04
 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04
 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04
 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04
 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04 -1.37329102e-04
  9.44146961e-02  8.59809667e-02  4.72232029e-02 -6.29680753e-02
 -1.74832213e+00  5.23211002e-01  3.03807378e-01  1.96214989e-01
  1.35924190e-01  9.96335447e-02  5.51062152e-02  2.70016566e-02
 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05
 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05
 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05
 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05
 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05 -6.48498535e-05
 -1.46053359e-01 -1.28005385e-01 -5.67697696e-02  9.44068059e-02
  2.36004925e+00 -6.80333138e-01 -4.06570584e-01 -2.81218171e-01
 -1.96453452e-01 -1.24866471e-01 -7.42270947e-02 -3.32045704e-02
 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04
 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04
 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04
 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04
 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04 -3.24249268e-04
  1.10072538e-01  9.80274379e-02  4.63939011e-02 -7.52605125e-02
 -1.86044240e+00  5.48729002e-01  3.20399880e-01  2.18069315e-01
  1.49944961e-01  1.00673527e-01  5.88447489e-02  2.66219657e-02
  4.53948975e-04  4.53948975e-04  4.53948975e-04  4.53948975e-04
  4.53948975e-04  4.53948975e-04  4.53948975e-04  4.53948975e-04
  4.53948975e-04  4.53948975e-04  4.53948975e-04  4.53948975e-04
  4.53948975e-04  4.53948975e-04  4.53948975e-04  4.53948975e-04
  4.53948975e-04  4.53948975e-04  4.53948975e-04  4.53948975e-04]","[ 7.05160052e-02  6.16261512e-02  4.35590670e-02 -2.91136429e-02
 -1.36207390e+00  4.03608233e-01  2.28935897e-01  1.42588735e-01
  1.04267210e-01  7.84522593e-02  4.30903584e-02  2.21520718e-02
 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01
 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01
 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01
 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01
 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01 -5.46105499e+01
  5.38740307e-02  4.50965390e-02  1.38859646e-02 -3.80244590e-02
 -7.47311652e-01  2.11546153e-01  1.27747625e-01  9.59582329e-02
  6.69351518e-02  3.55420783e-02  2.33867280e-02  9.43090487e-03
 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01
 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01
 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01
 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01
 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01 -5.05770302e+01
  8.73906240e-02  8.29155147e-02  5.46391159e-02 -5.73536120e-02
 -1.80442572e+00  5.46423614e-01  3.15420747e-01  1.93500847e-01
  1.33814991e-01  1.06691733e-01  5.79661578e-02  2.90846750e-02
 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01
 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01
 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01
 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01
 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01 -4.70276070e+01
 -2.66471449e-02 -2.67825630e-02 -2.54938770e-02  1.46195497e-02
  6.71976566e-01 -2.07973748e-01 -1.16144009e-01 -6.57749549e-02
 -4.53143045e-02 -4.25013416e-02 -2.16520131e-02 -1.31874755e-02
 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01
 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01
 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01
 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01
 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01 -5.13571815e+01]",,517781,audio/signals_f,,
,0.0,0.0,,14,,,,,,90.0,517786,geometry/pose_raw,53.80974197387695,0.0
,0.0,0.0,,15,,,,,,90.0,517795,geometry/pose_raw,53.8073616027832,0.0
,0.0,0.0,,16,,,,,,90.0,517807,geometry/pose_raw,53.80281448364258,0.0
,0.0,0.0,,17,,,,,,90.0,517816,geometry/pose_raw,53.79981231689453,0.0
,0.0,0.0,,18,,,,,,90.0,517825,geometry/pose_raw,53.79689407348633,0.0
,0.0,0.0,,19,,,,,,90.0,517835,geometry/pose_raw,53.79151916503906,0.0
,0.0,0.0,,20,,,,,,90.0,517845,geometry/pose_raw,53.78831100463867,0.0
,0.0,0.0,,21,,,,,,90.0,517855,geometry/pose_raw,53.783935546875,0.0
,0.0,0.0,,22,,,,,,90.0,517866,geometry/pose_raw,53.78114318847656,0.0
,0.0,0.0,,23,,,,,,90.0,517875,geometry/pose_raw,53.77703094482422,0.0
,0.0,0.0,,24,,,,,,90.0,517884,geometry/pose_raw,53.77423095703125,0.0
,0.0,0.0,,25,,,,,,90.0,517896,geometry/pose_raw,53.770904541015625,0.0
