audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,348653,geometry/pose_raw,164.31495666503906,0.0
,0.0,0.0,,1,,,,,,90.0,348663,geometry/pose_raw,164.31407165527344,0.0
,0.0,0.0,,2,,,,,,90.0,348672,geometry/pose_raw,164.31285095214844,0.0
434148190,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",3,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-1.1240796e-01 -1.2086913e-01 -9.2623964e-02  6.8807133e-02
  1.9556128e+00 -5.4862499e-01 -2.8855580e-01 -2.1628749e-01
 -1.6406034e-01 -1.0840049e-01 -6.5006748e-02 -3.7026130e-02
 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04
 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04
 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04
 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04
 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04 -2.4223328e-04
 -6.8654485e-02 -8.2101099e-02 -5.6296147e-02  4.8535518e-02
  1.1794761e+00 -3.2502708e-01 -1.7690133e-01 -1.3761106e-01
 -9.3746439e-02 -6.0786799e-02 -4.2163409e-02 -2.4118401e-02
  1.5068054e-04  1.5068054e-04  1.5068054e-04  1.5068054e-04
  1.5068054e-04  1.5068054e-04  1.5068054e-04  1.5068054e-04
  1.5068054e-04  1.5068054e-04  1.5068054e-04  1.5068054e-04
  1.5068054e-04  1.5068054e-04  1.5068054e-04  1.5068054e-04
  1.5068054e-04  1.5068054e-04  1.5068054e-04  1.5068054e-04
 -8.9069501e-02 -8.8412069e-02 -7.1285821e-02  5.9943654e-02
  1.5761081e+00 -4.5674777e-01 -2.3601998e-01 -1.7094845e-01
 -1.3532859e-01 -9.0984084e-02 -4.9862739e-02 -2.8118238e-02
  1.9073486e-05  1.9073486e-05  1.9073486e-05  1.9073486e-05
  1.9073486e-05  1.9073486e-05  1.9073486e-05  1.9073486e-05
  1.9073486e-05  1.9073486e-05  1.9073486e-05  1.9073486e-05
  1.9073486e-05  1.9073486e-05  1.9073486e-05  1.9073486e-05
  1.9073486e-05  1.9073486e-05  1.9073486e-05  1.9073486e-05
 -2.6308319e-02 -3.6723301e-02 -2.1338424e-02  2.3053762e-02
  4.6430227e-01 -1.2629822e-01 -7.2213367e-02 -5.7985194e-02
 -3.4611493e-02 -2.1721469e-02 -1.7931864e-02 -1.0306757e-02
  1.5258789e-04  1.5258789e-04  1.5258789e-04  1.5258789e-04
  1.5258789e-04  1.5258789e-04  1.5258789e-04  1.5258789e-04
  1.5258789e-04  1.5258789e-04  1.5258789e-04  1.5258789e-04
  1.5258789e-04  1.5258789e-04  1.5258789e-04  1.5258789e-04
  1.5258789e-04  1.5258789e-04  1.5258789e-04  1.5258789e-04]","[-5.42257912e-03 -1.62732676e-02 -7.18741864e-03  6.06626645e-03
  1.06184721e-01 -2.18097270e-02 -1.67633668e-02 -1.70742758e-02
 -4.32187691e-03 -1.21029653e-03 -5.73122501e-03 -3.81197315e-03
 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01
 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01
 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01
 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01
 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01 -5.32642822e+01
  1.37639105e-01  1.42393559e-01  1.11951128e-01 -8.59749541e-02
 -2.39581084e+00  6.77548289e-01  3.55050683e-01  2.62664288e-01
  2.02589035e-01  1.35609090e-01  7.78103620e-02  4.65596840e-02
 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01
 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01
 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01
 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01
 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01 -5.08765030e+01
 -8.96133631e-02 -1.01711966e-01 -7.36540854e-02  6.02154583e-02
  1.54555607e+00 -4.28975880e-01 -2.30951935e-01 -1.76229462e-01
 -1.25764847e-01 -8.25026408e-02 -5.26042655e-02 -3.08364462e-02
 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01
 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01
 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01
 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01
 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01 -4.67840385e+01
  1.16317190e-01  1.20417096e-01  9.17222127e-02 -8.03329200e-02
 -2.03037977e+00  5.83375514e-01  3.03986937e-01  2.25627124e-01
  1.71013191e-01  1.13888353e-01  6.59559593e-02  3.89013179e-02
 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01
 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01
 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01
 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01
 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01 -5.13816376e+01]",,348677,audio/signals_f,,
,0.0,0.0,,4,,,,,,90.0,348682,geometry/pose_raw,164.31201171875,0.0
,0.0,0.0,,5,,,,,,90.0,348690,geometry/pose_raw,164.31329345703125,0.0
,0.0,0.0,,6,,,,,,90.0,348697,geometry/pose_raw,164.3135986328125,0.0
,0.0,0.0,,7,,,,,,90.0,348705,geometry/pose_raw,164.31329345703125,0.0
,0.0,0.0,,8,,,,,,90.0,348710,geometry/pose_raw,164.313720703125,0.0
,0.0,0.0,,9,,,,,,90.0,348717,geometry/pose_raw,164.31295776367188,0.0
