audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,611468,geometry/pose_raw,156.50906372070312,0.0
,0.0,0.0,,1,,,,,,90.0,611479,geometry/pose_raw,156.5065155029297,0.0
,0.0,0.0,,2,,,,,,90.0,611488,geometry/pose_raw,156.50502014160156,0.0
,0.0,0.0,,3,,,,,,90.0,611499,geometry/pose_raw,156.50811767578125,0.0
,0.0,0.0,,4,,,,,,90.0,611507,geometry/pose_raw,156.52769470214844,0.0
,0.0,0.0,,5,,,,,,90.0,611517,geometry/pose_raw,156.5505828857422,0.0
694089444,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.1005451e-02 -4.5345728e-03 -3.0501181e-02 -1.0005693e-01
 -5.1727915e-01  3.0842561e-01  1.3513626e-01  7.1738258e-02
  4.0193517e-02  2.0784369e-02  1.1309431e-02  1.0921068e-03
  2.3841858e-04  2.3841858e-04  2.3841858e-04  2.3841858e-04
  2.3841858e-04  2.3841858e-04  2.3841858e-04  2.3841858e-04
  2.3841858e-04  2.3841858e-04  2.3841858e-04  2.3841858e-04
  2.3841858e-04  2.3841858e-04  2.3841858e-04  2.3841858e-04
  2.3841858e-04  2.3841858e-04  2.3841858e-04  2.3841858e-04
  4.8330612e-03  3.1526288e-04 -9.8392963e-03 -2.3941275e-02
 -1.7144866e-01  1.0410313e-01  3.7691202e-02  2.2255274e-02
  1.1407482e-02  5.1205824e-03  1.6854015e-03 -8.7610056e-04
 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04
 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04
 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04
 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04
 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04 -1.1062622e-04
  5.3803846e-03  4.8122369e-05 -1.1718285e-02 -3.6034353e-02
 -2.0972478e-01  1.2207049e-01  5.1059969e-02  2.8349364e-02
  1.5760651e-02  8.1838425e-03  3.4100430e-03  6.5325794e-04
 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04
 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04
 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04
 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04
 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04 -3.7002563e-04
  2.1183334e-02 -1.9934576e-03 -5.0463948e-02 -1.3698101e-01
 -8.6460423e-01  5.2851677e-01  2.0117408e-01  1.1432800e-01
  6.1235994e-02  2.9638443e-02  1.0287605e-02 -3.3136460e-03
 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04
 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04
 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04
 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04
 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04 -2.9945374e-04]","[ 1.5035356e-02 -3.1432556e-03 -3.6884073e-02 -1.0637692e-01
 -6.2283850e-01  3.7864542e-01  1.5063147e-01  8.3716802e-02
  4.5188844e-02  2.2133606e-02  9.4452454e-03 -1.2008274e-03
 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01
 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01
 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01
 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01
 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01 -5.2840309e+01
 -1.2179479e-02  3.8020448e-03  3.2934718e-02  1.0360483e-01
  5.6878030e-01 -3.4039992e-01 -1.4321066e-01 -7.7725947e-02
 -4.3517210e-02 -2.1913413e-02 -1.0779714e-02 -3.4450967e-04
 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01
 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01
 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01
 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01
 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01 -5.1302105e+01
 -9.1751921e-05  3.8323198e-03  9.1957869e-03  2.5703220e-02
  9.9289596e-02 -7.4372917e-02 -2.9764500e-02 -1.4542195e-02
 -7.4028713e-03 -3.9787102e-03 -9.7053329e-04  9.1433339e-04
 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01
 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01
 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01
 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01
 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01 -4.6963573e+01
 -3.3336684e-02  1.0062955e-02  8.7536164e-02  2.7872136e-01
  1.4965353e+00 -8.9349151e-01 -3.8109505e-01 -2.0671082e-01
 -1.1597447e-01 -5.9217557e-02 -2.9261192e-02 -9.6383714e-04
 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01
 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01
 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01
 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01
 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01 -5.1464371e+01]",,611527,audio/signals_f,,
,0.0,0.0,,7,,,,,,90.0,611529,geometry/pose_raw,156.58518981933594,0.0
,0.0,0.0,,8,,,,,,90.0,611538,geometry/pose_raw,156.59725952148438,0.0
,0.0,0.0,,9,,,,,,90.0,611548,geometry/pose_raw,156.59323120117188,0.0
,0.0,0.0,,10,,,,,,90.0,611559,geometry/pose_raw,156.576416015625,0.0
,0.0,0.0,,11,,,,,,90.0,611567,geometry/pose_raw,156.54574584960938,0.0
,0.0,0.0,,12,,,,,,90.0,611576,geometry/pose_raw,156.53073120117188,0.0
,0.0,0.0,,13,,,,,,90.0,611589,geometry/pose_raw,156.5287628173828,0.0
,0.0,0.0,,14,,,,,,90.0,611597,geometry/pose_raw,156.54200744628906,0.0
,0.0,0.0,,15,,,,,,90.0,611607,geometry/pose_raw,156.57058715820312,0.0
,0.0,0.0,,16,,,,,,90.0,611617,geometry/pose_raw,156.5841827392578,0.0
,0.0,0.0,,17,,,,,,90.0,611627,geometry/pose_raw,156.5869598388672,0.0
,0.0,0.0,,18,,,,,,90.0,611636,geometry/pose_raw,156.5785369873047,0.0
