audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
86693551,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",0,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 2.2833671e-03 -2.3039470e-03  1.6727793e-03 -1.8456610e-03
  3.3978091e-03  7.9860841e-04 -1.1065857e-03  3.2126237e-04
 -5.9660798e-04 -3.5643694e-04 -1.7662034e-03  2.6331539e-04
 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04
 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04
 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04
 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04
 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04 -2.3269653e-04
 -5.0397305e-04  7.9784275e-04  4.5835553e-04  5.5136438e-04
 -1.3243544e-03 -1.2082157e-03  2.2770304e-03  1.2762952e-03
 -1.4005528e-03 -4.0424487e-04  7.9148699e-04 -4.3922433e-04
 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05
 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05
 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05
 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05
 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05 -1.1444092e-05
  3.2993080e-03 -3.7076278e-03  2.6598396e-03 -2.2430525e-03
  2.4820648e-03 -1.2632887e-03 -2.2461999e-04  1.5637451e-03
  1.1950440e-04 -9.6959400e-04 -5.3474522e-04  4.0029929e-05
 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04
 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04
 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04
 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04
 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04 -2.0408630e-04
  7.2471675e-04 -2.5154294e-03  3.2347540e-04  1.4713574e-03
 -9.5156836e-04  1.5574221e-03  1.3447404e-03  6.7545101e-04
 -1.7745082e-03  9.7830780e-06 -2.7704856e-04 -1.1206494e-04
  6.5040588e-04  6.5040588e-04  6.5040588e-04  6.5040588e-04
  6.5040588e-04  6.5040588e-04  6.5040588e-04  6.5040588e-04
  6.5040588e-04  6.5040588e-04  6.5040588e-04  6.5040588e-04
  6.5040588e-04  6.5040588e-04  6.5040588e-04  6.5040588e-04
  6.5040588e-04  6.5040588e-04  6.5040588e-04  6.5040588e-04]","[-1.3301310e-03  2.2035325e-05 -4.6939027e-04 -3.0191662e-04
  1.3409174e-03 -5.9445365e-04 -5.4304610e-04 -4.6623457e-04
  1.2083109e-03 -3.2164564e-04 -3.5264462e-04  3.7957449e-04
 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01
 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01
 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01
 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01
 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01 -5.2799122e+01
  2.4598243e-03 -4.8064109e-04  8.6091505e-04 -1.5180564e-03
  1.5928529e-03  2.1026991e-04  3.6178157e-04  3.2015657e-04
 -4.8612885e-05 -1.1591896e-03 -2.8087050e-03  1.2208256e-03
 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01
 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01
 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01
 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01
 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01 -5.1037128e+01
 -1.3248678e-03 -5.4755248e-04  8.6935860e-04 -8.5524539e-04
  1.0102405e-03 -1.5964662e-03 -9.0069469e-04 -1.2249959e-04
 -4.5012817e-04 -3.8007242e-04  2.0295021e-03 -3.1979254e-04
 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01
 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01
 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01
 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01
 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01 -4.7067940e+01
 -2.3757068e-04 -6.8531878e-04  2.0703988e-03 -2.0081131e-03
  3.4777593e-04  5.7195389e-04  1.6757386e-04  1.3664203e-03
 -4.7091680e-04 -1.6192754e-03 -1.1535073e-04  3.0860322e-04
 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01
 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01
 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01
 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01
 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01 -5.1393333e+01]",,57919,audio/signals_f,,
,0.0,0.0,,1,,,,,,90.0,57924,geometry/pose_raw,0.5109570026397705,0.0
,0.0,0.0,,2,,,,,,90.0,57934,geometry/pose_raw,0.5128300786018372,0.0
,0.0,0.0,,3,,,,,,90.0,57943,geometry/pose_raw,0.511800229549408,0.0
,0.0,0.0,,4,,,,,,90.0,57955,geometry/pose_raw,0.5153269171714783,0.0
,0.0,0.0,,5,,,,,,90.0,57963,geometry/pose_raw,0.5166019797325134,0.0
,0.0,0.0,,6,,,,,,90.0,57973,geometry/pose_raw,0.5142528414726257,0.0
,0.0,0.0,,7,,,,,,90.0,57984,geometry/pose_raw,0.5165190696716309,0.0
,0.0,0.0,,8,,,,,,90.0,57993,geometry/pose_raw,0.5168175101280212,0.0
,0.0,0.0,,9,,,,,,90.0,58003,geometry/pose_raw,0.5168296098709106,0.0
