audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
656927612,,,"[  93  406  718 1015 1328 1640 1953 2265 2578 2875 3187 3500 3812 4125
 4421 4734 5046 5359 5671 5968 6281 6593 6906 7218 7531 7828 8140 8453
 8765 9078 9375 9687]",0,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.58379208e-02 -2.81807093e-04 -4.87283869e-05  1.54023859e-04
 -3.95798590e-04  7.79957860e-04  4.11522982e-04 -2.30147183e-04
 -2.97097838e-04 -1.19583984e-03  3.17847327e-04 -2.20243775e-04
 -2.78918480e-04 -6.26150169e-04 -1.48389576e-04  1.26732397e-04
  7.87652505e-04 -2.63827911e-04  1.91730942e-04 -1.31197536e-04
 -3.30833660e-04  3.32654745e-04  2.38800312e-05  1.84112141e-05
 -3.12395161e-04  1.44227946e-04 -4.69943276e-04 -2.01408591e-04
 -4.50922264e-04  4.69917664e-04  2.19979585e-04 -2.04449389e-05
  1.94015056e-02 -3.99768032e-05  3.25168425e-04 -7.52799824e-05
 -6.33134507e-04 -1.39008451e-04 -1.01213611e-03 -8.98094149e-05
 -4.97477129e-04 -3.18362669e-04  8.30368721e-04 -4.69439256e-04
  5.10418380e-04 -8.50401120e-05 -8.32693186e-04  4.39028896e-04
  6.81038073e-05 -5.87265997e-04  2.57233245e-04  3.54286836e-04
 -6.22270309e-05  1.95007480e-04 -2.84336915e-04 -3.09902418e-04
 -5.63109410e-04 -1.81622541e-04 -4.84547927e-04 -1.51570726e-04
  2.27643526e-04 -3.58666221e-05  9.64905994e-05 -2.06278579e-04
  1.94417462e-02  6.77986245e-04  1.20792293e-03  4.49073734e-04
  3.81558697e-04 -5.05413394e-04  9.46972985e-04  4.68190934e-04
 -3.49935115e-04  3.48887297e-05  2.42551760e-04  8.02471535e-04
  6.15778263e-04  3.20171006e-04  2.12078885e-05  6.05918613e-05
  2.30553429e-04 -6.96165604e-04 -5.35671657e-04 -1.88200356e-04
 -2.34126841e-04  1.47144339e-04 -3.11007578e-04 -2.90754106e-04
  3.55155789e-04 -5.91338146e-04 -1.54032183e-04 -2.83271773e-04
 -1.23692647e-04 -1.50114734e-04  2.34973093e-04  1.77658949e-04
  1.70222893e-02 -1.65577431e-03  2.09923694e-03 -6.20884646e-04
 -5.75935934e-04  3.26682057e-04 -1.06299442e-04 -1.12962653e-03
  2.82037188e-04 -7.88457808e-04 -5.57242078e-04  1.18099604e-04
 -5.28192148e-04  6.68266788e-04 -4.58112772e-04  3.68587847e-04
 -4.87146433e-04  6.16967678e-04  3.74726311e-04 -3.29674280e-04
 -2.28394245e-04 -7.84642907e-05 -3.92559421e-04 -4.26353770e-04
 -3.75280913e-04 -4.74039261e-05 -4.66795536e-05 -9.38872836e-05
  1.89636994e-04 -1.65713107e-04  3.37426551e-04  2.51563790e-04]","[ 1.7549719e+00  7.3518697e-03  1.0209375e-03 -5.5104413e-04
  2.5184429e-04 -1.6005698e-04 -2.1666757e-04 -1.6102902e-05
  1.1348708e-03 -1.0338907e-04 -1.4239314e-04 -8.2706905e-04
  6.3985534e-04 -2.2660219e-04 -2.3486291e-04 -6.1939360e-04
  3.6931669e-04 -2.6037786e-04  6.6918219e-05  7.1355264e-04
  4.6693382e-04  1.6725199e-04 -5.6449666e-05 -2.8474306e-05
  7.2140814e-05 -8.8443386e-04  5.4556993e-05 -2.0734963e-04
  3.9470769e-04 -4.6059125e-04 -1.3151297e-05  9.6975673e-06
  1.8696220e+00  6.6879941e-03  1.8428138e-03 -2.7372735e-04
  8.2658924e-04 -4.5381568e-04 -3.4483624e-04  1.8273352e-04
  1.1330047e-03 -2.8189333e-04 -1.3101859e-04 -3.6604542e-04
 -2.4865495e-04 -4.6723656e-04  3.1149009e-04  2.0784340e-04
  8.7642322e-05  8.5813765e-05  1.2805566e-04 -4.0352240e-04
 -2.9036636e-04 -1.8644544e-04  9.1903785e-04  2.9921699e-05
  2.5759736e-04 -3.3762219e-04  9.7967904e-06  1.5710479e-04
  3.7527134e-04  1.3179329e-04 -1.8565652e-04 -3.7834622e-04
  1.9239252e+00  8.5607162e-03  1.5449605e-03 -1.1478660e-03
  1.4918717e-04 -4.3731503e-04 -2.5300661e-04  8.6608394e-05
  9.7539136e-04  1.4382286e-04  2.5048081e-04 -6.7787565e-05
 -3.1998003e-04 -2.6604161e-04  6.6043145e-04  4.5564628e-04
 -2.8861267e-04 -5.1103125e-05  4.9998675e-04  1.3144888e-04
  4.2688785e-04  2.5656109e-04 -1.8437086e-04 -1.1170386e-04
  1.1584410e-04  1.0453562e-04 -2.1928456e-04  1.1519015e-04
  1.2517064e-04 -3.2020797e-04  3.5398980e-04  4.0165911e-04
  1.8911445e+00  6.3892300e-03  1.3744137e-03  8.5189451e-05
 -4.2156261e-04  1.0046288e-03 -5.6135730e-05  1.2574601e-05
  6.5347282e-05  1.5540716e-04  1.1859180e-03 -3.6857091e-07
  1.8468835e-04  1.7571755e-04  3.3704066e-04 -7.3757593e-04
 -2.3746633e-04 -1.9359043e-04  4.6924968e-05  4.0407086e-04
  5.5649161e-04 -9.8564124e-05  3.4299397e-04  1.6839748e-04
  7.8050216e-05  5.2808660e-05 -5.9305698e-05  3.3183594e-04
 -1.2439146e-04  4.9314058e-05  5.1032956e-04 -8.2025799e-05]",,567371,audio/signals_f,,
,0.0,0.0,,1,,,,,,90.0,567376,geometry/pose_raw,-0.18020662665367126,206.0
,0.0,0.0,,2,,,,,,90.0,567384,geometry/pose_raw,-0.17932526767253876,206.0
,2.0,-4.0,,3,,,,,,90.0,567395,geometry/pose_raw,-0.2908437252044678,206.0
,4.0,0.0,,4,,,,,,90.0,567403,geometry/pose_raw,-0.28499549627304077,206.0
,-3.0,0.0,,5,,,,,,90.0,567414,geometry/pose_raw,-0.2858406901359558,206.0
,-2.0,3.0,,6,,,,,,90.0,567423,geometry/pose_raw,-0.2882363796234131,206.0
,3.0,-2.0,,7,,,,,,90.0,567436,geometry/pose_raw,-0.2728935778141022,206.0
,1.0,0.0,,8,,,,,,90.0,567445,geometry/pose_raw,-0.27881041169166565,206.0
,1.0,0.0,,9,,,,,,90.0,567454,geometry/pose_raw,-0.27881041169166565,206.0
,0.0,-1.0,,10,,,,,,90.0,567465,geometry/pose_raw,-0.27793148159980774,206.0
,0.0,0.0,,11,,,,,,90.0,567474,geometry/pose_raw,-0.2767380475997925,206.0
,0.0,0.0,,12,,,,,,90.0,567483,geometry/pose_raw,-0.276713103055954,206.0
656990974,,,"[  93  406  718 1015 1328 1640 1953 2265 2578 2875 3187 3500 3812 4125
 4421 4734 5046 5359 5671 5968 6281 6593 6906 7218 7531 7828 8140 8453
 8765 9078 9375 9687]",13,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.41721740e-02  7.71929510e-04  7.12224515e-04  1.36506278e-03
  2.37250322e-04 -2.35517378e-04  2.32828897e-04  6.13570272e-04
  3.69849935e-04  1.78710543e-04 -7.54618086e-05  4.87300014e-04
 -3.18481500e-04  1.17706091e-04 -1.99982751e-05 -7.28486193e-05
  1.36478804e-04 -1.73365508e-04 -2.35113112e-04  2.83240486e-04
 -4.74093948e-04 -8.81763117e-05 -3.45245237e-04  9.76467709e-05
 -9.00917221e-05  3.69671034e-05  4.76858666e-04  2.47170101e-06
  4.34563990e-04 -1.54901994e-04 -1.16545714e-04  2.70035962e-05
  1.74801331e-02  2.70621968e-06  3.23191227e-04  1.28326111e-03
 -2.51320835e-05  2.13725594e-04  2.15665234e-04 -3.39369522e-04
  6.15313766e-04 -6.54592935e-04 -3.88338813e-04  5.10927406e-04
  2.96343147e-04  2.53158389e-04 -2.37526692e-04  6.25618559e-05
  1.35667360e-04  9.43725099e-05  4.43352328e-04  7.08847074e-04
 -4.17735610e-05 -1.60517520e-04 -3.74729512e-04 -5.35764033e-04
 -4.73801192e-05 -3.61308572e-04 -2.98439845e-04  1.22571713e-04
 -2.89190939e-04  4.73951950e-05  2.39244473e-04 -5.19337365e-04
  1.92725603e-02 -1.12265872e-04  9.62443068e-04 -4.55058005e-04
 -4.05477389e-04  1.35156210e-04 -2.02226904e-04 -2.34189465e-05
 -5.29091689e-04  9.22177162e-04 -5.73447731e-04  2.27532728e-04
  4.55789923e-05  4.01882498e-05  3.45217733e-04 -1.49841740e-04
  6.39090198e-04  6.89739361e-04  2.29827259e-04  7.80293718e-04
 -3.94574832e-04 -3.09243973e-04  8.73740180e-04 -1.04043960e-04
  7.90237682e-05  7.09512387e-05 -1.02915052e-04 -1.00673540e-04
  4.34473986e-05  2.04815500e-04 -1.53626126e-04 -5.16792352e-05
  1.69343222e-02  1.04282890e-03 -6.65239291e-04  3.52615229e-04
 -3.36832076e-04  5.11055114e-04 -1.25063118e-04  7.00548044e-05
  2.25436015e-05  2.26447155e-04 -2.83570553e-04 -4.39214578e-04
 -6.01963606e-04 -2.72258651e-04  7.95365369e-04 -1.43246434e-04
  3.17438797e-04  8.21066264e-04 -4.23808262e-04  7.31078326e-04
  2.10420869e-04  1.79812720e-04 -2.59101827e-04  4.66836849e-04
  1.15009840e-04  5.96367172e-05 -3.36791796e-04  2.06066048e-04
 -2.94196012e-04 -2.61575246e-04 -6.65793195e-05 -5.31187048e-04]","[ 1.75973606e+00  6.69421814e-03  4.55121859e-04 -3.96982767e-04
 -6.76427211e-04  1.09022032e-04  1.53872883e-04 -1.95588626e-04
 -4.03413200e-04 -7.08450098e-04  3.15513200e-04  2.72024423e-04
 -3.80029582e-04  4.64190307e-05 -2.05720440e-04 -6.20310748e-05
  9.61812475e-06  1.51653265e-04  2.17840745e-04 -1.96570283e-04
 -1.77286740e-04 -1.89031402e-04 -4.70894767e-04  3.60586535e-04
  1.02538696e-04  5.48654061e-04 -4.54159337e-04  1.17045071e-04
  4.33208566e-04  1.19919212e-04 -1.70675412e-04 -1.70621002e-04
  1.86982417e+00  7.25919288e-03  2.65956344e-03 -6.09305222e-04
 -2.49025979e-05 -4.94782696e-04 -2.34432271e-04 -1.69199935e-04
 -7.18676136e-04  3.03410052e-04 -7.71866937e-04  2.08684593e-04
  4.08239575e-04 -2.22232949e-04  3.63849307e-04  1.87555816e-05
  1.97271249e-04  2.06397774e-04 -3.01486580e-04 -1.04141101e-04
 -3.01511231e-04 -1.85061130e-04 -2.93428515e-04 -2.92769750e-04
 -2.08606478e-04 -3.16984922e-04  4.06389503e-04  2.33643979e-04
 -1.11495057e-04  7.11940738e-05 -5.41554065e-04 -2.06343029e-05
  1.92234468e+00  6.47380110e-03  2.63158535e-03  3.38539248e-04
  6.24355744e-04 -7.22462346e-06 -3.53759911e-04 -1.17756157e-04
 -1.02087692e-03 -5.49870194e-04 -1.28679079e-04 -4.79505019e-04
 -6.71729649e-05 -4.52670123e-04  5.71320197e-05  8.85841320e-04
 -4.79968847e-04 -1.42132485e-04  6.67215354e-05  2.49548990e-04
 -2.10213475e-04  5.49789518e-04 -3.09850904e-04  7.53788278e-04
 -1.09730754e-04 -3.48950329e-04  2.18168832e-04 -1.31950001e-05
  5.37567794e-05  1.51373737e-04 -1.08979344e-04 -3.00234678e-04
  1.88740849e+00  6.53772010e-03  1.66299799e-03 -1.61525546e-04
 -3.90690839e-04  1.54788780e-04 -4.47871804e-04 -3.44540575e-04
 -3.25117609e-04  7.21329183e-04  1.42986275e-04 -3.21309140e-04
  6.16218167e-05 -1.83246666e-04  4.20067430e-04 -2.13871928e-04
  2.77065090e-04  1.38687814e-04 -1.87412952e-04  2.68724805e-04
 -5.14137500e-04  3.61916522e-04 -4.87700803e-04  1.15289076e-04
 -8.85979680e-05  6.84478728e-05  2.23886993e-04  3.02537112e-04
  1.44877558e-05  1.79164999e-04  3.90663801e-04  6.61679660e-05]",,567488,audio/signals_f,,
,0.0,0.0,,14,,,,,,90.0,567496,geometry/pose_raw,-0.2767617106437683,206.0
,-1.0,3.0,,15,,,,,,90.0,567503,geometry/pose_raw,-0.21201594173908234,206.0
,-1.0,-2.0,,16,,,,,,90.0,567513,geometry/pose_raw,-0.22469741106033325,206.0
,0.0,0.0,,17,,,,,,90.0,567524,geometry/pose_raw,-0.22376514971256256,206.0
,-3.0,0.0,,18,,,,,,90.0,567533,geometry/pose_raw,-0.23587796092033386,208.0
,4.0,0.0,,19,,,,,,90.0,567543,geometry/pose_raw,-0.22662246227264404,208.0
,1.0,-1.0,,20,,,,,,90.0,567555,geometry/pose_raw,-0.22690799832344055,208.0
