audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,219270,geometry/pose_raw,-0.12107979506254196,208.0
,0.0,0.0,,1,,,,,,90.0,219279,geometry/pose_raw,-0.12112834304571152,209.0
,-1.0,-1.0,,2,,,,,,90.0,219289,geometry/pose_raw,-0.13518230617046356,209.0
,0.0,1.0,,3,,,,,,90.0,219297,geometry/pose_raw,-0.13461408019065857,209.0
,0.0,0.0,,4,,,,,,90.0,219308,geometry/pose_raw,-0.13449683785438538,209.0
,0.0,0.0,,5,,,,,,90.0,219318,geometry/pose_raw,-0.13378916680812836,209.0
,0.0,-1.0,,6,,,,,,90.0,219328,geometry/pose_raw,-0.14077913761138916,206.0
,0.0,0.0,,7,,,,,,90.0,219338,geometry/pose_raw,-0.13967245817184448,206.0
,0.0,0.0,,8,,,,,,90.0,219348,geometry/pose_raw,-0.13955773413181305,206.0
,0.0,1.0,,9,,,,,,90.0,219357,geometry/pose_raw,-0.12752555310726166,206.0
312199949,,,"[  93  406  718 1015 1328 1640 1953 2265 2578 2875 3187 3500 3812 4125
 4421 4734 5046 5359 5671 5968 6281 6593 6906 7218 7531 7828 8140 8453
 8765 9078 9375 9687]",10,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.47697609e-02  1.42963734e-04  1.89389044e-04 -2.76084873e-04
  1.49300217e-03 -2.33510582e-04 -8.27376716e-05  9.29105518e-05
 -1.93610860e-04 -5.23962735e-05 -4.93947184e-04 -6.45350156e-05
  3.86064843e-04 -6.77993812e-05  2.16925720e-04  2.59934459e-04
 -5.24521456e-04 -1.71268490e-04  3.77329881e-04  4.86912555e-04
  4.20225522e-04  4.48321865e-04 -3.59550060e-04  5.85736358e-04
 -1.62235039e-04 -3.77324090e-04  2.66672025e-04 -2.48829747e-05
  3.95240349e-04 -1.23526930e-04  2.68549600e-04 -3.45866138e-04
  1.51174236e-02  8.80493084e-04  3.69406625e-04  4.04103688e-04
  2.92639830e-04  7.33566878e-04 -1.39665528e-04  7.00060569e-04
  3.99349607e-04 -1.14447408e-04 -3.12856064e-05  1.62873141e-04
 -1.27673775e-04  1.18231383e-05 -6.36647630e-04  1.77605820e-04
  9.45066859e-04  3.26587120e-04  2.18900212e-04  1.31917652e-04
 -5.31449507e-04  6.56155244e-05  1.16145835e-04 -4.25343896e-05
  1.39927986e-04  2.62647693e-04 -6.39164355e-05  7.34582864e-05
 -3.05412803e-04 -8.75337428e-05  4.30946355e-04  3.71625683e-05
  1.88562069e-02 -9.52944101e-04  2.10178390e-04 -1.05627591e-03
  3.20686871e-04 -6.70830661e-04  5.62928835e-05  1.06284351e-04
  7.67807767e-04 -2.88819661e-04 -2.04390060e-04 -5.19993249e-04
  2.12147716e-05  1.79597773e-04 -4.83470096e-04 -4.31355526e-04
 -2.43859395e-04  2.60153174e-04 -4.57606802e-05  1.68781116e-05
 -6.42011000e-05  6.72973474e-05 -2.33348837e-04 -3.62857187e-04
  6.22971333e-04  6.80947560e-04  1.13606540e-04 -2.45055126e-04
 -8.28487828e-05  2.49495934e-04  3.24729626e-04  2.80205160e-04
  1.88973546e-02  1.72830769e-03 -1.36929928e-04 -1.00182551e-05
  5.63719892e-04  8.10109079e-04  1.65421006e-04 -1.48782739e-04
 -1.32137924e-04  1.22151891e-04 -1.82013464e-04 -1.06742154e-04
 -2.75918952e-04 -9.32936528e-05 -4.15620365e-04 -3.08482704e-05
 -2.56706699e-04 -2.79608648e-04  3.94639967e-04 -4.48804756e-04
 -1.46476843e-04 -7.09360902e-05 -1.28030937e-04 -4.13240428e-04
  6.14161021e-04 -6.59872952e-04  2.40649533e-04 -6.19901693e-05
 -3.56649456e-04 -1.95210014e-04 -1.81544485e-04 -5.23011549e-04]","[ 1.75990224e+00  5.63926622e-03  1.45220500e-03  1.64721889e-04
 -5.92182507e-04  4.47922037e-04  6.36478653e-05 -7.04507911e-05
 -3.02121101e-04  8.33526938e-05  3.50409478e-04  9.86544728e-06
 -7.41076539e-04 -1.09023880e-04 -9.84269282e-05 -1.56980270e-04
 -5.29652461e-05 -6.62774037e-05  1.46133621e-04 -2.63789203e-04
  3.80678306e-04 -1.33459413e-04  7.31612599e-05  6.38233541e-05
 -5.43564325e-04  1.07040978e-04 -7.84382719e-05 -3.54741380e-04
  7.59765589e-06 -4.79710405e-04  4.08424879e-04  3.21007072e-04
  1.87294888e+00  6.25747908e-03  2.74387829e-04  7.31548862e-05
  6.56611635e-04 -7.15901842e-04  9.52105547e-05 -3.71829723e-04
  3.76519572e-04  3.77888617e-04 -3.84560844e-04  5.50626079e-04
  5.04616415e-04  9.63132770e-05 -3.26329638e-04  1.01845420e-04
 -5.51785924e-04  5.73160651e-04 -3.54020071e-04  3.26391426e-04
  1.47416664e-04  2.64934934e-04  1.17424934e-04 -3.89768626e-04
 -6.22332445e-05 -2.03255346e-04  2.51469930e-04 -1.82291493e-04
  1.15239687e-04  3.72188748e-04 -3.27040943e-05 -5.20869857e-04
  1.93401158e+00  5.02718845e-03  1.15200259e-04 -7.63318094e-05
 -1.90987776e-04 -5.20510985e-05 -2.53728154e-04 -4.79445989e-05
  6.05405949e-04  7.78676942e-04  8.79490050e-04  6.11322466e-04
 -4.36756352e-04  9.05052642e-04  1.61868738e-04  7.81842333e-04
 -2.05136545e-04 -3.91878479e-04 -4.73726323e-05  6.82978643e-05
 -5.93357370e-04  3.58878402e-04 -5.07341523e-04  5.71792247e-04
  6.09351089e-04  1.32958667e-04 -4.92551189e-04  6.53672105e-05
 -2.59656517e-04 -1.44886180e-05  3.06128379e-04  4.79760929e-04
  1.89079356e+00  6.29040739e-03  1.97420432e-03  4.79746319e-04
  2.82243243e-04  1.45388348e-03 -3.19248647e-05 -3.73135670e-04
 -1.22201745e-04  1.55208254e-04  5.23536466e-04  2.89570075e-04
 -1.95099623e-04  6.46952307e-04  4.49749525e-04  4.11468587e-04
 -1.90582068e-06 -1.55883718e-05  1.52352477e-05 -6.07434369e-04
  2.06972327e-04 -1.37364230e-04 -1.48637657e-04 -1.84687742e-04
 -7.35765556e-04 -2.05349977e-04  3.43115680e-04 -5.85938804e-04
 -1.40513657e-04  3.80936326e-05 -8.42486916e-05 -4.14478360e-04]",,219361,audio/signals_f,,
,0.0,0.0,,11,,,,,,90.0,219369,geometry/pose_raw,-0.12667235732078552,209.0
,0.0,0.0,,12,,,,,,90.0,219377,geometry/pose_raw,-0.12481027096509933,209.0
,0.0,0.0,,13,,,,,,90.0,219388,geometry/pose_raw,-0.1241772472858429,209.0
,0.0,0.0,,14,,,,,,90.0,219397,geometry/pose_raw,-0.12450236082077026,209.0
,0.0,0.0,,15,,,,,,90.0,219407,geometry/pose_raw,-0.12449213117361069,209.0
,0.0,-1.0,,16,,,,,,90.0,219417,geometry/pose_raw,-0.12413952499628067,208.0
,0.0,1.0,,17,,,,,,90.0,219428,geometry/pose_raw,-0.14388670027256012,208.0
,0.0,0.0,,18,,,,,,90.0,219438,geometry/pose_raw,-0.14287394285202026,208.0
,0.0,0.0,,19,,,,,,90.0,219447,geometry/pose_raw,-0.14287394285202026,208.0
,0.0,0.0,,20,,,,,,90.0,219458,geometry/pose_raw,-0.14278417825698853,206.0
,0.0,-1.0,,21,,,,,,90.0,219467,geometry/pose_raw,-0.15252375602722168,206.0
,1.0,1.0,,22,,,,,,90.0,219478,geometry/pose_raw,-0.15293927490711212,206.0
