audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,154251,geometry/pose_raw,0.11862007528543472,206.0
,-1.0,0.0,,1,,,,,,90.0,154261,geometry/pose_raw,0.102452352643013,206.0
,0.0,0.0,,2,,,,,,90.0,154270,geometry/pose_raw,0.10130557417869568,206.0
,1.0,0.0,,3,,,,,,90.0,154281,geometry/pose_raw,0.10219703614711761,206.0
1789151847,,,"[4000 4187 4375 4562 4750 4937 5125 5312 5500 5687 5875 6062 6250 6437
 6625 6812 7000 7187 7375 7562 7750 7937 8125 8312 8500 8687 8875 9062
 9250 9437 9625 9812]",4,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-1.96324824e-03  3.24416818e-04 -2.28639954e-04 -1.62496028e-04
  1.40174612e-04  6.33686024e-04  9.83024016e-04 -1.91436789e-04
  7.13686459e-04  1.37422132e-04  4.04536928e-04 -1.52305001e-05
 -6.71045200e-05  4.83930635e-04  7.18613737e-05  2.36500025e-04
 -6.06323243e-04 -6.49371126e-04  1.04643672e-03  4.31805587e-04
 -4.93554631e-04  2.93067395e-04  2.64497416e-04  1.94258842e-04
  4.59808361e-05  7.99220870e-05 -1.69719817e-04 -8.37858752e-05
  1.24551822e-04 -2.08205354e-04 -5.34566992e-04  2.98352883e-04
  2.10091285e-03  4.48345032e-04  2.30730715e-04 -1.02392514e-03
  2.61771667e-04  3.69341375e-04 -5.24718780e-05 -3.83582199e-04
  3.41464911e-05  2.38439272e-04  1.36885283e-04  4.02700418e-04
 -3.85092571e-05  2.15528969e-04  2.25584197e-04 -3.16730875e-04
  2.28551799e-04  8.74882564e-04 -2.37845408e-04  2.19720969e-04
 -5.26014715e-04  6.14097400e-04 -1.31744324e-04 -3.10689938e-04
 -1.97064161e-04  4.55692993e-04  3.88240966e-04 -2.34788735e-04
  5.44480863e-05  3.18638224e-04 -8.87564500e-04  3.36127123e-05
 -6.36295415e-04  7.84810283e-04 -8.27185693e-04  4.91859217e-04
  3.34193726e-04 -9.42728191e-04  4.36674571e-04  2.45682430e-04
 -3.87353444e-04 -9.95315640e-05  9.65632265e-04  4.52167820e-04
  2.08806479e-04 -1.69231906e-04 -6.42579573e-04 -4.47226310e-04
 -7.03282771e-04  3.14956356e-04  4.96186258e-04 -1.17422504e-04
  6.73291506e-05 -8.86752241e-06 -4.19562275e-04  1.40491466e-06
  2.39456756e-04 -2.21631053e-04  1.24345766e-04 -9.57748271e-04
  5.79870306e-04 -2.58537417e-04 -1.97282206e-04  2.61020963e-04
  1.84586807e-03 -8.35089420e-04  1.88121077e-04  3.59245605e-04
 -1.20495446e-04  2.53785256e-04 -1.42753619e-04  8.25477822e-04
 -3.74105177e-04 -9.39912512e-04 -8.94679106e-04  5.94060170e-04
 -2.63549620e-04  1.13620330e-03  5.86960814e-04 -3.66158958e-04
  2.36160791e-04  3.18828912e-04 -2.53268838e-04  5.06013224e-04
  4.79524839e-04  5.26429270e-04  2.07339705e-04  5.82282315e-04
  5.19640860e-04 -2.79231317e-05  4.96488821e-04  5.92431286e-04
  6.14277087e-04 -5.18635788e-05 -1.78624003e-04 -5.75373379e-05]","[-1.84170029e-04  6.05954672e-04 -2.69327953e-04  1.89012935e-04
 -2.39403031e-04  2.64666858e-04 -2.99888285e-04 -8.96898200e-05
 -1.47732833e-04  4.37903538e-04 -2.88479088e-04  1.25640290e-04
 -2.06912271e-04 -2.37736131e-05  2.35850748e-04  1.34365779e-04
 -1.19019496e-04 -2.86930917e-05 -6.09492534e-04  3.88857370e-05
 -3.98236094e-04  6.31396775e-04  1.52154360e-04 -1.40541000e-04
  5.90381205e-05  3.02097236e-04 -6.14607008e-04 -2.86486611e-04
 -3.32468917e-04 -1.60645759e-05  2.16570945e-04 -3.25253292e-04
 -1.10345753e-03 -2.84447538e-04  1.14332113e-04  3.98323260e-04
 -4.44181613e-04  7.84602089e-05 -3.23701417e-04 -9.48817818e-04
 -1.52632390e-04 -1.80562929e-05 -3.07623210e-04 -1.67360398e-04
 -5.22848743e-04 -2.89864169e-04 -1.97069268e-04  3.17311351e-05
 -3.68867331e-05  3.07420763e-04 -2.42273833e-04 -1.65269550e-04
 -4.63944685e-04 -2.19344249e-04  3.10152973e-05 -1.72967208e-04
  1.11859736e-04 -2.54129991e-05  1.40673757e-04 -1.14799186e-04
 -5.83983783e-05  3.06858157e-04  7.66927260e-05 -7.35396825e-05
 -1.33654184e-03 -3.64633161e-05  1.20752564e-04 -2.49916542e-04
  2.30799589e-04 -8.55956227e-04  7.68736281e-05  3.11258540e-04
  1.16422409e-04 -7.25619146e-04  6.50892034e-04  1.02897070e-03
  1.90464038e-04 -1.74334564e-04 -1.00849476e-03  2.10114202e-04
 -1.97427711e-04  4.13336937e-04  4.63120923e-05 -1.49211643e-04
 -2.26323042e-04 -5.36085863e-04 -4.35019319e-06 -9.79455072e-05
  2.62236554e-05  5.09332109e-04 -3.29404866e-04  3.83482809e-04
  4.52019158e-05 -6.58824283e-05  5.99250779e-05 -1.99364105e-04
 -1.33571518e-03  1.40434960e-04  3.89137800e-04  2.88565934e-04
  2.33808634e-04  2.09966471e-04  5.80866996e-04  4.78873029e-04
 -1.94598906e-05  3.98834090e-05  2.93471647e-04 -6.96054485e-06
  1.32602014e-04 -2.02385330e-04 -5.73701691e-04 -3.53191834e-04
 -5.74399426e-04  5.78711915e-05  1.86989942e-04  4.04724087e-05
  2.25406897e-04 -2.26839707e-04  6.09813396e-05  7.24029378e-04
  1.14045150e-04  8.64059431e-04  6.27505768e-04  4.43256635e-04
 -3.09897878e-04 -4.05939994e-04  1.59224670e-04  2.63143360e-04]",,154289,audio/signals_f,,
,0.0,0.0,,5,,,,,,90.0,154291,geometry/pose_raw,0.10260887444019318,206.0
,0.0,0.0,,6,,,,,,90.0,154300,geometry/pose_raw,0.10169012099504471,205.0
,0.0,0.0,,7,,,,,,90.0,154312,geometry/pose_raw,0.10136990994215012,205.0
,0.0,0.0,,8,,,,,,90.0,154321,geometry/pose_raw,0.10188311338424683,205.0
,-1.0,-1.0,,9,,,,,,90.0,154330,geometry/pose_raw,0.07672450691461563,205.0
,0.0,0.0,,10,,,,,,90.0,154340,geometry/pose_raw,0.07740595936775208,211.0
,1.0,0.0,,11,,,,,,90.0,154350,geometry/pose_raw,0.07620564848184586,211.0
,0.0,0.0,,12,,,,,,90.0,154360,geometry/pose_raw,0.07831892371177673,211.0
,0.0,-1.0,,13,,,,,,90.0,154370,geometry/pose_raw,0.07790325582027435,211.0
,0.0,0.0,,14,,,,,,90.0,154381,geometry/pose_raw,0.07078679651021957,211.0
,0.0,0.0,,15,,,,,,90.0,154390,geometry/pose_raw,0.07009374350309372,207.0
,0.0,0.0,,16,,,,,,90.0,154401,geometry/pose_raw,0.06988357752561569,207.0
