audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,2.0,,0,,,,,,90.0,134224,geometry/pose_raw,22.49486541748047,211.0
,3.0,-1.0,,1,,,,,,90.0,134233,geometry/pose_raw,22.473913192749023,211.0
,0.0,-4.0,,2,,,,,,90.0,134243,geometry/pose_raw,22.443031311035156,211.0
,-3.0,4.0,,3,,,,,,90.0,134253,geometry/pose_raw,22.404296875,212.0
,-3.0,4.0,,4,,,,,,90.0,134263,geometry/pose_raw,22.40540313720703,212.0
,0.0,0.0,,5,,,,,,90.0,134274,geometry/pose_raw,22.38385009765625,212.0
,0.0,0.0,,6,,,,,,90.0,134282,geometry/pose_raw,22.360448837280273,212.0
,0.0,-1.0,,7,,,,,,90.0,134293,geometry/pose_raw,22.328428268432617,212.0
,0.0,-1.0,,8,,,,,,90.0,134304,geometry/pose_raw,22.30824089050293,209.0
597950995,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",9,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-2.84024107e-04  3.42315907e-04  6.14363380e-05  8.23328970e-04
  2.43001559e-05 -9.84739861e-04  2.10771948e-04  8.41379733e-05
  1.97053945e-04  5.15604799e-04 -5.64181610e-05 -8.07645090e-04
  8.01086426e-05  8.01086426e-05  8.01086426e-05  8.01086426e-05
  8.01086426e-05  8.01086426e-05  8.01086426e-05  8.01086426e-05
  8.01086426e-05  8.01086426e-05  8.01086426e-05  8.01086426e-05
  8.01086426e-05  8.01086426e-05  8.01086426e-05  8.01086426e-05
  8.01086426e-05  8.01086426e-05  8.01086426e-05  8.01086426e-05
  7.40777235e-04  6.24677923e-04  5.08348749e-05 -2.83520669e-04
 -3.34924611e-04  6.08809118e-04  2.29208337e-04 -4.89836209e-04
 -1.04982464e-04  3.68879730e-04  1.49255502e-04  3.63545289e-04
 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05
 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05
 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05
 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05
 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05 -6.86645508e-05
 -4.81199473e-04 -7.41704833e-04 -3.87537322e-04  3.42143583e-04
 -3.28877650e-05 -3.25319619e-04  2.88803538e-04  7.71272971e-06
  8.91752192e-04 -9.99021286e-05 -1.09722547e-03 -2.03685631e-04
 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04
 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04
 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04
 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04
 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04 -3.39508057e-04
 -3.50893184e-04 -8.54540558e-05  1.64260819e-05 -3.38023237e-04
  1.05886743e-03  3.27862421e-04 -5.68093441e-04  5.36103442e-04
  4.98594251e-04  5.57721884e-04 -7.26922590e-04  1.66642814e-04
 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05
 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05
 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05
 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05
 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05 -7.43865967e-05]","[-2.75370840e-04 -4.11867339e-04 -6.77355129e-05  3.29048722e-04
 -6.57693949e-04  1.44513237e-04  1.41604163e-04  2.20843431e-04
 -5.45135175e-04 -1.82324075e-05  7.07367784e-04  2.08199781e-05
 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01
 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01
 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01
 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01
 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01 -4.47586784e+01
 -1.36173796e-04  8.18439526e-04 -3.90598958e-04  3.83121485e-04
  6.14877325e-04 -2.21925875e-04 -1.07096785e-04  3.19110346e-04
 -4.49827348e-04  2.75060847e-06 -6.98785298e-04  3.31818330e-04
 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01
 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01
 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01
 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01
 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01 -4.76199875e+01
 -9.55571653e-04  4.03372804e-04  3.77842982e-04 -6.89696637e-04
 -5.51940524e-04  5.91131451e-04  6.62966864e-04  3.92332178e-04
 -1.39425660e-03 -3.82373953e-04  2.72558711e-04 -8.93696211e-04
 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01
 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01
 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01
 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01
 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01 -4.91622810e+01
 -1.19089638e-03 -6.51503913e-04 -1.05688843e-04 -2.99945415e-04
  2.07674253e-04  1.56141352e-04 -9.47588051e-05 -3.08962190e-05
  5.18578454e-04 -1.36709132e-04 -5.85475704e-04 -4.69828374e-04
 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01
 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01
 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01
 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01
 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01 -4.81059723e+01]",,134305,audio/signals_f,,
