audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,4.0,0.0,,0,,,,,,90.0,243653,geometry/pose_raw,0.9480119347572327,211.0
,-5.0,-2.0,,1,,,,,,90.0,243664,geometry/pose_raw,0.9379063844680786,211.0
,-1.0,-2.0,,2,,,,,,90.0,243674,geometry/pose_raw,0.9374526143074036,208.0
,-1.0,3.0,,3,,,,,,90.0,243683,geometry/pose_raw,0.9218778610229492,208.0
,4.0,1.0,,4,,,,,,90.0,243696,geometry/pose_raw,0.9442080855369568,208.0
,-4.0,0.0,,5,,,,,,90.0,243704,geometry/pose_raw,0.9486808776855469,208.0
706518651,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-1.30014750e-03  1.62437122e-04 -6.28055423e-04  1.03947741e-03
 -2.68947071e-04 -4.68865270e-04  2.06819925e-04  8.51515448e-04
 -2.54246697e-05  2.75769766e-04 -5.91009739e-04 -4.51172382e-04
  3.49044800e-04  3.49044800e-04  3.49044800e-04  3.49044800e-04
  3.49044800e-04  3.49044800e-04  3.49044800e-04  3.49044800e-04
  3.49044800e-04  3.49044800e-04  3.49044800e-04  3.49044800e-04
  3.49044800e-04  3.49044800e-04  3.49044800e-04  3.49044800e-04
  3.49044800e-04  3.49044800e-04  3.49044800e-04  3.49044800e-04
 -8.83199566e-04  5.34369727e-04 -1.14447100e-03 -4.73430788e-04
  1.36677496e-04  8.60202010e-04 -7.75368535e-05  1.21188139e-04
 -1.63980367e-04  2.63640977e-04 -3.35790974e-04  2.93642370e-04
 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04
 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04
 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04
 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04
 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04 -2.19345093e-04
 -1.18165882e-03 -1.03644394e-04  5.30759280e-05 -2.02429947e-04
  9.06091416e-04 -9.26284760e-04  6.06057234e-04  7.32020824e-04
  1.36010174e-04 -5.12522995e-04 -6.99588505e-04  2.02114592e-04
  7.72476196e-04  7.72476196e-04  7.72476196e-04  7.72476196e-04
  7.72476196e-04  7.72476196e-04  7.72476196e-04  7.72476196e-04
  7.72476196e-04  7.72476196e-04  7.72476196e-04  7.72476196e-04
  7.72476196e-04  7.72476196e-04  7.72476196e-04  7.72476196e-04
  7.72476196e-04  7.72476196e-04  7.72476196e-04  7.72476196e-04
 -1.50467129e-03  6.67315384e-04 -9.60554753e-04 -6.54814241e-04
  2.33554747e-05  2.60421948e-04 -4.51758795e-04 -9.43395833e-04
 -3.49747745e-04  7.73725478e-05  7.27875158e-04  9.80526747e-05
 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04
 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04
 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04
 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04
 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04 -1.94549561e-04]","[ 7.5587002e-04  1.0221860e-03  7.5106986e-04 -3.0012778e-04
 -5.8119762e-04 -5.5281981e-04 -3.6847082e-04 -1.4541475e-03
 -2.6661373e-04  1.3891709e-03  4.8117648e-04  3.4731562e-04
 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01
 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01
 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01
 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01
 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01 -4.4717171e+01
  1.9244541e-04 -4.0913041e-04 -7.1804883e-05 -1.0655264e-03
 -1.3067613e-04  2.5260088e-05  3.1077783e-05  3.0209080e-04
  1.8681027e-04  2.0886213e-04  1.3529682e-03 -1.2656739e-05
 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01
 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01
 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01
 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01
 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01 -4.7545494e+01
  5.6233758e-04  5.0663587e-04  6.6737033e-04  9.3168963e-04
  3.1446028e-04 -1.6775860e-03 -3.8251275e-04  9.5951062e-04
 -2.3030149e-04  1.2757408e-03 -1.4119128e-03 -4.7768996e-04
 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01
 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01
 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01
 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01
 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01 -4.9065506e+01
 -7.2549010e-04 -1.0981164e-03 -3.8517517e-04 -4.5144150e-04
  5.9912412e-04  1.2274485e-03 -4.8352501e-04  7.9669856e-04
  2.5633484e-04 -7.1215630e-04 -2.9572612e-04 -2.2271268e-04
 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01
 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01
 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01
 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01
 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01 -4.8091942e+01]",,243709,audio/signals_f,,
,-4.0,0.0,,7,,,,,,90.0,243714,geometry/pose_raw,0.9530695080757141,208.0
,1.0,-3.0,,8,,,,,,90.0,243725,geometry/pose_raw,0.928209125995636,213.0
,-1.0,0.0,,9,,,,,,90.0,243734,geometry/pose_raw,0.9275617003440857,213.0
