audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,0.0,0.0,,0,,,,,,90.0,384786,geometry/pose_raw,0.016167279332876205,207.0
,2.0,-3.0,,1,,,,,,90.0,384796,geometry/pose_raw,-0.08081427961587906,207.0
,1.0,3.0,,2,,,,,,90.0,384808,geometry/pose_raw,-0.045961894094944,207.0
,-3.0,-2.0,,3,,,,,,90.0,384817,geometry/pose_raw,-0.059428226202726364,207.0
,-1.0,-1.0,,4,,,,,,90.0,384826,geometry/pose_raw,-0.07529305666685104,207.0
846477250,,,"[4000 4015 4031 4046 4062 4078 4093 4109 4125 4140 4156 4171    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0]",5,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.7289840e-02 -9.5984107e-03 -4.1430308e-03 -1.9087072e-02
 -1.2251376e-02  8.7483916e-03  1.6410068e-02  1.3336838e-02
  8.9102052e-03 -2.7115224e-03  2.4771744e-03 -1.9572331e-02
  1.6784668e-04  1.6784668e-04  1.6784668e-04  1.6784668e-04
  1.6784668e-04  1.6784668e-04  1.6784668e-04  1.6784668e-04
  1.6784668e-04  1.6784668e-04  1.6784668e-04  1.6784668e-04
  1.6784668e-04  1.6784668e-04  1.6784668e-04  1.6784668e-04
  1.6784668e-04  1.6784668e-04  1.6784668e-04  1.6784668e-04
 -4.6733841e-03  2.6603872e-03 -6.3967817e-03 -6.6871424e-03
 -3.6964968e-03  1.4312842e-02  7.2779311e-03  2.1682591e-03
  1.8928662e-03 -3.0194661e-03 -3.7817347e-03 -4.8026992e-03
  3.9291382e-04  3.9291382e-04  3.9291382e-04  3.9291382e-04
  3.9291382e-04  3.9291382e-04  3.9291382e-04  3.9291382e-04
  3.9291382e-04  3.9291382e-04  3.9291382e-04  3.9291382e-04
  3.9291382e-04  3.9291382e-04  3.9291382e-04  3.9291382e-04
  3.9291382e-04  3.9291382e-04  3.9291382e-04  3.9291382e-04
 -1.7430655e-03  4.8968168e-03 -3.9480124e-03 -5.3620948e-03
 -2.5048014e-03  5.0665159e-03  2.4625328e-03  1.6000564e-03
 -3.8794118e-03 -5.0635221e-03  3.9293463e-03  7.3119001e-03
  6.4849854e-05  6.4849854e-05  6.4849854e-05  6.4849854e-05
  6.4849854e-05  6.4849854e-05  6.4849854e-05  6.4849854e-05
  6.4849854e-05  6.4849854e-05  6.4849854e-05  6.4849854e-05
  6.4849854e-05  6.4849854e-05  6.4849854e-05  6.4849854e-05
  6.4849854e-05  6.4849854e-05  6.4849854e-05  6.4849854e-05
 -1.2031407e-03  1.8719456e-03  1.6418573e-03  2.2259986e-03
  1.8308623e-03  1.5112869e-03 -3.9468580e-03  9.9116843e-04
 -1.6557616e-03 -8.5937325e-04  8.1081945e-04 -4.9746293e-04
 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04
 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04
 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04
 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04
 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04 -4.0245056e-04]","[ 1.17268395e-02 -6.41856110e-03  1.25891557e-02  3.53796338e-03
 -7.72938365e-03 -7.36766402e-03  8.92886892e-03 -1.26985516e-02
 -6.08510617e-03  2.33054976e-03 -4.73115034e-03  8.68029520e-03
 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01
 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01
 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01
 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01
 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01 -4.46926613e+01
  1.30075589e-02 -3.43153160e-03 -1.31247344e-03 -4.03110310e-03
 -3.59571236e-03 -4.71959542e-03  6.02361234e-03 -8.17701221e-03
 -2.68753013e-03  4.14095307e-03 -6.41341903e-04  4.51016054e-03
 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01
 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01
 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01
 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01
 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01 -4.75311546e+01
  7.98909459e-03 -4.61649615e-03  2.04235455e-03 -3.00230738e-03
 -4.26961202e-03 -9.94135998e-03  1.98477623e-03  7.64967501e-03
  4.09141369e-03 -4.88676177e-03  3.62631422e-03  5.23068011e-03
 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01
 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01
 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01
 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01
 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01 -4.89813271e+01
 -1.12370239e-03  1.45416998e-03  9.04020504e-04 -2.00847164e-03
  5.77997649e-04  3.00941453e-03  1.87942816e-03  3.89085407e-03
  2.30705785e-03 -7.49298465e-03  2.18306063e-03  2.02918192e-03
 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01
 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01
 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01
 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01
 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01 -4.80572815e+01]",,384827,audio/signals_f,,
,2.0,-1.0,,6,,,,,,90.0,384839,geometry/pose_raw,-0.09128523617982864,208.0
,1.0,2.0,,7,,,,,,90.0,384846,geometry/pose_raw,-0.06920106709003448,208.0
,-2.0,0.0,,8,,,,,,90.0,384855,geometry/pose_raw,-0.0594528391957283,208.0
,0.0,3.0,,9,,,,,,90.0,384866,geometry/pose_raw,-0.022220401093363762,208.0
