audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,432621,geometry/pose_raw,-7.492093563079834,-0.3850194811820984,0.0
716538804,,,"[ 3000  3375  3750  4125  4500  4875  5250  5625  6000  6375  6750  7125
  7500  7875  8250  8625  9000  9375  9750 10125 10500 10875 11250 11625
 12000 12375 12750 13125 13500 13875 14250 14625]",1,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 4.49315354e-04  5.79331245e-05  5.32905397e-04  2.35995394e-04
 -1.72729269e-04  9.72722366e-04  7.34459376e-04  1.01274229e-03
 -3.88399203e-04 -1.43402358e-04  6.59784186e-04 -3.58088495e-04
 -4.38603922e-04 -3.90418922e-04 -2.13206513e-05 -8.69846335e-05
 -5.98280167e-05 -4.34833171e-04 -1.27868116e-04 -2.68346455e-04
  7.97692046e-05 -4.13006492e-05 -2.14952423e-04  1.72398650e-04
  3.49318172e-04 -9.55121359e-05  7.45240541e-05  2.37922388e-04
  5.00302303e-06  6.95095732e-05  6.86912535e-05  1.22912359e-04
 -4.99408110e-04  4.28163505e-04  4.13709844e-04  1.97612972e-04
  6.57272874e-04  1.83090597e-04  6.52903545e-05  1.47250321e-05
  1.84920442e-04 -2.64439659e-05 -1.37702387e-04 -3.70787981e-04
  1.54767651e-04  2.05965407e-04 -2.04081181e-04  4.04665130e-04
 -1.26297207e-04  6.22676453e-06 -1.49424188e-04 -1.49499683e-04
 -1.95380169e-04  7.60713519e-05 -1.21007106e-04 -1.15540490e-04
 -1.91158906e-05  1.64201032e-04  2.93969933e-05  1.25359249e-04
  2.06928118e-04 -5.00088267e-04 -1.88420672e-04 -1.15708790e-04
 -3.53337266e-04  5.10860351e-04  4.99315385e-04 -6.40013895e-04
 -4.39733732e-04 -9.69085086e-05  5.04159951e-04 -2.36059161e-04
  1.85806130e-06 -2.73918431e-05 -7.82023417e-04  5.69257594e-04
 -8.20897985e-05  6.71953429e-04  8.95399717e-05  1.12786714e-04
 -4.08961234e-04 -7.47153186e-04  2.76682375e-04 -4.45254293e-04
  6.03998487e-05 -3.86225642e-04  6.80580342e-05  4.35322378e-04
  1.74806017e-04  2.62024201e-04  1.44913123e-04 -5.83380577e-04
  2.02380514e-04 -1.86035235e-04 -9.22257750e-05 -2.26681150e-04
  2.35605374e-04 -1.90242528e-04 -5.21668000e-04 -7.77203066e-04
  2.54552608e-04 -1.08920700e-04 -5.82009379e-04 -2.24418982e-04
  1.59163756e-05 -3.37694655e-05  1.55985486e-04 -4.09096683e-05
 -4.69439023e-04 -1.65221267e-04 -3.54251184e-04 -5.21112932e-04
 -1.10713481e-04 -2.65538547e-04 -4.79801092e-04 -1.10369961e-04
  2.51596881e-04 -5.49364835e-04 -6.39415957e-05  1.44497433e-04
  4.41087148e-04 -1.56154798e-04 -3.04448404e-05  3.43865075e-04
 -1.52932669e-04  8.00849521e-05  1.46376042e-05  1.56220485e-05]","[-2.86505703e-04  4.24338243e-04 -2.98737606e-04 -1.28451036e-04
  1.08163600e-04  2.90356780e-04 -2.19898473e-04 -4.88372461e-04
  6.45204127e-05 -7.83768046e-05  5.27813536e-05 -2.66647199e-04
 -2.23734387e-04 -6.33254298e-04 -2.98873667e-04 -1.94887092e-04
  2.66960036e-04  6.87581662e-04 -3.45716107e-05 -4.24719357e-04
 -4.04885213e-05 -1.54989044e-04  1.04118095e-04 -5.45540097e-05
 -1.66208192e-05  2.16047687e-04  3.81327118e-06 -3.70776688e-05
 -1.01312333e-04  1.43345969e-04  2.25086231e-04  2.36182328e-04
  1.35913317e-04 -5.00193739e-04 -2.22244358e-04  9.51349561e-04
  2.21703041e-04  9.35554708e-05 -1.08779874e-04  4.00969962e-04
  9.64711653e-05 -2.89527234e-04 -1.09090237e-04  4.17273492e-04
  1.86137288e-04  5.55390725e-04 -1.95368993e-04 -4.60471871e-04
  3.24214343e-04  3.83060469e-05 -1.19419783e-04 -1.80127914e-04
 -5.85267495e-04  2.92125565e-04  1.71837950e-04  3.97129363e-04
  1.85955985e-04 -3.21295753e-04  3.00885935e-04 -1.74968678e-04
  7.83445721e-05 -2.15443302e-04  1.00685167e-04  3.97834119e-05
  4.24603786e-04 -2.29918878e-04  2.17174296e-04  9.18611695e-05
 -3.03418579e-04  4.77153633e-04 -2.12454965e-04 -5.35646512e-04
 -1.83706914e-04  6.68274413e-04 -2.90405442e-04 -3.26866168e-04
 -4.22997604e-04 -5.86973270e-04 -2.51479622e-04  8.43378657e-04
  5.85265458e-04  1.41528595e-04 -6.63976825e-04  1.04586630e-04
  4.56463255e-04  1.23963095e-04  6.40787533e-04  8.04119481e-05
  2.53466715e-05 -3.62514402e-04  8.00740963e-07 -1.73586071e-04
 -2.10645900e-04  1.78478906e-04  1.28715983e-05  3.68908688e-04
 -1.01137906e-03  2.77081301e-04 -1.42301724e-05  2.13912954e-05
  1.25982697e-04 -1.02378777e-04 -2.28692777e-04 -6.98997406e-04
  1.54727095e-05  3.94944655e-04 -3.62744322e-06  4.27546765e-04
  1.81567768e-04  5.49300865e-04  9.76686351e-06  4.35583992e-04
  1.28789843e-05  3.11437412e-04  5.90788957e-04 -1.06477659e-04
  5.85805159e-04 -1.57331131e-04  3.75841410e-05  4.07031854e-04
  4.81669471e-04  3.61326209e-04 -7.46817968e-05  2.42017035e-04
  2.82168097e-04  1.60185271e-04  1.92832755e-04  3.05199239e-04]",,432626,audio/signals_f,,,
,0.0,0.0,,2,,,,,,90.0,432634,geometry/pose_raw,-7.492280006408691,0.03365851566195488,0.0
,0.0,0.0,,3,,,,,,90.0,432644,geometry/pose_raw,-7.492160797119141,0.025759389623999596,0.0
,0.0,0.0,,4,,,,,,90.0,432652,geometry/pose_raw,-7.491692066192627,0.14577844738960266,0.0
,0.0,0.0,,5,,,,,,90.0,432662,geometry/pose_raw,-7.49070405960083,0.05229327082633972,0.0
,0.0,0.0,,6,,,,,,90.0,432671,geometry/pose_raw,-7.490262508392334,0.1332157701253891,0.0
,0.0,0.0,,7,,,,,,90.0,432678,geometry/pose_raw,-7.489749431610107,0.08581093698740005,0.0
,0.0,0.0,,8,,,,,,90.0,432685,geometry/pose_raw,-7.489482402801514,-0.060232654213905334,0.0
,0.0,0.0,,9,,,,,,90.0,432692,geometry/pose_raw,-7.489941120147705,-0.09854278713464737,0.0
,0.0,0.0,,10,,,,,,90.0,432699,geometry/pose_raw,-7.490204334259033,0.13224953413009644,0.0
,0.0,0.0,,11,,,,,,90.0,432705,geometry/pose_raw,-7.489320278167725,-0.0928366407752037,0.0
,0.0,0.0,,12,,,,,,90.0,432713,geometry/pose_raw,-7.489810466766357,-0.11335309594869614,0.0
716665330,,,"[ 3000  3375  3750  4125  4500  4875  5250  5625  6000  6375  6750  7125
  7500  7875  8250  8625  9000  9375  9750 10125 10500 10875 11250 11625
 12000 12375 12750 13125 13500 13875 14250 14625]",13,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 4.49315354e-04 -2.40883412e-04  1.11517118e-04 -2.71720492e-04
  3.58601028e-05  6.63854298e-04 -3.92193091e-04 -8.17249675e-05
  4.27472958e-04 -3.54921285e-05  9.42207698e-05 -1.11744012e-05
  2.98763276e-04 -1.31066394e-04  5.78666280e-04 -5.66935778e-05
 -2.44805473e-04 -7.36895890e-05 -1.09166926e-04 -6.19556813e-05
 -1.52308450e-04  3.05205409e-04 -2.17004708e-04  2.02777315e-04
 -4.07138141e-04 -8.64264657e-05 -1.24060549e-04 -2.44009279e-05
 -1.84982040e-04 -2.56484083e-04  1.09879831e-04 -1.23428754e-05
 -4.99408110e-04  4.28163505e-04 -1.35773036e-04  2.00840368e-04
 -6.76689204e-04 -1.72798347e-04 -2.84776237e-04  3.57302750e-04
  1.94681648e-04 -6.31215298e-05 -1.76797010e-04  4.50119900e-04
  1.50227221e-04  2.60475295e-04 -1.23240694e-04 -8.65272887e-06
 -4.82609612e-04  2.44034614e-04 -2.74639402e-04 -1.12092923e-04
  1.71567357e-04  1.16914991e-04 -2.98245959e-05  2.31594910e-04
 -2.07820063e-04 -2.21363531e-04  3.12098651e-04  2.10621540e-04
  3.56066885e-05  6.95739727e-05 -1.62408687e-04  1.77362323e-04
 -3.53337266e-04 -2.80225708e-04  8.52074445e-05  2.92558310e-04
 -1.71305277e-04 -4.34470858e-05 -2.51613292e-05  6.62314997e-05
 -1.97828485e-05 -3.26760812e-04  1.19827702e-04 -2.24729476e-04
 -8.05353920e-06  6.33056159e-04  2.93184712e-04 -2.74270191e-04
  2.05074466e-04  3.80243582e-05 -1.62838478e-04  6.63887477e-07
 -1.46626626e-04  5.07429650e-04  2.76176608e-04 -4.05423401e-04
  2.68312288e-04  2.92382465e-04  2.19124893e-04  3.10448726e-04
  1.08878143e-04 -4.86621138e-05 -4.75608162e-04 -3.80754282e-05
  2.35605374e-04 -1.95884495e-05 -9.05690948e-04  1.24929720e-04
  5.67287963e-04  2.51424499e-04  1.50113163e-04 -4.71334002e-04
 -1.21699391e-04 -2.21297989e-04 -5.05548611e-04  2.80601671e-04
 -7.05617538e-04 -3.92144109e-04  6.70435256e-05 -1.09364814e-03
  3.86025320e-04 -1.98157184e-04  7.39008537e-05  1.42794583e-04
 -5.70568809e-05 -7.60071271e-06 -1.46944047e-04  2.95776466e-04
 -3.94243943e-06  7.23168254e-04 -7.56678288e-04  5.82381559e-04
  2.05096658e-04 -2.59556226e-04 -2.56650557e-04  4.64147452e-04]","[-2.86505703e-04 -6.43259118e-05  1.75183566e-04 -3.39796330e-04
  2.03296207e-04 -2.40395661e-04 -7.71035615e-04 -3.67760163e-04
  3.87227046e-04  4.70148050e-04 -3.19207902e-04 -1.73730150e-04
 -3.49773763e-05  2.41045258e-04  3.74537427e-04 -1.80614279e-05
  6.63395258e-05 -2.67880328e-04  4.19739081e-04 -1.88280501e-06
 -1.12705500e-04 -3.47022782e-04  1.23574682e-06  1.15793606e-04
 -2.58873799e-04  1.99646369e-04 -1.23544480e-04 -9.59058962e-05
 -2.64153605e-05  1.13887232e-04  7.34416972e-05  3.44591754e-05
  1.35913317e-04 -5.00193739e-04 -2.70018674e-04  1.80855946e-04
 -7.19020172e-05  4.44498844e-04  3.20761232e-04  4.37761628e-06
  5.82835579e-04 -5.00294904e-04 -2.87396542e-04 -2.63375492e-04
 -5.02827403e-04  5.78782579e-04  3.77811113e-04 -4.01684490e-04
  9.20809252e-05 -2.54319166e-04 -1.23513091e-04  1.96412730e-05
  4.88134567e-04 -1.34523376e-04 -1.52629236e-05  4.02544596e-04
  1.65035279e-04  1.33634079e-04 -1.37854047e-04  3.64352716e-04
 -2.24875694e-05 -7.34056521e-05  1.39228883e-04 -2.63624301e-04
  4.24603786e-04 -2.29918878e-04  3.25998059e-04  5.60103508e-04
 -1.59667816e-05 -3.09866155e-04 -1.86120349e-04 -2.93792342e-04
  2.99588952e-04 -6.13056589e-04  4.11982706e-04  4.21860605e-05
  8.13357838e-05  1.57298600e-05 -1.81691736e-04 -3.70141905e-04
 -1.62851371e-04  6.03111577e-04 -2.18262503e-05  1.03383492e-04
  9.64646169e-05 -3.44179745e-04  4.75072156e-04  1.89181897e-04
  4.95126587e-05  3.00916814e-04  5.13856183e-04 -2.14078827e-04
 -1.42616627e-05 -1.31426903e-04 -1.58355804e-04 -5.43957685e-05
 -1.01137906e-03  2.77081301e-04  2.14696483e-05  5.59639186e-04
 -1.84722856e-04 -1.40200122e-04  2.02730705e-04  8.75604746e-06
 -2.84213864e-04 -1.66646991e-04 -2.89744814e-04  2.34085179e-04
  3.71362948e-05 -2.16614135e-04  5.41325368e-04 -9.10235976e-05
  1.09772402e-04  4.76090063e-04 -1.07364038e-04 -1.41227516e-04
  3.39667167e-04 -1.25806691e-04 -3.91053472e-05  8.62504676e-05
  8.64633403e-05  2.48198077e-04  3.67986155e-04  5.11535472e-05
  1.40659380e-04  1.05248342e-04  1.39123644e-04  3.90791218e-04]",,432718,audio/signals_f,,,
,0.0,0.0,,14,,,,,,90.0,432720,geometry/pose_raw,-7.490572929382324,0.015868352726101875,0.0
,0.0,0.0,,15,,,,,,90.0,432726,geometry/pose_raw,-7.491002082824707,0.12837660312652588,0.0
,0.0,0.0,,16,,,,,,90.0,432733,geometry/pose_raw,-7.490990161895752,-0.028107551857829094,0.0
,0.0,0.0,,17,,,,,,90.0,432739,geometry/pose_raw,-7.49055290222168,0.12923948466777802,0.0
,0.0,0.0,,18,,,,,,90.0,432745,geometry/pose_raw,-7.49153470993042,0.1678086817264557,0.0
,0.0,0.0,,19,,,,,,90.0,432755,geometry/pose_raw,-7.49030876159668,-0.029642175883054733,0.0
,0.0,0.0,,20,,,,,,90.0,432760,geometry/pose_raw,-7.491508960723877,-0.061765965074300766,0.0
