audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,283638,geometry/pose_raw,-2.912020444869995,0.14245173335075378,0.0
,0.0,0.0,,1,,,,,,90.0,283648,geometry/pose_raw,-2.912396192550659,-0.0011465681018307805,0.0
,0.0,0.0,,2,,,,,,90.0,283658,geometry/pose_raw,-2.912372589111328,-0.04049630090594292,0.0
,0.0,0.0,,3,,,,,,90.0,283667,geometry/pose_raw,-2.912278652191162,-0.16317665576934814,0.0
,0.0,0.0,,4,,,,,,90.0,283679,geometry/pose_raw,-2.9117932319641113,0.006280096713453531,0.0
,0.0,0.0,,5,,,,,,90.0,283686,geometry/pose_raw,-2.913203716278076,-0.03069448657333851,0.0
,0.0,0.0,,6,,,,,,90.0,283698,geometry/pose_raw,-2.912341833114624,0.09370382130146027,0.0
569224402,,,"[ 3000  3375  3750  4125  4500  4875  5250  5625  6000  6375  6750  7125
  7500  7875  8250  8625  9000  9375  9750 10125 10500 10875 11250 11625
 12000 12375 12750 13125 13500 13875 14250 14625]",7,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-1.45208120e-04 -3.37543344e-04  4.64030949e-04  2.07488221e-04
  2.58649699e-04 -1.62964658e-04 -2.44121940e-04 -3.86568630e-04
  3.50309943e-04  1.39699565e-04  2.32932915e-04 -2.01464252e-04
  6.69201618e-05  4.19082295e-04  7.02933467e-05  5.18317356e-05
 -2.68109288e-04  1.02219929e-04  1.32253859e-04  5.02330251e-04
 -1.18788070e-04 -4.49909057e-05 -2.35488595e-04 -2.03440810e-04
  8.45127652e-05 -2.71758672e-05  1.36813236e-04  2.85486021e-06
  2.91595323e-04 -2.20836897e-04  2.33684608e-04 -9.89500550e-05
 -1.10609180e-05 -2.29253696e-04  5.14983665e-04  3.71408241e-04
 -2.12560699e-05  3.46909248e-04  6.53437048e-04  3.27984308e-04
  3.74166470e-04 -2.90110213e-04  7.34517933e-04 -7.46350488e-05
 -5.72556630e-04 -1.50277774e-04  1.85472600e-04  1.25491588e-05
  3.48371541e-05  3.15653713e-04 -8.14825617e-05 -1.83784519e-04
 -2.89298769e-04 -5.83160727e-05 -1.94803681e-04 -1.04783503e-04
  1.48932289e-04 -5.89416923e-05 -3.26641893e-04  2.38577384e-04
 -1.82771488e-04  1.30726316e-04  1.86068995e-04 -1.05553336e-05
 -1.47373619e-04 -1.18022814e-04 -2.84624693e-04  2.63133988e-04
  6.06522488e-04  1.99488859e-04 -3.10812349e-04 -1.63603778e-04
  9.51496593e-04 -4.08107415e-04 -2.36079344e-04  3.74822645e-04
 -6.50790229e-04 -6.74810028e-04 -7.20969518e-04  8.91339660e-05
 -6.13946584e-04 -1.43669851e-04 -6.17270707e-05 -1.22273224e-04
 -2.77783693e-05  6.38387792e-05 -1.22196681e-04 -3.01174849e-04
 -4.00337041e-04 -3.11179610e-05  1.66484140e-04  1.06510946e-04
  3.84884115e-05 -3.72870199e-05  2.53070873e-04 -2.30235994e-04
  1.04327002e-04 -1.98049340e-04 -3.11916840e-04  3.64704843e-04
 -1.79575392e-04  7.32421031e-05  2.43940056e-04  4.06454841e-04
 -3.96097399e-04 -2.71339668e-04  3.59345577e-04 -3.91077134e-04
 -2.84459646e-04 -2.84649665e-04  6.61727390e-05 -3.43724794e-04
 -2.58247223e-04 -1.67005666e-04  3.25186673e-04 -6.48864225e-05
 -3.34012992e-04  3.29735514e-04  1.93786458e-04  1.29484215e-05
 -2.58631480e-04  4.52846507e-05 -2.14018422e-04 -1.31338544e-04
  3.82512750e-04 -2.11373903e-04  1.16190771e-04  3.78482509e-04]","[ 6.5467134e-04  2.5332556e-05  9.9166844e-04 -6.4042216e-04
  7.0729450e-04  3.6410391e-04 -3.4980156e-05  1.9624659e-04
  4.8311267e-04 -3.0095890e-04  6.0494529e-04  2.5553605e-05
 -1.0406698e-04  4.5170425e-04  3.0052877e-04  2.7503567e-05
  8.3528226e-05 -3.3968969e-04  4.7484471e-05 -1.4140597e-04
  5.2208698e-04  2.7725728e-06  8.8758767e-05  1.3614679e-04
  1.6041227e-04  2.6169512e-04  1.2289212e-04 -9.7667624e-05
 -1.8065501e-04  3.5246951e-05  2.5222689e-06  1.2097082e-04
 -1.0214935e-05 -3.4507510e-04  3.7803405e-04  1.8986716e-04
 -1.5826229e-04  4.2148621e-04  2.7921732e-04  5.6977809e-04
  1.3000585e-04  6.5346583e-05  6.7730062e-04  3.7578965e-04
  3.4178889e-04 -6.7694642e-04 -3.5761029e-04 -2.2953615e-04
 -2.3718589e-05 -2.8751750e-04  3.3870366e-04 -1.5627002e-04
 -3.2533077e-05 -3.3445249e-04  1.1699884e-04  4.5249655e-04
  1.7255438e-04  4.2791653e-05 -8.4027473e-05  1.1881187e-04
 -1.4227343e-04  1.5839537e-04  9.1950424e-06 -1.4761600e-04
 -3.3134004e-04 -3.7016638e-04  1.4172008e-04 -8.1171200e-04
  3.8968486e-05  1.2952475e-04 -7.3123246e-04 -1.6301997e-04
 -7.8418420e-04  8.1538092e-05 -7.4423573e-05  3.5538655e-04
 -5.4873795e-05 -1.4314389e-04 -2.5492327e-04 -1.1471694e-04
  5.9561234e-04  5.3333588e-05  5.5533787e-04 -1.6950635e-04
  2.5838592e-05  2.7238936e-04  2.7027185e-04 -1.8113093e-04
 -4.2445766e-04  5.0506089e-05 -7.8022131e-05  5.5685441e-04
 -2.2808134e-04 -1.2484757e-04  2.3724788e-05  1.9856599e-04
 -6.1649899e-04  4.6886684e-04 -8.0649741e-05  4.6883308e-04
  6.9644791e-04  4.4166250e-04 -1.9569782e-04  3.0373980e-04
 -3.9108269e-04  4.4775952e-06  2.7289480e-04  3.7827803e-04
  4.3697396e-04 -8.8689187e-05 -1.8395187e-04  4.0710138e-04
  2.1058258e-05 -2.6160327e-04 -1.5076555e-04 -2.3902953e-04
  4.8143332e-04 -3.0733849e-04  3.3384564e-04 -3.7863970e-04
 -2.2022148e-04  9.9281322e-05 -2.6018337e-05 -4.4249042e-05
  1.9589061e-04  2.7932422e-04  1.1514214e-04 -2.4305639e-04]",,283699,audio/signals_f,,,
,0.0,0.0,,8,,,,,,90.0,283708,geometry/pose_raw,-2.913111448287964,-0.1197257786989212,0.0
,0.0,0.0,,9,,,,,,90.0,283717,geometry/pose_raw,-2.9129834175109863,-0.11296894401311874,0.0
