audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,2441504,geometry/pose_raw,-43.837669372558594,-0.005170738790184259,0.0
,0.0,0.0,,1,,,,,,90.0,2441511,geometry/pose_raw,-43.838497161865234,-0.0515315867960453,0.0
2562126049,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",2,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.30550805e-02  3.04946280e-03  4.80125658e-03 -6.84525236e-04
 -5.84936352e-04  5.40169247e-04 -8.99832638e-04  9.34647745e-04
  2.85166292e-03 -4.00570547e-03  1.86211983e-04  8.57954554e-04
 -1.76982337e-03 -2.03862102e-04 -2.37719482e-03  8.03670613e-04
  4.23753692e-04 -2.95223115e-04 -2.40058915e-04 -1.07180234e-03
  7.02808902e-04  5.34693187e-04 -8.35208630e-04 -7.37157767e-04
 -3.07319133e-04 -7.97037908e-04 -1.19417859e-03 -6.47142413e-04
  1.04354939e-03 -2.13812338e-04 -4.68863000e-05 -7.89720507e-04
  1.86939240e-02 -2.24740081e-03  4.45655221e-03 -9.09758266e-04
  1.50032551e-03 -9.26158391e-04 -2.55558232e-04  2.19282592e-04
  6.38274360e-05 -9.02202795e-04  3.90686211e-04  7.04924169e-05
 -5.64122107e-04 -5.92142344e-04 -1.32882583e-03  9.32336698e-05
  5.77770057e-04 -5.24866511e-04  2.29124082e-04 -3.44465196e-04
 -1.70242725e-04  6.30201655e-04 -1.11341960e-05 -5.19774796e-04
  3.78539087e-04  1.60592142e-04 -5.88245632e-04 -2.32089442e-05
  5.25883050e-04 -1.05548155e-04  5.57452382e-04 -2.94054014e-04
  1.59416553e-02 -3.92834703e-03  5.56901738e-04 -1.25514431e-04
  1.69343461e-04  3.06376227e-04  3.81668477e-04  2.58683111e-04
 -1.75218622e-04  5.42414316e-04 -7.76712259e-04  5.79259649e-05
 -4.83080745e-04  1.18907122e-03 -7.30354514e-04  3.10934527e-04
 -4.93457075e-04  2.25382391e-04 -1.08757219e-03  4.61822550e-04
  5.05052565e-04  4.55223140e-04  4.13415459e-04 -5.12765138e-04
 -1.79473849e-04  1.62342287e-04 -3.00346699e-04 -9.72044509e-05
  8.03048548e-04 -2.28319695e-05 -5.11459657e-05  2.80565233e-04
  1.61509290e-02 -5.24265226e-03  1.68594625e-03 -6.12705946e-04
 -1.77234190e-03 -4.50555963e-04  1.00779964e-03  2.59854365e-04
  1.54343632e-03 -3.99481796e-04 -5.27054362e-05  1.60293351e-03
 -9.67274536e-06 -5.15246298e-04  2.14008527e-04 -3.69378176e-05
  3.65973799e-04  3.79194171e-05  5.66804549e-04 -1.95808985e-04
  1.08155236e-03 -3.79028497e-04 -4.79030539e-04 -1.17506082e-04
 -7.97201210e-05 -8.60812434e-05 -4.49606159e-05  2.88255513e-04
  3.52515344e-04 -1.68083381e-04  5.26842487e-05  3.92377959e-04]","[ 1.76146555e+00  7.51898997e-03 -1.51048489e-02 -9.12048575e-03
  3.55907064e-03  1.19480398e-03  4.51753323e-04 -4.79512179e-04
 -1.88485486e-03 -3.88757419e-03 -3.62569786e-04  7.03531841e-04
 -8.33330618e-04  1.50083960e-03  5.84394787e-04 -1.23940315e-03
 -2.62011687e-04 -2.02499423e-03 -6.85791019e-04 -1.04402972e-03
  3.10376112e-04  9.11810901e-04 -9.44173487e-04 -1.30529783e-03
 -4.01381054e-04  1.94415828e-04  1.79261988e-04 -3.19992250e-04
 -1.50140235e-03  7.04003105e-05 -1.10297685e-03  5.41965885e-04
  1.86983728e+00  5.35983965e-03 -1.65871456e-02 -8.05093069e-03
  2.54950277e-03  2.95827253e-04  7.49731116e-05 -4.99044894e-04
 -2.15948932e-03 -1.87550206e-03 -1.36460573e-03  5.28250821e-04
 -4.10484412e-04  1.08527625e-03 -1.59414354e-04 -3.28193943e-04
 -4.67608217e-04 -7.36028072e-04 -1.45841332e-04 -6.40897051e-05
  1.00457743e-04  6.95258728e-04  8.19000707e-06  5.49945515e-04
 -6.00808242e-04 -4.62675409e-04  1.45098078e-04 -4.14016016e-04
  2.97375489e-04 -1.38709240e-03  1.96629582e-04 -1.90029619e-04
  1.91491294e+00  9.95343179e-03 -1.55011266e-02 -8.86236504e-03
  2.48159515e-04  5.15820982e-04  8.99490784e-04 -9.25833592e-05
 -1.61516771e-04 -6.89560024e-04  8.41221598e-04 -7.36156187e-04
  9.76917800e-04  9.20554157e-06  1.06915133e-04 -9.51535112e-05
 -1.20252305e-04 -4.76681918e-04  3.97647935e-04  1.74837012e-04
  2.05619683e-04  2.23062947e-04  4.81084251e-04 -2.50601268e-04
 -9.12521209e-04  6.05619534e-05 -3.36913246e-04 -4.72119020e-04
 -3.72288050e-04 -7.91269471e-04 -1.64184166e-04  4.31095905e-05
  1.89083087e+00  8.09196662e-03 -1.78034790e-02 -7.84260873e-03
  5.79192652e-04  8.77491140e-04  7.79595226e-04  1.44299469e-04
 -2.45277595e-04 -4.44286736e-04 -3.65941291e-04 -1.30705547e-03
 -9.92801855e-04 -6.87233842e-05 -6.54880889e-04 -4.39510797e-04
 -2.69268581e-04 -3.20789259e-04 -2.35798303e-04  4.32240660e-04
  1.20273602e-04 -4.75522713e-04 -2.10537750e-04  4.60800860e-04
  6.21606945e-04  3.54936230e-04  2.95802602e-04 -5.47214877e-04
 -1.15681723e-04 -3.13574972e-04 -2.14582586e-04 -5.76829072e-04]",,2441513,audio/signals_f,,,
,0.0,0.0,,3,,,,,,90.0,2441521,geometry/pose_raw,-43.838905334472656,-0.07887309789657593,0.0
,0.0,0.0,,4,,,,,,90.0,2441536,geometry/pose_raw,-43.840293884277344,-0.046512383967638016,0.0
,0.0,0.0,,5,,,,,,90.0,2441543,geometry/pose_raw,-43.84028244018555,-0.1506069451570511,0.0
,0.0,0.0,,6,,,,,,90.0,2441552,geometry/pose_raw,-43.840484619140625,0.21890853345394135,0.0
,0.0,0.0,,7,,,,,,90.0,2441563,geometry/pose_raw,-43.84031295776367,-0.007283729966729879,0.0
,0.0,0.0,,8,,,,,,90.0,2441571,geometry/pose_raw,-43.839786529541016,0.0785113051533699,0.0
,0.0,0.0,,9,,,,,,90.0,2441581,geometry/pose_raw,-43.84014892578125,-0.1860809624195099,0.0
