audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,1738815,geometry/pose_raw,-83.04730987548828,0.10144338756799698,0.0
,0.0,0.0,,1,,,,,,90.0,1738826,geometry/pose_raw,-83.04679870605469,-0.1180083155632019,0.0
,0.0,0.0,,2,,,,,,90.0,1738836,geometry/pose_raw,-83.0462646484375,0.08992613852024078,0.0
,0.0,0.0,,3,,,,,,90.0,1738845,geometry/pose_raw,-83.04772186279297,0.04426580294966698,0.0
,0.0,0.0,,4,,,,,,90.0,1738853,geometry/pose_raw,-83.04737854003906,-0.048352427780628204,0.0
,0.0,0.0,,5,,,,,,90.0,1738865,geometry/pose_raw,-83.0468521118164,0.09738966822624207,0.0
,0.0,0.0,,6,,,,,,90.0,1738874,geometry/pose_raw,-83.04647827148438,0.011896688491106033,0.0
,0.0,0.0,,7,,,,,,90.0,1738882,geometry/pose_raw,-83.04734802246094,-0.1361701637506485,0.0
,0.0,0.0,,8,,,,,,90.0,1738894,geometry/pose_raw,-83.0469970703125,0.12853243947029114,0.0
,0.0,0.0,,9,,,,,,90.0,1738902,geometry/pose_raw,-83.04777526855469,0.16312123835086823,0.0
1866011841,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",10,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 2.05872599e-02  7.42280111e-03 -3.22043011e-03 -1.26464367e-02
 -4.01444593e-03  6.19939901e-03 -1.29357248e-03  4.30376502e-04
 -6.40343642e-03  2.31217011e-04 -1.47378072e-03  9.46544096e-05
 -1.92757905e-03  2.50120182e-04  1.94326765e-03  7.22915400e-04
 -1.28009822e-03 -3.61987972e-04  8.11562000e-04 -1.05246763e-04
  5.19408204e-04 -9.76738986e-04 -4.67420730e-04 -6.60302001e-04
  7.40639982e-04 -3.81355756e-04  2.95429345e-04  2.40346650e-04
  4.18779891e-05  4.72327170e-04 -2.36956286e-04 -8.18293600e-04
  2.52734739e-02  6.85824361e-03  1.49167934e-03 -7.16652442e-03
  4.32808825e-04  2.96259951e-03 -7.70190381e-04 -2.61341367e-04
 -1.73494883e-03 -6.65738480e-05 -1.64313475e-04 -5.81823289e-04
 -1.38509541e-03  1.49364490e-03 -3.03890847e-04 -3.95980780e-04
 -6.61587750e-04  1.74363755e-04 -4.71980107e-04  1.38216739e-04
 -8.96226848e-04 -1.04786328e-03  1.60265336e-06  6.74492505e-04
  2.32140897e-04 -3.85136751e-04  2.69033189e-04  2.29090016e-04
  4.48902807e-04 -6.43827836e-04 -3.09485331e-04  1.11169786e-04
  2.64428686e-02  4.54643788e-03  9.54457792e-04 -1.35186245e-03
  2.45616066e-05  2.29441072e-03 -1.84077979e-03 -1.58026596e-04
  7.47689279e-04  1.95541797e-04 -1.14664761e-03 -5.00676688e-04
  4.47762053e-04  1.31150853e-04  6.28465787e-05  3.18857405e-04
  1.28108994e-04  3.78243276e-05  3.33467091e-04 -6.42845465e-04
  2.10261060e-04 -8.30387347e-04 -1.49986401e-04  3.07611917e-04
  5.20670437e-06  5.46457653e-04  5.51789242e-04  3.16196601e-05
  2.41591595e-04 -3.72717681e-04  7.24127982e-04  2.58314074e-04
  2.75830999e-02  6.73527364e-03  1.42272655e-03 -2.33149785e-03
  1.44707563e-04  9.01135267e-04 -1.47246232e-03 -4.21836914e-04
  2.35934800e-04 -2.57105188e-04 -8.58647865e-04 -4.52501001e-04
 -1.09546853e-03 -3.99025666e-05 -3.52974603e-04 -2.77845393e-04
 -4.88566817e-04 -3.52761359e-04 -1.12262683e-03 -2.16248271e-04
 -1.57143630e-04 -2.19290159e-04  2.92030891e-05  6.68259599e-05
 -1.49686728e-03 -8.15700914e-04 -1.51066517e-04 -1.47427942e-04
  9.57589014e-04  7.43391458e-04  2.73867598e-04  1.57517017e-04]","[ 1.74786973e+00  1.38974423e-02 -1.48484102e-02 -1.02640670e-02
  2.70199496e-03  6.07248396e-04 -1.32126361e-03 -2.00859318e-03
  1.11329113e-03  2.19069701e-03 -6.21061074e-04 -1.01313752e-04
 -8.76802369e-04  4.26018087e-04 -1.13490119e-03 -3.69625850e-05
  6.77447533e-04 -2.97146558e-04  1.07685148e-04 -2.21110109e-04
  1.07230083e-03  2.85450881e-03 -1.49265258e-03  1.73562439e-05
  4.63633187e-04  1.41853758e-04 -1.95914079e-04  3.71720744e-05
 -2.93094578e-04  3.40199447e-04  4.51467000e-04  8.42717360e-04
  1.85372734e+00  9.94599890e-03 -1.70046575e-02 -5.05729672e-03
  2.50330125e-03  1.33429910e-03 -7.09957734e-04 -2.10826355e-03
  1.22450502e-03  5.03575022e-04  9.74329771e-04 -1.19431126e-04
 -3.94860923e-04 -3.44136963e-04  1.06210774e-03  1.52593522e-04
 -6.47340552e-04  2.26691656e-04 -7.18623458e-04 -4.57856571e-04
 -3.21602041e-04 -3.56351578e-04 -1.04805789e-04 -3.88536748e-04
 -2.01415154e-04 -4.66758531e-04 -5.33817074e-05  2.66672054e-04
  1.02617967e-04  4.00795398e-05  2.91677250e-04  1.18544362e-04
  1.90949380e+00  1.27096716e-02 -1.58615410e-02 -7.24148843e-03
 -7.49275350e-05  1.45538151e-03  2.91087897e-04  9.54990741e-04
  6.92275469e-04 -1.61060411e-03 -3.73532210e-04 -2.25894066e-04
 -2.88604642e-04 -4.10555222e-04 -9.35967662e-04 -2.14279527e-04
  1.11472677e-03 -4.46170510e-04 -3.73883377e-05 -5.06085344e-04
  1.03756809e-03  1.46864040e-03 -8.92783748e-04  5.12180268e-04
  5.73679921e-04 -1.89180690e-04 -6.68737339e-05 -6.49495196e-05
 -4.85798169e-04  5.81532542e-04  3.76043638e-04 -6.07434893e-04
  1.87292123e+00  8.76870751e-03 -1.61753558e-02 -4.73366259e-03
  3.10987991e-04 -3.93035298e-05  1.22528611e-04 -5.10577869e-04
  5.99157414e-04 -3.10921139e-04  6.80171186e-04 -8.21534079e-04
 -3.50513612e-04  1.11959620e-04  7.35585927e-05  4.61314718e-04
  7.60070034e-05  2.18175352e-04 -5.19777765e-04 -3.03523440e-04
  5.37472137e-04 -3.43439286e-04 -3.96855641e-04 -2.18810470e-04
  6.39521866e-04 -3.61929415e-04 -1.91706873e-04 -5.50312805e-04
 -7.34808156e-04  2.14933796e-04 -2.70610180e-04 -4.65591525e-04]",,1738907,audio/signals_f,,,
,0.0,0.0,,11,,,,,,90.0,1738912,geometry/pose_raw,-83.04801940917969,0.08925667405128479,0.0
,0.0,0.0,,12,,,,,,90.0,1738925,geometry/pose_raw,-83.04766845703125,-0.06767706573009491,0.0
,0.0,0.0,,13,,,,,,90.0,1738933,geometry/pose_raw,-83.0486831665039,0.01767435111105442,0.0
,0.0,0.0,,14,,,,,,90.0,1738948,geometry/pose_raw,-83.04832458496094,0.003380740061402321,0.0
,0.0,0.0,,15,,,,,,90.0,1738955,geometry/pose_raw,-83.04825592041016,-0.04287668690085411,0.0
,0.0,0.0,,16,,,,,,90.0,1738964,geometry/pose_raw,-83.04779052734375,0.1433057188987732,0.0
,0.0,0.0,,17,,,,,,90.0,1738973,geometry/pose_raw,-83.04821014404297,0.00863264687359333,0.0
,0.0,0.0,,18,,,,,,90.0,1738984,geometry/pose_raw,-83.04839324951172,0.04243556410074234,0.0
,0.0,0.0,,19,,,,,,90.0,1738994,geometry/pose_raw,-83.04869842529297,-0.10505504906177521,0.0
,0.0,0.0,,20,,,,,,90.0,1739002,geometry/pose_raw,-83.05016326904297,-0.010396694764494896,0.0
,0.0,0.0,,21,,,,,,90.0,1739014,geometry/pose_raw,-83.05052947998047,0.06766001135110855,0.0
,0.0,0.0,,22,,,,,,90.0,1739022,geometry/pose_raw,-83.0503158569336,-0.005745059344917536,0.0
1866075565,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",23,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 7.19258562e-03 -4.34610806e-03 -4.25464567e-03 -2.38887686e-03
 -1.30123692e-04 -1.01847970e-03  1.76907954e-04  2.07007094e-03
  9.49532609e-04 -6.97237847e-04  2.31536315e-03 -8.44853057e-04
 -2.13504958e-04 -1.19978166e-03  7.75448629e-04 -1.90809590e-03
 -1.40735891e-03 -1.56058022e-03 -1.39291049e-03  3.65570333e-04
 -3.08032730e-04 -1.28167041e-03 -1.47394242e-03  1.54524983e-04
 -1.83846219e-03 -6.54982345e-04 -6.59853511e-04  1.34458911e-04
  7.41320429e-04 -1.04705780e-03  2.39560715e-04 -4.11876070e-04
  1.01422630e-02 -4.96366573e-03 -3.48686962e-03  4.56445036e-04
 -1.40918826e-03 -1.02761225e-03 -1.94202235e-03  6.11073221e-04
 -5.99120831e-05  1.46040897e-04  1.06840150e-03  2.10794096e-04
 -7.80340226e-04 -3.55260738e-04  1.10922476e-04 -7.97765970e-04
  2.73823302e-04 -4.79432871e-04 -4.12443071e-04  3.20545136e-04
 -3.84369108e-04 -4.00910794e-05  6.39120990e-04  1.13951426e-03
 -3.75693548e-04 -4.42593009e-05  7.99058995e-04 -2.68710864e-04
  2.56914791e-05 -3.47839145e-04  9.58934033e-05 -1.34712813e-04
  1.06953252e-02 -7.29196100e-03 -6.00134907e-03  8.84165987e-04
 -1.28478708e-03 -8.76128674e-04 -2.13192543e-03 -1.05430989e-03
 -7.95054075e-06 -1.23436248e-03  2.75319355e-04  4.34408896e-04
  9.90512199e-05  6.12894422e-04  2.29101395e-04  4.37418086e-04
 -7.53315515e-04 -4.70422703e-04 -6.19169965e-04  2.45701449e-05
 -2.66120769e-05  2.46076204e-04 -6.62450970e-04  1.29364693e-04
  1.63187884e-04 -2.03751522e-04 -8.78123508e-04  3.36056837e-04
 -1.76102956e-04 -8.96452984e-04 -1.46266510e-04  6.01551204e-04
  1.72989741e-02 -4.98983217e-03 -4.96615516e-03  1.06830685e-03
 -9.00429615e-04 -9.94458678e-04 -1.61438296e-03 -1.05427497e-03
 -1.13693110e-04  4.62819036e-04 -3.02670174e-04 -7.67083082e-04
  1.53267640e-04 -1.43807381e-03 -2.66038114e-06 -1.34630292e-03
  7.89739715e-06 -1.22149277e-03  6.94228103e-04  5.62531408e-04
  8.42214329e-04 -9.76322626e-05  1.87238067e-04 -1.18826400e-04
  7.58091919e-05  1.50954773e-04  3.48506699e-04  6.13320619e-04
 -3.92868853e-04  4.59603907e-04  1.79359544e-04  6.41780207e-04]","[ 1.7346841e+00 -5.6822933e-03 -1.7516574e-02 -8.6987857e-05
 -1.2741874e-03  1.5405265e-03  3.5445334e-03 -2.0222655e-03
  1.4512383e-03 -2.4283994e-03 -7.8208686e-04  8.6217152e-04
  9.8405377e-05 -1.7432526e-03  2.8028531e-04  4.0740808e-03
 -1.8325052e-03  1.6189704e-05  9.6418301e-04 -6.9459056e-05
 -9.6939865e-04  2.3348490e-05  1.8437614e-04  4.9291400e-04
 -2.0518573e-04  4.0764723e-04 -3.5256296e-04 -4.7365576e-04
 -5.4611336e-04  5.0491747e-04  1.9844269e-04  5.0433689e-05
  1.8516703e+00 -3.8041337e-03 -2.0877242e-02 -3.4773275e-03
 -1.9689389e-03  1.7409104e-04  2.8441348e-03 -5.6489796e-04
  4.5198121e-04 -2.0070523e-03 -1.1291301e-03 -1.5739701e-04
 -2.4041983e-04  2.0082013e-04  4.6811352e-04  6.8347075e-04
  3.7517998e-04 -2.3552350e-04  5.7672744e-04 -7.6066400e-04
  4.3094772e-04  4.5115396e-04 -5.5233506e-04  3.0089897e-05
 -8.6398795e-05 -3.1627947e-04 -2.1234110e-04  3.0926336e-04
  1.6556484e-04  1.1402911e-04 -4.2310095e-04  2.5245492e-04
  1.8948686e+00 -5.3071463e-03 -2.2446513e-02 -5.8548534e-03
 -1.2405069e-03  8.9422375e-04  4.9492205e-04  4.7076217e-04
 -1.6004897e-03 -5.8796245e-04 -1.6327028e-03 -3.4562242e-04
  3.8584316e-04 -1.8664816e-04 -3.6603468e-04  1.1966482e-03
  5.2653177e-04 -3.5764369e-06 -8.7460707e-05 -5.3289253e-04
 -5.0583773e-04  1.4021894e-03 -9.6300145e-04  3.8667666e-04
 -4.0383896e-04  1.1408366e-04  4.1664435e-04 -1.0082010e-04
  6.6316730e-05  2.9152067e-04 -1.2451112e-04 -3.1004206e-04
  1.8623976e+00 -7.8735314e-03 -2.0150715e-02 -6.9764545e-03
 -3.2336509e-04  1.0832711e-03  1.0059319e-03 -1.0684866e-03
  1.0910806e-04 -1.6121783e-03 -4.5042610e-04  6.2241149e-04
  2.3003671e-04  5.8341445e-04  7.8456308e-04 -1.5705102e-04
  6.7990075e-04  1.1714765e-04 -1.9111668e-04 -9.0275233e-04
 -2.1314969e-04 -9.4614741e-05 -5.1009987e-04 -5.9451949e-04
 -7.9727906e-05 -3.8878212e-04 -3.9929632e-04 -1.8863392e-04
 -4.1482045e-04 -2.3703817e-04  6.4555788e-05  4.2024779e-04]",,1739024,audio/signals_f,,,
,0.0,0.0,,24,,,,,,90.0,1739033,geometry/pose_raw,-83.05101776123047,-0.17264705896377563,0.0
,0.0,0.0,,25,,,,,,90.0,1739044,geometry/pose_raw,-83.05007934570312,0.14158466458320618,0.0
,0.0,0.0,,26,,,,,,90.0,1739052,geometry/pose_raw,-83.05108642578125,-0.11595458537340164,0.0
,0.0,0.0,,27,,,,,,90.0,1739064,geometry/pose_raw,-83.05165100097656,0.024864230304956436,0.0
,0.0,0.0,,28,,,,,,90.0,1739074,geometry/pose_raw,-83.05104064941406,-0.0009488125797361135,0.0
,0.0,0.0,,29,,,,,,90.0,1739082,geometry/pose_raw,-83.0513687133789,0.009602304548025131,0.0
,0.0,0.0,,30,,,,,,90.0,1739092,geometry/pose_raw,-83.0501937866211,-0.04850924015045166,0.0
,0.0,0.0,,31,,,,,,90.0,1739104,geometry/pose_raw,-83.0504150390625,-0.03192960470914841,0.0
,0.0,0.0,,32,,,,,,90.0,1739112,geometry/pose_raw,-83.05122375488281,-0.047213438898324966,0.0
,0.0,0.0,,33,,,,,,90.0,1739122,geometry/pose_raw,-83.0520248413086,-0.2922323942184448,0.0
,0.0,0.0,,34,,,,,,90.0,1739134,geometry/pose_raw,-83.05166625976562,-0.14295899868011475,0.0
1866202419,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",35,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.8589674e-02 -5.1895087e-03  4.2256084e-05  1.8349977e-03
 -1.3889951e-02  1.9383352e-03  2.7934249e-04 -1.2577605e-04
  5.2739453e-04 -3.3610137e-03 -1.6603357e-03  1.0774531e-03
  4.7322398e-04 -1.5350166e-03 -2.9853024e-03  2.4855295e-03
 -6.1564421e-04 -2.2685342e-03 -2.9929713e-04 -9.5001725e-04
  1.0030045e-03  3.6506925e-04  8.6035614e-04 -4.1323621e-04
 -1.1364579e-03 -1.6169203e-03  3.6699357e-04 -1.9462546e-04
  2.5444275e-05 -1.5301397e-04  2.7738293e-04  4.0606462e-04
  1.6179366e-02 -4.1418574e-03  1.1342000e-03  1.7146933e-03
 -5.7551013e-03  2.2217606e-03  2.5833212e-04 -1.3195565e-03
  5.1015741e-06 -9.6207525e-04  5.8239436e-04  5.5204780e-04
  2.4765744e-05 -8.2128029e-04 -5.8788992e-04  2.7827048e-04
 -1.1477130e-03 -2.0573563e-05 -9.3758354e-05  2.6214175e-04
  6.2794519e-05 -2.0676087e-04 -6.2837236e-04 -5.8218153e-05
  1.3073866e-04 -7.3020946e-04  1.0993001e-03 -3.1601294e-04
 -2.4696469e-04  3.7574864e-04 -8.9382380e-04 -2.2808340e-04
  1.6761230e-02  2.1035777e-04 -1.4197717e-03 -1.4939465e-03
 -3.0923495e-03  2.1776173e-03 -1.3851789e-03 -6.4019332e-05
  5.8568688e-04 -4.2399217e-05 -1.1262057e-03 -4.1602706e-04
 -1.4370466e-04  1.2549208e-04  6.4415843e-05 -1.2313905e-03
  8.9869311e-04 -1.5640975e-04  2.4208985e-04  3.2875545e-05
  3.8221083e-04 -2.1497208e-04  1.6229317e-04 -7.4113923e-06
 -6.5606349e-04 -4.5641232e-04 -1.7665555e-03 -1.4050079e-04
  2.7017065e-04  7.1401405e-04 -3.8003532e-04  4.0447165e-04
  1.1328172e-02 -5.6257108e-03  1.5435356e-03  2.4108214e-03
 -1.9831641e-03  8.5555826e-04 -2.2106466e-03 -1.5257163e-03
  3.2395418e-04  2.2659483e-04  5.9960072e-04 -1.7872138e-04
 -2.8749526e-04  1.2855040e-04  8.8983601e-05 -8.3672977e-04
 -2.3870103e-04  6.9517700e-04 -9.4919599e-04 -1.9365569e-04
  5.0205336e-04 -3.6089969e-04 -1.2465867e-03  3.6700230e-04
  3.2222740e-04 -4.2338378e-04  5.8659230e-04 -6.3269486e-05
  2.9781071e-04  1.7482042e-04  1.0760173e-03  7.3514530e-06]","[ 1.75816429e+00 -1.34578417e-03 -1.57539640e-02 -5.43933082e-03
  1.60517846e-03  2.89246626e-03 -4.80644056e-04  1.92766008e-03
 -2.85785412e-03 -3.90911009e-03 -1.54349627e-03 -1.31776396e-04
  8.08707089e-04 -1.12490752e-03  1.14011322e-03  4.83240379e-04
 -1.75101054e-03  1.30806456e-03 -3.11063835e-04  2.08381331e-03
  2.51429825e-04 -2.30966369e-04  5.60301589e-04 -1.10350666e-03
  1.17660337e-03  6.43262116e-04 -1.03847100e-03 -7.06262130e-04
  1.27184918e-04 -2.91500939e-04 -9.89219097e-06 -1.63419449e-04
  1.86026239e+00 -1.90800009e-03 -1.82860922e-02 -7.18876440e-03
  2.49340339e-03  4.06164181e-04  5.36299543e-04  1.60874077e-03
 -7.94079271e-04 -1.47517235e-03 -1.04369968e-03 -7.19255535e-04
  7.94546446e-04 -3.78997880e-04  8.05342861e-04  7.24899928e-06
  4.27486637e-04  3.47483670e-04 -9.29710921e-04  6.89266744e-05
  4.28464031e-04 -4.91736108e-04  2.40819994e-04 -8.83911969e-04
  5.30122197e-04 -8.98225524e-04  2.84792361e-04 -4.34339046e-04
  2.81852321e-04  2.62435555e-04 -1.80766394e-04 -9.24913911e-05
  1.91140568e+00  3.86710698e-03 -1.74211133e-02 -7.09527638e-03
 -8.19421548e-04  1.40570290e-03  1.64788077e-03 -2.40735390e-04
  1.45166850e-04 -9.92623158e-04  4.39524520e-05 -1.01722195e-04
 -1.71009288e-03  3.67325498e-04  1.26645522e-04 -2.58064130e-04
 -2.37070140e-04  2.91340257e-05 -5.30125690e-04 -8.79829313e-05
 -3.94137925e-04  5.40085894e-04  5.42474678e-04  4.58101276e-04
  5.88183320e-05  2.31568294e-04  5.34417049e-05 -6.12617529e-04
 -1.28906875e-04 -6.90628513e-05 -2.00018345e-04 -8.54694168e-04
  1.88313890e+00  4.24201973e-03 -1.90906450e-02 -5.10879140e-03
 -1.61630730e-03 -4.60100186e-04  2.78826058e-03 -3.94160830e-04
  8.50308221e-04  4.21652396e-04 -8.40153254e-04  4.96127934e-04
  1.07454718e-03  2.41934555e-04 -3.74305615e-04  1.92684296e-04
  1.27880878e-04  1.23175338e-03 -6.98952645e-04  6.50277536e-04
  5.64056507e-04 -4.80570510e-04 -2.12609419e-04 -5.61216206e-04
 -5.99638559e-04 -8.50656361e-05  1.62923752e-04  2.62177200e-04
  5.28891396e-04  8.41452216e-04 -4.21227887e-04  6.83939317e-04]",,1739140,audio/signals_f,,,
,0.0,0.0,,36,,,,,,90.0,1739142,geometry/pose_raw,-83.05229187011719,-0.07486346364021301,0.0
,0.0,0.0,,37,,,,,,90.0,1739153,geometry/pose_raw,-83.05332946777344,-0.14267854392528534,0.0
,0.0,0.0,,38,,,,,,90.0,1739163,geometry/pose_raw,-83.05331420898438,-0.04478758946061134,0.0
,0.0,0.0,,39,,,,,,90.0,1739174,geometry/pose_raw,-83.05369567871094,-0.14978358149528503,0.0
,0.0,0.0,,40,,,,,,90.0,1739182,geometry/pose_raw,-83.05611419677734,-0.1272825449705124,0.0
,0.0,0.0,,41,,,,,,90.0,1739194,geometry/pose_raw,-83.05596160888672,-0.0946679338812828,0.0
,0.0,0.0,,42,,,,,,90.0,1739202,geometry/pose_raw,-83.05538940429688,0.040140289813280106,0.0
,0.0,0.0,,43,,,,,,90.0,1739212,geometry/pose_raw,-83.05477142333984,0.12951630353927612,0.0
,0.0,0.0,,44,,,,,,90.0,1739224,geometry/pose_raw,-83.05616760253906,-0.1501728892326355,0.0
,0.0,0.0,,45,,,,,,90.0,1739232,geometry/pose_raw,-83.05628967285156,-0.0642743781208992,0.0
,0.0,0.0,,46,,,,,,90.0,1739242,geometry/pose_raw,-83.05598449707031,0.012318171560764313,0.0
,0.0,0.0,,47,,,,,,90.0,1739253,geometry/pose_raw,-83.05596160888672,-0.08455466479063034,0.0
